arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,intertrialfix.started,intertrialfix.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,9.6440717499936,9.6440717499936,space,1.2679109580058139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,f,1,2023-04-18_23h21.40.012,RL,2022.2.5,None,
,,,,,,,,,,,,10.939627290994395,10.939627290994395,s,2.4302720830019098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,f,1,2023-04-18_23h21.40.012,RL,2022.2.5,None,
45,42,50,53,0,0,0,0,,,,,,,,,13.405704082979355,None,14.419180332974065,14.419180332974065,14.419180332974065,14.419180332974065,14.419180332974065,14.419180332974065,i,0.5607238739903551,15.042584915994667,15.042584915994667,15.042584915994667,15.042584915994667,15.042584915994667,15.042584915994667,15.303104040998733,16.142904874985106,16.187711874983506,16.187711874983506,16.187711874983506,16.187711874983506,16.187711874983506,16.187711874983506,16.187711874983506,16.187711874983506,16.187711874983506,16.187711874983506,16.187711874983506,16.187711874983506,16.187711874983506,17.338589082995895,17.338589082995895,17.338589082995895,17.338589082995895,17.338589082995895,17.338589082995895,17.338589082995895,42,45,53,50,53,17.338589082995895,18.897496207995573,,,,,,,,,1,f,1,2023-04-18_23h21.40.012,RL,2022.2.5,None,
32,43,50,58,0,1,1,1,,,,,,,,,,None,18.897496207995573,18.897496207995573,18.897496207995573,18.897496207995573,18.897496207995573,18.897496207995573,j,0.4368887500022538,19.373442790994886,19.373442790994886,19.373442790994886,19.373442790994886,19.373442790994886,19.373442790994886,19.636006874992745,20.70257599998149,20.74177124997368,20.74177124997368,20.74177124997368,20.74177124997368,20.74177124997368,20.74177124997368,20.74177124997368,20.74177124997368,20.74177124997368,20.74177124997368,20.74177124997368,20.74177124997368,20.74177124997368,22.10121483297553,22.10121483297553,22.10121483297553,22.10121483297553,22.10121483297553,22.10121483297553,22.10121483297553,43,32,58,50,50,22.10121483297553,23.822110207984224,,,,,,,,,1,f,1,2023-04-18_23h21.40.012,RL,2022.2.5,None,
43,50,57,55,0,2,2,2,,,,,,,,,,None,23.822110207984224,23.822110207984224,23.822110207984224,23.822110207984224,23.822110207984224,23.822110207984224,r,0.2796983750013169,24.14845683297608,24.14845683297608,24.14845683297608,24.14845683297608,24.14845683297608,24.14845683297608,24.40720529097598,26.007618457981152,26.052708582981722,26.052708582981722,26.052708582981722,26.052708582981722,26.052708582981722,26.052708582981722,26.052708582981722,26.052708582981722,26.052708582981722,26.052708582981722,26.052708582981722,26.052708582981722,26.052708582981722,27.9613363329845,27.9613363329845,27.9613363329845,27.9613363329845,27.9613363329845,27.9613363329845,27.9613363329845,50,43,55,57,43,27.9613363329845,29.85435241597588,,,,,,,,,1,f,1,2023-04-18_23h21.40.012,RL,2022.2.5,None,
42,44,52,56,0,3,3,3,,,,,,,,,,None,29.85435241597588,29.85435241597588,29.85435241597588,29.85435241597588,29.85435241597588,29.85435241597588,f,0.3666814169846475,30.277007540978957,30.277007540978957,30.277007540978957,30.277007540978957,30.277007540978957,30.277007540978957,30.534675165981753,31.86093820797396,31.90288516599685,31.90288516599685,31.90288516599685,31.90288516599685,31.90288516599685,31.90288516599685,31.90288516599685,31.90288516599685,31.90288516599685,31.90288516599685,31.90288516599685,31.90288516599685,31.90288516599685,33.53449858297245,33.53449858297245,33.53449858297245,33.53449858297245,33.53449858297245,33.53449858297245,33.53449858297245,44,42,56,52,44,33.53449858297245,35.25845924997702,,,,,,,,,1,f,1,2023-04-18_23h21.40.012,RL,2022.2.5,None,
49,38,49,67,0,4,4,4,,,,,,,,,,None,35.25845924997702,35.25845924997702,35.25845924997702,35.25845924997702,35.25845924997702,35.25845924997702,i,0.0924475829815492,35.39561495798989,35.39561495798989,35.39561495798989,35.39561495798989,35.39561495798989,35.39561495798989,35.65600779099623,37.58172983297845,37.61978529099724,37.61978529099724,37.61978529099724,37.61978529099724,37.61978529099724,37.61978529099724,37.61978529099724,37.61978529099724,37.61978529099724,37.61978529099724,37.61978529099724,37.61978529099724,37.61978529099724,39.84449383299216,39.84449383299216,39.84449383299216,39.84449383299216,39.84449383299216,39.84449383299216,39.84449383299216,38,49,67,49,67,39.84449383299216,41.429238749988144,,,,,,,,,1,f,1,2023-04-18_23h21.40.012,RL,2022.2.5,None,
44,40,59,51,0,5,5,5,,,,,,,,,,None,41.429238749988144,41.429238749988144,41.429238749988144,41.429238749988144,41.429238749988144,41.429238749988144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,44,51,59,0,48.93949704099214,50.929278874973534,42.93888041598257,42.93888041598257,42.93888041598257,42.93888041598257,42.93888041598257,42.93888041598257,42.93888041598257,48.93949704099214,1,f,1,2023-04-18_23h21.40.012,RL,2022.2.5,None,
,,,,,,,,,,,,,,,,,None,50.929278874973534,50.929278874973534,50.929278874973534,50.929278874973534,50.929278874973534,50.929278874973534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
