arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,intertrialfix.started,intertrialfix.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,10.189922416990157,10.189922416990157,space,0.40480270798434503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,f,1,2023-04-18_23h27.28.288,RL,2022.2.5,None,
,,,,,,,,,,,,10.619756375002908,10.619756375002908,s,0.5631407909968402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,f,1,2023-04-18_23h27.28.288,RL,2022.2.5,None,
45,42,50,53,0,0,0,0,,,,,,,,,11.227636458002962,None,12.232272166991606,12.232272166991606,12.232272166991606,12.232272166991606,12.232272166991606,12.232272166991606,i,0.3745587909943424,12.670790125004714,12.670790125004714,12.670790125004714,12.670790125004714,12.670790125004714,12.670790125004714,12.91971045799437,13.95144541701302,14.010650374984834,14.010650374984834,14.010650374984834,14.010650374984834,14.010650374984834,14.010650374984834,14.010650374984834,14.010650374984834,14.010650374984834,14.010650374984834,14.010650374984834,14.010650374984834,14.010650374984834,15.352956457994878,15.352956457994878,15.352956457994878,15.352956457994878,15.352956457994878,15.352956457994878,15.352956457994878,50,53,42,45,42,15.352956457994878,17.201340375002474,1,f,1,2023-04-18_23h27.28.288,RL,2022.2.5,None,
,,,,,,,,,,,,,,,,,None,17.201340375002474,17.201340375002474,17.201340375002474,17.201340375002474,17.201340375002474,17.201340375002474,j,0.2413916240038816,17.489960875012912,17.489960875012912,17.489960875012912,17.489960875012912,17.489960875012912,17.489960875012912,17.746866958012106,19.71642791701015,19.754675833013607,19.754675833013607,19.754675833013607,19.754675833013607,19.754675833013607,19.754675833013607,19.754675833013607,19.754675833013607,19.754675833013607,19.754675833013607,19.754675833013607,19.754675833013607,19.754675833013607,,,,,,,,,,,,,,,,,,,,,,
