Unnamed: 0,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_a_1[1],-0.0713695554895681,0.0010665161543556,0.061609642903128,-0.2170799273957098,-0.1089279746943299,-0.0584726671712664,-0.021013461748877,0.0049315813893056,3337.048411264873,0.9998811747095934
beta_a_1[2],0.0195075127774069,0.00015291184951,0.0108724760896901,-0.0002033103347178,0.0120714901543646,0.0189024849789286,0.0262369474398609,0.0419526015690183,5055.622523407047,1.0006204541721786
beta_a_1[3],-0.0800490204929121,0.0010124577842472,0.0602072166250172,-0.2249976080957242,-0.1145680580706061,-0.0681196401530179,-0.0328370977695309,-0.0047962938735609,3536.252381703458,1.000045209558868
beta_a_1[4],0.0071999609082079,7.826929772603974e-05,0.0043743817712555,-0.0010718961692716,0.0041500536951785,0.0071123260319098,0.0100892868820886,0.0160512074977358,3123.5645983325508,1.0003718525452177
beta_a_1[5],-0.0770520033271466,0.0009752692384284,0.0589163667813732,-0.2162378568900076,-0.1122443952243204,-0.0651035789650017,-0.0302531522013202,-0.0005667544049747,3649.411718097145,1.000175738887541
beta_a_1[1],-0.0775135176640604,0.0010434547519568,0.0585910626345563,-0.2172177129971243,-0.111655457173354,-0.0652992563291833,-0.0307544516144632,-0.0025675104284853,3152.938552538105,1.0011811458406743
beta_a_1[2],-0.0893767422272946,0.0010147208878427,0.058909349300065,-0.2302339988871542,-0.1230724458958978,-0.0782590070033455,-0.0448112995420931,-0.0072804548042331,3370.3519192117365,1.0010487777237862
beta_a_1[3],-0.0123269790807095,0.0002789632887346,0.0149916189541846,-0.0488247813089986,-0.0196117079133213,-0.0108086997129172,-0.0027050204090398,0.01330554584129,2888.0383873859664,1.0017091094613473
beta_a_1[4],-0.0862277492067175,0.0011023360397711,0.0595522064050296,-0.2284095406640119,-0.1194396542174269,-0.0751298788412761,-0.0399638680050578,-0.0082563845856841,2918.5537801405444,1.0001459621238165
beta_a_1[5],-0.0071093977695656,0.0001598640341376,0.0091855463802597,-0.0269907007440751,-0.012567989397367,-0.006847491856056,-0.0011273525783153,0.0102260491619595,3301.478341497662,1.0001131463503223
beta_a_1[1],-0.0652296004598048,0.001168157905326,0.0627504965744082,-0.2124596000653066,-0.1031210798961699,-0.0522414908090488,-0.0126914063817656,0.010037586152887,2885.5674421773724,1.0003831655449622
beta_a_1[2],-0.005981931639284,0.0005760647372873,0.0177657524553926,-0.0415645629183176,-0.0061134117446206,-0.0029208047917739,-4.74620533719287e-05,0.0051519360774013,951.0966014762336,1.007896360401808
beta_a_1[3],0.0069735086941686,0.0001976778237124,0.0115761777235849,-0.0155447889165065,-0.000962194775323,0.0068658502963702,0.0149344354588123,0.0296100366619032,3429.370984710865,1.0008147616120315
beta_a_1[4],0.0006316893885472,0.0001000474031939,0.0060414672732875,-0.0109383233769681,-0.0035325296572919,0.0004485730929785,0.0047418671247374,0.0127949880643042,3646.474771016874,1.0021987861337407
beta_a_1[5],-0.0830941555838287,0.0009678693053078,0.057641986408584,-0.2207182487069004,-0.1171135356774037,-0.0720407871955344,-0.0365763494900167,-0.008770142410645,3546.863240797733,1.0016688438954764
beta_a_1[1],0.0189041767756027,0.0001081573267069,0.007277114160989,0.0053656896387348,0.0139292271489102,0.0185694117696242,0.0236322581556076,0.0340513291903041,4526.958229863169,1.0005484241638072
beta_a_1[2],0.0032492052314862,0.0023457113170625,0.0214648436773014,-0.0537112370471791,0.0029380176217688,0.006355493424159,0.0097703669081671,0.0170714214478714,83.7348667733608,1.0444210941749317
beta_a_1[3],-0.0773119312496208,0.0009010533012883,0.0593682880381264,-0.2190595814262444,-0.1114477512070253,-0.0658725993878349,-0.0306526260533271,-0.0015815008008139,4341.1829331391045,1.0002730917893965
beta_a_1[4],0.0014225536219106,0.0001175606664626,0.0064285634838493,-0.0110223944313424,-0.0029594554302944,0.0014612395277261,0.005722464322192,0.0140590434084419,2990.224497602648,1.0011412720420862
beta_a_1[5],0.0028401000324191,0.0004502754962793,0.0154547039743763,-0.0195656582951144,-0.0020841249537012,0.0040153253424509,0.0100614521987375,0.0225319427981047,1178.0527964318971,1.001635681258276
beta_a_1[1],-0.0346328299282635,0.0013184055261702,0.0549231680886863,-0.18154850939157,-0.0577277760552784,-0.0158690787101965,0.0027595531918275,0.0304718202225274,1735.454097903163,1.000649385662982
beta_a_1[2],-0.0803741434450116,0.0010485974364515,0.0605938141817627,-0.229164778294471,-0.1150108026694182,-0.0673475497247995,-0.032756877900293,-0.0042877769592964,3339.173600898009,1.0005280558482574
beta_a_1[3],-0.0651460460148591,0.0011289831118536,0.0581929798157572,-0.2102009065197213,-0.0957544696155699,-0.0500854783126203,-0.0214816874263091,0.0047186887582919,2656.845506870777,1.0013744063929024
beta_a_1[4],0.0153536386965331,9.55501497458431e-05,0.0067561874298311,0.0030445270330991,0.0105864664405175,0.0150144564170491,0.0196810403155652,0.0293394065555103,4999.661878164288,1.0003661947439284
beta_a_1[5],-0.0364149458597394,0.0014938219848038,0.0509653968974617,-0.1809777552692981,-0.0493206833850345,-0.0137435115601348,-0.0034843639252167,0.0040761032928029,1164.0003955080815,1.0066680379179622
beta_a_1[1],0.0085791558629404,0.0004810977233911,0.017090375634649,-0.0162110695702424,0.0006681880304458,0.0089110448954606,0.0174400401297454,0.0362020407356536,1261.9339171158726,1.0010249568160852
beta_a_1[2],-0.0021794281547788,0.0002825052536525,0.0101820101172312,-0.0192804897330862,-0.0073020492521068,-0.0016795119237695,0.0036616493948193,0.0145463363568777,1299.0144770498462,1.0017875866857198
