bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,docs.stopped,image_2.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,31.6235364000313,31.6235364000313,space,74.35568290017545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
,,,,,,,,,106.01339490013197,106.01339490013197,space,33.64320749999024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,0,0,0,0,,,,,,,,,139.67421900015324,None,140.70398700004444,140.70398700004444,140.70398700004444,140.70398700004444,140.70398700004444,140.70398700004444,r,0.907094300026074,141.7130997001659,141.7130997001659,141.7130997001659,141.7130997001659,141.7130997001659,141.7130997001659,141.9357172001619,141.9357172001619,143.13209050009027,143.13209050009027,143.22946230019443,143.22946230019443,143.22946230019443,143.22946230019443,143.22946230019443,143.22946230019443,143.22946230019443,143.22946230019443,143.22946230019443,143.22946230019443,143.22946230019443,143.22946230019443,143.22946230019443,143.22946230019443,143.22946230019443,145.72484190016985,145.72484190016985,145.72484190016985,145.72484190016985,145.72484190016985,71,27,46,54,71,52,5.0,3.9221306999679655,149.77487750002183,151.29245590022765,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,1,0,1,0,,,,,,,,,,None,151.29245590022765,151.29245590022765,151.29245590022765,151.29245590022765,151.29245590022765,151.29245590022765,i,1.0918805999681354,152.40806210017763,152.40806210017763,152.40806210017763,152.40806210017763,152.40806210017763,152.40806210017763,152.7062308001332,152.7062308001332,154.64060660009272,154.64060660009272,154.64060660009272,154.64060660009272,154.64060660009272,154.64060660009272,154.64060660009272,154.64060660009272,154.64060660009272,154.64060660009272,154.64060660009272,154.64060660009272,154.64060660009272,154.64060660009272,154.64060660009272,154.64060660009272,154.64060660009272,157.14307110011578,157.14307110011578,157.14307110011578,157.14307110011578,157.14307110011578,67,33,44,50,44,70,3.0,3.2907163000199944,160.45072320010513,162.3461968000047,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,2,0,2,0,,,,,,,,,,None,162.3461968000047,162.3461968000047,162.3461968000047,162.3461968000047,162.3461968000047,162.3461968000047,r,0.7582488001789898,163.13043260015547,163.13043260015547,163.13043260015547,163.13043260015547,163.13043260015547,163.13043260015547,163.42709500016645,163.42709500016645,164.32465620012954,164.32465620012954,164.32465620012954,164.32465620012954,164.32465620012954,164.32465620012954,164.32465620012954,164.32465620012954,164.32465620012954,164.32465620012954,164.32465620012954,164.32465620012954,164.32465620012954,164.32465620012954,164.32465620012954,164.32465620012954,164.32465620012954,166.83338600001298,166.83338600001298,166.83338600001298,166.83338600001298,166.83338600001298,71,27,37,53,71,39,5.0,2.343708800151944,169.19402440008707,170.98950110003352,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,3,0,3,0,,,,,,,,,,None,170.98950110003352,170.98950110003352,170.98950110003352,170.98950110003352,170.98950110003352,170.98950110003352,r,0.6518550999462605,171.67135540000163,171.67135540000163,171.67135540000163,171.67135540000163,171.67135540000163,171.67135540000163,171.9701746001374,171.9701746001374,173.63309760019183,173.63309760019183,173.63309760019183,173.63309760019183,173.63309760019183,173.63309760019183,173.63309760019183,173.63309760019183,173.63309760019183,173.63309760019183,173.63309760019183,173.63309760019183,173.63309760019183,173.63309760019183,173.63309760019183,173.63309760019183,173.63309760019183,176.1410623001866,176.1410623001866,176.1410623001866,176.1410623001866,176.1410623001866,69,33,42,54,69,60,5.0,2.0439667999744415,178.20220560021698,179.7322814001236,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,4,0,4,0,,,,,,,,,,None,179.7322814001236,179.7322814001236,179.7322814001236,179.7322814001236,179.7322814001236,179.7322814001236,f,0.43614489980973303,180.20134560018778,180.20134560018778,180.20134560018778,180.20134560018778,180.20134560018778,180.20134560018778,180.49717350001447,180.49717350001447,181.6106816001702,181.6106816001702,181.6106816001702,181.6106816001702,181.6106816001702,181.6106816001702,181.6106816001702,181.6106816001702,181.6106816001702,181.6106816001702,181.6106816001702,181.6106816001702,181.6106816001702,181.6106816001702,181.6106816001702,181.6106816001702,181.6106816001702,184.12023060000502,184.12023060000502,184.12023060000502,184.12023060000502,184.12023060000502,74,34,53,53,34,54,4.0,2.1108124000020325,186.2470115001779,188.10911570000462,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,5,0,5,0,,,,,,,,,,None,188.10911570000462,188.10911570000462,188.10911570000462,188.10911570000462,188.10911570000462,188.10911570000462,r,0.700922799995169,188.84619410010055,188.84619410010055,188.84619410010055,188.84619410010055,188.84619410010055,188.84619410010055,189.140015500132,189.140015500132,190.4863772999961,190.4863772999961,190.4863772999961,190.4863772999961,190.4863772999961,190.4863772999961,190.4863772999961,190.4863772999961,190.4863772999961,190.4863772999961,190.4863772999961,190.4863772999961,190.4863772999961,190.4863772999961,190.4863772999961,190.4863772999961,190.4863772999961,192.99543910007924,192.99543910007924,192.99543910007924,192.99543910007924,192.99543910007924,65,31,45,47,65,67,4.0,2.409040099941194,195.42178670014255,197.26744150021113,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,6,0,6,0,,,,,,,,,,None,197.26744150021113,197.26744150021113,197.26744150021113,197.26744150021113,197.26744150021113,197.26744150021113,j,0.6681047999300063,197.96662740013562,197.96662740013562,197.96662740013562,197.96662740013562,197.96662740013562,197.96662740013562,198.26511090015993,198.26511090015993,200.11017300002277,200.11017300002277,200.11017300002277,200.11017300002277,200.11017300002277,200.11017300002277,200.11017300002277,200.11017300002277,200.11017300002277,200.11017300002277,200.11017300002277,200.11017300002277,200.11017300002277,200.11017300002277,200.11017300002277,200.11017300002277,200.11017300002277,202.61919180001132,202.61919180001132,202.61919180001132,202.61919180001132,202.61919180001132,75,43,47,43,43,39,6.0,1.5800658001098782,204.2146171000786,205.7618262001779,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,7,0,7,0,,,,,,,,,,None,205.7618262001779,205.7618262001779,205.7618262001779,205.7618262001779,205.7618262001779,205.7618262001779,i,1.1052242000587285,206.89260050002486,206.89260050002486,206.89260050002486,206.89260050002486,206.89260050002486,206.89260050002486,207.17403080011718,207.17403080011718,208.93563170009293,208.93563170009293,208.95238580019213,208.95238580019213,208.95238580019213,208.95238580019213,208.95238580019213,208.95238580019213,208.95238580019213,208.95238580019213,208.95238580019213,208.95238580019213,208.95238580019213,208.95238580019213,208.95238580019213,208.95238580019213,208.95238580019213,211.46169790020213,211.46169790020213,211.46169790020213,211.46169790020213,211.46169790020213,66,36,51,41,51,55,4.0,2.609377200016752,214.0881468001753,215.8001976001542,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
