bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,image_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,34.983798100147396,34.983798100147396,space,11.241416200064123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
,,,,,,,,,46.25367720006034,46.25367720006034,y,40.4130500999745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,0,0,0,0,,,,,,,,,86.68691990012303,None,87.71169210015796,87.71169210015796,87.71169210015796,87.71169210015796,87.71169210015796,87.71169210015796,f,0.6830017999745905,88.4279147000052,88.4279147000052,88.4279147000052,88.4279147000052,88.4279147000052,88.4279147000052,88.71601670002565,88.71601670002565,90.66295330016874,90.66295330016874,90.66295330016874,90.66295330016874,90.66295330016874,90.66295330016874,90.66295330016874,90.66295330016874,90.66295330016874,90.66295330016874,90.66295330016874,90.66295330016874,90.66295330016874,90.66295330016874,90.66295330016874,90.66295330016874,90.66295330016874,93.17005460010841,93.17005460010841,93.17005460010841,93.17005460010841,93.17005460010841,55,33,67,44,33,45,4.0,1.910797799937427,95.13797749998048,97.00980510003865,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,1,0,1,0,,,,,,,,,,None,97.00980510003865,97.00980510003865,97.00980510003865,97.00980510003865,97.00980510003865,97.00980510003865,r,0.35726140020415187,97.39359079999849,97.39359079999849,97.39359079999849,97.39359079999849,97.39359079999849,97.39359079999849,97.69146930007264,97.69146930007264,98.57209650008008,98.57209650008008,98.57209650008008,98.57209650008008,98.57209650008008,98.57209650008008,98.57209650008008,98.57209650008008,98.57209650008008,98.57209650008008,98.57209650008008,98.57209650008008,98.57209650008008,98.57209650008008,98.57209650008008,98.57209650008008,98.57209650008008,101.08143170014955,101.08143170014955,101.08143170014955,101.08143170014955,101.08143170014955,51,32,67,53,51,46,5.0,1.4781214999966323,102.57726339995861,104.27303460007533,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,2,0,2,0,,,,,,,,,,None,104.27303460007533,104.27303460007533,104.27303460007533,104.27303460007533,104.27303460007533,104.27303460007533,i,0.5535091999918222,104.85516270017251,104.85516270017251,104.85516270017251,104.85516270017251,104.85516270017251,104.85516270017251,105.15406700014137,105.15406700014137,107.06534750014544,107.06534750014544,107.06534750014544,107.06534750014544,107.06534750014544,107.06534750014544,107.06534750014544,107.06534750014544,107.06534750014544,107.06534750014544,107.06534750014544,107.06534750014544,107.06534750014544,107.06534750014544,107.06534750014544,107.06534750014544,107.06534750014544,109.57483609998599,109.57483609998599,109.57483609998599,109.57483609998599,109.57483609998599,58,38,71,53,71,53,6.0,1.6612514001317322,111.25363050005399,113.21535019995645,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,3,0,3,0,,,,,,,,,,None,113.21535019995645,113.21535019995645,113.21535019995645,113.21535019995645,113.21535019995645,113.21535019995645,i,0.47306300001218915,113.71508730016649,113.71508730016649,113.71508730016649,113.71508730016649,113.71508730016649,113.71508730016649,114.01318550016731,114.01318550016731,115.2267448999919,115.2267448999919,115.2267448999919,115.2267448999919,115.2267448999919,115.2267448999919,115.2267448999919,115.2267448999919,115.2267448999919,115.2267448999919,115.2267448999919,115.2267448999919,115.2267448999919,115.2267448999919,115.2267448999919,115.2267448999919,115.2267448999919,117.73576369998045,117.73576369998045,117.73576369998045,117.73576369998045,117.73576369998045,48,34,71,48,71,42,6.0,1.5948528000153601,119.34820779995061,121.01087770005688,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,4,0,4,0,,,,,,,,,,None,121.01087770005688,121.01087770005688,121.01087770005688,121.01087770005688,121.01087770005688,121.01087770005688,i,0.6860213000327349,121.72708630003035,121.72708630003035,121.72708630003035,121.72708630003035,121.72708630003035,121.72708630003035,122.02516050008126,122.02516050008126,123.8033829999622,123.8033829999622,123.8033829999622,123.8033829999622,123.8033829999622,123.8033829999622,123.8033829999622,123.8033829999622,123.8033829999622,123.8033829999622,123.8033829999622,123.8033829999622,123.8033829999622,123.8033829999622,123.8033829999622,123.8033829999622,123.8033829999622,126.31225259997882,126.31225259997882,126.31225259997882,126.31225259997882,126.31225259997882,49,30,58,54,58,49,5.0,1.8601561000104994,128.19062450015917,130.16911280015483,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,5,0,5,0,,,,,,,,,,None,130.16911280015483,130.16911280015483,130.16911280015483,130.16911280015483,130.16911280015483,130.16911280015483,j,0.6852216999977827,130.88415440008976,130.88415440008976,130.88415440008976,130.88415440008976,130.88415440008976,130.88415440008976,131.18304560007527,131.18304560007527,133.16102190013044,133.16102190013044,133.16102190013044,133.16102190013044,133.16102190013044,133.16102190013044,133.16102190013044,133.16102190013044,133.16102190013044,133.16102190013044,133.16102190013044,133.16102190013044,133.16102190013044,133.16102190013044,133.16102190013044,133.16102190013044,133.16102190013044,135.6700730000157,135.6700730000157,135.6700730000157,135.6700730000157,135.6700730000157,44,32,65,50,50,57,4.0,1.6779223000630736,137.36558750015683,139.14471510006115,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,6,0,6,0,,,,,,,,,,None,139.14471510006115,139.14471510006115,139.14471510006115,139.14471510006115,139.14471510006115,139.14471510006115,r,0.9982110999990255,140.1756982000079,140.1756982000079,140.1756982000079,140.1756982000079,140.1756982000079,140.1756982000079,140.47446920000948,140.47446920000948,141.75449950015172,141.75449950015172,141.75449950015172,141.75449950015172,141.75449950015172,141.75449950015172,141.75449950015172,141.75449950015172,141.75449950015172,141.75449950015172,141.75449950015172,141.75449950015172,141.75449950015172,141.75449950015172,141.75449950015172,141.75449950015172,141.75449950015172,144.26370380003937,144.26370380003937,144.26370380003937,144.26370380003937,144.26370380003937,37,35,66,44,37,64,3.0,1.1629993000533432,145.44369970005937,147.02315300004557,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,7,0,7,0,,,,,,,,,,None,147.02315300004557,147.02315300004557,147.02315300004557,147.02315300004557,147.02315300004557,147.02315300004557,j,0.41802709992043674,147.4734299001284,147.4734299001284,147.4734299001284,147.4734299001284,147.4734299001284,147.4734299001284,147.7714615999721,147.7714615999721,148.95144800003618,148.95144800003618,148.95144800003618,148.95144800003618,148.95144800003618,148.95144800003618,148.95144800003618,148.95144800003618,148.95144800003618,148.95144800003618,148.95144800003618,148.95144800003618,148.95144800003618,148.95144800003618,148.95144800003618,148.95144800003618,148.95144800003618,151.46032209997065,151.46032209997065,151.46032209997065,151.46032209997065,151.46032209997065,35,41,63,45,45,69,3.0,1.495149000082165,152.97284780000336,154.85184210003354,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,8,0,8,0,,,,,,,,,,None,154.85184210003354,154.85184210003354,154.85184210003354,154.85184210003354,154.85184210003354,154.85184210003354,i,0.3540859001222998,155.2344131001737,155.2344131001737,155.2344131001737,155.2344131001737,155.2344131001737,155.2344131001737,155.53346970002167,155.53346970002167,156.76321540004574,156.76321540004574,156.76321540004574,156.76321540004574,156.76321540004574,156.76321540004574,156.76321540004574,156.76321540004574,156.76321540004574,156.76321540004574,156.76321540004574,156.76321540004574,156.76321540004574,156.76321540004574,156.76321540004574,156.76321540004574,156.76321540004574,159.27237410005182,159.27237410005182,159.27237410005182,159.27237410005182,159.27237410005182,40,31,78,52,78,53,5.0,2.1431274998467416,161.43304050015286,163.39510730002075,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
