bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,docs.stopped,image_2.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,47.15064521699969,47.15064521699969,space,19.565804773999844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,f,19,2023-04-03_19h26.53.083,RL,2022.2.4,60.20919081170494,
,,,,,,,,,66.76145072799409,66.76145072799409,y,15.672006458997203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,f,19,2023-04-03_19h26.53.083,RL,2022.2.4,60.20919081170494,
1,0,0,0,0,,,,,,,,,82.45386478599539,None,83.48076610399585,83.48076610399585,83.48076610399585,83.48076610399585,83.48076610399585,83.48076610399585,f,0.27839826000126777,83.82744338099292,83.82744338099292,83.82744338099292,83.82744338099292,83.82744338099292,83.82744338099292,84.08116087499366,84.08116087499366,85.82889318399975,85.82889318399975,85.88876480199542,85.88876480199542,85.88876480199542,85.88876480199542,85.88876480199542,85.88876480199542,85.88876480199542,85.88876480199542,85.88876480199542,85.88876480199542,85.88876480199542,85.88876480199542,85.88876480199542,85.88876480199542,85.88876480199542,88.3990687399928,88.3990687399928,88.3990687399928,88.3990687399928,88.3990687399928,46,30,72,48,30,41,5.0,2.6372877019966836,91.04869627899461,92.656805669998,,,,,,,147,f,19,2023-04-03_19h26.53.083,RL,2022.2.4,60.20919081170494,
1,1,0,1,0,,,,,,,,,,None,92.656805669998,92.656805669998,92.656805669998,92.656805669998,92.656805669998,92.656805669998,i,0.3389256679947721,93.04209874799562,93.04209874799562,93.04209874799562,93.04209874799562,93.04209874799562,93.04209874799562,93.3125650189977,93.3125650189977,94.61529627199343,94.61529627199343,94.65706936199422,94.65706936199422,94.65706936199422,94.65706936199422,94.65706936199422,94.65706936199422,94.65706936199422,94.65706936199422,94.65706936199422,94.65706936199422,94.65706936199422,94.65706936199422,94.65706936199422,94.65706936199422,94.65706936199422,97.15278512599616,97.15278512599616,97.15278512599616,97.15278512599616,97.15278512599616,38,36,65,46,65,52,6.0,1.7816558019985678,98.95079156599968,100.92609958699904,,,,,,,147,f,19,2023-04-03_19h26.53.083,RL,2022.2.4,60.20919081170494,
1,2,0,2,0,,,,,,,,,,None,100.92609958699904,100.92609958699904,100.92609958699904,100.92609958699904,100.92609958699904,100.92609958699904,r,0.2907653560032486,101.2704987679972,101.2704987679972,101.2704987679972,101.2704987679972,101.2704987679972,101.2704987679972,101.53765471899533,101.53765471899533,103.50376011199842,103.50376011199842,103.54623332099436,103.54623332099436,103.54623332099436,103.54623332099436,103.54623332099436,103.54623332099436,103.54623332099436,103.54623332099436,103.54623332099436,103.54623332099436,103.54623332099436,103.54623332099436,103.54623332099436,103.54623332099436,103.54623332099436,106.04496185199969,106.04496185199969,106.04496185199969,106.04496185199969,106.04496185199969,29,32,77,47,29,38,5.0,1.9990055989983375,108.05649294099567,109.86320541999885,,,,,,,147,f,19,2023-04-03_19h26.53.083,RL,2022.2.4,60.20919081170494,
1,3,0,3,0,,,,,,,,,,None,109.86320541999885,109.86320541999885,109.86320541999885,109.86320541999885,109.86320541999885,109.86320541999885,i,0.32716549699398456,110.25224839199655,110.25224839199655,110.25224839199655,110.25224839199655,110.25224839199655,110.25224839199655,110.50868914299645,110.50868914299645,111.59396576199651,111.59396576199651,111.65325296399533,111.65325296399533,111.65325296399533,111.65325296399533,111.65325296399533,111.65325296399533,111.65325296399533,111.65325296399533,111.65325296399533,111.65325296399533,111.65325296399533,111.65325296399533,111.65325296399533,111.65325296399533,111.65325296399533,114.14671078399988,114.14671078399988,114.14671078399988,114.14671078399988,114.14671078399988,33,38,70,49,70,47,6.0,2.328337115002796,116.48872681699868,118.31851684799767,,,,,,,147,f,19,2023-04-03_19h26.53.083,RL,2022.2.4,60.20919081170494,
1,4,0,4,0,,,,,,,,,,None,118.31851684799767,118.31851684799767,118.31851684799767,118.31851684799767,118.31851684799767,118.31851684799767,i,0.37754066699562827,118.73882862699975,118.73882862699975,118.73882862699975,118.73882862699975,118.73882862699975,118.73882862699975,119.0097708989997,119.0097708989997,120.14665880299435,120.14665880299435,120.18525075499929,120.18525075499929,120.18525075499929,120.18525075499929,120.18525075499929,120.18525075499929,120.18525075499929,120.18525075499929,120.18525075499929,120.18525075499929,120.18525075499929,120.18525075499929,120.18525075499929,120.18525075499929,120.18525075499929,122.69329038999422,122.69329038999422,122.69329038999422,122.69329038999422,122.69329038999422,32,41,62,54,62,56,6.0,1.318367458996363,124.02567450999777,125.60484528300003,,,,,,,147,f,19,2023-04-03_19h26.53.083,RL,2022.2.4,60.20919081170494,
1,5,0,5,0,,,,,,,,,,None,125.60484528300003,125.60484528300003,125.60484528300003,125.60484528300003,125.60484528300003,125.60484528300003,i,0.6441713330059429,126.29271231699386,126.29271231699386,126.29271231699386,126.29271231699386,126.29271231699386,126.29271231699386,126.5620200389967,126.5620200389967,128.24582964,128.24582964,128.28429227599554,128.28429227599554,128.28429227599554,128.28429227599554,128.28429227599554,128.28429227599554,128.28429227599554,128.28429227599554,128.28429227599554,128.28429227599554,128.28429227599554,128.28429227599554,128.28429227599554,128.28429227599554,128.28429227599554,130.78385918999993,130.78385918999993,130.78385918999993,130.78385918999993,130.78385918999993,39,41,78,50,78,49,7.0,1.416506629997457,132.21328787099628,134.0926373859984,,,,,,,147,f,19,2023-04-03_19h26.53.083,RL,2022.2.4,60.20919081170494,
1,6,0,6,0,,,,,,,,,,None,134.0926373859984,134.0926373859984,134.0926373859984,134.0926373859984,134.0926373859984,134.0926373859984,i,0.3251718239989714,134.46661156099435,134.46661156099435,134.46661156099435,134.46661156099435,134.46661156099435,134.46661156099435,134.74993962399458,134.74993962399458,136.16564233799727,136.16564233799727,136.1911724149977,136.1911724149977,136.1911724149977,136.1911724149977,136.1911724149977,136.1911724149977,136.1911724149977,136.1911724149977,136.1911724149977,136.1911724149977,136.1911724149977,136.1911724149977,136.1911724149977,136.1911724149977,136.1911724149977,138.70113624399528,138.70113624399528,138.70113624399528,138.70113624399528,138.70113624399528,38,32,68,43,68,48,7.0,2.1395635879962356,140.85856917799538,142.3951580569992,,,,,,,147,f,19,2023-04-03_19h26.53.083,RL,2022.2.4,60.20919081170494,
1,7,0,7,0,,,,,,,,,,None,142.3951580569992,142.3951580569992,142.3951580569992,142.3951580569992,142.3951580569992,142.3951580569992,i,0.36133006200543605,142.80549900899496,142.80549900899496,142.80549900899496,142.80549900899496,142.80549900899496,142.80549900899496,143.06997230899287,143.06997230899287,144.3345871049969,144.3345871049969,144.37507954299508,144.37507954299508,144.37507954299508,144.37507954299508,144.37507954299508,144.37507954299508,144.37507954299508,144.37507954299508,144.37507954299508,144.37507954299508,144.37507954299508,144.37507954299508,144.37507954299508,144.37507954299508,144.37507954299508,146.8747577529939,146.8747577529939,146.8747577529939,146.8747577529939,146.8747577529939,32,35,75,45,75,55,7.0,1.9515233769998304,148.84167373299715,150.61662833899754,,,,,,,147,f,19,2023-04-03_19h26.53.083,RL,2022.2.4,60.20919081170494,
