bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,docs.stopped,image_2.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,27.030220283952076,27.030220283952076,space,9.78126354701817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
,,,,,,,,,36.9060223599663,36.9060223599663,space,16.728431362018455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,17,0,17,0,,,,,,,,,,None,199.81260532396846,199.81260532396846,199.81260532396846,199.81260532396846,199.81260532396846,199.81260532396846,i,0.6789155810256489,200.5675802329788,200.5675802329788,200.5675802329788,200.5675802329788,200.5675802329788,200.5675802329788,200.821954162966,200.821954162966,202.68468451796798,202.68468451796798,202.71583753399318,202.71583753399318,202.71583753399318,202.71583753399318,202.71583753399318,202.71583753399318,202.71583753399318,202.71583753399318,202.71583753399318,202.71583753399318,202.71583753399318,202.71583753399318,202.71583753399318,202.71583753399318,202.71583753399318,205.26297673297813,205.26297673297813,205.26297673297813,205.26297673297813,205.26297673297813,63,24,75,48,75,27,7.0,1.4230559330317192,206.71542985597625,208.539168941963,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,18,0,18,0,,,,,,,,,,None,208.539168941963,208.539168941963,208.539168941963,208.539168941963,208.539168941963,208.539168941963,i,0.28076779801631346,208.91884644899983,208.91884644899983,208.91884644899983,208.91884644899983,208.91884644899983,208.91884644899983,209.25260746100685,209.25260746100685,210.9123556590057,210.9123556590057,210.87105177296326,210.87105177296326,210.87105177296326,210.87105177296326,210.87105177296326,210.87105177296326,210.9123556590057,210.9123556590057,210.9123556590057,210.9123556590057,210.9123556590057,210.9123556590057,210.9123556590057,210.9123556590057,210.9123556590057,213.40542254695902,213.40542254695902,213.40542254695902,213.40542254695902,213.40542254695902,60,17,72,45,72,49,7.0,1.471679784997832,214.92213458399056,216.80004922498483,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,19,0,19,0,,,,,,,,,,None,216.80004922498483,216.80004922498483,216.80004922498483,216.80004922498483,216.80004922498483,216.80004922498483,j,0.2861807020381093,217.2310718059889,217.2310718059889,217.2310718059889,217.2310718059889,217.2310718059889,217.2310718059889,217.4750555329956,217.4750555329956,219.08227747597266,219.08227747597266,219.1211534589529,219.1211534589529,219.1211534589529,219.1211534589529,219.1211534589529,219.1211534589529,219.1211534589529,219.1211534589529,219.1211534589529,219.1211534589529,219.1211534589529,219.1211534589529,219.1211534589529,219.1211534589529,219.1211534589529,221.62446565396385,221.62446565396385,221.62446565396385,221.62446565396385,221.62446565396385,57,17,66,38,38,54,6.0,1.6122745979810134,223.29203391296323,225.32520138297696,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,20,0,20,0,,,,,,,,,,None,225.32520138297696,225.32520138297696,225.32520138297696,225.32520138297696,225.32520138297696,225.32520138297696,i,0.49580959300510585,225.90221434499836,225.90221434499836,225.90221434499836,225.90221434499836,225.90221434499836,225.90221434499836,226.16637727298075,226.16637727298075,227.15851788496366,227.15851788496366,227.25734687194927,227.25734687194927,227.25734687194927,227.25734687194927,227.25734687194927,227.25734687194927,227.25734687194927,227.25734687194927,227.25734687194927,227.25734687194927,227.25734687194927,227.25734687194927,227.25734687194927,227.25734687194927,227.25734687194927,229.7749444329529,229.7749444329529,229.7749444329529,229.7749444329529,229.7749444329529,66,16,68,54,68,64,7.0,1.5682326740352437,231.3655307519948,232.97892543900525,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,21,0,21,0,,,,,,,,,,None,232.97892543900525,232.97892543900525,232.97892543900525,232.97892543900525,232.97892543900525,232.97892543900525,f,0.3669251030078158,233.42493747995468,233.42493747995468,233.42493747995468,233.42493747995468,233.42493747995468,233.42493747995468,233.68960172799416,233.68960172799416,235.42066821397748,235.42066821397748,235.4657642020029,235.4657642020029,235.4657642020029,235.4657642020029,235.4657642020029,235.4657642020029,235.4657642020029,235.4657642020029,235.4657642020029,235.4657642020029,235.4657642020029,235.4657642020029,235.4657642020029,235.4657642020029,235.4657642020029,237.9963991699624,237.9963991699624,237.9963991699624,237.9963991699624,237.9963991699624,60,16,68,52,16,36,7.0,1.131456304981839,239.17110899300314,240.9151907149935,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,22,0,22,0,,,,,,,,,,None,240.9151907149935,240.9151907149935,240.9151907149935,240.9151907149935,240.9151907149935,240.9151907149935,j,0.4297627460327931,241.44174604996806,241.44174604996806,241.44174604996806,241.44174604996806,241.44174604996806,241.44174604996806,241.72467270097695,241.72467270097695,243.6473754409817,243.6473754409817,243.6473754409817,243.6473754409817,243.6473754409817,243.6473754409817,243.6473754409817,243.6473754409817,243.6473754409817,243.6473754409817,243.6473754409817,243.6473754409817,243.6473754409817,243.6473754409817,243.6473754409817,243.6473754409817,243.6473754409817,246.16580956295365,246.16580956295365,246.16580956295365,246.16580956295365,246.16580956295365,75,15,75,46,46,57,7.0,0.6201150889974087,246.81729888595873,248.4579822109663,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,23,0,23,0,,,,,,,,,,None,248.4579822109663,248.4579822109663,248.4579822109663,248.4579822109663,248.4579822109663,248.4579822109663,r,0.5737662690225989,249.1242837169557,249.1242837169557,249.1242837169557,249.1242837169557,249.1242837169557,249.1242837169557,249.39807170495624,249.39807170495624,251.1081033249502,251.1081033249502,251.1081033249502,251.1081033249502,251.1081033249502,251.1081033249502,251.1081033249502,251.1081033249502,251.1081033249502,251.1081033249502,251.1081033249502,251.1081033249502,251.1081033249502,251.1081033249502,251.1081033249502,251.1081033249502,251.1081033249502,253.63351276598405,253.63351276598405,253.63351276598405,253.63351276598405,253.63351276598405,73,17,69,51,73,51,7.0,1.5087945709819905,255.18487745599123,256.807100437989,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,24,0,24,0,,,,,,,,,,None,256.807100437989,256.807100437989,256.807100437989,256.807100437989,256.807100437989,256.807100437989,j,0.5091955799725838,257.4378058659495,257.4378058659495,257.4378058659495,257.4378058659495,257.4378058659495,257.4378058659495,257.6626773799653,257.6626773799653,259.4158082539798,259.4158082539798,259.51653079199605,259.51653079199605,259.51653079199605,259.51653079199605,259.51653079199605,259.51653079199605,259.51653079199605,259.51653079199605,259.51653079199605,259.51653079199605,259.51653079199605,259.51653079199605,259.51653079199605,259.51653079199605,259.51653079199605,262.0062327689957,262.0062327689957,262.0062327689957,262.0062327689957,262.0062327689957,68,19,66,64,64,59,7.0,1.057794795022346,263.1161771079642,264.9794534009998,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,25,0,25,0,,,,,,,,,,None,264.9794534009998,264.9794534009998,264.9794534009998,264.9794534009998,264.9794534009998,264.9794534009998,f,0.22311454900773242,265.30025997100165,265.30025997100165,265.30025997100165,265.30025997100165,265.30025997100165,265.30025997100165,265.57181002100697,265.57181002100697,266.9004651779542,266.9004651779542,266.94366347295,266.94366347295,266.94366347295,266.94366347295,266.94366347295,266.94366347295,266.94366347295,266.94366347295,266.94366347295,266.94366347295,266.94366347295,266.94366347295,266.94366347295,266.94366347295,266.94366347295,269.4674374239985,269.4674374239985,269.4674374239985,269.4674374239985,269.4674374239985,68,20,69,55,20,65,7.0,0.829363539989572,270.34603768296074,272.3044433769537,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,26,0,26,0,,,,,,,,,,None,272.3044433769537,272.3044433769537,272.3044433769537,272.3044433769537,272.3044433769537,272.3044433769537,i,0.45324532804079354,272.8262106459588,272.8262106459588,272.8262106459588,272.8262106459588,272.8262106459588,272.8262106459588,273.1062300729682,273.1062300729682,274.40438607899705,274.40438607899705,274.4662785019609,274.4662785019609,274.4662785019609,274.4662785019609,274.4662785019609,274.4662785019609,274.4662785019609,274.4662785019609,274.4662785019609,274.4662785019609,274.4662785019609,274.4662785019609,274.4662785019609,274.4662785019609,274.4662785019609,276.9800391829922,276.9800391829922,276.9800391829922,276.9800391829922,276.9800391829922,62,27,70,52,70,63,7.0,1.4158005180070177,278.43029441399267,280.3210533919628,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
