bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,image_2.started,image_2.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,rest_response.rt,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,659.2417981000035,None,space,45.901920100004645,659.2417981000035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
,,,,,,,,,,,705.1752571999968,None,space,72.21780389999913,705.1752571999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,0,0,0,0,,,,,,,,,,,,,777.4271193000022,None,None,None,None,None,None,778.4483059999984,None,778.4483059999984,None,778.4483059999984,None,778.4483059999984,None,f,0.7324482000040007,778.4483059999984,None,778.4483059999984,None,779.2222895000014,None,779.2222895000014,None,779.2222895000014,None,779.2222895000014,None,779.2222895000014,None,779.2222895000014,None,779.5175514000002,None,779.5175514000002,None,781.3188912999976,None,781.3188912999976,None,781.3188912999976,None,781.3188912999976,None,781.3188912999976,None,781.3188912999976,None,781.3188912999976,None,781.3188912999976,None,781.3188912999976,None,70,42,27,41,42,40,783.8465424000024,None,5.0,4.336889599995629,783.8465424000024,None,783.8465424000024,None,783.8465424000024,None,783.8465424000024,None,None,None,788.2343965999971,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,1,0,1,0,,,,,,,,,,,,,,,None,None,None,None,None,789.9426887000009,None,789.9426887000009,None,789.9426887000009,None,789.9426887000009,None,j,0.9184119999990799,789.9426887000009,None,789.9426887000009,None,790.9026623000027,None,790.9026623000027,None,790.9026623000027,None,790.9026623000027,None,790.9026623000027,None,790.9026623000027,None,791.1922773999977,792.1927326000005,791.1922773999977,792.1927326000005,792.2482571,None,792.2482571,None,792.2482571,None,792.2482571,None,792.2482571,None,792.2482571,None,792.2482571,None,792.2482571,None,792.2482571,None,70,45,35,34,34,62,794.7422991999993,None,2.0,2.54155890000402,794.7422991999993,None,794.7422991999993,None,794.7422991999993,None,794.7422991999993,None,None,None,797.2968860999972,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,2,0,2,0,,,,,,,,,,,,,,,None,None,None,None,None,798.8999034000008,None,798.8999034000008,None,798.8999034000008,None,798.8999034000008,None,None,,798.8999034000008,None,798.8999034000008,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,69,51,36,37,0,**,None,None,None,None,None,None,None,None,None,None,None,None,800.4697796999972,None,804.9847636999984,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,3,0,3,0,,,,,,,,,,,,,,,None,None,None,None,None,806.7037332000036,None,806.7037332000036,None,806.7037332000036,None,806.7037332000036,None,i,0.8375146999969729,806.7037332000036,None,806.7037332000036,None,807.5948942000032,None,807.5948942000032,None,807.5948942000032,None,807.5948942000032,None,807.5948942000032,None,807.5948942000032,None,807.8875429000036,808.7541389999969,807.8875429000036,808.7541389999969,808.7946328000035,None,808.7946328000035,None,808.7946328000035,None,808.7946328000035,None,808.7946328000035,None,808.7946328000035,None,808.7946328000035,None,808.7946328000035,None,808.7946328000035,None,66,52,30,44,30,71,811.3007246999987,None,1.0,2.1735814999992726,811.3007246999987,None,811.3007246999987,None,811.3007246999987,None,811.3007246999987,None,None,None,813.5003771999982,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,4,0,4,0,,,,,,,,,,,,,,,None,None,None,None,None,815.0634322999977,None,815.0634322999977,None,815.0634322999977,None,815.0634322999977,None,r,0.7688944999972591,815.0634322999977,None,815.0634322999977,None,815.8813706000001,None,815.8813706000001,None,815.8813706000001,None,815.8813706000001,None,815.8813706000001,None,815.8813706000001,None,816.1760772999987,None,816.1760772999987,None,818.0242464000039,None,818.0242464000039,None,818.0242464000039,None,818.0242464000039,None,818.0242464000039,None,818.0242464000039,None,818.0242464000039,None,818.0242464000039,None,818.0242464000039,None,69,42,36,42,69,65,820.5420706000004,None,5.0,2.4215377000000444,820.5420706000004,None,820.5420706000004,None,820.5420706000004,None,820.5420706000004,None,None,None,822.9806198000006,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,5,0,5,0,,,,,,,,,,,,,,,None,None,None,None,None,824.6507358000017,None,824.6507358000017,None,824.6507358000017,None,824.6507358000017,None,f,0.7016603000010946,824.6507358000017,None,824.6507358000017,None,825.3984576000003,None,825.3984576000003,None,825.3984576000003,None,825.3984576000003,None,825.3984576000003,None,825.3984576000003,None,825.6996174000014,None,825.6996174000014,None,827.6483164000019,None,827.6483164000019,None,827.6483164000019,None,827.6483164000019,None,827.6483164000019,None,827.6483164000019,None,827.6483164000019,None,827.6483164000019,None,827.6483164000019,None,64,46,40,42,46,72,830.1665044000038,None,3.0,1.6045306000014534,830.1665044000038,None,830.1665044000038,None,830.1665044000038,None,830.1665044000038,None,None,None,831.8072885000001,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,6,0,6,0,,,,,,,,,,,,,,,None,None,None,None,None,833.572734100002,None,833.572734100002,None,833.572734100002,None,833.572734100002,None,r,0.7494746000011219,833.572734100002,None,833.572734100002,None,834.362105500004,None,834.362105500004,None,834.362105500004,None,834.362105500004,None,834.362105500004,None,834.362105500004,None,834.6554421999972,836.1734483999971,834.6554421999972,836.1734483999971,836.2026857000019,None,836.2026857000019,None,836.2026857000019,None,836.2026857000019,None,836.2026857000019,None,836.2026857000019,None,836.2026857000019,None,836.2026857000019,None,836.2026857000019,None,64,52,41,33,64,72,838.7135435000018,None,2.0,2.134889100001601,838.7135435000018,None,838.7135435000018,None,838.7135435000018,None,838.7135435000018,None,None,None,840.8609773999997,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,7,0,7,0,,,,,,,,,,,,,,,None,None,None,None,None,842.646536500004,None,842.646536500004,None,842.646536500004,None,842.646536500004,None,i,0.6857946000018273,842.646536500004,None,842.646536500004,None,843.3872065000032,None,843.3872065000032,None,843.3872065000032,None,843.3872065000032,None,843.3872065000032,None,843.3872065000032,None,843.6791424000039,None,843.6791424000039,None,845.4149133000028,None,845.4149133000028,None,845.4149133000028,None,845.4149133000028,None,845.4149133000028,None,845.4149133000028,None,845.4149133000028,None,845.4149133000028,None,845.4149133000028,None,65,43,52,40,52,61,847.9320092999988,None,1.0,2.01745099999971,847.9320092999988,None,847.9320092999988,None,847.9320092999988,None,847.9320092999988,None,None,None,849.9666116000008,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,8,0,8,0,,,,,,,,,,,,,,,None,None,None,None,None,851.7195699000004,None,851.7195699000004,None,851.7195699000004,None,851.7195699000004,None,j,0.8224234000008437,851.7195699000004,None,851.7195699000004,None,852.5893416000035,None,852.5893416000035,None,852.5893416000035,None,852.5893416000035,None,852.5893416000035,None,852.5893416000035,None,852.8850097000031,None,852.8850097000031,None,854.5802719999992,None,854.5802719999992,None,854.5802719999992,None,854.5802719999992,None,854.5802719999992,None,854.5802719999992,None,854.5802719999992,None,854.5802719999992,None,854.5802719999992,None,57,45,48,41,41,63,857.0987916000013,None,1.0,1.6905449999976554,857.0987916000013,None,857.0987916000013,None,857.0987916000013,None,857.0987916000013,None,None,None,858.8056819999983,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,9,0,9,0,,,,,,,,,,,,,,,None,None,None,None,None,860.7468271000034,None,860.7468271000034,None,860.7468271000034,None,860.7468271000034,None,j,0.6354921000020113,860.7468271000034,None,860.7468271000034,None,861.4296134000033,None,861.4296134000033,None,861.4296134000033,None,861.4296134000033,None,861.4296134000033,None,861.4296134000033,None,861.7244331999973,862.8915925999972,861.7244331999973,862.8915925999972,862.9164234999989,None,862.9164234999989,None,862.9164234999989,None,862.9164234999989,None,862.9164234999989,None,862.9164234999989,None,862.9164234999989,None,862.9164234999989,None,862.9164234999989,None,53,38,50,31,31,68,865.4495710999981,None,1.0,1.4538651000038953,865.4495710999981,None,865.4495710999981,None,865.4495710999981,None,865.4495710999981,None,None,None,866.9208719000017,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,10,0,10,0,,,,,,,,,,,,,,,None,None,None,None,None,868.9376469999988,None,868.9376469999988,None,868.9376469999988,None,868.9376469999988,None,i,0.6751183000014862,868.9376469999988,None,868.9376469999988,None,869.648480099997,None,869.648480099997,None,869.648480099997,None,869.648480099997,None,869.648480099997,None,869.648480099997,None,869.9469883999991,None,869.9469883999991,None,871.5402172000031,None,871.5402172000031,None,871.5402172000031,None,871.5402172000031,None,871.5402172000031,None,871.5402172000031,None,871.5402172000031,None,871.5402172000031,None,871.5402172000031,None,64,39,53,37,53,64,874.0710911999995,None,2.0,2.219492399999581,874.0710911999995,None,874.0710911999995,None,874.0710911999995,None,874.0710911999995,None,None,None,876.3010498000003,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,11,0,11,0,,,,,,,,,,,,,,,None,None,None,None,None,878.1383649999989,None,878.1383649999989,None,878.1383649999989,None,878.1383649999989,None,f,0.6244865999979083,878.1383649999989,None,878.1383649999989,None,878.8251520999984,None,878.8251520999984,None,878.8251520999984,None,878.8251520999984,None,878.8251520999984,None,878.8251520999984,None,879.1196601999982,None,879.1196601999982,None,880.2433032999979,None,880.2433032999979,None,880.2433032999979,None,880.2433032999979,None,880.2433032999979,None,880.2433032999979,None,880.2433032999979,None,880.2433032999979,None,880.2433032999979,None,63,44,56,38,44,69,882.7690187999979,None,2.0,1.3371689999985392,882.7690187999979,None,882.7690187999979,None,882.7690187999979,None,882.7690187999979,None,None,None,884.1227647999985,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,12,0,12,0,,,,,,,,,,,,,,,None,None,None,None,None,885.8601334999985,None,885.8601334999985,None,885.8601334999985,None,885.8601334999985,None,r,0.762481800004025,885.8601334999985,None,885.8601334999985,None,886.655030300004,None,886.655030300004,None,886.655030300004,None,886.655030300004,None,886.655030300004,None,886.655030300004,None,886.9420737999972,888.3094102000032,886.9420737999972,888.3094102000032,888.3444604999968,None,888.3444604999968,None,888.3444604999968,None,888.3444604999968,None,888.3444604999968,None,888.3444604999968,None,888.3444604999968,None,888.3444604999968,None,888.3444604999968,None,62,42,53,47,62,48,890.8730166000023,None,6.0,1.0051584000029834,890.8730166000023,None,890.8730166000023,None,890.8730166000023,None,890.8730166000023,None,None,None,891.8953438000026,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,13,0,13,0,,,,,,,,,,,,,,,None,None,None,None,None,893.6167189999978,None,893.6167189999978,None,893.6167189999978,None,893.6167189999978,None,r,0.6258902000045055,893.6167189999978,None,893.6167189999978,None,894.2900833000022,None,894.2900833000022,None,894.2900833000022,None,894.2900833000022,None,894.2900833000022,None,894.2900833000022,None,894.5806212000025,896.0314025999978,894.5806212000025,896.0314025999978,896.0636483999988,None,896.0636483999988,None,896.0636483999988,None,896.0636483999988,None,896.0636483999988,None,896.0636483999988,None,896.0636483999988,None,896.0636483999988,None,896.0636483999988,None,59,30,50,39,59,62,898.5824262000024,None,5.0,1.5883188000007067,898.5824262000024,None,898.5824262000024,None,898.5824262000024,None,898.5824262000024,None,None,None,900.1857793000017,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,14,0,14,0,,,,,,,,,,,,,,,None,None,None,None,None,902.0558831000017,None,902.0558831000017,None,902.0558831000017,None,902.0558831000017,None,r,0.7467883000063011,902.0558831000017,None,902.0558831000017,None,902.838391199999,None,902.838391199999,None,902.838391199999,None,902.838391199999,None,902.838391199999,None,902.838391199999,None,903.1365204000031,None,903.1365204000031,None,904.0592923000004,None,904.0592923000004,None,904.0592923000004,None,904.0592923000004,None,904.0592923000004,None,904.0592923000004,None,904.0592923000004,None,904.0592923000004,None,904.0592923000004,None,69,34,53,45,69,68,906.5779906000025,None,7.0,1.4965044999989914,906.5779906000025,None,906.5779906000025,None,906.5779906000025,None,906.5779906000025,None,None,None,908.0896536,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,15,0,15,0,,,,,,,,,,,,,,,None,None,None,None,None,909.9426718000032,None,909.9426718000032,None,909.9426718000032,None,909.9426718000032,None,r,0.7800872000007075,909.9426718000032,None,909.9426718000032,None,910.7692584999968,None,910.7692584999968,None,910.7692584999968,None,910.7692584999968,None,910.7692584999968,None,910.7692584999968,None,911.0586666000017,None,911.0586666000017,None,912.0161308000024,None,912.0161308000024,None,912.0161308000024,None,912.0161308000024,None,912.0161308000024,None,912.0161308000024,None,912.0161308000024,None,912.0161308000024,None,912.0161308000024,None,68,32,48,49,68,59,914.5364704000021,None,7.0,0.8104881000035675,914.5364704000021,None,914.5364704000021,None,914.5364704000021,None,914.5364704000021,None,None,None,915.3614225999991,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,16,0,16,0,,,,,,,,,,,,,,,None,None,None,None,None,917.2205493000001,None,917.2205493000001,None,917.2205493000001,None,917.2205493000001,None,r,0.732385899995279,917.2205493000001,None,917.2205493000001,None,918.0052769000031,None,918.0052769000031,None,918.0052769000031,None,918.0052769000031,None,918.0052769000031,None,918.0052769000031,None,918.297132300002,920.1983697000032,918.297132300002,920.1983697000032,920.2349939999986,None,920.2349939999986,None,920.2349939999986,None,920.2349939999986,None,920.2349939999986,None,920.2349939999986,None,920.2349939999986,None,920.2349939999986,None,920.2349939999986,None,58,35,49,54,58,66,922.7495271000007,None,4.0,1.2144518999994034,922.7495271000007,None,922.7495271000007,None,922.7495271000007,None,922.7495271000007,None,None,None,923.9864079000035,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,17,0,17,0,,,,,,,,,,,,,,,None,None,None,None,None,925.6852221000008,None,925.6852221000008,None,925.6852221000008,None,925.6852221000008,None,f,0.5976530999978422,925.6852221000008,None,925.6852221000008,None,926.332006800003,None,926.332006800003,None,926.332006800003,None,926.332006800003,None,926.332006800003,None,926.332006800003,None,926.6196549000015,None,926.6196549000015,None,927.8166003000006,None,927.8166003000006,None,927.8166003000006,None,927.8166003000006,None,927.8166003000006,None,927.8166003000006,None,927.8166003000006,None,927.8166003000006,None,927.8166003000006,None,52,37,54,51,37,36,930.3318542999987,None,5.0,1.676617699995404,930.3318542999987,None,930.3318542999987,None,930.3318542999987,None,930.3318542999987,None,None,None,932.0380680000017,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
1,18,0,18,0,,,,,,,,,,,,,,,None,None,None,None,None,933.862627399998,None,933.862627399998,None,933.862627399998,None,933.862627399998,None,r,0.8003416999999899,933.862627399998,None,933.862627399998,None,934.7074470000007,None,934.7074470000007,None,934.7074470000007,None,934.7074470000007,None,934.7074470000007,None,934.7074470000007,None,935.0087819999972,None,935.0087819999972,None,936.0653248000017,None,936.0653248000017,None,936.0653248000017,None,936.0653248000017,None,936.0653248000017,None,936.0653248000017,None,936.0653248000017,None,936.0653248000017,None,936.0653248000017,None,60,29,52,57,60,50,938.5825066999969,None,7.0,0.933575800001563,938.5825066999969,None,938.5825066999969,None,938.5825066999969,None,938.5825066999969,None,None,None,939.5326523999975,None,,,,,,,,110,M,22,2022_Nov_25_1705,RL,2021.2.3,59.907143927732164,
