bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,image_2.started,image_2.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,rest_response.rt,image.started,image.stopped,key_resp.keys,key_resp.started,key_resp.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,22.54486110014841,None,space,24.330032999860123,22.54486110014841,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,f,1,2022_Dec_11_1356,RL,2021.2.3,59.99750411276244,
,,,,,,,,,,,46.90638449997641,None,space,4.558513500029221,46.90638449997641,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,f,1,2022_Dec_11_1356,RL,2021.2.3,59.99750411276244,
1,0,0,0,0,,,,,,,,,,,,,51.492974600056186,None,None,None,None,None,None,52.513048600172624,None,52.513048600172624,None,52.513048600172624,None,52.513048600172624,None,r,0.6418606999795884,52.513048600172624,None,52.513048600172624,None,53.21138980006799,None,53.21138980006799,None,53.21138980006799,None,53.21138980006799,None,53.21138980006799,None,53.21138980006799,None,53.50893380003981,None,53.50893380003981,None,55.534239900065586,None,55.534239900065586,None,55.534239900065586,None,55.534239900065586,None,55.534239900065586,None,55.534239900065586,None,55.534239900065586,None,55.534239900065586,None,55.534239900065586,None,35,46,65,48,35,44,58.04884360008873,None,3.0,2.656433900119737,58.04884360008873,None,58.04884360008873,None,58.04884360008873,None,58.04884360008873,None,None,None,60.75028590019792,None,,,,,,,112,f,1,2022_Dec_11_1356,RL,2021.2.3,59.99750411276244,
1,1,0,1,0,,,,,,,,,,,,,,,None,None,None,None,None,62.723937000148,None,62.723937000148,None,62.723937000148,None,62.723937000148,None,f,0.9311957999598235,62.723937000148,None,62.723937000148,None,63.698123400099576,None,63.698123400099576,None,63.698123400099576,None,63.698123400099576,None,63.698123400099576,None,63.698123400099576,None,63.9828598999884,65.3003363001626,63.9828598999884,65.3003363001626,65.32896780013107,None,65.32896780013107,None,65.32896780013107,None,65.32896780013107,None,65.32896780013107,None,65.32896780013107,None,65.32896780013107,None,65.32896780013107,None,65.32896780013107,None,41,40,75,42,40,51,67.84374619997106,None,3.0,1.6940776000265032,67.84374619997106,None,67.84374619997106,None,67.84374619997106,None,67.84374619997106,None,None,None,69.55289360019378,None,,,,,,,112,f,1,2022_Dec_11_1356,RL,2021.2.3,59.99750411276244,
1,2,0,2,0,,,,,,,,,,,,,,,None,None,None,None,None,71.17095410008915,None,71.17095410008915,None,71.17095410008915,None,71.17095410008915,None,None,,71.17095410008915,None,71.17095410008915,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,40,46,78,44,0,**,None,None,None,None,None,None,None,None,None,None,None,None,72.72021860000677,None,77.22490690019913,None,,,,,,,112,f,1,2022_Dec_11_1356,RL,2021.2.3,59.99750411276244,
1,3,0,3,0,,,,,,,,,,,,,,,None,None,None,None,None,78.79293970018625,None,78.79293970018625,None,78.79293970018625,None,78.79293970018625,None,i,0.7922292000148445,78.79293970018625,None,78.79293970018625,None,79.6245721001178,None,79.6245721001178,None,79.6245721001178,None,79.6245721001178,None,79.6245721001178,None,79.6245721001178,None,79.9105930000078,81.44476189999841,79.9105930000078,81.44476189999841,81.4770161001943,None,81.4770161001943,None,81.4770161001943,None,81.4770161001943,None,81.4770161001943,None,81.4770161001943,None,81.4770161001943,None,81.4770161001943,None,81.4770161001943,None,44,51,78,55,78,62,83.98872140003368,None,5.0,1.8437260000500828,83.98872140003368,None,83.98872140003368,None,83.98872140003368,None,83.98872140003368,None,None,None,85.84942460013554,None,,,,,,,112,f,1,2022_Dec_11_1356,RL,2021.2.3,59.99750411276244,
1,4,0,4,0,,,,,,,,,,,,,,,None,None,None,None,None,87.54896540008485,None,87.54896540008485,None,87.54896540008485,None,87.54896540008485,None,i,0.37625350011512637,87.54896540008485,None,87.54896540008485,None,87.96101159998216,None,87.96101159998216,None,87.96101159998216,None,87.96101159998216,None,87.96101159998216,None,87.96101159998216,None,88.24976070015691,90.10084580001421,88.24976070015691,90.10084580001421,90.12402990018018,None,90.12402990018018,None,90.12402990018018,None,90.12402990018018,None,90.12402990018018,None,90.12402990018018,None,90.12402990018018,None,90.12402990018018,None,90.12402990018018,None,45,50,73,43,73,82,92.64350380003452,None,3.0,2.09202290000394,92.64350380003452,None,92.64350380003452,None,92.64350380003452,None,92.64350380003452,None,None,None,94.75514949997887,None,,,,,,,112,f,1,2022_Dec_11_1356,RL,2021.2.3,59.99750411276244,
1,5,0,5,0,,,,,,,,,,,,,,,None,None,None,None,None,96.35519829997793,None,96.35519829997793,None,96.35519829997793,None,96.35519829997793,None,j,0.3098679999820888,96.35519829997793,None,96.35519829997793,None,96.70095580001362,None,96.70095580001362,None,96.70095580001362,None,96.70095580001362,None,96.70095580001362,None,96.70095580001362,None,96.98927530017681,98.02293320000172,96.98927530017681,98.02293320000172,98.04519740003161,None,98.04519740003161,None,98.04519740003161,None,98.04519740003161,None,98.04519740003161,None,98.04519740003161,None,98.04519740003161,None,98.04519740003161,None,98.04519740003161,None,44,49,84,47,47,25,100.56657710019499,None,5.0,2.042172299930826,100.56657710019499,None,100.56657710019499,None,100.56657710019499,None,100.56657710019499,None,None,None,102.62962030014023,None,,,,,,,112,f,1,2022_Dec_11_1356,RL,2021.2.3,59.99750411276244,
1,6,0,6,0,,,,,,,,,,,,,,,None,None,None,None,None,104.47730630007572,None,104.47730630007572,None,104.47730630007572,None,104.47730630007572,None,j,0.34766560001298785,104.47730630007572,None,104.47730630007572,None,104.85640779999085,None,104.85640779999085,None,104.85640779999085,None,104.85640779999085,None,104.85640779999085,None,104.85640779999085,None,105.14466430014,None,105.14466430014,None,107.15149970003404,None,107.15149970003404,None,107.15149970003404,None,107.15149970003404,None,107.15149970003404,None,107.15149970003404,None,107.15149970003404,None,107.15149970003404,None,107.15149970003404,None,49,54,80,53,53,71,109.67148889997043,None,3.0,2.1625647998880595,109.67148889997043,None,109.67148889997043,None,109.67148889997043,None,109.67148889997043,None,None,None,111.84903739998117,None,,,,,,,112,f,1,2022_Dec_11_1356,RL,2021.2.3,59.99750411276244,
1,7,0,7,0,,,,,,,,,,,,,,,None,None,None,None,None,113.70040560001507,None,113.70040560001507,None,113.70040560001507,None,113.70040560001507,None,i,0.364740899996832,113.70040560001507,None,113.70040560001507,None,114.09839550009929,None,114.09839550009929,None,114.09839550009929,None,114.09839550009929,None,114.09839550009929,None,114.09839550009929,None,114.38443089998327,115.85201230016537,114.38443089998327,115.85201230016537,115.87717010010965,None,115.87717010010965,None,115.87717010010965,None,115.87717010010965,None,115.87717010010965,None,115.87717010010965,None,115.87717010010965,None,115.87717010010965,None,115.87717010010965,None,43,58,79,51,79,24,118.39493550010957,None,6.0,1.3775114000309259,118.39493550010957,None,118.39493550010957,None,118.39493550010957,None,118.39493550010957,None,None,None,119.78771860012785,None,,,,,,,112,f,1,2022_Dec_11_1356,RL,2021.2.3,59.99750411276244,
