bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,docs.stopped,image_2.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,black_com.stopped,reward_sub.stopped,palyerb.stopped,reward__sub.stopped,compare.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,20.379124199971557,20.379124199971557,space,68.12506919982843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
,,,,,,,,,88.54572329996154,88.54572329996154,space,11.655153200030327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,0,0,0,0,,,,,,,,,100.21839959989302,None,101.23341750004329,101.23341750004329,101.23341750004329,101.23341750004329,101.23341750004329,101.23341750004329,i,0.5615021998528391,101.87994909984991,101.87994909984991,101.87994909984991,101.87994909984991,101.87994909984991,101.87994909984991,102.11490829987451,102.11490829987451,103.84308200003579,103.84308200003579,103.89601100003347,103.89601100003347,103.89601100003347,103.89601100003347,103.89601100003347,103.89601100003347,103.89601100003347,103.89601100003347,103.89601100003347,103.89601100003347,103.89601100003347,103.89601100003347,103.89601100003347,103.89601100003347,103.89601100003347,106.4020382000599,106.4020382000599,106.4020382000599,106.4020382000599,106.4020382000599,27,58,63,42,63,49,5.0,1.7300704999361187,108.21322959987447,110.20925389998592,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,1,0,1,0,,,,,,,,,,None,110.20925389998592,110.20925389998592,110.20925389998592,110.20925389998592,110.20925389998592,110.20925389998592,f,0.4458083000499755,110.67469869996421,110.67469869996421,110.67469869996421,110.67469869996421,110.67469869996421,110.67469869996421,110.97336820000783,110.97336820000783,111.87080839998089,111.87080839998089,111.87080839998089,111.87080839998089,111.87080839998089,111.87080839998089,111.87080839998089,111.87080839998089,111.87080839998089,111.87080839998089,111.87080839998089,111.87080839998089,111.87080839998089,111.87080839998089,111.87080839998089,111.87080839998089,111.87080839998089,114.38018069998361,114.38018069998361,114.38018069998361,114.38018069998361,114.38018069998361,25,64,59,45,64,54,5.0,2.2928861000109464,116.6912016000133,118.48575380002148,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,2,0,2,0,,,,,,,,,,None,118.48575380002148,118.48575380002148,118.48575380002148,118.48575380002148,118.48575380002148,118.48575380002148,i,0.5574039001949131,119.06858620001003,119.06858620001003,119.06858620001003,119.06858620001003,119.06858620001003,119.06858620001003,119.36710939998738,119.36710939998738,120.38180019985884,120.38180019985884,120.38180019985884,120.38180019985884,120.38180019985884,120.38180019985884,120.38180019985884,120.38180019985884,120.38180019985884,120.38180019985884,120.38180019985884,120.38180019985884,120.38180019985884,120.38180019985884,120.38180019985884,120.38180019985884,120.38180019985884,122.89008549996652,122.89008549996652,122.89008549996652,122.89008549996652,122.89008549996652,34,56,46,40,46,28,4.0,1.4621443999931216,124.36915969988331,126.36426079994999,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,3,0,3,0,,,,,,,,,,None,126.36426079994999,126.36426079994999,126.36426079994999,126.36426079994999,126.36426079994999,126.36426079994999,f,0.3570743999443948,126.74810540000908,126.74810540000908,126.74810540000908,126.74810540000908,126.74810540000908,126.74810540000908,127.04684119997546,127.04684119997546,129.057195100002,129.057195100002,129.057195100002,129.057195100002,129.057195100002,129.057195100002,129.057195100002,129.057195100002,129.057195100002,129.057195100002,129.057195100002,129.057195100002,129.057195100002,129.057195100002,129.057195100002,129.057195100002,129.057195100002,131.5667202998884,131.5667202998884,131.5667202998884,131.5667202998884,131.5667202998884,19,56,52,33,56,50,4.0,2.342141200089827,133.92660829983652,135.70553869986907,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,4,0,4,0,,,,,,,,,,None,135.70553869986907,135.70553869986907,135.70553869986907,135.70553869986907,135.70553869986907,135.70553869986907,i,0.42985510011203587,136.15486539993435,136.15486539993435,136.15486539993435,136.15486539993435,136.15486539993435,136.15486539993435,136.4539334999863,136.4539334999863,138.46478479984216,138.46478479984216,138.46478479984216,138.46478479984216,138.46478479984216,138.46478479984216,138.46478479984216,138.46478479984216,138.46478479984216,138.46478479984216,138.46478479984216,138.46478479984216,138.46478479984216,138.46478479984216,138.46478479984216,138.46478479984216,138.46478479984216,140.97410989995115,140.97410989995115,140.97410989995115,140.97410989995115,140.97410989995115,27,65,48,40,48,66,4.0,1.5779066001996398,142.5696979998611,144.3487112999428,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,5,0,5,0,,,,,,,,,,None,144.3487112999428,144.3487112999428,144.3487112999428,144.3487112999428,144.3487112999428,144.3487112999428,f,0.37561669992282987,144.74873879994266,144.74873879994266,144.74873879994266,144.74873879994266,144.74873879994266,144.74873879994266,145.04708469985053,145.04708469985053,146.2770483000204,146.2770483000204,146.2770483000204,146.2770483000204,146.2770483000204,146.2770483000204,146.2770483000204,146.2770483000204,146.2770483000204,146.2770483000204,146.2770483000204,146.2770483000204,146.2770483000204,146.2770483000204,146.2770483000204,146.2770483000204,146.2770483000204,148.78634519991465,148.78634519991465,148.78634519991465,148.78634519991465,148.78634519991465,20,66,54,41,66,60,5.0,1.6951518999412656,150.49809510004707,152.29374139988795,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,6,0,6,0,,,,,,,,,,None,152.29374139988795,152.29374139988795,152.29374139988795,152.29374139988795,152.29374139988795,152.29374139988795,i,0.424806599970907,152.75060749985278,152.75060749985278,152.75060749985278,152.75060749985278,152.75060749985278,152.75060749985278,153.0418318999,153.0418318999,155.0031240999233,155.0031240999233,155.0031240999233,155.0031240999233,155.0031240999233,155.0031240999233,155.0031240999233,155.0031240999233,155.0031240999233,155.0031240999233,155.0031240999233,155.0031240999233,155.0031240999233,155.0031240999233,155.0031240999233,155.0031240999233,155.0031240999233,157.51251129992306,157.51251129992306,157.51251129992306,157.51251129992306,157.51251129992306,23,66,53,32,53,74,3.0,0.8294852001126856,158.35978799988516,160.2555734999478,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,7,0,7,0,,,,,,,,,,None,160.2555734999478,160.2555734999478,160.2555734999478,160.2555734999478,160.2555734999478,160.2555734999478,i,0.49301060009747744,160.77110580005683,160.77110580005683,160.77110580005683,160.77110580005683,160.77110580005683,160.77110580005683,161.07014620001428,161.07014620001428,162.33318059984595,162.33318059984595,162.33318059984595,162.33318059984595,162.33318059984595,162.33318059984595,162.33318059984595,162.33318059984595,162.33318059984595,162.33318059984595,162.33318059984595,162.33318059984595,162.33318059984595,162.33318059984595,162.33318059984595,162.33318059984595,162.33318059984595,164.84227139991708,164.84227139991708,164.84227139991708,164.84227139991708,164.84227139991708,28,63,58,43,58,48,4.0,1.7277148999273777,166.58763529988937,168.26666249986738,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,8,0,8,0,,,,,,,,,,None,168.26666249986738,168.26666249986738,168.26666249986738,168.26666249986738,168.26666249986738,168.26666249986738,i,0.4853665998671204,168.78434549993835,168.78434549993835,168.78434549993835,168.78434549993835,168.78434549993835,168.78434549993835,169.08176860003732,169.08176860003732,170.52746549993753,170.52746549993753,170.52746549993753,170.52746549993753,170.52746549993753,170.52746549993753,170.52746549993753,170.52746549993753,170.52746549993753,170.52746549993753,170.52746549993753,170.52746549993753,170.52746549993753,170.52746549993753,170.52746549993753,170.52746549993753,170.52746549993753,173.03643249999732,173.03643249999732,173.03643249999732,173.03643249999732,173.03643249999732,20,63,58,32,58,47,4.0,2.0255422999616712,175.08091939985752,176.61083629983477,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,9,0,9,0,,,,,,,,,,None,176.61083629983477,176.61083629983477,176.61083629983477,176.61083629983477,176.61083629983477,176.61083629983477,f,0.449773000087589,177.09767169994302,177.09767169994302,177.09767169994302,177.09767169994302,177.09767169994302,177.09767169994302,177.392857800005,177.392857800005,178.25634650001302,178.25634650001302,178.25634650001302,178.25634650001302,178.25634650001302,178.25634650001302,178.25634650001302,178.25634650001302,178.25634650001302,178.25634650001302,178.25634650001302,178.25634650001302,178.25634650001302,178.25634650001302,178.25634650001302,178.25634650001302,178.25634650001302,180.76540749985725,180.76540749985725,180.76540749985725,180.76540749985725,180.76540749985725,10,62,59,34,62,69,3.0,1.0116902000736445,181.7959059998393,183.6080898998771,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,10,0,10,0,,,,,,,,,,None,183.6080898998771,183.6080898998771,183.6080898998771,183.6080898998771,183.6080898998771,183.6080898998771,i,0.6937476000748575,184.32344680000097,184.32344680000097,184.32344680000097,184.32344680000097,184.32344680000097,184.32344680000097,184.62279969989322,184.62279969989322,186.06840249989182,186.06840249989182,186.06840249989182,186.06840249989182,186.06840249989182,186.06840249989182,186.06840249989182,186.06840249989182,186.06840249989182,186.06840249989182,186.06840249989182,186.06840249989182,186.06840249989182,186.06840249989182,186.06840249989182,186.06840249989182,186.06840249989182,188.5775370998308,188.5775370998308,188.5775370998308,188.5775370998308,188.5775370998308,20,62,61,45,61,64,4.0,0.8307483999524266,189.4255806999281,191.13770179986022,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,11,0,11,0,,,,,,,,,,None,191.13770179986022,191.13770179986022,191.13770179986022,191.13770179986022,191.13770179986022,191.13770179986022,r,0.3679924998432398,191.53719850000925,191.53719850000925,191.53719850000925,191.53719850000925,191.53719850000925,191.53719850000925,191.8365354000125,191.8365354000125,193.28209750005044,193.28209750005044,193.28209750005044,193.28209750005044,193.28209750005044,193.28209750005044,193.28209750005044,193.28209750005044,193.28209750005044,193.28209750005044,193.28209750005044,193.28209750005044,193.28209750005044,193.28209750005044,193.28209750005044,193.28209750005044,193.28209750005044,195.79132890002802,195.79132890002802,195.79132890002802,195.79132890002802,195.79132890002802,15,63,60,24,15,67,2.0,1.6282827001996338,197.43717569997534,199.3487877000589,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,12,0,12,0,,,,,,,,,,None,199.3487877000589,199.3487877000589,199.3487877000589,199.3487877000589,199.3487877000589,199.3487877000589,f,0.47646220005117357,199.85726239997894,199.85726239997894,199.85726239997894,199.85726239997894,199.85726239997894,199.85726239997894,200.14676019991748,200.14676019991748,201.32728149998002,201.32728149998002,201.32728149998002,201.32728149998002,201.32728149998002,201.32728149998002,201.32728149998002,201.32728149998002,201.32728149998002,201.32728149998002,201.32728149998002,201.32728149998002,201.32728149998002,201.32728149998002,201.32728149998002,201.32728149998002,201.32728149998002,203.8359111000318,203.8359111000318,203.8359111000318,203.8359111000318,203.8359111000318,17,58,66,36,58,76,2.0,0.9635116998106241,204.81672589993104,206.67882709996775,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,13,0,13,0,,,,,,,,,,None,206.67882709996775,206.67882709996775,206.67882709996775,206.67882709996775,206.67882709996775,206.67882709996775,f,0.7808673998806626,207.47732930001803,207.47732930001803,207.47732930001803,207.47732930001803,207.47732930001803,207.47732930001803,207.77642739983276,207.77642739983276,208.60711520002224,208.60711520002224,208.60711520002224,208.60711520002224,208.60711520002224,208.60711520002224,208.60711520002224,208.60711520002224,208.60711520002224,208.60711520002224,208.60711520002224,208.60711520002224,208.60711520002224,208.60711520002224,208.60711520002224,208.60711520002224,208.60711520002224,211.11627989984117,211.11627989984117,211.11627989984117,211.11627989984117,211.11627989984117,12,59,66,27,59,72,3.0,0.8641276999842376,211.99678349983878,213.99221139983274,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,14,0,14,0,,,,,,,,,,None,213.99221139983274,213.99221139983274,213.99221139983274,213.99221139983274,213.99221139983274,213.99221139983274,i,0.4475781999062747,214.47977759991772,214.47977759991772,214.47977759991772,214.47977759991772,214.47977759991772,214.47977759991772,214.7569816999603,214.7569816999603,216.61849719984457,216.61849719984457,216.65167369996198,216.65167369996198,216.65167369996198,216.65167369996198,216.65167369996198,216.65167369996198,216.65167369996198,216.65167369996198,216.65167369996198,216.65167369996198,216.65167369996198,216.65167369996198,216.65167369996198,216.65167369996198,216.65167369996198,219.16065329988487,219.16065329988487,219.16065329988487,219.16065329988487,219.16065329988487,19,63,66,41,66,79,3.0,0.8962048999965191,220.07548889983445,221.70423679985106,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,15,0,15,0,,,,,,,,,,None,221.70423679985106,221.70423679985106,221.70423679985106,221.70423679985106,221.70423679985106,221.70423679985106,j,0.5448970999568701,222.27340790000744,222.27340790000744,222.27340790000744,222.27340790000744,222.27340790000744,222.27340790000744,222.56874429993331,222.56874429993331,223.4995952998288,223.4995952998288,223.4995952998288,223.4995952998288,223.4995952998288,223.4995952998288,223.4995952998288,223.4995952998288,223.4995952998288,223.4995952998288,223.4995952998288,223.4995952998288,223.4995952998288,223.4995952998288,223.4995952998288,223.4995952998288,223.4995952998288,226.00881699984893,226.00881699984893,226.00881699984893,226.00881699984893,226.00881699984893,6,60,65,31,31,71,3.0,1.3794758000876755,227.40481989993714,229.01826589996926,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,16,0,16,0,,,,,,,,,,None,229.01826589996926,229.01826589996926,229.01826589996926,229.01826589996926,229.01826589996926,229.01826589996926,f,0.3162520998157561,229.37517729983665,229.37517729983665,229.37517729983665,229.37517729983665,229.37517729983665,229.37517729983665,229.6662178998813,229.6662178998813,231.2948586998973,231.2948586998973,231.31162359984592,231.31162359984592,231.31162359984592,231.31162359984592,231.31162359984592,231.31162359984592,231.31162359984592,231.31162359984592,231.31162359984592,231.31162359984592,231.31162359984592,231.31162359984592,231.31162359984592,231.31162359984592,231.31162359984592,233.8210046000313,233.8210046000313,233.8210046000313,233.8210046000313,233.8210046000313,6,61,59,40,61,75,3.0,1.2632033000700176,235.10043770004995,237.02913919999264,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,17,0,17,0,,,,,,,,,,None,237.02913919999264,237.02913919999264,237.02913919999264,237.02913919999264,237.02913919999264,237.02913919999264,i,0.28936839988455176,237.35120250005275,237.35120250005275,237.35120250005275,237.35120250005275,237.35120250005275,237.35120250005275,237.64551639999263,237.64551639999263,238.82429589983076,238.82429589983076,238.8415204999037,238.8415204999037,238.8415204999037,238.8415204999037,238.8415204999037,238.8415204999037,238.8415204999037,238.8415204999037,238.8415204999037,238.8415204999037,238.8415204999037,238.8415204999037,238.8415204999037,238.8415204999037,238.8415204999037,241.35022889985703,241.35022889985703,241.35022889985703,241.35022889985703,241.35022889985703,10,66,54,35,54,55,4.0,0.6794080000836402,242.04840129986405,243.67785590002313,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,18,0,18,0,,,,,,,,,,None,243.67785590002313,243.67785590002313,243.67785590002313,243.67785590002313,243.67785590002313,243.67785590002313,f,0.8554378999397159,244.56079799984582,244.56079799984582,244.56079799984582,244.56079799984582,244.56079799984582,244.56079799984582,244.85832110000774,244.85832110000774,246.40375810000114,246.40375810000114,246.4203101999592,246.4203101999592,246.4203101999592,246.4203101999592,246.4203101999592,246.4203101999592,246.4203101999592,246.4203101999592,246.4203101999592,246.4203101999592,246.4203101999592,246.4203101999592,246.4203101999592,246.4203101999592,246.4203101999592,248.92968079983257,248.92968079983257,248.92968079983257,248.92968079983257,248.92968079983257,9,61,62,41,61,55,3.0,0.9310443999711424,249.87713429983705,251.5562726999633,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
1,19,0,19,0,,,,,,,,,,None,251.5562726999633,251.5562726999633,251.5562726999633,251.5562726999633,251.5562726999633,251.5562726999633,f,0.38309000013396144,251.97596229985356,251.97596229985356,251.97596229985356,251.97596229985356,251.97596229985356,251.97596229985356,252.27167879999615,252.27167879999615,254.16659499984235,254.16659499984235,254.16659499984235,254.16659499984235,254.16659499984235,254.16659499984235,254.16659499984235,254.16659499984235,254.16659499984235,254.16659499984235,254.16659499984235,254.16659499984235,254.16659499984235,254.16659499984235,254.16659499984235,254.16659499984235,254.16659499984235,256.67511049984023,256.67511049984023,256.67511049984023,256.67511049984023,256.67511049984023,21,63,53,42,63,74,4.0,1.595098900143057,258.2870481000282,260.0331228999421,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h14.30.650,RL,2022.2.4,60.31293972873755,
