bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,docs.stopped,image_2.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,26.374415141006466,26.374415141006466,space,2.4817128580034478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,f,18,2023-04-05_11h10.32.460,RL,2022.2.4,60.00185033948497,
,,,,,,,,,28.903187935007736,28.903187935007736,y,52.86638223999762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,f,18,2023-04-05_11h10.32.460,RL,2022.2.4,60.00185033948497,
1,42,0,42,0,,,,,,,,,,None,409.1259213890007,409.1259213890007,409.1259213890007,409.1259213890007,409.1259213890007,409.1259213890007,r,0.3981233990052715,409.57825948900427,409.57825948900427,409.57825948900427,409.57825948900427,409.57825948900427,409.57825948900427,409.8501842429978,409.8501842429978,411.21952870700625,411.21952870700625,411.24288275699655,411.24288275699655,411.24288275699655,411.24288275699655,411.24288275699655,411.24288275699655,411.24288275699655,411.24288275699655,411.24288275699655,411.24288275699655,411.24288275699655,411.24288275699655,411.24288275699655,411.24288275699655,411.24288275699655,413.75289258599514,413.75289258599514,413.75289258599514,413.75289258599514,413.75289258599514,30,65,76,42,30,61,2.0,0.6888853980053682,414.4484261100006,416.2462791200087,,,,,,,,,154,f,18,2023-04-05_11h10.32.460,RL,2022.2.4,60.00185033948497,
1,43,0,43,0,,,,,,,,,,None,416.2462791200087,416.2462791200087,416.2462791200087,416.2462791200087,416.2462791200087,416.2462791200087,f,0.5401787209993927,416.83052601100644,416.83052601100644,416.83052601100644,416.83052601100644,416.83052601100644,416.83052601100644,417.10126650400343,417.10126650400343,419.00688306400843,419.00688306400843,419.0469805839966,419.0469805839966,419.0469805839966,419.0469805839966,419.0469805839966,419.0469805839966,419.0469805839966,419.0469805839966,419.0469805839966,419.0469805839966,419.0469805839966,419.0469805839966,419.0469805839966,419.0469805839966,419.0469805839966,421.5437961400021,421.5437961400021,421.5437961400021,421.5437961400021,421.5437961400021,30,66,66,37,66,42,5.0,0.5997734349948587,422.15960054300376,423.96537105200696,,,,,,,,,154,f,18,2023-04-05_11h10.32.460,RL,2022.2.4,60.00185033948497,
1,44,0,44,0,,,,,,,,,,None,423.96537105200696,423.96537105200696,423.96537105200696,423.96537105200696,423.96537105200696,423.96537105200696,r,0.3748517680069199,424.39166735300387,424.39166735300387,424.39166735300387,424.39166735300387,424.39166735300387,424.39166735300387,424.6726184279978,424.6726184279978,426.65934872900834,426.65934872900834,426.6824912680022,426.6824912680022,426.6824912680022,426.6824912680022,426.6824912680022,426.6824912680022,426.6824912680022,426.6824912680022,426.6824912680022,426.6824912680022,426.6824912680022,426.6824912680022,426.6824912680022,426.6824912680022,426.6824912680022,429.1928030340059,429.1928030340059,429.1928030340059,429.1928030340059,429.1928030340059,32,71,67,28,32,51,2.0,1.1167192380089546,430.3241428750043,432.2039169350028,,,,,,,,,154,f,18,2023-04-05_11h10.32.460,RL,2022.2.4,60.00185033948497,
1,45,0,45,0,,,,,,,,,,None,432.2039169350028,432.2039169350028,432.2039169350028,432.2039169350028,432.2039169350028,432.2039169350028,j,0.6694343940034742,432.9122304269986,432.9122304269986,432.9122304269986,432.9122304269986,432.9122304269986,432.9122304269986,433.17605376499705,433.17605376499705,434.61275429099624,434.61275429099624,434.65551783800765,434.65551783800765,434.65551783800765,434.65551783800765,434.65551783800765,434.65551783800765,434.65551783800765,434.65551783800765,434.65551783800765,434.65551783800765,434.65551783800765,434.65551783800765,434.65551783800765,434.65551783800765,434.65551783800765,437.1536865590024,437.1536865590024,437.1536865590024,437.1536865590024,437.1536865590024,24,63,58,35,35,55,2.0,1.2478684459929354,438.4139203119994,439.9573698650056,,,,,,,,,154,f,18,2023-04-05_11h10.32.460,RL,2022.2.4,60.00185033948497,
1,46,0,46,0,,,,,,,,,,None,439.9573698650056,439.9573698650056,439.9573698650056,439.9573698650056,439.9573698650056,439.9573698650056,f,0.8375384099927032,440.8470088710019,440.8470088710019,440.8470088710019,440.8470088710019,440.8470088710019,440.8470088710019,441.1134143109957,441.1134143109957,442.5178402550082,442.5178402550082,442.57318562800356,442.57318562800356,442.57318562800356,442.57318562800356,442.57318562800356,442.57318562800356,442.57318562800356,442.57318562800356,442.57318562800356,442.57318562800356,442.57318562800356,442.57318562800356,442.57318562800356,442.57318562800356,442.57318562800356,445.0805477260001,445.0805477260001,445.0805477260001,445.0805477260001,445.0805477260001,33,64,57,32,64,58,5.0,1.589274354002555,446.6826992529968,448.44446813099785,,,,,,,,,154,f,18,2023-04-05_11h10.32.460,RL,2022.2.4,60.00185033948497,
1,47,0,47,0,,,,,,,,,,None,448.44446813099785,448.44446813099785,448.44446813099785,448.44446813099785,448.44446813099785,448.44446813099785,j,0.946184827000252,449.4378873280075,449.4378873280075,449.4378873280075,449.4378873280075,449.4378873280075,449.4378873280075,449.7040427449974,449.7040427449974,451.3331305640022,451.3331305640022,451.37282284999674,451.37282284999674,451.37282284999674,451.37282284999674,451.37282284999674,451.37282284999674,451.37282284999674,451.37282284999674,451.37282284999674,451.37282284999674,451.37282284999674,451.37282284999674,451.37282284999674,451.37282284999674,451.37282284999674,453.87300751199655,453.87300751199655,453.87300751199655,453.87300751199655,453.87300751199655,36,63,51,29,29,51,2.0,1.771062276995508,455.6619839549967,457.29844905900245,,,,,,,,,154,f,18,2023-04-05_11h10.32.460,RL,2022.2.4,60.00185033948497,
1,48,0,48,0,,,,,,,,,,None,457.29844905900245,457.29844905900245,457.29844905900245,457.29844905900245,457.29844905900245,457.29844905900245,i,0.4594553039933089,457.79967510500865,457.79967510500865,457.79967510500865,457.79967510500865,457.79967510500865,457.79967510500865,458.07117971300613,458.07117971300613,459.155850627998,459.155850627998,459.1971555899945,459.1971555899945,459.1971555899945,459.1971555899945,459.1971555899945,459.1971555899945,459.1971555899945,459.1971555899945,459.1971555899945,459.1971555899945,459.1971555899945,459.1971555899945,459.1971555899945,459.1971555899945,459.1971555899945,461.7065724419954,461.7065724419954,461.7065724419954,461.7065724419954,461.7065724419954,38,75,46,24,46,54,3.0,1.1033311399951344,462.8208496379957,464.4186029639968,,,,,,,,,154,f,18,2023-04-05_11h10.32.460,RL,2022.2.4,60.00185033948497,
1,49,0,49,0,,,,,,,,,,None,464.4186029639968,464.4186029639968,464.4186029639968,464.4186029639968,464.4186029639968,464.4186029639968,f,0.820890294999117,465.2882786359987,465.2882786359987,465.2882786359987,465.2882786359987,465.2882786359987,465.2882786359987,465.55904737299716,465.55904737299716,467.113129934005,467.113129934005,467.15327168800286,467.15327168800286,467.15327168800286,467.15327168800286,467.15327168800286,467.15327168800286,467.15327168800286,467.15327168800286,467.15327168800286,467.15327168800286,467.15327168800286,467.15327168800286,467.15327168800286,467.15327168800286,467.15327168800286,469.6486834959942,469.6486834959942,469.6486834959942,469.6486834959942,469.6486834959942,45,76,45,27,76,62,6.0,0.5631413249939214,470.22408270600135,472.0058170330012,,,,,,,,,154,f,18,2023-04-05_11h10.32.460,RL,2022.2.4,60.00185033948497,
1,50,0,50,0,,,,,,,,,,None,472.0058170330012,472.0058170330012,472.0058170330012,472.0058170330012,472.0058170330012,472.0058170330012,i,0.31432775501161814,472.35522213000513,472.35522213000513,472.35522213000513,472.35522213000513,472.35522213000513,472.35522213000513,472.6286364770058,472.6286364770058,474.3326799689967,474.3326799689967,474.372514992996,474.372514992996,474.372514992996,474.372514992996,474.372514992996,474.372514992996,474.372514992996,474.372514992996,474.372514992996,474.372514992996,474.372514992996,474.372514992996,474.372514992996,474.372514992996,474.372514992996,476.88292015800835,476.88292015800835,476.88292015800835,476.88292015800835,476.88292015800835,41,71,52,28,52,61,5.0,0.6334576459921664,477.5296808700077,479.52523897100764,,,,,,,,,154,f,18,2023-04-05_11h10.32.460,RL,2022.2.4,60.00185033948497,
1,51,0,51,0,,,,,,,,,,None,479.52523897100764,479.52523897100764,479.52523897100764,479.52523897100764,479.52523897100764,479.52523897100764,r,0.3556446379952831,479.9336104050017,479.9336104050017,479.9336104050017,479.9336104050017,479.9336104050017,479.9336104050017,480.21579914599715,480.21579914599715,481.6282589180046,481.6282589180046,481.6490272509982,481.6490272509982,481.6490272509982,481.6490272509982,481.6490272509982,481.6490272509982,481.6490272509982,481.6490272509982,481.6490272509982,481.6490272509982,481.6490272509982,481.6490272509982,481.6490272509982,481.6490272509982,481.6490272509982,484.1503568379994,484.1503568379994,484.1503568379994,484.1503568379994,484.1503568379994,51,70,44,21,51,53,5.0,0.9176577469916083,485.08176054900105,486.9622700129985,,,,,,,,,154,f,18,2023-04-05_11h10.32.460,RL,2022.2.4,60.00185033948497,
