bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,image_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,21.268718500155956,21.268718500155956,space,1.2790063999127597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
,,,,,,,,,22.574301900109276,22.574301900109276,y,13.951844099909067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,0,0,0,0,,,,,,,,,36.5423859001603,None,37.561726700048894,37.561726700048894,37.561726700048894,37.561726700048894,37.561726700048894,37.561726700048894,f,0.552519200136885,38.150315300095826,38.150315300095826,38.150315300095826,38.150315300095826,38.150315300095826,38.150315300095826,38.43829970015213,38.43829970015213,39.90558030013926,39.90558030013926,39.90558030013926,39.90558030013926,39.90558030013926,39.90558030013926,39.90558030013926,39.90558030013926,39.90558030013926,39.90558030013926,39.90558030013926,39.90558030013926,39.90558030013926,39.90558030013926,39.90558030013926,39.90558030013926,39.90558030013926,42.410533300135285,42.410533300135285,42.410533300135285,42.410533300135285,42.410533300135285,49,73,47,28,73,61,6.0,1.6782947999890894,44.15083450009115,46.15027430001646,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,1,0,1,0,,,,,,,,,,None,46.15027430001646,46.15027430001646,46.15027430001646,46.15027430001646,46.15027430001646,46.15027430001646,j,0.8322112001478672,47.01641079992987,47.01641079992987,47.01641079992987,47.01641079992987,47.01641079992987,47.01641079992987,47.314372800057754,47.314372800057754,49.125729399966076,49.125729399966076,49.125729399966076,49.125729399966076,49.125729399966076,49.125729399966076,49.1092467000708,49.1092467000708,49.125729399966076,49.125729399966076,49.125729399966076,49.125729399966076,49.125729399966076,49.125729399966076,49.125729399966076,49.125729399966076,49.125729399966076,51.63455840013921,51.63455840013921,51.63455840013921,51.63455840013921,51.63455840013921,49,72,30,30,30,59,1.0,1.6111574999522418,53.26377740013413,54.793552400078624,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,2,0,2,0,,,,,,,,,,None,54.793552400078624,54.793552400078624,54.793552400078624,54.793552400078624,54.793552400078624,54.793552400078624,i,0.646433399990201,55.46032560011372,55.46032560011372,55.46032560011372,55.46032560011372,55.46032560011372,55.46032560011372,55.757658099988475,55.757658099988475,57.30316360015422,57.30316360015422,57.30316360015422,57.30316360015422,57.30316360015422,57.30316360015422,57.30316360015422,57.30316360015422,57.30316360015422,57.30316360015422,57.30316360015422,57.30316360015422,57.30316360015422,57.30316360015422,57.30316360015422,57.30316360015422,57.30316360015422,59.81244380003773,59.81244380003773,59.81244380003773,59.81244380003773,59.81244380003773,60,73,39,41,39,47,1.0,0.7968912001233548,60.627298100152984,62.55565809994005,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,3,0,3,0,,,,,,,,,,None,62.55565809994005,62.55565809994005,62.55565809994005,62.55565809994005,62.55565809994005,62.55565809994005,r,0.3883715998381376,62.971986500080675,62.971986500080675,62.971986500080675,62.971986500080675,62.971986500080675,62.971986500080675,63.27078040014021,63.27078040014021,64.81622779997997,64.81622779997997,64.81622779997997,64.81622779997997,64.81622779997997,64.81622779997997,64.81622779997997,64.81622779997997,64.81622779997997,64.81622779997997,64.81622779997997,64.81622779997997,64.81622779997997,64.81622779997997,64.81622779997997,64.81622779997997,64.81622779997997,67.32546090008691,67.32546090008691,67.32546090008691,67.32546090008691,67.32546090008691,54,82,34,43,54,60,4.0,1.843941300176084,69.18715210002847,70.80017760000192,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,4,0,4,0,,,,,,,,,,None,70.80017760000192,70.80017760000192,70.80017760000192,70.80017760000192,70.80017760000192,70.80017760000192,f,0.706555699929595,71.53314159996808,71.53314159996808,71.53314159996808,71.53314159996808,71.53314159996808,71.53314159996808,71.83073309995234,71.83073309995234,73.55892050010152,73.55892050010152,73.55892050010152,73.55892050010152,73.55892050010152,73.55892050010152,73.55892050010152,73.55892050010152,73.55892050010152,73.55892050010152,73.55892050010152,73.55892050010152,73.55892050010152,73.55892050010152,73.55892050010152,73.55892050010152,73.55892050010152,76.06806050008163,76.06806050008163,76.06806050008163,76.06806050008163,76.06806050008163,47,79,42,46,79,61,7.0,1.0795903000980616,77.16557950014248,78.76133939996362,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,5,0,5,0,,,,,,,,,,None,78.76133939996362,78.76133939996362,78.76133939996362,78.76133939996362,78.76133939996362,78.76133939996362,f,0.6242836001329124,79.41210910002701,79.41210910002701,79.41210910002701,79.41210910002701,79.41210910002701,79.41210910002701,79.70901819993742,79.70901819993742,81.23807610012591,81.23807610012591,81.23807610012591,81.23807610012591,81.23807610012591,81.23807610012591,81.23807610012591,81.23807610012591,81.23807610012591,81.23807610012591,81.23807610012591,81.23807610012591,81.23807610012591,81.23807610012591,81.23807610012591,81.23807610012591,81.23807610012591,83.7473627999425,83.7473627999425,83.7473627999425,83.7473627999425,83.7473627999425,51,80,36,41,80,55,7.0,0.6475847000256181,84.41188949998468,86.22423160006292,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,6,0,6,0,,,,,,,,,,None,86.22423160006292,86.22423160006292,86.22423160006292,86.22423160006292,86.22423160006292,86.22423160006292,r,0.5359366000629961,86.78988700010814,86.78988700010814,86.78988700010814,86.78988700010814,86.78988700010814,86.78988700010814,87.08869579993188,87.08869579993188,88.102940000128,88.102940000128,88.102940000128,88.102940000128,88.102940000128,88.102940000128,88.102940000128,88.102940000128,88.102940000128,88.102940000128,88.102940000128,88.102940000128,88.102940000128,88.102940000128,88.102940000128,88.102940000128,88.102940000128,90.61200490011834,90.61200490011834,90.61200490011834,90.61200490011834,90.61200490011834,49,76,32,36,49,41,6.0,1.1124880998395383,91.74209229997359,93.5045231000986,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,7,0,7,0,,,,,,,,,,None,93.5045231000986,93.5045231000986,93.5045231000986,93.5045231000986,93.5045231000986,93.5045231000986,f,0.46821650001220405,94.00342800002545,94.00342800002545,94.00342800002545,94.00342800002545,94.00342800002545,94.00342800002545,94.30303750000894,94.30303750000894,95.33262800006196,95.33262800006196,95.33262800006196,95.33262800006196,95.33262800006196,95.33262800006196,95.33262800006196,95.33262800006196,95.33262800006196,95.33262800006196,95.33262800006196,95.33262800006196,95.33262800006196,95.33262800006196,95.33262800006196,95.33262800006196,95.33262800006196,97.84206759999506,97.84206759999506,97.84206759999506,97.84206759999506,97.84206759999506,48,75,40,42,75,53,7.0,0.8298305999487638,98.68993730004877,100.45227689994499,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
