bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,expectself.started,tijiao_click.started,value_expect_self,expectself.text,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,13.031244292000338,13.031244292000338,space,7.017601749000278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,f,1,2023-03-17_19h30.47.903,RL,2022.2.4,None,
,,,,,,,,,,,20.09982791700031,20.09982791700031,s,0.2410890829996788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,f,1,2023-03-17_19h30.47.903,RL,2022.2.4,None,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,20.372876917000212,None,21.420665292000194,21.420665292000194,21.420665292000194,21.420665292000194,21.420665292000194,21.420665292000194,r,0.5857538330001262,22.078310500000043,22.078310500000043,22.078310500000043,22.078310500000043,22.078310500000043,22.078310500000043,22.329675750000206,22.329675750000206,24.121438375000253,24.121438375000253,24.19967466700018,24.19967466700018,24.19967466700018,24.19967466700018,24.19967466700018,24.19967466700018,24.19967466700018,24.19967466700018,24.19967466700018,24.19967466700018,24.19967466700018,24.19967466700018,24.19967466700018,24.19967466700018,24.19967466700018,74,25,45,44,74,53,None,None,26.74328575000027,26.74328575000027,26.74328575000027,26.74328575000027,26.74328575000027,26.74328575000027,26.74328575000027,26.74328575000027,0.012872416999925917,43,43,"[0.011111111111111112, -0.006481481481481481]","[-0.24074074074074073, -0.2861111111111111]","[1, 1]","[0, 0]","[0, 0]","[1.7429531249999854, 2.031525583000075]",['tijiao'],-0.2,0,,[],[],[],[],[],[],[],28.94841604200019,28.94841604200019,28.94841604200019,28.94841604200019,7.1574074074074066,1.3092247500003396,30.26241741700005,32.18992833400034,,,,,,,,,,,,,,,1,f,1,2023-03-17_19h30.47.903,RL,2022.2.4,None,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,32.18992833400034,32.18992833400034,32.18992833400034,32.18992833400034,32.18992833400034,32.18992833400034,f,0.2678609580002558,32.51617408400034,32.51617408400034,32.51617408400034,32.51617408400034,32.51617408400034,32.51617408400034,32.78662608400009,32.78662608400009,34.489415875000304,34.489415875000304,34.52426045900029,34.52426045900029,34.52426045900029,34.52426045900029,34.52426045900029,34.52426045900029,34.52426045900029,34.52426045900029,34.52426045900029,34.52426045900029,34.52426045900029,34.52426045900029,34.52426045900029,34.52426045900029,34.52426045900029,74,20,34,52,20,50,None,None,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,1,34,[0.001851851851851852],[-0.28425925925925927],[1],[0],[0],[1.250289375000193],['tijiao'],38.31330454199997,38.31330454199997,38.31330454199997,38.31330454199997,5.787037037037037,0.7106901249999282,39.02708279200033,40.94665566699996,37.049534917000074,37.049534917000074,37.049534917000074,37.049534917000074,37.049534917000074,37.049534917000074,37.049534917000074,37.049534917000074,0.010381584000242583,,,,,,1,f,1,2023-03-17_19h30.47.903,RL,2022.2.4,None,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,40.94665566699996,40.94665566699996,40.94665566699996,40.94665566699996,40.94665566699996,40.94665566699996,f,0.2762426670001332,41.26377787499996,41.26377787499996,41.26377787499996,41.26377787499996,41.26377787499996,41.26377787499996,41.55354312500003,41.55354312500003,43.25371758400024,43.25371758400024,43.27619616700031,43.27619616700031,43.27619616700031,43.27619616700031,43.27619616700031,43.27619616700031,43.27619616700031,43.27619616700031,43.27619616700031,43.27619616700031,43.27619616700031,43.27619616700031,43.27619616700031,43.27619616700031,43.27619616700031,68,22,31,39,22,49,4.0,0.8972761249997347,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],,,,,None,None,46.72084612500021,48.40085087500029,,,,,,,,,,45.77574387499999,45.77574387499999,45.77574387499999,45.77574387499999,45.77574387499999,1,f,1,2023-03-17_19h30.47.903,RL,2022.2.4,None,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,48.40085087500029,48.40085087500029,48.40085087500029,48.40085087500029,48.40085087500029,48.40085087500029,r,0.8323792500000309,49.273257042000296,49.273257042000296,49.273257042000296,49.273257042000296,49.273257042000296,49.273257042000296,49.55379395900036,49.55379395900036,50.76221612500012,50.76221612500012,50.790933084000244,50.790933084000244,50.790933084000244,50.790933084000244,50.790933084000244,50.790933084000244,50.790933084000244,50.790933084000244,50.790933084000244,50.790933084000244,50.790933084000244,50.790933084000244,50.790933084000244,50.790933084000244,50.790933084000244,69,20,25,43,69,82,4.0,0.8635111660000803,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],,,,,None,None,54.183224208999945,56.01452770900005,,,,,,,,,,53.28818708400013,53.28818708400013,53.28818708400013,53.28818708400013,53.28818708400013,1,f,1,2023-03-17_19h30.47.903,RL,2022.2.4,None,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,56.01452770900005,56.01452770900005,56.01452770900005,56.01452770900005,56.01452770900005,56.01452770900005,f,0.23783741699980965,56.29039204200035,56.29039204200035,56.29039204200035,56.29039204200035,56.29039204200035,56.29039204200035,56.56385300000011,56.56385300000011,57.57944029200007,57.57944029200007,57.60666954199996,57.60666954199996,57.60666954199996,57.60666954199996,57.60666954199996,57.60666954199996,57.60666954199996,57.60666954199996,57.60666954199996,57.60666954199996,57.60666954199996,57.60666954199996,57.60666954199996,57.60666954199996,57.60666954199996,82,30,28,39,30,76,4.0,0.5933469579999837,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,3,,[],[],[],[],[],[],[],,,,,None,None,60.74491458400007,62.56653800000004,,,,,,,,,,60.109202584000286,60.109202584000286,60.109202584000286,60.109202584000286,60.109202584000286,1,f,1,2023-03-17_19h30.47.903,RL,2022.2.4,None,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,62.56653800000004,62.56653800000004,62.56653800000004,62.56653800000004,62.56653800000004,62.56653800000004,r,0.3225812910000059,62.928972459000306,62.928972459000306,62.928972459000306,62.928972459000306,62.928972459000306,62.928972459000306,63.19783991700024,63.19783991700024,64.31327062500031,64.31327062500031,64.35750358400037,64.35750358400037,64.35750358400037,64.35750358400037,64.35750358400037,64.35750358400037,64.35750358400037,64.35750358400037,64.35750358400037,64.35750358400037,64.35750358400037,64.35750358400037,64.35750358400037,64.35750358400037,64.35750358400037,71,31,23,43,71,74,4.0,0.5861375419999604,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],,,,,None,None,67.49461891700003,68.99843275000012,,,,,,,,,,66.87301049999996,66.87301049999996,66.87301049999996,66.87301049999996,66.87301049999996,1,f,1,2023-03-17_19h30.47.903,RL,2022.2.4,None,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,68.99843275000012,68.99843275000012,68.99843275000012,68.99843275000012,68.99843275000012,68.99843275000012,r,0.23622487500006173,69.27209983400007,69.27209983400007,69.27209983400007,69.27209983400007,69.27209983400007,69.27209983400007,69.5534845000002,69.5534845000002,70.53014787500024,70.53014787500024,70.5479029170001,70.5479029170001,70.5479029170001,70.5479029170001,70.5479029170001,70.5479029170001,70.5479029170001,70.5479029170001,70.5479029170001,70.5479029170001,70.5479029170001,70.5479029170001,70.5479029170001,70.5479029170001,70.5479029170001,71,16,34,41,71,62,None,None,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,1,343,[-0.003703703703703704],[-0.27037037037037037],[1],[0],[0],[1.6456377919998886],['tijiao'],74.73703404200023,74.73703404200023,74.73703404200023,74.73703404200023,6.212962962962963,0.5978795840001112,75.33614583400004,76.92414704200019,73.07678629200018,73.07678629200018,73.07678629200018,73.07678629200018,73.07678629200018,73.07678629200018,73.07678629200018,73.07678629200018,0.012247374999788008,,,,,,1,f,1,2023-03-17_19h30.47.903,RL,2022.2.4,None,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,76.92414704200019,76.92414704200019,76.92414704200019,76.92414704200019,76.92414704200019,76.92414704200019,r,0.2534781250001288,77.22216316699996,77.22216316699996,77.22216316699996,77.22216316699996,77.22216316699996,77.22216316699996,77.49862266700029,77.49862266700029,79.01287037500015,79.01287037500015,79.04067475000011,79.04067475000011,79.04067475000011,79.04067475000011,79.04067475000011,79.04067475000011,79.04067475000011,79.04067475000011,79.04067475000011,79.04067475000011,79.04067475000011,79.04067475000011,79.04067475000011,79.04067475000011,79.04067475000011,72,19,33,43,72,73,None,None,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,1,43,[0.011111111111111112],[-0.2814814814814815],[1],[0],[0],[1.2410241249999672],['tijiao'],82.8444582090001,82.8444582090001,82.8444582090001,82.8444582090001,6.212962962962963,0.7176469169999109,83.56242716700035,85.15794008400007,81.58662429200012,81.58662429200012,81.58662429200012,81.58662429200012,81.58662429200012,81.58662429200012,81.58662429200012,81.58662429200012,0.012004000000160886,,,,,,1,f,1,2023-03-17_19h30.47.903,RL,2022.2.4,None,
