bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,image_3.started,slider.started,text.started,image_4.started,image_5.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,rest_image.started,rest_response.started,rest_response.rt,bigx.started,bigx.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,34.40630395000335,34.40630395000335,space,25.502820551992045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
,,,,,,,,,,,59.96017882900196,59.96017882900196,s,42.99341366298904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,102.98623963700084,None,104.03627934399992,104.03627934399992,104.03627934399992,104.03627934399992,104.03627934399992,104.03627934399992,r,0.8239814880071208,104.93465164699592,104.93465164699592,104.93465164699592,104.93465164699592,104.93465164699592,104.93465164699592,105.18642959599674,105.18642959599674,106.2009356339986,106.2009356339986,106.26306446599483,106.26306446599483,106.26306446599483,106.26306446599483,106.26306446599483,106.26306446599483,106.26306446599483,106.26306446599483,106.26306446599483,106.26306446599483,106.26306446599483,106.26306446599483,106.26306446599483,106.26306446599483,106.26306446599483,69,33,41,51,69,30,None,None,108.80646292099846,108.80646292099846,108.80646292099846,108.80646292099846,108.80646292099846,108.80646292099846,108.80646292099846,108.80646292099846,0.01281996100442484,108.80646292099846,60,60,[0.0525],[-0.29375],[1],[0],[0],[5.875104024002212],['tijiao'],0.6,0,,[],[],[],[],[],[],[],114.90285374299856,114.90285374299856,114.90285374299856,114.90285374299856,8.0,2.4155593420000514,117.32053772799554,119.23256179899909,,,,,,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,119.23256179899909,119.23256179899909,119.23256179899909,119.23256179899909,119.23256179899909,119.23256179899909,i,0.5022046209924156,119.77631751500303,119.77631751500303,119.77631751500303,119.77631751500303,119.77631751500303,119.77631751500303,120.04475068699685,120.04475068699685,120.881989194997,120.881989194997,120.92681443699985,120.92681443699985,120.92681443699985,120.92681443699985,120.92681443699985,120.92681443699985,120.92681443699985,120.92681443699985,120.92681443699985,120.92681443699985,120.92681443699985,120.92681443699985,120.92681443699985,120.92681443699985,120.92681443699985,58,33,38,52,38,67,None,None,123.4535600879899,123.4535600879899,123.4535600879899,123.4535600879899,123.4535600879899,123.4535600879899,123.4535600879899,123.4535600879899,0.010309061006410047,123.4535600879899,55,55,[0.07125],[-0.29125],[1],[0],[0],[3.849785010999767],['tijiao'],0.6,0,,[],[],[],[],[],[],[],127.33208274000208,127.33208274000208,127.33208274000208,127.33208274000208,7.025,2.507765468006255,129.85936589399353,131.75434701799531,,,,,,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,131.75434701799531,131.75434701799531,131.75434701799531,131.75434701799531,131.75434701799531,131.75434701799531,f,0.5840814920084085,132.3802713729965,132.3802713729965,132.3802713729965,132.3802713729965,132.3802713729965,132.3802713729965,132.65198194299592,132.65198194299592,134.1286808379955,134.1286808379955,134.1707963779918,134.1707963779918,134.1707963779918,134.1707963779918,134.1707963779918,134.1707963779918,134.1707963779918,134.1707963779918,134.1707963779918,134.1707963779918,134.1707963779918,134.1707963779918,134.1707963779918,134.1707963779918,134.1707963779918,54,36,38,52,36,66,2.0,2.5894256079918705,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,3,,[],[],[],[],[],[],[],,,,,None,None,139.32208882000123,141.1426907540008,136.68021856699488,136.68021856699488,136.68021856699488,136.68021856699488,136.68021856699488,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,141.1426907540008,141.1426907540008,141.1426907540008,141.1426907540008,141.1426907540008,141.1426907540008,i,0.8321709599986207,142.01675515799434,142.01675515799434,142.01675515799434,142.01675515799434,142.01675515799434,142.01675515799434,142.28476650000084,142.28476650000084,143.41385895699204,143.41385895699204,143.459399415995,143.459399415995,143.459399415995,143.459399415995,143.459399415995,143.459399415995,143.459399415995,143.459399415995,143.459399415995,143.459399415995,143.459399415995,143.459399415995,143.459399415995,143.459399415995,143.459399415995,58,34,29,53,29,60,2.0,2.6414067709993105,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],,,,,None,None,148.64997806499014,150.42944758899102,145.96523761599383,145.96523761599383,145.96523761599383,145.96523761599383,145.96523761599383,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,150.42944758899102,150.42944758899102,150.42944758899102,150.42944758899102,150.42944758899102,150.42944758899102,r,0.49082276699482463,150.9720264189964,150.9720264189964,150.9720264189964,150.9720264189964,150.9720264189964,150.9720264189964,151.23948845799896,151.23948845799896,153.1548866219964,153.1548866219964,153.19672226499824,153.19672226499824,153.19672226499824,153.19672226499824,153.19672226499824,153.19672226499824,153.19672226499824,153.19672226499824,153.19672226499824,153.19672226499824,153.19672226499824,153.19672226499824,153.19672226499824,153.19672226499824,153.19672226499824,51,29,42,49,51,56,3.0,2.706042019999586,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,3,,[],[],[],[],[],[],[],,,,,None,None,158.455689918992,160.10093784399214,155.70501761398918,155.70501761398918,155.70501761398918,155.70501761398918,155.70501761398918,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,160.10093784399214,160.10093784399214,160.10093784399214,160.10093784399214,160.10093784399214,160.10093784399214,i,0.5882381499977782,160.72570563798945,160.72570563798945,160.72570563798945,160.72570563798945,160.72570563798945,160.72570563798945,160.99385367899959,160.99385367899959,162.56846956998925,162.56846956998925,162.6102508329932,162.6102508329932,162.6102508329932,162.6102508329932,162.6102508329932,162.6102508329932,162.6102508329932,162.6102508329932,162.6102508329932,162.6102508329932,162.6102508329932,162.6102508329932,162.6102508329932,162.6102508329932,162.6102508329932,50,38,47,45,47,33,None,None,165.13021953200223,165.13021953200223,165.13021953200223,165.13021953200223,165.13021953200223,165.13021953200223,165.13021953200223,165.13021953200223,0.008564686999307014,165.13021953200223,78,78,[0.10375],[-0.285],[1],[0],[0],[3.375549278993276],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],168.5387652979989,168.5387652979989,168.5387652979989,168.5387652979989,6.012499999999999,1.911444572993787,170.46574783499818,172.35756474899244,,,,,,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,172.35756474899244,172.35756474899244,172.35756474899244,172.35756474899244,172.35756474899244,172.35756474899244,j,0.6921960699983174,173.1016632009996,173.1016632009996,173.1016632009996,173.1016632009996,173.1016632009996,173.1016632009996,173.3737539970025,173.3737539970025,175.33435945499514,175.33435945499514,175.3754024559894,175.3754024559894,175.3754024559894,175.3754024559894,175.3754024559894,175.3754024559894,175.3754024559894,175.3754024559894,175.3754024559894,175.3754024559894,175.3754024559894,175.3754024559894,175.3754024559894,175.3754024559894,175.3754024559894,46,43,43,51,51,63,3.0,1.9659588759968756,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],,,,,None,None,179.88241258799098,181.77812311598973,177.87473118699563,177.87473118699563,177.87473118699563,177.87473118699563,177.87473118699563,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,181.77812311598973,181.77812311598973,181.77812311598973,181.77812311598973,181.77812311598973,181.77812311598973,f,0.43191346000821795,182.2526881340018,182.2526881340018,182.2526881340018,182.2526881340018,182.2526881340018,182.2526881340018,182.5206918999902,182.5206918999902,183.8422208589909,183.8422208589909,183.88261647499166,183.88261647499166,183.88261647499166,183.88261647499166,183.88261647499166,183.88261647499166,183.88261647499166,183.88261647499166,183.88261647499166,183.88261647499166,183.88261647499166,183.88261647499166,183.88261647499166,183.88261647499166,183.88261647499166,58,43,46,53,43,58,2.0,1.6913634929951513,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],,,,,None,None,188.11908547699568,190.09799203499279,186.38502669399895,186.38502669399895,186.38502669399895,186.38502669399895,186.38502669399895,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
