bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,expectself.text,expectself.started,expectself.stopped,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,tijiao_click.started,tijiao_click.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.started,tijiao_random.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
1,-0.3,-0.225,0,36,36,36,,,,,,,,,,,,,,,None,None,None,None,None,542.4626619999981,None,542.4626619999981,None,542.4626619999981,None,542.4626619999981,None,i,0.7606440999952611,542.4626619999981,None,542.4626619999981,None,543.2550513000024,None,543.2550513000024,None,543.2550513000024,None,543.2550513000024,None,543.2550513000024,None,543.2550513000024,None,543.5433350000021,545.2056193000026,543.5433350000021,545.2056193000026,545.2257490999982,None,545.2257490999982,None,545.2257490999982,None,545.2257490999982,None,545.2257490999982,None,545.2257490999982,None,545.2257490999982,None,545.2257490999982,None,545.2257490999982,None,18,56,34,42,34,50,547.7343455000009,None,3.0,3.334391999997024,547.7343455000009,None,547.7343455000009,None,547.7343455000009,None,547.7343455000009,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,,,,,,,None,None,0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,551.1192164000022,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
0,0.3,0.225,0,37,37,37,,,,,,,,,,,,,,,None,None,None,None,None,552.9344071000014,None,552.9344071000014,None,552.9344071000014,None,552.9344071000014,None,r,0.6085945000013453,552.9344071000014,None,552.9344071000014,None,553.5767745999983,None,553.5767745999983,None,553.5767745999983,None,553.5767745999983,None,553.5767745999983,None,553.5767745999983,None,553.865037399999,554.8290459999989,553.865037399999,554.8290459999989,554.8494228999989,None,554.8494228999989,None,554.8494228999989,None,554.8494228999989,None,554.8494228999989,None,554.8494228999989,None,554.8494228999989,None,554.8494228999989,None,554.8494228999989,None,25,51,37,40,25,51,557.3616609000019,None,2.0,2.4014225999999326,557.3616609000019,None,557.3616609000019,None,557.3616609000019,None,557.3616609000019,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,,,,,,,None,None,-0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,559.810562300001,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
1,-0.3,-0.225,0,38,38,38,,,,,,,,,,,,,,,None,None,None,None,None,561.5607968999975,None,561.5607968999975,None,561.5607968999975,None,561.5607968999975,None,i,0.7294457000025432,561.5607968999975,None,561.5607968999975,None,562.3178486000033,None,562.3178486000033,None,562.3178486000033,None,562.3178486000033,None,562.3178486000033,None,562.3178486000033,None,562.6080791999993,None,562.6080791999993,None,564.4886422999989,None,564.4886422999989,None,564.4886422999989,None,564.4886422999989,None,564.4886422999989,None,564.4886422999989,None,564.4886422999989,None,564.4886422999989,None,564.4886422999989,None,33,60,40,45,40,58,566.9986216000034,None,3.0,2.6194042999995872,566.9986216000034,None,566.9986216000034,None,566.9986216000034,None,566.9986216000034,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,,,,,,,None,None,-0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,569.6720121000035,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
0,0.3,0.225,0,39,39,39,,,,,,,,,,,,,,,None,None,None,None,None,571.4167964000007,None,571.4167964000007,None,571.4167964000007,None,571.4167964000007,None,j,0.8739176999952178,571.4167964000007,None,571.4167964000007,None,572.3246919000012,None,572.3246919000012,None,572.3246919000012,None,572.3246919000012,None,572.3246919000012,None,572.3246919000012,None,572.6141395000013,574.1595029000018,572.6141395000013,574.1595029000018,574.1795015000025,None,574.1795015000025,None,574.1795015000025,None,574.1795015000025,None,574.1795015000025,None,574.1795015000025,None,574.1795015000025,None,574.1795015000025,None,574.1795015000025,None,29,62,45,44,44,54,None,None,None,None,None,None,None,None,None,None,None,None,65,576.7000834999999,None,576.7000834999999,None,576.7000834999999,None,576.7000834999999,None,576.7000834999999,None,576.7000834999999,None,576.7000834999999,None,65,576.7000834999999,None,-0.1962962962962963,-0.24814814814814815,1,0,0,5.264156900004309,tijiao,0.01094463999470463,None,0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,8.925925925925926,4.661482300005446,584.4450993999999,None,584.4450993999999,None,584.4450993999999,None,584.4450993999999,None,None,None,589.1178291000033,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
1,-0.3,-0.225,0,40,40,40,,,,,,,,,,,,,,,None,None,None,None,None,590.8142447999999,None,590.8142447999999,None,590.8142447999999,None,590.8142447999999,None,j,0.5283135999998194,590.8142447999999,None,590.8142447999999,None,591.3740006000007,None,591.3740006000007,None,591.3740006000007,None,591.3740006000007,None,591.3740006000007,None,591.3740006000007,None,591.6620419000028,592.4765619000027,591.6620419000028,592.4765619000027,592.4968049000017,None,592.4968049000017,None,592.4968049000017,None,592.4968049000017,None,592.4968049000017,None,592.4968049000017,None,592.4968049000017,None,592.4968049000017,None,592.4968049000017,None,35,58,41,46,46,51,None,None,None,None,None,None,None,None,None,None,None,None,60,595.0181921999974,None,595.0181921999974,None,595.0181921999974,None,595.0181921999974,None,595.0181921999974,None,595.0181921999974,None,595.0181921999974,None,60,595.0181921999974,None,0.175,-0.30925925925925923,1,0,0,6.044406900000467,tijiao,0.010174840004765429,None,-0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,10.074074074074074,3.2991751000008662,601.0958331000002,None,601.0958331000002,None,601.0958331000002,None,601.0958331000002,None,None,None,604.4093775000001,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
0,0.3,0.225,0,41,41,41,,,,,,,,,,,,,,,None,None,None,None,None,606.2554086000018,None,606.2554086000018,None,606.2554086000018,None,606.2554086000018,None,j,0.3661033000025782,606.2554086000018,None,606.2554086000018,None,606.6493241999997,None,606.6493241999997,None,606.6493241999997,None,606.6493241999997,None,606.6493241999997,None,606.6493241999997,None,606.9372896999994,None,606.9372896999994,None,608.121192700004,None,608.121192700004,None,608.121192700004,None,608.121192700004,None,608.121192700004,None,608.121192700004,None,608.121192700004,None,608.121192700004,None,608.121192700004,None,35,51,39,54,54,53,None,None,None,None,None,None,None,None,None,None,None,None,54,610.6398345999987,None,610.6398345999987,None,610.6398345999987,None,610.6398345999987,None,610.6398345999987,None,610.6398345999987,None,610.6398345999987,None,54,610.6398345999987,None,0.10185185185185185,-0.2953703703703704,1,0,0,5.34749759999977,tijiao,0.01154223999765236,None,-0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,9.055555555555555,2.4696758999998565,616.0207585000026,None,616.0207585000026,None,616.0207585000026,None,616.0207585000026,None,None,None,618.5043764000002,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
1,-0.3,-0.225,0,42,42,42,,,,,,,,,,,,,,,None,None,None,None,None,620.050777299999,None,620.050777299999,None,620.050777299999,None,620.050777299999,None,j,0.5471783999964828,620.050777299999,None,620.050777299999,None,620.6264114000005,None,620.6264114000005,None,620.6264114000005,None,620.6264114000005,None,620.6264114000005,None,620.6264114000005,None,620.9154656000028,622.5775710000016,620.9154656000028,622.5775710000016,622.5986797000005,None,622.5986797000005,None,622.5986797000005,None,622.5986797000005,None,622.5986797000005,None,622.5986797000005,None,622.5986797000005,None,622.5986797000005,None,622.5986797000005,None,42,54,43,51,51,50,625.1091617999991,None,5.0,2.8003810999944108,625.1091617999991,None,625.1091617999991,None,625.1091617999991,None,625.1091617999991,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,,,,,,,None,None,-0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,627.9592580000026,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
0,0.3,0.225,0,43,43,43,,,,,,,,,,,,,,,None,None,None,None,None,629.5415961000035,None,629.5415961000035,None,629.5415961000035,None,629.5415961000035,None,j,0.5226270000057411,629.5415961000035,None,629.5415961000035,None,630.1026032000009,None,630.1026032000009,None,630.1026032000009,None,630.1026032000009,None,630.1026032000009,None,630.1026032000009,None,630.3897576000018,None,630.3897576000018,None,631.9219136000029,None,631.9219136000029,None,631.9219136000029,None,631.9219136000029,None,631.9219136000029,None,631.9219136000029,None,631.9219136000029,None,631.9219136000029,None,631.9219136000029,None,40,53,38,44,44,47,None,None,None,None,None,None,None,None,None,None,None,None,39,634.4448319000003,None,634.4448319000003,None,634.4448319000003,None,634.4448319000003,None,634.4448319000003,None,634.4448319000003,None,634.4448319000003,None,39,634.4448319000003,None,-0.03518518518518519,-0.29074074074074074,1,0,0,6.175752100003592,tijiao,0.008777939990977757,None,0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,9.99074074074074,4.396058699996502,640.654063300004,None,640.654063300004,None,640.654063300004,None,640.654063300004,None,None,None,645.0650230000028,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
1,-0.3,-0.225,0,44,44,44,,,,,,,,,,,,,,,None,None,None,None,None,646.8446331000014,None,646.8446331000014,None,646.8446331000014,None,646.8446331000014,None,j,0.409580300001835,646.8446331000014,None,646.8446331000014,None,647.287714799997,None,647.287714799997,None,647.287714799997,None,647.287714799997,None,647.287714799997,None,647.287714799997,None,647.5762054000006,648.7563537000024,647.5762054000006,648.7563537000024,648.7772946999976,None,648.7772946999976,None,648.7772946999976,None,648.7772946999976,None,648.7772946999976,None,648.7772946999976,None,648.7772946999976,None,648.7772946999976,None,648.7772946999976,None,33,57,34,53,53,48,None,None,None,None,None,None,None,None,None,None,None,None,40,651.2980097000036,None,651.2980097000036,None,651.2980097000036,None,651.2980097000036,None,651.2980097000036,None,651.2980097000036,None,651.2980097000036,None,40,651.2980097000036,None,0.022222222222222223,-0.24351851851851852,1,0,0,0.17733609999413602,tijiao,0.010018439992563799,None,0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,7.064814814814815,2.800946200004546,659.5358746999991,None,659.5358746999991,None,659.5358746999991,None,659.5358746999991,None,None,None,662.3511205000032,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
0,0.3,0.225,0,45,45,45,,,,,,,,,,,,,,,None,None,None,None,None,663.8646603000016,None,663.8646603000016,None,663.8646603000016,None,663.8646603000016,None,i,0.6917959999991581,663.8646603000016,None,663.8646603000016,None,664.5910592,None,664.5910592,None,664.5910592,None,664.5910592,None,664.5910592,None,664.5910592,None,664.8789831000031,666.8232696999985,664.8789831000031,666.8232696999985,666.845588199998,None,666.845588199998,None,666.845588199998,None,666.845588199998,None,666.845588199998,None,666.845588199998,None,666.845588199998,None,666.845588199998,None,666.845588199998,None,43,58,38,51,38,50,None,None,None,None,None,None,None,None,None,None,None,None,54,669.3680494,None,669.3680494,None,669.3680494,None,669.3680494,None,669.3680494,None,669.3680494,None,669.3680494,None,54,669.3680494,None,-0.020370370370370372,-0.3148148148148148,1,0,0,6.2086304999975255,tijiao,0.008255439999629743,None,-0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,9.00925925925926,2.75133569999889,675.608003100002,None,675.608003100002,None,675.608003100002,None,675.608003100002,None,None,None,678.3741121999992,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
