bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,slider_2.started,image_7.started,confi.started,notconfi.started,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,40.93259290000424,40.93259290000424,space,2.247995499987155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,f,23,2023-03-23_10h02.02.229,RL,2022.2.4,60.1956358204529,
,,,,,,,,,,,43.21165280000423,43.21165280000423,s,46.58871449998696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,f,23,2023-03-23_10h02.02.229,RL,2022.2.4,60.1956358204529,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,89.82136520001222,None,90.85602720000315,90.85602720000315,90.85602720000315,90.85602720000315,90.85602720000315,90.85602720000315,f,0.7779459999874234,91.68672520000837,91.68672520000837,91.68672520000837,91.68672520000837,91.68672520000837,91.68672520000837,91.96593100001337,91.96593100001337,93.46147619999829,93.46147619999829,93.4831938999996,93.4831938999996,93.4831938999996,93.4831938999996,93.4831938999996,93.4831938999996,93.4831938999996,93.4831938999996,93.4831938999996,93.4831938999996,93.4831938999996,93.4831938999996,93.4831938999996,93.4831938999996,93.4831938999996,95.98749310002313,95.98749310002313,95.98749310002313,95.98749310002313,95.98749310002313,46,53,57,34,53,56,5.0,2.425917100015795,,,[],[],[],[],[],[],[],-0.2,3,,[],[],[],[],[],[],[],None,None,98.62635930001852,100.55856070001028,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,f,23,2023-03-23_10h02.02.229,RL,2022.2.4,60.1956358204529,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,100.55856070001028,100.55856070001028,100.55856070001028,100.55856070001028,100.55856070001028,100.55856070001028,j,0.7358019000093918,101.33093850000296,101.33093850000296,101.33093850000296,101.33093850000296,101.33093850000296,101.33093850000296,101.62278080001124,101.62278080001124,103.23453810001956,103.23453810001956,103.23453810001956,103.23453810001956,103.23453810001956,103.23453810001956,103.23453810001956,103.23453810001956,103.23453810001956,103.23453810001956,103.23453810001956,103.23453810001956,103.23453810001956,103.23453810001956,103.23453810001956,103.23453810001956,103.23453810001956,,,,,,30,65,64,41,41,28,None,None,,,[],[],[],[],[],[],[],-0.2,1,56,[-0.001851851851851852],[-0.2759259259259259],[1],[0],[0],[4.009119399997871],['tijiao_random_2'],5.0,2.121739299996989,111.92680590000236,113.73921250001877,105.76848009999958,105.76848009999958,105.76848009999958,105.76848009999958,105.76848009999958,105.76848009999958,105.76848009999958,105.76848009999958,0.006022999994456768,105.76848009999958,109.79206470001373,109.79206470001373,109.79206470001373,109.79206470001373,,,,,,,,,,,,,,254,f,23,2023-03-23_10h02.02.229,RL,2022.2.4,60.1956358204529,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,113.73921250001877,113.73921250001877,113.73921250001877,113.73921250001877,113.73921250001877,113.73921250001877,f,1.0122952999954578,114.77002970001195,114.77002970001195,114.77002970001195,114.77002970001195,114.77002970001195,114.77002970001195,115.06925520001096,115.06925520001096,116.76452470000368,116.76452470000368,116.76452470000368,116.76452470000368,116.76452470000368,116.76452470000368,116.76452470000368,116.76452470000368,116.76452470000368,116.76452470000368,116.76452470000368,116.76452470000368,116.76452470000368,116.76452470000368,116.76452470000368,116.76452470000368,116.76452470000368,,,,,,34,70,69,30,70,62,None,None,,,[],[],[],[],[],[],[],-0.2,1,76,[0.000925925925925926],[-0.3111111111111111],[1],[0],[0],[5.567466699983925],['tijiao_random_2'],4.953703703703704,3.267441699979827,128.1487909000134,129.87832950000302,119.28261690001818,119.28261690001818,119.28261690001818,119.28261690001818,119.28261690001818,119.28261690001818,119.28261690001818,119.28261690001818,0.00617669997154735,119.28261690001818,124.86503450002056,124.86503450002056,124.86503450002056,124.86503450002056,,,,,,,,,,,,,,254,f,23,2023-03-23_10h02.02.229,RL,2022.2.4,60.1956358204529,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,129.87832950000302,129.87832950000302,129.87832950000302,129.87832950000302,129.87832950000302,129.87832950000302,f,0.43981159999384545,130.34654030000092,130.34654030000092,130.34654030000092,130.34654030000092,130.34654030000092,130.34654030000092,130.6432265000185,130.6432265000185,132.27791210002033,132.27791210002033,132.27791210002033,132.27791210002033,132.27791210002033,132.27791210002033,132.27791210002033,132.27791210002033,132.27791210002033,132.27791210002033,132.27791210002033,132.27791210002033,132.27791210002033,132.27791210002033,132.27791210002033,132.27791210002033,132.27791210002033,,,,,,44,70,61,37,70,49,None,None,,,[],[],[],[],[],[],[],0.6,1,70,[0.004629629629629629],[-0.27685185185185185],[1],[0],[0],[5.302048099983949],['tijiao_random_2'],6.083333333333333,2.6530023000086658,142.77607180000632,144.322624500026,134.78925050000544,134.78925050000544,134.78925050000544,134.78925050000544,134.78925050000544,134.78925050000544,134.78925050000544,134.78925050000544,0.005793000018456951,134.78925050000544,140.10422440001275,140.10422440001275,140.10422440001275,140.10422440001275,,,,,,,,,,,,,,254,f,23,2023-03-23_10h02.02.229,RL,2022.2.4,60.1956358204529,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,144.322624500026,144.322624500026,144.322624500026,144.322624500026,144.322624500026,144.322624500026,r,0.7959301000228152,145.14348690002225,145.14348690002225,145.14348690002225,145.14348690002225,145.14348690002225,145.14348690002225,145.43637210002635,145.43637210002635,147.03216760000214,147.03216760000214,147.03216760000214,147.03216760000214,147.03216760000214,147.03216760000214,147.03216760000214,147.03216760000214,147.03216760000214,147.03216760000214,147.03216760000214,147.03216760000214,147.03216760000214,147.03216760000214,147.03216760000214,147.03216760000214,147.03216760000214,,,,,,42,67,68,40,42,52,None,None,77,77,[0.03888888888888889],[-0.28703703703703703],[1],[0],[0],[6.639572200016119],['tijiao'],0.2,0,,[],[],[],[],[],[],[],4.083333333333334,3.210470699996222,159.430199800001,161.17632680002134,,,,,,,,,,,156.20154400001047,156.20154400001047,156.20154400001047,156.20154400001047,149.54808230002527,149.54808230002527,149.54808230002527,149.54808230002527,149.54808230002527,149.54808230002527,149.54808230002527,149.54808230002527,0.005528200010303408,149.54808230002527,,,,254,f,23,2023-03-23_10h02.02.229,RL,2022.2.4,60.1956358204529,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,161.17632680002134,161.17632680002134,161.17632680002134,161.17632680002134,161.17632680002134,161.17632680002134,i,0.8809190000174567,162.07914660000824,162.07914660000824,162.07914660000824,162.07914660000824,162.07914660000824,162.07914660000824,162.37363560000085,162.37363560000085,163.4036234000232,163.4036234000232,163.42075770001975,163.42075770001975,163.42075770001975,163.42075770001975,163.42075770001975,163.42075770001975,163.42075770001975,163.42075770001975,163.42075770001975,163.42075770001975,163.42075770001975,163.42075770001975,163.42075770001975,163.42075770001975,163.42075770001975,165.929589700012,165.929589700012,165.929589700012,165.929589700012,165.929589700012,43,69,63,38,63,32,7.0,2.2427280000119936,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,168.19629910000367,169.7365359000105,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,f,23,2023-03-23_10h02.02.229,RL,2022.2.4,60.1956358204529,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,169.7365359000105,169.7365359000105,169.7365359000105,169.7365359000105,169.7365359000105,169.7365359000105,r,0.997320900001796,170.76839150002343,170.76839150002343,170.76839150002343,170.76839150002343,170.76839150002343,170.76839150002343,171.06649000002653,171.06649000002653,172.59504460002063,172.59504460002063,172.59504460002063,172.59504460002063,172.59504460002063,172.59504460002063,172.59504460002063,172.59504460002063,172.59504460002063,172.59504460002063,172.59504460002063,172.59504460002063,172.59504460002063,172.59504460002063,172.59504460002063,172.59504460002063,172.59504460002063,,,,,,44,66,68,29,44,53,None,None,22,22,[0.10833333333333334],[-0.2675925925925926],[1],[0],[0],[5.310369500017259],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],3.166666666666667,2.47708209999837,182.93280520002008,184.54619360002107,,,,,,,,,,,180.43671820001327,180.43671820001327,180.43671820001327,180.43671820001327,175.10571770000388,175.10571770000388,175.10571770000388,175.10571770000388,175.10571770000388,175.10571770000388,175.10571770000388,175.10571770000388,0.005258399993181229,175.10571770000388,,,,254,f,23,2023-03-23_10h02.02.229,RL,2022.2.4,60.1956358204529,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,184.54619360002107,184.54619360002107,184.54619360002107,184.54619360002107,184.54619360002107,184.54619360002107,f,0.7636378000024706,185.32938740000827,185.32938740000827,185.32938740000827,185.32938740000827,185.32938740000827,185.32938740000827,185.62676800001645,185.62676800001645,187.3052901000192,187.3052901000192,187.32182120002108,187.32182120002108,187.32182120002108,187.32182120002108,187.32182120002108,187.32182120002108,187.32182120002108,187.32182120002108,187.32182120002108,187.32182120002108,187.32182120002108,187.32182120002108,187.32182120002108,187.32182120002108,187.32182120002108,189.83077690002392,189.83077690002392,189.83077690002392,189.83077690002392,189.83077690002392,40,64,70,28,64,62,5.0,2.6087715000030585,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,192.4658608000027,194.11984740002663,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,f,23,2023-03-23_10h02.02.229,RL,2022.2.4,60.1956358204529,
