trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,image_3.started,slider.started,text.started,image_4.started,image_5.started,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate
,,,,50.0972902,50.0972902,space,17.0194811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,f,18,2023-03-21_10h54.02.254,RL,2022.2.4,60.16036347
,,,,,,,,67.1546707,67.1546707,s,31.1140846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,f,18,2023-03-21_10h54.02.254,RL,2022.2.4,60.16036347
1,0,0,0,,,,,,,,,98.2967385,None,99.3110526,99.3110526,99.3110526,99.3110526,99.3110526,99.3110526,i,0.3268888,99.678622,99.678622,99.678622,99.678622,99.678622,99.678622,99.9590709,99.9590709,101.886521,101.886521,101.9060301,101.9060301,101.9060301,101.9060301,101.9060301,101.9060301,101.9060301,101.9060301,101.9060301,101.9060301,101.9060301,101.9060301,101.9060301,101.9060301,101.9060301,72,56,45,44,45,24,None,None,,,[],[],[],[],[],[],[],0.6,1,104.4257992,104.4257992,104.4257992,104.4257992,104.4257992,104.4257992,104.4257992,104.4257992,0.0060878,104.4257992,19,[0.09907407407407408],[-0.31203703703703706],[1],[0],[0],[6.912276000002748],['tijiao_random_2'],111.3567853,111.3567853,111.3567853,111.3567853,3.064814815,3.3488048,114.752664,116.6297776,,,,,,,,,,,,,,,,,,,,,,234,f,18,2023-03-21_10h54.02.254,RL,2022.2.4,60.16036347
0,0,1,0,,,,,,,,,,None,116.6297776,116.6297776,116.6297776,116.6297776,116.6297776,116.6297776,f,0.2733258,116.934971,116.934971,116.934971,116.934971,116.934971,116.934971,117.2284883,117.2284883,118.5248328,118.5248328,118.5415198,118.5415198,118.5415198,118.5415198,118.5415198,118.5415198,118.5415198,118.5415198,118.5415198,118.5415198,118.5415198,118.5415198,118.5415198,118.5415198,118.5415198,78,56,53,43,56,67,None,None,,,[],[],[],[],[],[],[],0.2,1,121.0591427,121.0591427,121.0591427,121.0591427,121.0591427,121.0591427,121.0591427,121.0591427,0.006561,121.0591427,56,[-0.017592592592592594],[-0.29074074074074074],[1],[0],[0],[9.390158900001552],['tijiao_random_2'],130.4625394,130.4625394,130.4625394,130.4625394,3.064814815,2.9357912,133.4166245,135.1294007,,,,,,,,,,,,,,,,,,,,,,234,f,18,2023-03-21_10h54.02.254,RL,2022.2.4,60.16036347
1,0,2,0,,,,,,,,,,None,135.1294007,135.1294007,135.1294007,135.1294007,135.1294007,135.1294007,i,0.2518007,135.4144649,135.4144649,135.4144649,135.4144649,135.4144649,135.4144649,135.711352,135.711352,137.290215,137.290215,137.290215,137.290215,137.290215,137.290215,137.290215,137.290215,137.290215,137.290215,137.290215,137.290215,137.290215,137.290215,137.290215,137.290215,137.290215,74,57,46,47,46,59,2,2.2761658,,,[],[],[],[],[],[],[],0.6,3,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,142.1004339,144.0217383,139.7998261,139.7998261,139.7998261,139.7998261,139.7998261,,,,,,,,,,,,,,,,,234,f,18,2023-03-21_10h54.02.254,RL,2022.2.4,60.16036347
0,0,3,0,,,,,,,,,,None,144.0217383,144.0217383,144.0217383,144.0217383,144.0217383,144.0217383,j,0.2310011,144.2760537,144.2760537,144.2760537,144.2760537,144.2760537,144.2760537,144.5705447,144.5705447,145.4514016,145.4514016,145.4680511,145.4680511,145.4680511,145.4680511,145.4680511,145.4680511,145.4680511,145.4680511,145.4680511,145.4680511,145.4680511,145.4680511,145.4680511,145.4680511,145.4680511,65,63,49,44,44,27,5,2.3923814,,,[],[],[],[],[],[],[],-0.6,2,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,150.396847,152.2822621,147.9770002,147.9770002,147.9770002,147.9770002,147.9770002,,,,,,,,,,,,,,,,,234,f,18,2023-03-21_10h54.02.254,RL,2022.2.4,60.16036347
1,0,4,0,,,,,,,,,,None,152.2822621,152.2822621,152.2822621,152.2822621,152.2822621,152.2822621,r,0.268412,152.5820319,152.5820319,152.5820319,152.5820319,152.5820319,152.5820319,152.8810764,152.8810764,153.8285985,153.8285985,153.8451376,153.8451376,153.8451376,153.8451376,153.8451376,153.8451376,153.8451376,153.8451376,153.8451376,153.8451376,153.8451376,153.8451376,153.8451376,153.8451376,153.8451376,62,70,52,41,62,47,None,None,70,70,[0.0787037037037037],[-0.28703703703703703],[1],[0],[0],[5.059115199997905],['tijiao'],0.6,0,,,,,,,,,,,,[],[],[],[],[],[],[],161.4364012,161.4364012,161.4364012,161.4364012,5.972222222,5.1050065,166.5592098,168.138858,,,,,,156.3595469,156.3595469,156.3595469,156.3595469,156.3595469,156.3595469,156.3595469,156.3595469,0.0069743,156.3595469,,,,,,,234,f,18,2023-03-21_10h54.02.254,RL,2022.2.4,60.16036347
0,0,5,0,,,,,,,,,,None,168.138858,168.138858,168.138858,168.138858,168.138858,168.138858,r,0.2327576,168.3887783,168.3887783,168.3887783,168.3887783,168.3887783,168.3887783,168.6880084,168.6880084,170.0671174,170.0671174,170.0671174,170.0671174,170.0671174,170.0671174,170.0671174,170.0671174,170.0671174,170.0671174,170.0671174,170.0671174,170.0671174,170.0671174,170.0671174,170.0671174,170.0671174,68,70,52,44,68,28,6,2.3089849,,,[],[],[],[],[],[],[],0.2,2,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,174.9101712,176.799069,172.5767837,172.5767837,172.5767837,172.5767837,172.5767837,,,,,,,,,,,,,,,,,234,f,18,2023-03-21_10h54.02.254,RL,2022.2.4,60.16036347
1,0,6,0,,,,,,,,,,None,176.799069,176.799069,176.799069,176.799069,176.799069,176.799069,r,0.2804698,177.0983822,177.0983822,177.0983822,177.0983822,177.0983822,177.0983822,177.3975873,177.3975873,179.1258024,179.1258024,179.1258024,179.1258024,179.1258024,179.1258024,179.1258024,179.1258024,179.1258024,179.1258024,179.1258024,179.1258024,179.1258024,179.1258024,179.1258024,179.1258024,179.1258024,68,64,43,50,68,52,6,1.4289593,,,[],[],[],[],[],[],[],-0.6,3,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,183.0915051,184.7605217,181.6350571,181.6350571,181.6350571,181.6350571,181.6350571,,,,,,,,,,,,,,,,,234,f,18,2023-03-21_10h54.02.254,RL,2022.2.4,60.16036347
0,0,7,0,,,,,,,,,,None,184.7605217,184.7605217,184.7605217,184.7605217,184.7605217,184.7605217,r,0.3077028,185.0932787,185.0932787,185.0932787,185.0932787,185.0932787,185.0932787,185.3921069,185.3921069,186.6222355,186.6222355,186.6222355,186.6222355,186.6222355,186.6222355,186.6222355,186.6222355,186.6222355,186.6222355,186.6222355,186.6222355,186.6222355,186.6222355,186.6222355,186.6222355,186.6222355,61,66,42,42,61,39,None,None,68,68,[0.03611111111111111],[-0.29907407407407405],[1],[0],[0],[5.741776799986837],['tijiao'],-0.2,0,,,,,,,,,,,,[],[],[],[],[],[],[],194.8945637,194.8945637,194.8945637,194.8945637,10.01851852,1.3979806,196.3117071,198.0906552,,,,,,189.1323581,189.1323581,189.1323581,189.1323581,189.1323581,189.1323581,189.1323581,189.1323581,0.0056672,189.1323581,,,,,,,234,f,18,2023-03-21_10h54.02.254,RL,2022.2.4,60.16036347
