bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,expectself.text,expectself.started,expectself.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,tijiao_click.started,tijiao_click.stopped,check.started,check.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.started,tijiao_random.stopped,check_2.started,check_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,23.925171799957752,None,space,2.087770999991335,23.925171799957752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,m,21,2023_Mar_23_1002,RL,2021.2.3,59.95419500916961,
,,,,,,,,,,,,,26.12050720001571,None,s,42.668809499940835,26.12050720001571,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,m,21,2023_Mar_23_1002,RL,2021.2.3,59.95419500916961,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,,,,,68.83385860000271,None,None,None,None,None,None,69.91074780002236,None,69.91074780002236,None,69.91074780002236,None,69.91074780002236,None,r,0.6964512000558898,69.91074780002236,None,69.91074780002236,None,70.72535680001602,None,70.72535680001602,None,70.72535680001602,None,70.72535680001602,None,70.72535680001602,None,70.72535680001602,None,71.01919679995626,72.98720450000837,71.01919679995626,72.98720450000837,73.07546740001999,None,73.07546740001999,None,73.07546740001999,None,73.07546740001999,None,73.07546740001999,None,73.07546740001999,None,73.07546740001999,None,73.07546740001999,None,73.07546740001999,None,64,40,25,55,64,44,None,None,None,None,None,None,None,None,None,None,None,None,50,75.81912140001077,None,50,75.81912140001077,None,75.81912140001077,None,75.81912140001077,None,75.81912140001077,None,75.81912140001077,None,75.81912140001077,None,75.81912140001077,None,-0.0625,-0.3216145833333333,1,0,0,6.619020699989051,tijiao,0.01432269997894764,None,75.81912140001077,None,-0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,4.997395833333333,2.006964399944991,82.82750499993563,None,82.82750499993563,None,82.82750499993563,None,82.82750499993563,None,None,None,84.93708279996645,None,,,,,,,,,253,m,21,2023_Mar_23_1002,RL,2021.2.3,59.95419500916961,
0,0.3,0.225,0,1,1,1,,,,,,,,,,,,,,,None,None,None,None,None,86.61683169996832,None,86.61683169996832,None,86.61683169996832,None,86.61683169996832,None,i,1.19045770005323,86.61683169996832,None,86.61683169996832,None,87.86998349998612,None,87.86998349998612,None,87.86998349998612,None,87.86998349998612,None,87.86998349998612,None,87.86998349998612,None,88.14778579992708,89.19873459998053,88.14778579992708,89.19873459998053,89.23478419997264,None,89.23478419997264,None,89.23478419997264,None,89.23478419997264,None,89.23478419997264,None,89.23478419997264,None,89.23478419997264,None,89.23478419997264,None,89.23478419997264,None,56,39,25,48,25,46,91.75018309999723,None,3.0,1.9232240000274032,91.75018309999723,None,91.75018309999723,None,91.75018309999723,None,91.75018309999723,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,93.8681770999683,None,,,,,,,,,253,m,21,2023_Mar_23_1002,RL,2021.2.3,59.95419500916961,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,,,,,,None,None,None,None,None,95.4909869999392,None,95.4909869999392,None,95.4909869999392,None,95.4909869999392,None,f,1.2362784000579268,95.4909869999392,None,95.4909869999392,None,96.76641859998927,None,96.76641859998927,None,96.76641859998927,None,96.76641859998927,None,96.76641859998927,None,96.76641859998927,None,97.05380929994863,98.38820499996655,97.05380929994863,98.38820499996655,98.42259969993029,None,98.42259969993029,None,98.42259969993029,None,98.42259969993029,None,98.42259969993029,None,98.42259969993029,None,98.42259969993029,None,98.42259969993029,None,98.42259969993029,None,72,30,26,46,30,66,100.94335069996305,None,2.0,2.485514499945566,100.94335069996305,None,100.94335069996305,None,100.94335069996305,None,100.94335069996305,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,103.4875893999124,None,,,,,,,,,253,m,21,2023_Mar_23_1002,RL,2021.2.3,59.95419500916961,
0,0.3,0.225,0,3,3,3,,,,,,,,,,,,,,,None,None,None,None,None,105.36453619995154,None,105.36453619995154,None,105.36453619995154,None,105.36453619995154,None,j,0.5529674999415874,105.36453619995154,None,105.36453619995154,None,105.95438369992189,None,105.95438369992189,None,105.95438369992189,None,105.95438369992189,None,105.95438369992189,None,105.95438369992189,None,106.24370380002074,107.87841339991428,106.24370380002074,107.87841339991428,107.91466519993264,None,107.91466519993264,None,107.91466519993264,None,107.91466519993264,None,107.91466519993264,None,107.91466519993264,None,107.91466519993264,None,107.91466519993264,None,107.91466519993264,None,69,34,36,58,58,27,None,None,None,None,None,None,None,None,None,None,None,None,50,110.45542589994147,None,50,110.45542589994147,None,110.45542589994147,None,110.45542589994147,None,110.45542589994147,None,110.45542589994147,None,110.45542589994147,None,110.45542589994147,None,-0.0026041666666666665,-0.28125,1,0,0,3.919870699988678,tijiao,0.01665024005342275,None,110.45542589994147,None,-0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,5.947916666666667,4.31696850003209,114.4236772999866,None,114.4236772999866,None,114.4236772999866,None,114.4236772999866,None,None,None,118.76774959999602,None,,,,,,,,,253,m,21,2023_Mar_23_1002,RL,2021.2.3,59.95419500916961,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,,,,,,None,None,None,None,None,120.34107219998259,None,120.34107219998259,None,120.34107219998259,None,120.34107219998259,None,f,0.8265113999368623,120.34107219998259,None,120.34107219998259,None,121.20924869994633,None,121.20924869994633,None,121.20924869994633,None,121.20924869994633,None,121.20924869994633,None,121.20924869994633,None,121.504444399965,None,121.504444399965,None,123.26074980001431,None,123.26074980001431,None,123.26074980001431,None,123.26074980001431,None,123.26074980001431,None,123.26074980001431,None,123.26074980001431,None,123.26074980001431,None,123.26074980001431,None,75,21,23,50,21,75,125.79011249996256,None,2.0,2.351762200007215,125.79011249996256,None,125.79011249996256,None,125.79011249996256,None,125.79011249996256,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,128.19893720000982,None,,,,,,,,,253,m,21,2023_Mar_23_1002,RL,2021.2.3,59.95419500916961,
0,0.3,0.225,0,5,5,5,,,,,,,,,,,,,,,None,None,None,None,None,129.81478050001897,None,129.81478050001897,None,129.81478050001897,None,129.81478050001897,None,r,0.5129928999813274,129.81478050001897,None,129.81478050001897,None,130.3749000999378,None,130.3749000999378,None,130.3749000999378,None,130.3749000999378,None,130.3749000999378,None,130.3749000999378,None,130.66088849992957,132.51212999993004,130.66088849992957,132.51212999993004,132.5417058999883,None,132.5417058999883,None,132.5417058999883,None,132.5417058999883,None,132.5417058999883,None,132.5417058999883,None,132.5417058999883,None,132.5417058999883,None,132.5417058999883,None,64,21,25,60,64,80,135.05956640001386,None,1.0,2.073100799927488,135.05956640001386,None,135.05956640001386,None,135.05956640001386,None,135.05956640001386,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,137.18721449992154,None,,,,,,,,,253,m,21,2023_Mar_23_1002,RL,2021.2.3,59.95419500916961,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,,,,,,None,None,None,None,None,138.93734199996106,None,138.93734199996106,None,138.93734199996106,None,138.93734199996106,None,j,0.8803069000132382,138.93734199996106,None,138.93734199996106,None,139.85696529992856,None,139.85696529992856,None,139.85696529992856,None,139.85696529992856,None,139.85696529992856,None,139.85696529992856,None,140.15063549997285,None,140.15063549997285,None,141.3317998999264,None,141.3317998999264,None,141.3317998999264,None,141.3317998999264,None,141.3317998999264,None,141.3317998999264,None,141.3317998999264,None,141.3317998999264,None,141.3317998999264,None,67,23,24,53,53,80,143.85632129991427,None,1.0,2.1367850999813527,143.85632129991427,None,143.85632129991427,None,143.85632129991427,None,143.85632129991427,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,146.04259680001996,None,,,,,,,,,253,m,21,2023_Mar_23_1002,RL,2021.2.3,59.95419500916961,
0,0.3,0.225,0,7,7,7,,,,,,,,,,,,,,,None,None,None,None,None,147.57628589996602,None,147.57628589996602,None,147.57628589996602,None,147.57628589996602,None,f,0.9415771999629214,147.57628589996602,None,147.57628589996602,None,148.5649210999254,None,148.5649210999254,None,148.5649210999254,None,148.5649210999254,None,148.5649210999254,None,148.5649210999254,None,148.83988139999565,149.74063239991665,148.83988139999565,149.74063239991665,149.78957409993745,None,149.78957409993745,None,149.78957409993745,None,149.78957409993745,None,149.78957409993745,None,149.78957409993745,None,149.78957409993745,None,149.78957409993745,None,149.78957409993745,None,65,27,25,47,27,73,152.30468579998706,None,1.0,2.290317500010133,152.30468579998706,None,152.30468579998706,None,152.30468579998706,None,152.30468579998706,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,154.64679859997705,None,,,,,,,,,253,m,21,2023_Mar_23_1002,RL,2021.2.3,59.95419500916961,
1,-0.3,-0.225,0,8,8,8,,,,,,,,,,,,,,,None,None,None,None,None,156.4335781999398,None,156.4335781999398,None,156.4335781999398,None,156.4335781999398,None,r,0.45527570007834584,156.4335781999398,None,156.4335781999398,None,156.9332935999846,None,156.9332935999846,None,156.9332935999846,None,156.9332935999846,None,156.9332935999846,None,156.9332935999846,None,157.22919230000116,None,157.22919230000116,None,158.7129314999329,None,158.7129314999329,None,158.7129314999329,None,158.7129314999329,None,158.7129314999329,None,158.7129314999329,None,158.7129314999329,None,158.7129314999329,None,158.7129314999329,None,69,25,37,51,69,76,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.6,1,161.26155169995036,None,161.26155169995036,None,161.26155169995036,None,161.26155169995036,None,161.26155169995036,None,161.26155169995036,None,70,161.26155169995036,None,161.26155169995036,None,0.01378971990197897,None,161.26155169995036,None,4.072916666666666,2.0119436000240967,166.69393069995567,None,166.69393069995567,None,166.69393069995567,None,166.69393069995567,None,None,None,168.72001869999804,None,-0.03515625,-0.2916666666666667,1,0,0,5.368630100041628,tijiao_random_2,,253,m,21,2023_Mar_23_1002,RL,2021.2.3,59.95419500916961,
0,0.3,0.225,0,9,9,9,,,,,,,,,,,,,,,None,None,None,None,None,170.35883429995738,None,170.35883429995738,None,170.35883429995738,None,170.35883429995738,None,j,0.38032370002474636,170.35883429995738,None,170.35883429995738,None,170.78018809994683,None,170.78018809994683,None,170.78018809994683,None,170.78018809994683,None,170.78018809994683,None,170.78018809994683,None,171.0719936999958,None,171.0719936999958,None,172.16983809997328,None,172.16983809997328,None,172.16983809997328,None,172.16983809997328,None,172.16983809997328,None,172.16983809997328,None,172.16983809997328,None,172.16983809997328,None,172.16983809997328,None,61,33,27,56,56,81,174.68803590000607,None,1.0,2.091079100035131,174.68803590000607,None,174.68803590000607,None,174.68803590000607,None,174.68803590000607,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,176.84360269992612,None,,,,,,,,,253,m,21,2023_Mar_23_1002,RL,2021.2.3,59.95419500916961,
1,-0.3,-0.225,0,10,10,10,,,,,,,,,,,,,,,None,None,None,None,None,178.8148239000002,None,178.8148239000002,None,178.8148239000002,None,178.8148239000002,None,r,0.6541753999190405,178.8148239000002,None,178.8148239000002,None,179.51565469999332,None,179.51565469999332,None,179.51565469999332,None,179.51565469999332,None,179.51565469999332,None,179.51565469999332,None,179.81134829996154,181.67952929995954,179.81134829996154,181.67952929995954,181.71451909991447,None,181.71451909991447,None,181.71451909991447,None,181.71451909991447,None,181.71451909991447,None,181.71451909991447,None,181.71451909991447,None,181.71451909991447,None,181.71451909991447,None,50,25,34,49,50,85,184.2367999999551,None,2.0,2.7020466999383643,184.2367999999551,None,184.2367999999551,None,184.2367999999551,None,184.2367999999551,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,186.9998069999274,None,,,,,,,,,253,m,21,2023_Mar_23_1002,RL,2021.2.3,59.95419500916961,
0,0.3,0.225,0,11,11,11,,,,,,,,,,,,,,,None,None,None,None,None,188.8222197999712,None,188.8222197999712,None,188.8222197999712,None,188.8222197999712,None,f,1.0069289000239223,188.8222197999712,None,188.8222197999712,None,189.87593590002507,None,189.87593590002507,None,189.87593590002507,None,189.87593590002507,None,189.87593590002507,None,189.87593590002507,None,190.1687929999316,191.16946819995064,190.1687929999316,191.16946819995064,191.2013875999255,None,191.2013875999255,None,191.2013875999255,None,191.2013875999255,None,191.2013875999255,None,191.2013875999255,None,191.2013875999255,None,191.2013875999255,None,191.2013875999255,None,65,31,42,57,31,86,193.725462900009,None,2.0,2.383307799929753,193.725462900009,None,193.725462900009,None,193.725462900009,None,193.725462900009,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,196.1619994000066,None,,,,,,,,,253,m,21,2023_Mar_23_1002,RL,2021.2.3,59.95419500916961,
1,-0.3,-0.225,0,12,12,12,,,,,,,,,,,,,,,None,None,None,None,None,198.04494389996398,None,198.04494389996398,None,198.04494389996398,None,198.04494389996398,None,i,1.1542059000348672,198.04494389996398,None,198.04494389996398,None,199.24639629991725,None,199.24639629991725,None,199.24639629991725,None,199.24639629991725,None,199.24639629991725,None,199.24639629991725,None,199.54183329991065,201.02629179996438,199.54183329991065,201.02629179996438,201.05871539993677,None,201.05871539993677,None,201.05871539993677,None,201.05871539993677,None,201.05871539993677,None,201.05871539993677,None,201.05871539993677,None,201.05871539993677,None,201.05871539993677,None,67,27,39,57,39,86,203.58253869996406,None,2.0,1.5993750999914482,203.58253869996406,None,203.58253869996406,None,203.58253869996406,None,203.58253869996406,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,205.24661729997024,None,,,,,,,,,253,m,21,2023_Mar_23_1002,RL,2021.2.3,59.95419500916961,
