bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,expectself.text,expectself.started,expectself.stopped,tijiao_click.started,tijiao_click.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.started,tijiao_random.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
0,0.3,0.225,0,25,25,25,,,,,,,,,,,,,,,None,None,None,None,None,364.7771758000017,None,364.7771758000017,None,364.7771758000017,None,364.7771758000017,None,f,0.45407390000036685,364.7771758000017,None,364.7771758000017,None,365.2728550000029,None,365.2728550000029,None,365.2728550000029,None,365.2728550000029,None,365.2728550000029,None,365.2728550000029,None,365.55929480000486,None,365.55929480000486,None,367.5080064000067,None,367.5080064000067,None,367.5080064000067,None,367.5080064000067,None,367.5080064000067,None,367.5080064000067,None,367.5080064000067,None,367.5080064000067,None,367.5080064000067,None,54,63,44,45,63,40,None,None,None,None,None,None,None,None,None,None,None,None,10,370.0278005,None,370.0278005,None,370.0278005,None,370.0278005,None,370.0278005,None,370.0278005,None,370.0278005,None,10,370.0278005,None,0.012467060005292296,None,-0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,1.1574074074074072,3.8008728999993764,380.6761178000015,None,380.6761178000015,None,380.6761178000015,None,380.6761178000015,None,None,None,384.4905421000003,None,,,,,,,,-0.06111111111111111,-0.2851851851851852,1,0,0,10.617322699996294,tijiao,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
1,-0.3,-0.225,0,26,26,26,,,,,,,,,,,,,,,None,None,None,None,None,386.4695434000023,None,386.4695434000023,None,386.4695434000023,None,386.4695434000023,None,i,0.2890631000045687,386.4695434000023,None,386.4695434000023,None,386.7967750000025,None,386.7967750000025,None,386.7967750000025,None,386.7967750000025,None,386.7967750000025,None,386.7967750000025,None,387.08369610000227,388.579584900006,387.08369610000227,388.579584900006,388.60006100000464,None,388.60006100000464,None,388.60006100000464,None,388.60006100000464,None,388.60006100000464,None,388.60006100000464,None,388.60006100000464,None,388.60006100000464,None,388.60006100000464,None,50,54,39,45,39,77,391.1087378000011,None,2.0,3.3536714000001666,391.1087378000011,None,391.1087378000011,None,391.1087378000011,None,391.1087378000011,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,-0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,394.51023720000376,None,,,,,,,,,,,,,,,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
0,0.3,0.225,0,27,27,27,,,,,,,,,,,,,,,None,None,None,None,None,396.26053800000227,None,396.26053800000227,None,396.26053800000227,None,396.26053800000227,None,f,0.472447000000102,396.26053800000227,None,396.26053800000227,None,396.7674443000069,None,396.7674443000069,None,396.7674443000069,None,396.7674443000069,None,396.7674443000069,None,396.7674443000069,None,397.05630270000256,398.8018243000042,397.05630270000256,398.8018243000042,398.82197160000214,None,398.82197160000214,None,398.82197160000214,None,398.82197160000214,None,398.82197160000214,None,398.82197160000214,None,398.82197160000214,None,398.82197160000214,None,398.82197160000214,None,43,56,38,40,56,43,401.33168470000237,None,4.0,4.897663900002954,401.33168470000237,None,401.33168470000237,None,401.33168470000237,None,401.33168470000237,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,406.27776540000195,None,,,,,,,,,,,,,,,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
1,-0.3,-0.225,0,28,28,28,,,,,,,,,,,,,,,None,None,None,None,None,408.0289137,None,408.0289137,None,408.0289137,None,408.0289137,None,f,0.3867993999956525,408.0289137,None,408.0289137,None,408.4506620000029,None,408.4506620000029,None,408.4506620000029,None,408.4506620000029,None,408.4506620000029,None,408.4506620000029,None,408.7410463000051,None,408.7410463000051,None,409.7067266000013,None,409.7067266000013,None,409.7067266000013,None,409.7067266000013,None,409.7067266000013,None,409.7067266000013,None,409.7067266000013,None,409.7067266000013,None,409.7067266000013,None,47,62,39,37,62,74,412.2184466000035,None,3.0,3.0205090000017663,412.2184466000035,None,412.2184466000035,None,412.2184466000035,None,412.2184466000035,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,415.28665490000276,None,,,,,,,,,,,,,,,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
0,0.3,0.225,0,29,29,29,,,,,,,,,,,,,,,None,None,None,None,None,417.21867350000684,None,417.21867350000684,None,417.21867350000684,None,417.21867350000684,None,f,0.6275058999963221,417.21867350000684,None,417.21867350000684,None,417.8772711000056,None,417.8772711000056,None,417.8772711000056,None,417.8772711000056,None,417.8772711000056,None,417.8772711000056,None,418.1651978000009,None,418.1651978000009,None,419.31643740000436,None,419.31643740000436,None,419.31643740000436,None,419.31643740000436,None,419.31643740000436,None,419.31643740000436,None,419.31643740000436,None,419.31643740000436,None,419.31643740000436,None,55,54,36,41,54,73,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,-0.6,1,421.84736250000424,None,421.84736250000424,None,421.84736250000424,None,421.84736250000424,None,421.84736250000424,None,421.84736250000424,None,70,421.84736250000424,None,421.84736250000424,None,0.01658778999990318,None,1.888888888888889,2.5315916999970796,429.730784600004,None,429.730784600004,None,429.730784600004,None,429.730784600004,None,None,None,432.27650270000595,None,-0.03518518518518519,-0.29074074074074074,1,0,0,7.862370599999849,tijiao,,,,,,,,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
1,-0.3,-0.225,0,30,30,30,,,,,,,,,,,,,,,None,None,None,None,None,434.25470690000657,None,434.25470690000657,None,434.25470690000657,None,434.25470690000657,None,r,0.2695910000038566,434.25470690000657,None,434.25470690000657,None,434.5639788000044,None,434.5639788000044,None,434.5639788000044,None,434.5639788000044,None,434.5639788000044,None,434.5639788000044,None,434.85315240000637,436.6654548000006,434.85315240000637,436.6654548000006,436.6887177000026,None,436.6887177000026,None,436.6887177000026,None,436.6887177000026,None,436.6887177000026,None,436.6887177000026,None,436.6887177000026,None,436.6887177000026,None,436.6887177000026,None,48,60,38,39,48,75,439.1966167000064,None,3.0,3.316374800000631,439.1966167000064,None,439.1966167000064,None,439.1966167000064,None,439.1966167000064,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,442.56471240000246,None,,,,,,,,,,,,,,,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
0,0.3,0.225,0,31,31,31,,,,,,,,,,,,,,,None,None,None,None,None,444.09454440000263,None,444.09454440000263,None,444.09454440000263,None,444.09454440000263,None,f,0.3251340999995591,444.09454440000263,None,444.09454440000263,None,444.4541448000018,None,444.4541448000018,None,444.4541448000018,None,444.4541448000018,None,444.4541448000018,None,444.4541448000018,None,444.7429132000034,None,444.7429132000034,None,445.87712730000203,None,445.87712730000203,None,445.87712730000203,None,445.87712730000203,None,445.87712730000203,None,445.87712730000203,None,445.87712730000203,None,445.87712730000203,None,445.87712730000203,None,47,67,44,39,67,74,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,0.6,1,448.40916370000195,None,448.40916370000195,None,448.40916370000195,None,448.40916370000195,None,448.40916370000195,None,448.40916370000195,None,20,448.40916370000195,None,448.40916370000195,None,0.0006958600060897879,None,1.0,2.7151159000059124,455.4931984000068,None,455.4931984000068,None,455.4931984000068,None,455.4931984000068,None,None,None,458.22270300000673,None,-0.03796296296296296,-0.2953703703703704,1,0,0,7.064543000000413,tijiao,,,,,,,,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
1,-0.3,-0.225,0,32,32,32,,,,,,,,,,,,,,,None,None,None,None,None,459.8183833000003,None,459.8183833000003,None,459.8183833000003,None,459.8183833000003,None,j,0.34532710000348743,459.8183833000003,None,459.8183833000003,None,460.1952570000067,None,460.1952570000067,None,460.1952570000067,None,460.1952570000067,None,460.1952570000067,None,460.1952570000067,None,460.4829080000054,None,460.4829080000054,None,462.06537980000576,None,462.06537980000576,None,462.06537980000576,None,462.06537980000576,None,462.06537980000576,None,462.06537980000576,None,462.06537980000576,None,462.06537980000576,None,462.06537980000576,None,47,57,37,45,45,67,464.5750384000057,None,3.0,3.3203355000005104,464.5750384000057,None,464.5750384000057,None,464.5750384000057,None,464.5750384000057,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,467.9430508000005,None,,,,,,,,,,,,,,,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
0,0.3,0.225,0,33,33,33,,,,,,,,,,,,,,,None,None,None,None,None,469.8752353000018,None,469.8752353000018,None,469.8752353000018,None,469.8752353000018,None,r,0.2542759999996633,469.8752353000018,None,469.8752353000018,None,470.16717180000705,None,470.16717180000705,None,470.16717180000705,None,470.16717180000705,None,470.16717180000705,None,470.16717180000705,None,470.4556559000048,471.58631890000106,470.4556559000048,471.58631890000106,471.6069409000047,None,471.6069409000047,None,471.6069409000047,None,471.6069409000047,None,471.6069409000047,None,471.6069409000047,None,471.6069409000047,None,471.6069409000047,None,471.6069409000047,None,41,57,42,41,41,67,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,-0.6,1,474.1395476000034,None,474.1395476000034,None,474.1395476000034,None,474.1395476000034,None,474.1395476000034,None,474.1395476000034,None,50,474.1395476000034,None,474.1395476000034,None,0.016292589993099682,None,1,2.584375899998122,481.43950370000675,None,481.43950370000675,None,481.43950370000675,None,481.43950370000675,None,None,None,484.03721540000697,None,-0.08888888888888889,-0.27870370370370373,1,0,0,7.279858299996704,tijiao,,,,,,,,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
