bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,expectself.text,expectself.started,expectself.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,tijiao_click.started,tijiao_click.stopped,check.started,check.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,tijiao_random.started,tijiao_random.stopped,check_2.started,check_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
1,-0.3,-0.225,0,80,80,80,,,,,,,,,,,,,,,None,None,None,None,None,1039.429216700024,None,1039.429216700024,None,1039.429216700024,None,1039.429216700024,None,i,0.32919820002280176,1039.429216700024,None,1039.429216700024,None,1039.799649200053,None,1039.799649200053,None,1039.799649200053,None,1039.799649200053,None,1039.799649200053,None,1039.799649200053,None,1040.0922368000029,1041.7434287000215,1040.0922368000029,1041.7434287000215,1041.7742265000707,None,1041.7742265000707,None,1041.7742265000707,None,1041.7742265000707,None,1041.7742265000707,None,1041.7742265000707,None,1041.7742265000707,None,1041.7742265000707,None,1041.7742265000707,None,40,90,60,10,60,75,1044.3002485000761,None,2.0,2.433434100006707,1044.3002485000761,None,1044.3002485000761,None,1044.3002485000761,None,1044.3002485000761,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1046.7836061000125,None,,,,,,,,,245,f,25,2023_Mar_22_1338,RL,2021.2.3,59.834020403426756,
0,0.3,0.225,0,81,81,81,,,,,,,,,,,,,,,None,None,None,None,None,1048.6852966999868,None,1048.6852966999868,None,1048.6852966999868,None,1048.6852966999868,None,j,0.3832617999287322,1048.6852966999868,None,1048.6852966999868,None,1049.1200880999677,None,1049.1200880999677,None,1049.1200880999677,None,1049.1200880999677,None,1049.1200880999677,None,1049.1200880999677,None,1049.4154753000475,None,1049.4154753000475,None,1051.282525000046,None,1051.282525000046,None,1051.282525000046,None,1051.282525000046,None,1051.282525000046,None,1051.282525000046,None,1051.282525000046,None,1051.282525000046,None,1051.282525000046,None,49,86,58,21,21,77,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.6,1,1053.8402133999625,None,1053.8402133999625,None,1053.8402133999625,None,1053.8402133999625,None,1053.8402133999625,None,1053.8402133999625,None,30,1053.8402133999625,None,1053.8402133999625,None,-0.055989583333333336,-0.3046875,1,0,0,4.156523099984042,tijiao_random_2,0.0024638600880280137,None,1053.8402133999625,None,6.807291666666666,2.38423970004078,1058.0284406000283,None,1058.0284406000283,None,1058.0284406000283,None,1058.0284406000283,None,None,None,1060.4373719000723,None,,,,,,,,,245,f,25,2023_Mar_22_1338,RL,2021.2.3,59.834020403426756,
1,-0.3,-0.225,0,82,82,82,,,,,,,,,,,,,,,None,None,None,None,None,1062.2118570000166,None,1062.2118570000166,None,1062.2118570000166,None,1062.2118570000166,None,f,0.366646199952811,1062.2118570000166,None,1062.2118570000166,None,1062.6359231000533,None,1062.6359231000533,None,1062.6359231000533,None,1062.6359231000533,None,1062.6359231000533,None,1062.6359231000533,None,1062.9246173000429,None,1062.9246173000429,None,1064.2295843000757,None,1064.2295843000757,None,1064.2295843000757,None,1064.2295843000757,None,1064.2295843000757,None,1064.2295843000757,None,1064.2295843000757,None,1064.2295843000757,None,1064.2295843000757,None,46,84,55,21,84,78,1066.757149900077,None,6.0,1.3047618001000956,1066.757149900077,None,1066.757149900077,None,1066.757149900077,None,1066.757149900077,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1068.1195247999858,None,,,,,,,,,245,f,25,2023_Mar_22_1338,RL,2021.2.3,59.834020403426756,
0,0.3,0.225,0,83,83,83,,,,,,,,,,,,,,,None,None,None,None,None,1069.9502571000485,None,1069.9502571000485,None,1069.9502571000485,None,1069.9502571000485,None,f,0.358590199961327,1069.9502571000485,None,1069.9502571000485,None,1070.353910200065,None,1070.353910200065,None,1070.353910200065,None,1070.353910200065,None,1070.353910200065,None,1070.353910200065,None,1070.6466243000468,None,1070.6466243000468,None,1072.0317734000273,None,1072.0317734000273,None,1072.0317734000273,None,1072.0317734000273,None,1072.0317734000273,None,1072.0317734000273,None,1072.0317734000273,None,1072.0317734000273,None,1072.0317734000273,None,50,81,52,17,81,77,None,None,None,None,None,None,None,None,None,None,None,None,85,1074.558594900067,None,85,1074.558594900067,None,1074.558594900067,None,1074.558594900067,None,1074.558594900067,None,1074.558594900067,None,1074.558594900067,None,1074.558594900067,None,0.016163469990715384,None,1074.558594900067,None,-0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,,,,,,,,None,None,None,None,7.966145833333334,2.030348700005561,1078.9085791000398,None,1078.9085791000398,None,1078.9085791000398,None,1078.9085791000398,None,None,None,1080.9685861000326,None,0.0390625,-0.2981770833333333,1,0,0,4.3032711000414565,tijiao,,245,f,25,2023_Mar_22_1338,RL,2021.2.3,59.834020403426756,
1,-0.3,-0.225,0,84,84,84,,,,,,,,,,,,,,,None,None,None,None,None,1082.8092696999665,None,1082.8092696999665,None,1082.8092696999665,None,1082.8092696999665,None,f,0.3793598000193015,1082.8092696999665,None,1082.8092696999665,None,1083.2352478000103,None,1083.2352478000103,None,1083.2352478000103,None,1083.2352478000103,None,1083.2352478000103,None,1083.2352478000103,None,1083.5221643999685,1085.3238088999642,1083.5221643999685,1085.3238088999642,1085.3572293000761,None,1085.3572293000761,None,1085.3572293000761,None,1085.3572293000761,None,1085.3572293000761,None,1085.3572293000761,None,1085.3572293000761,None,1085.3572293000761,None,1085.3572293000761,None,55,80,44,28,80,20,1087.872171199997,None,2.0,2.7732951999641955,1087.872171199997,None,1087.872171199997,None,1087.872171199997,None,1087.872171199997,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1090.6984163000016,None,,,,,,,,,245,f,25,2023_Mar_22_1338,RL,2021.2.3,59.834020403426756,
0,0.3,0.225,0,85,85,85,,,,,,,,,,,,,,,None,None,None,None,None,1092.6663653000724,None,1092.6663653000724,None,1092.6663653000724,None,1092.6663653000724,None,f,0.3723183999536559,1092.6663653000724,None,1092.6663653000724,None,1093.0907421000302,None,1093.0907421000302,None,1093.0907421000302,None,1093.0907421000302,None,1093.0907421000302,None,1093.0907421000302,None,1093.3792096000398,1094.2966826000484,1093.3792096000398,1094.2966826000484,1094.328484900063,None,1094.328484900063,None,1094.328484900063,None,1094.328484900063,None,1094.328484900063,None,1094.328484900063,None,1094.328484900063,None,1094.328484900063,None,1094.328484900063,None,45,79,46,23,79,73,1096.8493983000517,None,4.0,1.9871246999828145,1096.8493983000517,None,1096.8493983000517,None,1096.8493983000517,None,1096.8493983000517,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1098.8960291000549,None,,,,,,,,,245,f,25,2023_Mar_22_1338,RL,2021.2.3,59.834020403426756,
1,-0.3,-0.225,0,86,86,86,,,,,,,,,,,,,,,None,None,None,None,None,1100.4216647000285,None,1100.4216647000285,None,1100.4216647000285,None,1100.4216647000285,None,f,0.5371052999980748,1100.4216647000285,None,1100.4216647000285,None,1101.0048336000182,None,1101.0048336000182,None,1101.0048336000182,None,1101.0048336000182,None,1101.0048336000182,None,1101.0048336000182,None,1101.3013450000435,None,1101.3013450000435,None,1103.0824049999937,None,1103.0824049999937,None,1103.0824049999937,None,1103.0824049999937,None,1103.0824049999937,None,1103.0824049999937,None,1103.0824049999937,None,1103.0824049999937,None,1103.0824049999937,None,45,89,54,19,89,77,1105.5997406999813,None,5.0,1.5750973999965936,1105.5997406999813,None,1105.5997406999813,None,1105.5997406999813,None,1105.5997406999813,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1107.238908700063,None,,,,,,,,,245,f,25,2023_Mar_22_1338,RL,2021.2.3,59.834020403426756,
0,0.3,0.225,0,87,87,87,,,,,,,,,,,,,,,None,None,None,None,None,1108.8104182999814,None,1108.8104182999814,None,1108.8104182999814,None,1108.8104182999814,None,f,0.6185356000205502,1108.8104182999814,None,1108.8104182999814,None,1109.478172800038,None,1109.478172800038,None,1109.478172800038,None,1109.478172800038,None,1109.478172800038,None,1109.478172800038,None,1109.773865700001,None,1109.773865700001,None,1111.773307900061,None,1111.773307900061,None,1111.773307900061,None,1111.773307900061,None,1111.773307900061,None,1111.773307900061,None,1111.773307900061,None,1111.773307900061,None,1111.773307900061,None,57,74,63,15,74,32,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.6,1,1114.3240017000353,None,1114.3240017000353,None,1114.3240017000353,None,1114.3240017000353,None,1114.3240017000353,None,1114.3240017000353,None,25,1114.3240017000353,None,1114.3240017000353,None,-0.0013020833333333333,-0.3645833333333333,1,0,0,5.316115700057708,tijiao_random_2,0.010723860119469464,None,1114.3240017000353,None,6.013020833333334,2.3580983999418095,1121.9622427000431,None,1121.9622427000431,None,1121.9622427000431,None,1121.9622427000431,None,None,None,1124.3338327000383,None,,,,,,,,,245,f,25,2023_Mar_22_1338,RL,2021.2.3,59.834020403426756,
1,-0.3,-0.225,0,88,88,88,,,,,,,,,,,,,,,None,None,None,None,None,1126.122972000041,None,1126.122972000041,None,1126.122972000041,None,1126.122972000041,None,f,0.5359616000205278,1126.122972000041,None,1126.122972000041,None,1126.710888599977,None,1126.710888599977,None,1126.710888599977,None,1126.710888599977,None,1126.710888599977,None,1126.710888599977,None,1127.002487000078,None,1127.002487000078,None,1128.7398927999893,None,1128.7398927999893,None,1128.7398927999893,None,1128.7398927999893,None,1128.7398927999893,None,1128.7398927999893,None,1128.7398927999893,None,1128.7398927999893,None,1128.7398927999893,None,47,72,60,11,72,74,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2,1,1131.285162699991,None,1131.285162699991,None,1131.285162699991,None,1131.285162699991,None,1131.285162699991,None,1131.285162699991,None,60,1131.285162699991,None,1131.285162699991,None,0.006510416666666667,-0.33203125,1,0,0,3.3150222999975085,tijiao_random_2,0.011239560088142753,None,1131.285162699991,None,4.958333333333333,2.361020900076255,1134.6345130000263,None,1134.6345130000263,None,1134.6345130000263,None,1134.6345130000263,None,None,None,1137.0096716000699,None,,,,,,,,,245,f,25,2023_Mar_22_1338,RL,2021.2.3,59.834020403426756,
0,0.3,0.225,0,89,89,89,,,,,,,,,,,,,,,None,None,None,None,None,1138.7989701000042,None,1138.7989701000042,None,1138.7989701000042,None,1138.7989701000042,None,j,0.34017430001404136,1138.7989701000042,None,1138.7989701000042,None,1139.187260100036,None,1139.187260100036,None,1139.187260100036,None,1139.187260100036,None,1139.187260100036,None,1139.187260100036,None,1139.477883100044,1140.411687200074,1139.477883100044,1140.411687200074,1140.44551520003,None,1140.44551520003,None,1140.44551520003,None,1140.44551520003,None,1140.44551520003,None,1140.44551520003,None,1140.44551520003,None,1140.44551520003,None,1140.44551520003,None,49,69,64,12,12,59,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2,1,1142.9882168000331,None,1142.9882168000331,None,1142.9882168000331,None,1142.9882168000331,None,1142.9882168000331,None,1142.9882168000331,None,60,1142.9882168000331,None,1142.9882168000331,None,-0.013020833333333334,-0.2994791666666667,1,0,0,3.553308500093408,tijiao_random_2,0.00015436997637152672,None,1142.9882168000331,None,4.984375,2.045729900011793,1146.5709526999854,None,1146.5709526999854,None,1146.5709526999854,None,1146.5709526999854,None,None,None,1148.6336446000496,None,,,,,,,,,245,f,25,2023_Mar_22_1338,RL,2021.2.3,59.834020403426756,
