bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,value_expect_self,expectself.text,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,expectself.started,tijiao_click.started,slider_2.started,image_7.started,confi.started,notconfi.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,66.26510119999875,66.26510119999875,space,19.246007199995802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
,,,,,,,,,,,85.54243180000049,85.54243180000049,s,25.44135919999826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
0,0.3,0.225,0,69,69,69,,,,,,,,,,None,931.724378699997,931.724378699997,931.724378699997,931.724378699997,931.724378699997,931.724378699997,j,0.837249600001087,932.5889805999977,932.5889805999977,932.5889805999977,932.5889805999977,932.5889805999977,932.5889805999977,932.8880805000008,932.8880805000008,933.9016082000016,933.9016082000016,933.9016082000016,933.9016082000016,933.9016082000016,933.9016082000016,933.9016082000016,933.9016082000016,933.9016082000016,933.9016082000016,933.9016082000016,933.9016082000016,933.9016082000016,933.9016082000016,933.9016082000016,933.9016082000016,933.9016082000016,,,,,,80,32,37,76,76,64,None,None,,,[],[],[],[],[],[],[],0.2,1,67,[-0.06111111111111111],[-0.30185185185185187],[1],[0],[0],[4.952926499994646],['tijiao'],5.953703703703703,2.8194326000011642,944.2227446000034,945.9024419999987,,,,,,,,,,941.3853145999965,941.3853145999965,941.3853145999965,941.3853145999965,936.4193757999965,936.4193757999965,936.4193757999965,936.4193757999965,936.4193757999965,936.4193757999965,936.4193757999965,936.4193757999965,0.006090899994887877,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
1,-0.3,-0.225,0,70,70,70,,,,,,,,,,None,945.9024419999987,945.9024419999987,945.9024419999987,945.9024419999987,945.9024419999987,945.9024419999987,f,0.6559221999996225,946.5859560000026,946.5859560000026,946.5859560000026,946.5859560000026,946.5859560000026,946.5859560000026,946.8834004000018,946.8834004000018,948.5288136000017,948.5288136000017,948.5288136000017,948.5288136000017,948.5288136000017,948.5288136000017,948.5288136000017,948.5288136000017,948.5288136000017,948.5288136000017,948.5288136000017,948.5288136000017,948.5288136000017,948.5288136000017,948.5288136000017,948.5288136000017,948.5288136000017,951.0380106000011,951.0380106000011,951.0380106000011,951.0380106000011,951.0380106000011,67,25,37,81,25,70,3.0,2.675409800001944,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],None,None,953.7393219000005,955.5093940000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
0,0.3,0.225,0,71,71,71,,,,,,,,,,None,955.5093940000006,955.5093940000006,955.5093940000006,955.5093940000006,955.5093940000006,955.5093940000006,f,0.928494599997066,956.4571055999986,956.4571055999986,956.4571055999986,956.4571055999986,956.4571055999986,956.4571055999986,956.7563298000023,956.7563298000023,957.8696901000003,957.8696901000003,957.8696901000003,957.8696901000003,957.8696901000003,957.8696901000003,957.8696901000003,957.8696901000003,957.8696901000003,957.8696901000003,957.8696901000003,957.8696901000003,957.8696901000003,957.8696901000003,957.8696901000003,957.8696901000003,957.8696901000003,,,,,,86,23,33,74,23,26,None,None,88,88,[0.028703703703703703],[-0.2935185185185185],[1],[0],[0],[3.1641821000011987],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],3.962962962962963,1.5787283000026946,965.1654691000003,966.9782235000021,960.3819214999967,960.3819214999967,960.3819214999967,960.3819214999967,960.3819214999967,960.3819214999967,960.3819214999967,960.3819214999967,0.007889599997724872,963.5686274000036,963.5686274000036,963.5686274000036,963.5686274000036,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
1,-0.3,-0.225,0,72,72,72,,,,,,,,,,None,966.9782235000021,966.9782235000021,966.9782235000021,966.9782235000021,966.9782235000021,966.9782235000021,i,0.6133113000032608,967.6100842000014,967.6100842000014,967.6100842000014,967.6100842000014,967.6100842000014,967.6100842000014,967.9090982999987,967.9090982999987,969.3053244999974,969.3053244999974,969.3053244999974,969.3053244999974,969.3053244999974,969.3053244999974,969.3053244999974,969.3053244999974,969.3053244999974,969.3053244999974,969.3053244999974,969.3053244999974,969.3053244999974,969.3053244999974,969.3053244999974,969.3053244999974,969.3053244999974,,,,,,80,22,31,78,31,60,None,None,,,[],[],[],[],[],[],[],-0.2,1,76,[0.04537037037037037],[-0.30185185185185187],[1],[0],[0],[3.656390999996802],['tijiao'],1.1018518518518519,1.3882493999990402,976.8999951000005,978.8623282999979,,,,,,,,,,975.4942031000028,975.4942031000028,975.4942031000028,975.4942031000028,971.822272999998,971.822272999998,971.822272999998,971.822272999998,971.822272999998,971.822272999998,971.822272999998,971.822272999998,0.0068212999976822175,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
0,0.3,0.225,0,73,73,73,,,,,,,,,,None,978.8623282999979,978.8623282999979,978.8623282999979,978.8623282999979,978.8623282999979,978.8623282999979,r,0.8672613999951864,979.7605184999993,979.7605184999993,979.7605184999993,979.7605184999993,979.7605184999993,979.7605184999993,980.0589483000003,980.0589483000003,981.056314100002,981.056314100002,981.056314100002,981.056314100002,981.056314100002,981.056314100002,981.056314100002,981.056314100002,981.056314100002,981.056314100002,981.056314100002,981.056314100002,981.056314100002,981.056314100002,981.056314100002,981.056314100002,981.056314100002,983.5652967999995,983.5652967999995,983.5652967999995,983.5652967999995,983.5652967999995,86,27,31,81,86,72,4.0,3.755941300005361,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,987.3472579000008,988.9845961000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
1,-0.3,-0.225,0,74,74,74,,,,,,,,,,None,988.9845961000028,988.9845961000028,988.9845961000028,988.9845961000028,988.9845961000028,988.9845961000028,j,0.8955264000032912,989.8993391999975,989.8993391999975,989.8993391999975,989.8993391999975,989.8993391999975,989.8993391999975,990.1983508999983,990.1983508999983,991.8932860999994,991.8932860999994,991.8932860999994,991.8932860999994,991.8932860999994,991.8932860999994,991.8932860999994,991.8932860999994,991.8932860999994,991.8932860999994,991.8932860999994,991.8932860999994,991.8932860999994,991.8932860999994,991.8932860999994,991.8932860999994,991.8932860999994,,,,,,80,24,33,69,69,55,None,None,89,89,[0.0824074074074074],[-0.30185185185185187],[1],[0],[0],[3.5139701000007335],['tijiao'],0.2,0,,[],[],[],[],[],[],[],1,4.488276700001734,1002.4472833000036,1004.3424000000014,994.4036672000002,994.4036672000002,994.4036672000002,994.4036672000002,994.4036672000002,994.4036672000002,994.4036672000002,994.4036672000002,0.006138700002338737,997.9423135999969,997.9423135999969,997.9423135999969,997.9423135999969,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
0,0.3,0.225,0,75,75,75,,,,,,,,,,q,1042.606325599998,1042.606325599998,1042.606325599998,1042.606325599998,1042.606325599998,1042.606325599998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,26,39,74,0,**,None,None,,,[],[],[],[],[],[],[],-0.2,0,,[],[],[],[],[],[],[],None,None,1048.6379872000034,1050.5165256999971,,,,,,,,,,,,,,,,,,,,,,,1044.1371813000005,1048.6379872000034,1004.3424000000014,1004.3424000000014,38.2407222000038,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
1,-0.3,-0.225,0,76,76,76,,,,,,,,,,None,1050.5165256999971,1050.5165256999971,1050.5165256999971,1050.5165256999971,1050.5165256999971,1050.5165256999971,j,0.31388589999551186,1050.8494137000016,1050.8494137000016,1050.8494137000016,1050.8494137000016,1050.8494137000016,1050.8494137000016,1051.148702999999,1051.148702999999,1052.1455005000025,1052.1455005000025,1052.1455005000025,1052.1455005000025,1052.1455005000025,1052.1455005000025,1052.1455005000025,1052.1455005000025,1052.1455005000025,1052.1455005000025,1052.1455005000025,1052.1455005000025,1052.1455005000025,1052.1455005000025,1052.1455005000025,1052.1455005000025,1052.1455005000025,,,,,,82,33,37,83,83,71,None,None,87,87,[-0.08981481481481482],[-0.2675925925925926],[1],[0],[0],[3.6973843999949167],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],1.9166666666666667,1.8308413999984623,1060.2226109999974,1061.8855987999996,1054.656049199999,1054.656049199999,1054.656049199999,1054.656049199999,1054.656049199999,1054.656049199999,1054.656049199999,1054.656049199999,0.0057623999964562245,1058.374063299998,1058.374063299998,1058.374063299998,1058.374063299998,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
0,0.3,0.225,0,77,77,77,,,,,,,,,,None,1061.8855987999996,1061.8855987999996,1061.8855987999996,1061.8855987999996,1061.8855987999996,1061.8855987999996,j,0.5077430000019376,1062.4180078999998,1062.4180078999998,1062.4180078999998,1062.4180078999998,1062.4180078999998,1062.4180078999998,1062.7168278000026,1062.7168278000026,1064.379016400002,1064.379016400002,1064.379016400002,1064.379016400002,1064.379016400002,1064.379016400002,1064.379016400002,1064.379016400002,1064.379016400002,1064.379016400002,1064.379016400002,1064.379016400002,1064.379016400002,1064.379016400002,1064.379016400002,1064.379016400002,1064.379016400002,,,,,,85,39,28,83,83,60,None,None,89,89,[0.026851851851851852],[-0.30648148148148147],[1],[0],[0],[3.2464820000022883],['tijiao'],0.6,0,,[],[],[],[],[],[],[],1,2.496498700005759,1072.672273199998,1074.3349826999984,1066.890734200002,1066.890734200002,1066.890734200002,1066.890734200002,1066.890734200002,1066.890734200002,1066.890734200002,1066.890734200002,0.007671100000152364,1070.1573983999988,1070.1573983999988,1070.1573983999988,1070.1573983999988,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
1,-0.3,-0.225,0,78,78,78,,,,,,,,,,None,1074.3349826999984,1074.3349826999984,1074.3349826999984,1074.3349826999984,1074.3349826999984,1074.3349826999984,r,0.4362293000012869,1074.8009987999976,1074.8009987999976,1074.8009987999976,1074.8009987999976,1074.8009987999976,1074.8009987999976,1075.0995792999965,1075.0995792999965,1076.6788366999972,1076.6788366999972,1076.6954294000025,1076.6954294000025,1076.6954294000025,1076.6954294000025,1076.6954294000025,1076.6954294000025,1076.6954294000025,1076.6954294000025,1076.6954294000025,1076.6954294000025,1076.6954294000025,1076.6954294000025,1076.6954294000025,1076.6954294000025,1076.6954294000025,1079.2043603999991,1079.2043603999991,1079.2043603999991,1079.2043603999991,1079.2043603999991,93,35,35,74,93,38,6.0,2.359267899999395,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],None,None,1081.5897773999968,1083.1941695999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
0,0.3,0.225,0,79,79,79,,,,,,,,,,None,1083.1941695999994,1083.1941695999994,1083.1941695999994,1083.1941695999994,1083.1941695999994,1083.1941695999994,j,0.6326112000024295,1083.8596082000004,1083.8596082000004,1083.8596082000004,1083.8596082000004,1083.8596082000004,1083.8596082000004,1084.1585141999967,1084.1585141999967,1085.654299599999,1085.654299599999,1085.654299599999,1085.654299599999,1085.654299599999,1085.654299599999,1085.654299599999,1085.654299599999,1085.654299599999,1085.654299599999,1085.654299599999,1085.654299599999,1085.654299599999,1085.654299599999,1085.654299599999,1085.654299599999,1085.654299599999,1088.1632566999979,1088.1632566999979,1088.1632566999979,1088.1632566999979,1088.1632566999979,88,32,39,83,83,68,5.0,2.6425410000010743,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],None,None,1090.8313651999997,1092.3524170000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
1,-0.3,-0.225,0,80,80,80,,,,,,,,,,None,1092.3524170000019,1092.3524170000019,1092.3524170000019,1092.3524170000019,1092.3524170000019,1092.3524170000019,j,0.6257554999974673,1093.0026371999993,1093.0026371999993,1093.0026371999993,1093.0026371999993,1093.0026371999993,1093.0026371999993,1093.3000354999967,1093.3000354999967,1094.5466595000034,1094.5466595000034,1094.5466595000034,1094.5466595000034,1094.5466595000034,1094.5466595000034,1094.5466595000034,1094.5466595000034,1094.5466595000034,1094.5466595000034,1094.5466595000034,1094.5466595000034,1094.5466595000034,1094.5466595000034,1094.5466595000034,1094.5466595000034,1094.5466595000034,,,,,,93,29,36,71,71,62,None,None,,,[],[],[],[],[],[],[],-0.2,1,88,[-0.06388888888888888],[-0.2638888888888889],[1],[0],[0],[5.798660500004189],['tijiao'],1.0370370370370372,2.204012000001967,1105.0999601000003,1107.0790055000034,,,,,,,,,,1102.8774577000004,1102.8774577000004,1102.8774577000004,1102.8774577000004,1097.0663084999978,1097.0663084999978,1097.0663084999978,1097.0663084999978,1097.0663084999978,1097.0663084999978,1097.0663084999978,1097.0663084999978,0.005767700000433251,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
