trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,expectself.text,expectself.started,expectself.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,tijiao_click.started,tijiao_click.stopped,check.started,check.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.started,tijiao_random.stopped,check_2.started,check_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,rest_response.rt,image.started,image.stopped,key_resp.keys,key_resp.started,key_resp.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate
,,,,19.5818369,None,space,2.4360583,19.5818369,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,f,18,2023_Mar_21_1655,RL,2021.2.3,59.95189462
,,,,,,,,,,22.0597673,None,s,24.2787115,22.0597673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,f,18,2023_Mar_21_1655,RL,2021.2.3,59.95189462
1,0,0,0,,,,,,,,,,,,,46.3748555,None,None,None,None,None,None,47.414907,None,47.414907,None,47.414907,None,47.414907,None,i,0.7232041,47.414907,None,47.414907,None,48.1960001,None,48.1960001,None,48.1960001,None,48.1960001,None,48.1960001,None,48.1960001,None,48.4834555,None,48.4834555,None,49.6715699,None,49.6715699,None,49.6715699,None,49.6715699,None,49.6715699,None,49.6715699,None,49.6715699,None,49.6715699,None,49.6715699,None,34,58,51,33,51,51,None,None,None,None,None,None,None,None,None,None,None,None,50,52.2194184,None,50,52.2194184,None,52.2194184,None,52.2194184,None,52.2194184,None,52.2194184,None,52.2194184,None,52.2194184,None,-0.05859375,-0.282552083,1,0,0,3.6693246,tijiao,0.01627909,None,52.2194184,None,0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,5.049479167,1.9545565,55.9455756,None,55.9455756,None,55.9455756,None,55.9455756,None,None,None,57.9245017,None,,,,,,,,,,,,,,240,f,18,2023_Mar_21_1655,RL,2021.2.3,59.95189462
0,0,1,0,,,,,,,,,,,,,,,None,None,None,None,None,59.7791844,None,59.7791844,None,59.7791844,None,59.7791844,None,j,0.3388875,59.7791844,None,59.7791844,None,60.1793286,None,60.1793286,None,60.1793286,None,60.1793286,None,60.1793286,None,60.1793286,None,60.4585187,62.0764884,60.4585187,62.0764884,62.1132135,None,62.1132135,None,62.1132135,None,62.1132135,None,62.1132135,None,62.1132135,None,62.1132135,None,62.1132135,None,62.1132135,None,37,58,56,44,44,43,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.2,1,64.6698751,None,64.6698751,None,64.6698751,None,64.6698751,None,64.6698751,None,64.6698751,None,50,64.6698751,None,64.6698751,None,0.00077799,None,64.6698751,None,3.96875,1.7718603,68.3926483,None,68.3926483,None,68.3926483,None,68.3926483,None,None,None,70.181202,None,-0.046875,-0.294270833,1,0,0,3.6875539,tijiao_random_2,,,,,,,240,f,18,2023_Mar_21_1655,RL,2021.2.3,59.95189462
1,0,2,0,,,,,,,,,,,,,,,None,None,None,None,None,71.803136,None,71.803136,None,71.803136,None,71.803136,None,f,0.3850989,71.803136,None,71.803136,None,72.2270532,None,72.2270532,None,72.2270532,None,72.2270532,None,72.2270532,None,72.2270532,None,72.5168747,74.4518645,72.5168747,74.4518645,74.487763,None,74.487763,None,74.487763,None,74.487763,None,74.487763,None,74.487763,None,74.487763,None,74.487763,None,74.487763,None,36,51,55,33,51,57,None,None,None,None,None,None,None,None,None,None,None,None,50,77.0141187,None,50,77.0141187,None,77.0141187,None,77.0141187,None,77.0141187,None,77.0141187,None,77.0141187,None,77.0141187,None,-0.087239583,-0.2890625,1,0,0,5.1009477,tijiao,0.01395879,None,77.0141187,None,-0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,3.96875,1.7384186,82.1550625,None,82.1550625,None,82.1550625,None,82.1550625,None,None,None,83.9074445,None,,,,,,,,,,,,,,240,f,18,2023_Mar_21_1655,RL,2021.2.3,59.95189462
0,0,3,0,,,,,,,,,,,,,,,None,None,None,None,None,85.7966576,None,85.7966576,None,85.7966576,None,85.7966576,None,r,0.3516739,85.7966576,None,85.7966576,None,86.1907644,None,86.1907644,None,86.1907644,None,86.1907644,None,86.1907644,None,86.1907644,None,86.476572,87.3107433,86.476572,87.3107433,87.34684,None,87.34684,None,87.34684,None,87.34684,None,87.34684,None,87.34684,None,87.34684,None,87.34684,None,87.34684,None,47,59,65,36,47,63,89.865743,None,1,1.6535793,89.865743,None,89.865743,None,89.865743,None,89.865743,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,91.5806008,None,,,,,,,,,,,,,,240,f,18,2023_Mar_21_1655,RL,2021.2.3,59.95189462
1,0,4,0,,,,,,,,,,,,,,,None,None,None,None,None,93.4523471,None,93.4523471,None,93.4523471,None,93.4523471,None,i,0.6660336,93.4523471,None,93.4523471,None,94.171544,None,94.171544,None,94.171544,None,94.171544,None,94.171544,None,94.171544,None,94.4654331,95.7829799,94.4654331,95.7829799,95.8146823,None,95.8146823,None,95.8146823,None,95.8146823,None,95.8146823,None,95.8146823,None,95.8146823,None,95.8146823,None,95.8146823,None,41,65,54,37,54,52,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.6,1,98.3561826,None,98.3561826,None,98.3561826,None,98.3561826,None,98.3561826,None,98.3561826,None,60,98.3561826,None,98.3561826,None,0.00349809,None,98.3561826,None,4.020833333,2.7117271,102.5981214,None,102.5981214,None,102.5981214,None,102.5981214,None,None,None,105.322189,None,-0.063802083,-0.298177083,1,0,0,4.208091,tijiao_random_2,,,,,,,240,f,18,2023_Mar_21_1655,RL,2021.2.3,59.95189462
0,0,5,0,,,,,,,,,,,,,,,None,None,None,None,None,106.9773801,None,106.9773801,None,106.9773801,None,106.9773801,None,j,0.5620964,106.9773801,None,106.9773801,None,107.5810739,None,107.5810739,None,107.5810739,None,107.5810739,None,107.5810739,None,107.5810739,None,107.8747077,108.8255109,107.8747077,108.8255109,108.8617871,None,108.8617871,None,108.8617871,None,108.8617871,None,108.8617871,None,108.8617871,None,108.8617871,None,108.8617871,None,108.8617871,None,47,64,59,31,31,50,111.3990162,None,2,1.9842451,111.3990162,None,111.3990162,None,111.3990162,None,111.3990162,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,113.4330766,None,,,,,,,,,,,,,,240,f,18,2023_Mar_21_1655,RL,2021.2.3,59.95189462
1,0,6,0,,,,,,,,,,,,,,,None,None,None,None,None,115.4167897,None,115.4167897,None,115.4167897,None,115.4167897,None,None,,115.4167897,None,115.4167897,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48,71,57,30,0,**,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,117.0096246,None,123.0186092,None,,,,,,,,,,,,,,240,f,18,2023_Mar_21_1655,RL,2021.2.3,59.95189462
0,0,7,0,,,,,,,,,,,,,,,None,None,None,None,None,124.874586,None,124.874586,None,124.874586,None,124.874586,None,r,0.475115,124.874586,None,124.874586,None,125.3932176,None,125.3932176,None,125.3932176,None,125.3932176,None,125.3932176,None,125.3932176,None,125.6870239,127.455187,125.6870239,127.455187,127.4894534,None,127.4894534,None,127.4894534,None,127.4894534,None,127.4894534,None,127.4894534,None,127.4894534,None,127.4894534,None,127.4894534,None,45,67,66,39,45,39,None,None,None,None,None,None,None,None,None,None,None,None,40,130.0234338,None,40,130.0234338,None,130.0234338,None,130.0234338,None,130.0234338,None,130.0234338,None,130.0234338,None,130.0234338,None,0.024739583,-0.298177083,1,0,0,5.3643281,tijiao,0.00917029,None,130.0234338,None,-0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,4.958333333,2.7451724,135.4378182,None,135.4378182,None,135.4378182,None,135.4378182,None,None,None,138.1950631,None,,,,,,,,,,,,,,240,f,18,2023_Mar_21_1655,RL,2021.2.3,59.95189462
