bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,expectself.text,expectself.started,expectself.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,tijiao_click.started,tijiao_click.stopped,check.started,check.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.started,tijiao_random.stopped,check_2.started,check_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
1,-0.3,-0.225,0,22,22,22,,,,,,,,,,,,,,,None,None,None,None,None,305.69972440000856,None,305.69972440000856,None,305.69972440000856,None,305.69972440000856,None,f,0.3981280999723822,305.69972440000856,None,305.69972440000856,None,306.1485173999681,None,306.1485173999681,None,306.1485173999681,None,306.1485173999681,None,306.1485173999681,None,306.1485173999681,None,306.4455354999518,None,306.4455354999518,None,308.28156089998083,None,308.28156089998083,None,308.28156089998083,None,308.28156089998083,None,308.28156089998083,None,308.28156089998083,None,308.28156089998083,None,308.28156089998083,None,308.28156089998083,None,42,20,63,40,20,54,310.79917729995213,None,4.0,3.720030999975279,310.79917729995213,None,310.79917729995213,None,310.79917729995213,None,310.79917729995213,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,314.5911407999811,None,,,,,,,,,,,,,,,,243,f,24,2023_Mar_22_1123,RL,2021.2.3,59.95121169534463,
0,0.3,0.225,0,23,23,23,,,,,,,,,,,,,,,None,None,None,None,None,316.4900519999792,None,316.4900519999792,None,316.4900519999792,None,316.4900519999792,None,i,0.2687455000123009,316.4900519999792,None,316.4900519999792,None,316.80875609995564,None,316.80875609995564,None,316.80875609995564,None,316.80875609995564,None,316.80875609995564,None,316.80875609995564,None,317.102743299969,None,317.102743299969,None,319.10287279996555,None,319.10287279996555,None,319.10287279996555,None,319.10287279996555,None,319.10287279996555,None,319.10287279996555,None,319.10287279996555,None,319.10287279996555,None,319.10287279996555,None,40,21,69,50,69,55,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2,1,321.6463989999611,None,321.6463989999611,None,321.6463989999611,None,321.6463989999611,None,321.6463989999611,None,321.6463989999611,None,69,321.6463989999611,None,321.6463989999611,None,0.00029902998358011246,None,321.6463989999611,None,11,4.086572100000922,326.2487570999656,None,326.2487570999656,None,326.2487570999656,None,326.2487570999656,None,None,None,330.3561542999814,None,0.09244791666666667,-0.29296875,1,0,0,4.570807799987961,tijiao_random_2,,,,,,,,,243,f,24,2023_Mar_22_1123,RL,2021.2.3,59.95121169534463,
1,-0.3,-0.225,0,24,24,24,,,,,,,,,,,,,,,None,None,None,None,None,332.1340302999597,None,332.1340302999597,None,332.1340302999597,None,332.1340302999597,None,i,0.34497299999929965,332.1340302999597,None,332.1340302999597,None,332.51845739997225,None,332.51845739997225,None,332.51845739997225,None,332.51845739997225,None,332.51845739997225,None,332.51845739997225,None,332.81356059998507,None,332.81356059998507,None,333.97681899997406,None,333.97681899997406,None,333.97681899997406,None,333.97681899997406,None,333.97681899997406,None,333.97681899997406,None,333.97681899997406,None,333.97681899997406,None,333.97681899997406,None,42,19,73,42,73,64,336.4966502999887,None,7.0,2.337504099996295,336.4966502999887,None,336.4966502999887,None,336.4966502999887,None,336.4966502999887,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,338.8891475999844,None,,,,,,,,,,,,,,,,243,f,24,2023_Mar_22_1123,RL,2021.2.3,59.95121169534463,
0,0.3,0.225,0,25,25,25,,,,,,,,,,,,,,,None,None,None,None,None,340.57321549998596,None,340.57321549998596,None,340.57321549998596,None,340.57321549998596,None,j,0.46574399998644367,340.57321549998596,None,340.57321549998596,None,341.0920876999735,None,341.0920876999735,None,341.0920876999735,None,341.0920876999735,None,341.0920876999735,None,341.0920876999735,None,341.3863623999641,342.820859999978,341.3863623999641,342.820859999978,342.8561147999717,None,342.8561147999717,None,342.8561147999717,None,342.8561147999717,None,342.8561147999717,None,342.8561147999717,None,342.8561147999717,None,342.8561147999717,None,342.8561147999717,None,45,15,67,44,44,48,345.37127209996106,None,5.0,3.0030763000249863,345.37127209996106,None,345.37127209996106,None,345.37127209996106,None,345.37127209996106,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,348.42510299995774,None,,,,,,,,,,,,,,,,243,f,24,2023_Mar_22_1123,RL,2021.2.3,59.95121169534463,
1,-0.3,-0.225,0,26,26,26,,,,,,,,,,,,,,,None,None,None,None,None,350.31335730000865,None,350.31335730000865,None,350.31335730000865,None,350.31335730000865,None,i,0.4156803999794647,350.31335730000865,None,350.31335730000865,None,350.78311479999684,None,350.78311479999684,None,350.78311479999684,None,350.78311479999684,None,350.78311479999684,None,350.78311479999684,None,351.0762223000056,None,351.0762223000056,None,352.90731609996874,None,352.90731609996874,None,352.90731609996874,None,352.90731609996874,None,352.90731609996874,None,352.90731609996874,None,352.90731609996874,None,352.90731609996874,None,352.90731609996874,None,34,12,72,44,72,49,355.43406239995966,None,7.0,2.3360723999794573,355.43406239995966,None,355.43406239995966,None,355.43406239995966,None,355.43406239995966,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,357.8282608999871,None,,,,,,,,,,,,,,,,243,f,24,2023_Mar_22_1123,RL,2021.2.3,59.95121169534463,
0,0.3,0.225,0,27,27,27,,,,,,,,,,,,,,,None,None,None,None,None,359.5033424999565,None,359.5033424999565,None,359.5033424999565,None,359.5033424999565,None,j,0.7458459999761544,359.5033424999565,None,359.5033424999565,None,360.2910789999878,None,360.2910789999878,None,360.2910789999878,None,360.2910789999878,None,360.2910789999878,None,360.2910789999878,None,360.58281729999,361.65027559996815,360.58281729999,361.65027559996815,361.68280939996475,None,361.68280939996475,None,361.68280939996475,None,361.68280939996475,None,361.68280939996475,None,361.68280939996475,None,361.68280939996475,None,361.68280939996475,None,361.68280939996475,None,48,17,77,44,44,49,364.2062200999935,None,4.0,3.2189443999668583,364.2062200999935,None,364.2062200999935,None,364.2062200999935,None,364.2062200999935,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,367.4766416999628,None,,,,,,,,,,,,,,,,243,f,24,2023_Mar_22_1123,RL,2021.2.3,59.95121169534463,
1,-0.3,-0.225,0,28,28,28,,,,,,,,,,,,,,,None,None,None,None,None,369.0915937999962,None,369.0915937999962,None,369.0915937999962,None,369.0915937999962,None,j,0.3477792000048794,369.0915937999962,None,369.0915937999962,None,369.4773383999709,None,369.4773383999709,None,369.4773383999709,None,369.4773383999709,None,369.4773383999709,None,369.4773383999709,None,369.7725411999854,371.4404838999617,369.7725411999854,371.4404838999617,371.4726072999765,None,371.4726072999765,None,371.4726072999765,None,371.4726072999765,None,371.4726072999765,None,371.4726072999765,None,371.4726072999765,None,371.4726072999765,None,371.4726072999765,None,47,16,77,39,39,59,373.98985029995674,None,4.0,1.9030330999521539,373.98985029995674,None,373.98985029995674,None,373.98985029995674,None,373.98985029995674,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,375.9473646999686,None,,,,,,,,,,,,,,,,243,f,24,2023_Mar_22_1123,RL,2021.2.3,59.95121169534463,
0,0.3,0.225,0,29,29,29,,,,,,,,,,,,,,,None,None,None,None,None,377.8159319999977,None,377.8159319999977,None,377.8159319999977,None,377.8159319999977,None,i,0.23347400000784546,377.8159319999977,None,377.8159319999977,None,378.0995330999722,None,378.0995330999722,None,378.0995330999722,None,378.0995330999722,None,378.0995330999722,None,378.0995330999722,None,378.3951875999919,380.3800926999538,378.3951875999919,380.3800926999538,380.4121996999602,None,380.4121996999602,None,380.4121996999602,None,380.4121996999602,None,380.4121996999602,None,380.4121996999602,None,380.4121996999602,None,380.4121996999602,None,380.4121996999602,None,39,10,71,37,71,53,None,None,None,None,None,None,None,None,None,None,None,None,70,382.9447908999864,None,70,382.9447908999864,None,382.9447908999864,None,382.9447908999864,None,382.9447908999864,None,382.9447908999864,None,382.9447908999864,None,382.9447908999864,None,0.01210172998253256,None,382.9447908999864,None,-0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,10.869791666666668,1.9326818999834359,388.24057339999126,None,388.24057339999126,None,388.24057339999126,None,388.24057339999126,None,None,None,390.1861452999874,None,,,,,,,,0.13671875,-0.2747395833333333,1,0,0,5.249740500003099,tijiao,,243,f,24,2023_Mar_22_1123,RL,2021.2.3,59.95121169534463,
1,-0.3,-0.225,0,30,30,30,,,,,,,,,,,,,,,None,None,None,None,None,392.0256645999616,None,392.0256645999616,None,392.0256645999616,None,392.0256645999616,None,f,0.26373840001178905,392.0256645999616,None,392.0256645999616,None,392.3277870999882,None,392.3277870999882,None,392.3277870999882,None,392.3277870999882,None,392.3277870999882,None,392.3277870999882,None,392.62172589998227,394.42306030000327,392.62172589998227,394.42306030000327,394.45440009998856,None,394.45440009998856,None,394.45440009998856,None,394.45440009998856,None,394.45440009998856,None,394.45440009998856,None,394.45440009998856,None,394.45440009998856,None,394.45440009998856,None,33,10,76,37,10,70,396.9763396999915,None,2.0,2.0529068000032566,396.9763396999915,None,396.9763396999915,None,396.9763396999915,None,396.9763396999915,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,399.08204279997153,None,,,,,,,,,,,,,,,,243,f,24,2023_Mar_22_1123,RL,2021.2.3,59.95121169534463,
0,0.3,0.225,0,31,31,31,,,,,,,,,,,,,,,None,None,None,None,None,400.64732739998726,None,400.64732739998726,None,400.64732739998726,None,400.64732739998726,None,f,0.34214830002747476,400.64732739998726,None,400.64732739998726,None,401.0342183999601,None,401.0342183999601,None,401.0342183999601,None,401.0342183999601,None,401.0342183999601,None,401.0342183999601,None,401.3278641999932,402.4452433999977,401.3278641999932,402.4452433999977,402.4777243999997,None,402.4777243999997,None,402.4777243999997,None,402.4777243999997,None,402.4777243999997,None,402.4777243999997,None,402.4777243999997,None,402.4777243999997,None,402.4777243999997,None,37,20,76,39,20,65,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2,1,405.018924199976,None,405.018924199976,None,405.018924199976,None,405.018924199976,None,405.018924199976,None,405.018924199976,None,57,405.018924199976,None,405.018924199976,None,0.0031174299656413496,None,405.018924199976,None,7.028645833333334,2.8305138999712653,409.10616589995334,None,409.10616589995334,None,409.10616589995334,None,409.10616589995334,None,None,None,411.9511927999556,None,0.01171875,-0.2825520833333333,1,0,0,4.056468199996743,tijiao_random_2,,,,,,,,,243,f,24,2023_Mar_22_1123,RL,2021.2.3,59.95121169534463,
