trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,expectself.text,expectself.started,expectself.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,tijiao_click.started,tijiao_click.stopped,check.started,check.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.started,tijiao_random.stopped,check_2.started,check_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate
1,0,82,0,,,,,,,,,,,,,,,None,None,None,None,None,1170.783417,None,1170.783417,None,1170.783417,None,1170.783417,None,j,0.2922395,1170.783417,None,1170.783417,None,1171.12153,None,1171.12153,None,1171.12153,None,1171.12153,None,1171.12153,None,1171.12153,None,1171.396322,1172.213486,1171.396322,1172.213486,1172.265851,None,1172.265851,None,1172.265851,None,1172.265851,None,1172.265851,None,1172.265851,None,1172.265851,None,1172.265851,None,1172.265851,None,42,54,28,48,48,73,None,None,None,None,None,None,None,None,None,None,None,None,56,1174.788889,None,56,1174.788889,None,1174.788889,None,1174.788889,None,1174.788889,None,1174.788889,None,1174.788889,None,1174.788889,None,0.00390625,-0.286458333,1,0,0,6.5899138,tijiao,0.00132176,None,1174.788889,None,0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,6.078125,2.266314,1181.425566,None,1181.425566,None,1181.425566,None,1181.425566,None,None,None,1183.72505,None,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
0,0,83,0,,,,,,,,,,,,,,,None,None,None,None,None,1185.443527,None,1185.443527,None,1185.443527,None,1185.443527,None,j,0.2120649,1185.443527,None,1185.443527,None,1185.696201,None,1185.696201,None,1185.696201,None,1185.696201,None,1185.696201,None,1185.696201,None,1185.989614,1186.906905,1185.989614,1186.906905,1186.937437,None,1186.937437,None,1186.937437,None,1186.937437,None,1186.937437,None,1186.937437,None,1186.937437,None,1186.937437,None,1186.937437,None,45,46,33,55,55,66,1189.463635,None,4,2.1344894,1189.463635,None,1189.463635,None,1189.463635,None,1189.463635,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1191.663372,None,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
1,0,84,0,,,,,,,,,,,,,,,None,None,None,None,None,1193.232323,None,1193.232323,None,1193.232323,None,1193.232323,None,f,0.3133174,1193.232323,None,1193.232323,None,1193.589438,None,1193.589438,None,1193.589438,None,1193.589438,None,1193.589438,None,1193.589438,None,1193.878672,None,1193.878672,None,1195.860427,None,1195.860427,None,1195.860427,None,1195.860427,None,1195.860427,None,1195.860427,None,1195.860427,None,1195.860427,None,1195.860427,None,46,51,27,55,51,67,None,None,None,None,None,None,None,None,None,None,None,None,52,1198.397256,None,52,1198.397256,None,1198.397256,None,1198.397256,None,1198.397256,None,1198.397256,None,1198.397256,None,1198.397256,None,0.03515625,-0.234375,1,0,0,16.0218542,tijiao,0.01004614,None,1198.397256,None,0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,5.1015625,1.9478317,1215.032468,None,1215.032468,None,1215.032468,None,1215.032468,None,None,None,1216.993731,None,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
0,0,85,0,,,,,,,,,,,,,,,None,None,None,None,None,1218.733093,None,1218.733093,None,1218.733093,None,1218.733093,None,j,0.2728548,1218.733093,None,1218.733093,None,1219.052153,None,1219.052153,None,1219.052153,None,1219.052153,None,1219.052153,None,1219.052153,None,1219.346299,1221.014364,1219.346299,1221.014364,1221.047935,None,1221.047935,None,1221.047935,None,1221.047935,None,1221.047935,None,1221.047935,None,1221.047935,None,1221.047935,None,1221.047935,None,44,45,28,58,58,55,None,None,None,None,None,None,None,None,None,None,None,None,64,1223.57569,None,64,1223.57569,None,1223.57569,None,1223.57569,None,1223.57569,None,1223.57569,None,1223.57569,None,1223.57569,None,-0.03515625,-0.28125,1,0,0,4.9523273,tijiao,0.01503794,None,1223.57569,None,0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,7.067708333,1.140125,1228.574495,None,1228.574495,None,1228.574495,None,1228.574495,None,None,None,1229.734544,None,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
1,0,86,0,,,,,,,,,,,,,,,None,None,None,None,None,1231.725996,None,1231.725996,None,1231.725996,None,1231.725996,None,j,0.2698384,1231.725996,None,1231.725996,None,1232.044332,None,1232.044332,None,1232.044332,None,1232.044332,None,1232.044332,None,1232.044332,None,1232.33862,1234.139789,1232.33862,1234.139789,1234.170278,None,1234.170278,None,1234.170278,None,1234.170278,None,1234.170278,None,1234.170278,None,1234.170278,None,1234.170278,None,1234.170278,None,44,39,21,64,64,49,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.2,1,1236.718002,None,1236.718002,None,1236.718002,None,1236.718002,None,1236.718002,None,1236.718002,None,38,1236.718002,None,1236.718002,None,0.01442612,None,1236.718002,None,5.856770833,2.5464397,1243.655152,None,1243.655152,None,1243.655152,None,1243.655152,None,None,None,1246.235282,None,0.079427083,-0.3046875,1,0,0,6.9034386,tijiao_random_2,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
0,0,87,0,,,,,,,,,,,,,,,None,None,None,None,None,1248.052519,None,1248.052519,None,1248.052519,None,1248.052519,None,j,0.2835168,1248.052519,None,1248.052519,None,1248.386958,None,1248.386958,None,1248.386958,None,1248.386958,None,1248.386958,None,1248.386958,None,1248.683215,None,1248.683215,None,1250.263951,None,1250.263951,None,1250.263951,None,1250.263951,None,1250.263951,None,1250.263951,None,1250.263951,None,1250.263951,None,1250.263951,None,37,30,25,69,69,76,1252.781856,None,6,1.7386843,1252.781856,None,1252.781856,None,1252.781856,None,1252.781856,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1254.575661,None,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
1,0,88,0,,,,,,,,,,,,,,,None,None,None,None,None,1256.241748,None,1256.241748,None,1256.241748,None,1256.241748,None,j,0.4142577,1256.241748,None,1256.241748,None,1256.695926,None,1256.695926,None,1256.695926,None,1256.695926,None,1256.695926,None,1256.695926,None,1256.988928,1258.59006,1256.988928,1258.59006,1258.62187,None,1258.62187,None,1258.62187,None,1258.62187,None,1258.62187,None,1258.62187,None,1258.62187,None,1258.62187,None,1258.62187,None,50,42,28,67,67,66,None,None,None,None,None,None,None,None,None,None,None,None,70,1261.157383,None,70,1261.157383,None,1261.157383,None,1261.157383,None,1261.157383,None,1261.157383,None,1261.157383,None,1261.157383,None,0.087239583,-0.325520833,1,0,0,6.2818272,tijiao,0.01004194,None,1261.157383,None,-0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,8.018229167,1.6241427,1267.492638,None,1267.492638,None,1267.492638,None,1267.492638,None,None,None,1269.141135,None,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
0,0,89,0,,,,,,,,,,,,,,,None,None,None,None,None,1271.002339,None,1271.002339,None,1271.002339,None,1271.002339,None,j,0.2838373,1271.002339,None,1271.002339,None,1271.340624,None,1271.340624,None,1271.340624,None,1271.340624,None,1271.340624,None,1271.340624,None,1271.632512,None,1271.632512,None,1273.232452,None,1273.232452,None,1273.232452,None,1273.232452,None,1273.232452,None,1273.232452,None,1273.232452,None,1273.232452,None,1273.232452,None,54,43,22,71,71,74,1275.755593,None,7,1.8836772,1275.755593,None,1275.755593,None,1275.755593,None,1275.755593,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1277.697125,None,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
1,0,90,0,,,,,,,,,,,,,,,None,None,None,None,None,1279.641372,None,1279.641372,None,1279.641372,None,1279.641372,None,j,0.2759566,1279.641372,None,1279.641372,None,1279.959953,None,1279.959953,None,1279.959953,None,1279.959953,None,1279.959953,None,1279.959953,None,1280.255114,None,1280.255114,None,1281.810243,None,1281.810243,None,1281.810243,None,1281.810243,None,1281.810243,None,1281.810243,None,1281.810243,None,1281.810243,None,1281.810243,None,55,44,31,74,74,54,None,None,None,None,None,None,None,None,None,None,None,None,76,1284.357787,None,76,1284.357787,None,1284.357787,None,1284.357787,None,1284.357787,None,1284.357787,None,1284.357787,None,1284.357787,None,0.059895833,-0.265625,1,0,0,4.6629863,tijiao,0.00908994,None,1284.357787,None,0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,9.033854167,2.0776073,1289.071713,None,1289.071713,None,1289.071713,None,1289.071713,None,None,None,1291.18045,None,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
0,0,91,0,,,,,,,,,,,,,,,None,None,None,None,None,1292.718294,None,1292.718294,None,1292.718294,None,1292.718294,None,j,0.3189879,1292.718294,None,1292.718294,None,1293.087534,None,1293.087534,None,1293.087534,None,1293.087534,None,1293.087534,None,1293.087534,None,1293.380808,None,1293.380808,None,1295.046362,None,1295.046362,None,1295.046362,None,1295.046362,None,1295.046362,None,1295.046362,None,1295.046362,None,1295.046362,None,1295.046362,None,53,43,32,72,72,57,1297.563983,None,7,1.6207562,1297.563983,None,1297.563983,None,1297.563983,None,1297.563983,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1299.241466,None,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
