bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,slider_2.started,image_7.started,confi.started,notconfi.started,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,53.12548067699936,53.12548067699936,space,18.344858477000344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,f,23,2023-04-04_11h08.35.302,RL,2022.2.4,59.737073721748104,
,,,,,,,,,,,71.53447817899996,71.53447817899996,s,61.54337926399967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,f,23,2023-04-04_11h08.35.302,RL,2022.2.4,59.737073721748104,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,133.11795733799954,None,134.1776969929997,134.1776969929997,134.1776969929997,134.1776969929997,134.1776969929997,134.1776969929997,i,0.3369649659998686,134.59104383700014,134.59104383700014,134.59104383700014,134.59104383700014,134.59104383700014,134.59104383700014,134.8403518690002,134.8403518690002,135.70299782700022,135.70299782700022,135.7678990429995,135.7678990429995,135.7678990429995,135.7678990429995,135.7678990429995,135.7678990429995,135.7678990429995,135.7678990429995,135.7678990429995,135.7678990429995,135.7678990429995,135.7678990429995,135.7678990429995,135.7678990429995,135.7678990429995,138.2721598070002,138.2721598070002,138.2721598070002,138.2721598070002,138.2721598070002,44,70,43,53,43,52,6.0,2.5917181900003925,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],None,None,141.10772557000018,142.9202756959994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,f,23,2023-04-04_11h08.35.302,RL,2022.2.4,59.737073721748104,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,142.9202756959994,142.9202756959994,142.9202756959994,142.9202756959994,142.9202756959994,142.9202756959994,r,0.32018760800019663,143.28431734900005,143.28431734900005,143.28431734900005,143.28431734900005,143.28431734900005,143.28431734900005,143.54343924600016,143.54343924600016,145.0896941379997,145.0896941379997,145.13693273199988,145.13693273199988,145.13693273199988,145.13693273199988,145.13693273199988,145.13693273199988,145.13693273199988,145.13693273199988,145.13693273199988,145.13693273199988,145.13693273199988,145.13693273199988,145.13693273199988,145.13693273199988,145.13693273199988,,,,,,36,66,43,57,36,50,None,None,,,[],[],[],[],[],[],[],0.2,1,42,[0.11625],[-0.30875],[1],[0],[0],[7.59938517899991],['tijiao_random_2'],6.949999999999999,2.225041384999713,157.5530902649998,159.40995958700023,147.69038404499952,147.69038404499952,147.69038404499952,147.69038404499952,147.69038404499952,147.69038404499952,147.69038404499952,147.69038404499952,0.01055968099990423,147.69038404499952,155.33487914099987,155.33487914099987,155.33487914099987,155.33487914099987,,,,,,,,,,,,,,,,172,f,23,2023-04-04_11h08.35.302,RL,2022.2.4,59.737073721748104,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,159.40995958700023,159.40995958700023,159.40995958700023,159.40995958700023,159.40995958700023,159.40995958700023,j,0.9094405659998301,160.3711042650002,160.3711042650002,160.3711042650002,160.3711042650002,160.3711042650002,160.3711042650002,160.63682854199942,160.63682854199942,161.58911807799996,161.58911807799996,161.63054613199984,161.63054613199984,161.63054613199984,161.63054613199984,161.63054613199984,161.63054613199984,161.63054613199984,161.63054613199984,161.63054613199984,161.63054613199984,161.63054613199984,161.63054613199984,161.63054613199984,161.63054613199984,161.63054613199984,164.13033872599954,164.13033872599954,164.13033872599954,164.13033872599954,164.13033872599954,37,70,33,52,52,49,7.0,2.643851185999665,,,[],[],[],[],[],[],[],-0.2,2,,[],[],[],[],[],[],[],None,None,166.82020328399994,168.798856075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,f,23,2023-04-04_11h08.35.302,RL,2022.2.4,59.737073721748104,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,168.798856075,168.798856075,168.798856075,168.798856075,168.798856075,168.798856075,r,0.6217982660000416,169.47735144699982,169.47735144699982,169.47735144699982,169.47735144699982,169.47735144699982,169.47735144699982,169.75491038600012,169.75491038600012,171.27667815299992,171.27667815299992,171.30089468499955,171.30089468499955,171.30089468499955,171.30089468499955,171.30089468499955,171.30089468499955,171.30089468499955,171.30089468499955,171.30089468499955,171.30089468499955,171.30089468499955,171.30089468499955,171.30089468499955,171.30089468499955,171.30089468499955,,,,,,44,53,39,47,44,54,None,None,,,[],[],[],[],[],[],[],0.6,1,46,[0.07875],[-0.29125],[1],[0],[0],[6.137981761999981],['tijiao_random_2'],7.875,2.84673696200025,182.85702593399947,184.65671364399986,173.83381573399947,173.83381573399947,173.83381573399947,173.83381573399947,173.83381573399947,173.83381573399947,173.83381573399947,173.83381573399947,0.011622889999671315,173.83381573399947,179.98703276099968,179.98703276099968,179.98703276099968,179.98703276099968,,,,,,,,,,,,,,,,172,f,23,2023-04-04_11h08.35.302,RL,2022.2.4,59.737073721748104,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,184.65671364399986,184.65671364399986,184.65671364399986,184.65671364399986,184.65671364399986,184.65671364399986,f,0.7090469309996479,185.42004602899942,185.42004602899942,185.42004602899942,185.42004602899942,185.42004602899942,185.42004602899942,185.6796688889999,185.6796688889999,186.58369699299965,186.58369699299965,186.62413117799952,186.62413117799952,186.62413117799952,186.62413117799952,186.62413117799952,186.62413117799952,186.62413117799952,186.62413117799952,186.62413117799952,186.62413117799952,186.62413117799952,186.62413117799952,186.62413117799952,186.62413117799952,186.62413117799952,189.13189562200023,189.13189562200023,189.13189562200023,189.13189562200023,189.13189562200023,40,54,38,50,54,50,7.0,2.8031082739998965,,,[],[],[],[],[],[],[],0.2,3,,[],[],[],[],[],[],[],None,None,191.978107121,193.72586468999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,f,23,2023-04-04_11h08.35.302,RL,2022.2.4,59.737073721748104,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,193.72586468999998,193.72586468999998,193.72586468999998,193.72586468999998,193.72586468999998,193.72586468999998,i,0.7691768889999366,194.546249817,194.546249817,194.546249817,194.546249817,194.546249817,194.546249817,194.82032453800002,194.82032453800002,196.1898899509997,196.1898899509997,196.2304657019995,196.2304657019995,196.2304657019995,196.2304657019995,196.2304657019995,196.2304657019995,196.2304657019995,196.2304657019995,196.2304657019995,196.2304657019995,196.2304657019995,196.2304657019995,196.2304657019995,196.2304657019995,196.2304657019995,,,,,,46,63,28,44,28,66,None,None,36,36,[-0.0275],[-0.29625],[1],[0],[0],[6.043774802999906],['tijiao'],0.2,0,,[],[],[],[],[],[],[],6.0249999999999995,2.379664130000492,207.2276151289998,208.85145636299967,,,,,,,,,,,204.82970312499947,204.82970312499947,204.82970312499947,204.82970312499947,198.7560637609995,198.7560637609995,198.7560637609995,198.7560637609995,198.7560637609995,198.7560637609995,198.7560637609995,198.7560637609995,0.00876707599945803,198.7560637609995,,,,,,172,f,23,2023-04-04_11h08.35.302,RL,2022.2.4,59.737073721748104,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,208.85145636299967,208.85145636299967,208.85145636299967,208.85145636299967,208.85145636299967,208.85145636299967,r,0.5760510310001337,209.47666521300016,209.47666521300016,209.47666521300016,209.47666521300016,209.47666521300016,209.47666521300016,209.74283917899993,209.74283917899993,210.99348768599975,210.99348768599975,211.03428775999964,211.03428775999964,211.03428775999964,211.03428775999964,211.03428775999964,211.03428775999964,211.03428775999964,211.03428775999964,211.03428775999964,211.03428775999964,211.03428775999964,211.03428775999964,211.03428775999964,211.03428775999964,211.03428775999964,213.52892210899972,213.52892210899972,213.52892210899972,213.52892210899972,213.52892210899972,33,59,37,48,33,50,5.0,2.9515010530003565,,,[],[],[],[],[],[],[],-0.2,3,,[],[],[],[],[],[],[],None,None,216.52511738300018,218.43945227199947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,f,23,2023-04-04_11h08.35.302,RL,2022.2.4,59.737073721748104,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,218.43945227199947,218.43945227199947,218.43945227199947,218.43945227199947,218.43945227199947,218.43945227199947,i,0.5932331809999596,219.07867128399994,219.07867128399994,219.07867128399994,219.07867128399994,219.07867128399994,219.07867128399994,219.3465714670001,219.3465714670001,221.10195522699996,221.10195522699996,221.14220534000015,221.14220534000015,221.14220534000015,221.14220534000015,221.14220534000015,221.14220534000015,221.14220534000015,221.14220534000015,221.14220534000015,221.14220534000015,221.14220534000015,221.14220534000015,221.14220534000015,221.14220534000015,221.14220534000015,,,,,,36,66,47,41,47,63,None,None,,,[],[],[],[],[],[],[],0.2,1,49,[0.0825],[-0.27],[1],[0],[0],[6.8531108560000575],['tijiao_random_2'],5.0875,2.4159782419992553,232.98430859600012,234.9304770459994,223.67936421600007,223.67936421600007,223.67936421600007,223.67936421600007,223.67936421600007,223.67936421600007,223.67936421600007,223.67936421600007,0.010158081999179558,223.67936421600007,230.54785663299936,230.54785663299936,230.54785663299936,230.54785663299936,,,,,,,,,,,,,,,,172,f,23,2023-04-04_11h08.35.302,RL,2022.2.4,59.737073721748104,
