trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,image_3.started,slider.started,text.started,image_4.started,image_5.started,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate
,,,,35.0910616,35.0910616,space,1.5760016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,f,21,2023-03-21_13h32.47.640,RL,2022.2.4,60.16582906
,,,,,,,,36.7087531,36.7087531,s,30.4236578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,f,21,2023-03-21_13h32.47.640,RL,2022.2.4,60.16582906
1,0,0,0,,,,,,,,,67.1623295,None,68.1798886,68.1798886,68.1798886,68.1798886,68.1798886,68.1798886,r,0.5466427,68.7663414,68.7663414,68.7663414,68.7663414,68.7663414,68.7663414,69.0567339,69.0567339,70.4025867,70.4025867,70.4203844,70.4203844,70.4203844,70.4203844,70.4203844,70.4203844,70.4203844,70.4203844,70.4203844,70.4203844,70.4203844,70.4203844,70.4203844,70.4203844,70.4203844,30,55,39,70,30,75,None,None,,,[],[],[],[],[],[],[],0.6,1,72.9427544,72.9427544,72.9427544,72.9427544,72.9427544,72.9427544,72.9427544,72.9427544,0.0069754,72.9427544,60,[-0.001851851851851852],[-0.287962962962963],[1],[0],[0],[4.551802300004056],['tijiao_random_2'],77.5100796,77.5100796,77.5100796,77.5100796,8,2.7359818,80.2924957,82.0042261,,,,,,,,,,,,,,,,,,,,,,235,f,21,2023-03-21_13h32.47.640,RL,2022.2.4,60.16582906
0,0,1,0,,,,,,,,,,None,82.0042261,82.0042261,82.0042261,82.0042261,82.0042261,82.0042261,i,0.9021972,82.9390312,82.9390312,82.9390312,82.9390312,82.9390312,82.9390312,83.2343281,83.2343281,84.3145805,84.3145805,84.3145805,84.3145805,84.3145805,84.3145805,84.3145805,84.3145805,84.3145805,84.3145805,84.3145805,84.3145805,84.3145805,84.3145805,84.3145805,84.3145805,84.3145805,35,45,38,66,38,77,None,None,,,[],[],[],[],[],[],[],0.2,1,86.8330731,86.8330731,86.8330731,86.8330731,86.8330731,86.8330731,86.8330731,86.8330731,0.0064849,86.8330731,40,"[0.03796296296296296, 0.008333333333333333]","[-0.22685185185185186, -0.2953703703703704]","[1, 1]","[0, 0]","[0, 0]","[8.857823800004553, 9.755921200005105]",['tijiao_random_2'],96.6021084,96.6021084,96.6021084,96.6021084,6,3.1341439,99.754825,101.6173033,,,,,,,,,,,,,,,,,,,,,,235,f,21,2023-03-21_13h32.47.640,RL,2022.2.4,60.16582906
1,0,2,0,,,,,,,,,,None,101.6173033,101.6173033,101.6173033,101.6173033,101.6173033,101.6173033,r,0.5902569,102.2332066,102.2332066,102.2332066,102.2332066,102.2332066,102.2332066,102.5315577,102.5315577,103.8949002,103.8949002,103.8949002,103.8949002,103.8949002,103.8949002,103.8949002,103.8949002,103.8949002,103.8949002,103.8949002,103.8949002,103.8949002,103.8949002,103.8949002,103.8949002,103.8949002,37,45,47,68,37,76,3,3.1741158,,,[],[],[],[],[],[],[],-0.2,2,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,109.6030734,111.3076523,106.4045161,106.4045161,106.4045161,106.4045161,106.4045161,,,,,,,,,,,,,,,,,235,f,21,2023-03-21_13h32.47.640,RL,2022.2.4,60.16582906
0,0,3,0,,,,,,,,,,None,111.3076523,111.3076523,111.3076523,111.3076523,111.3076523,111.3076523,f,0.4464296,111.7780802,111.7780802,111.7780802,111.7780802,111.7780802,111.7780802,112.0726072,112.0726072,113.8509803,113.8509803,113.8676804,113.8676804,113.8676804,113.8676804,113.8676804,113.8676804,113.8676804,113.8676804,113.8676804,113.8676804,113.8676804,113.8676804,113.8676804,113.8676804,113.8676804,34,52,46,62,52,39,5,2.991321,,,[],[],[],[],[],[],[],-0.2,2,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,119.393789,121.247322,116.3767412,116.3767412,116.3767412,116.3767412,116.3767412,,,,,,,,,,,,,,,,,235,f,21,2023-03-21_13h32.47.640,RL,2022.2.4,60.16582906
1,0,4,0,,,,,,,,,,None,121.247322,121.247322,121.247322,121.247322,121.247322,121.247322,f,0.5655739,121.8457605,121.8457605,121.8457605,121.8457605,121.8457605,121.8457605,122.145146,122.145146,123.3415671,123.3415671,123.3415671,123.3415671,123.3415671,123.3415671,123.3415671,123.3415671,123.3415671,123.3415671,123.3415671,123.3415671,123.3415671,123.3415671,123.3415671,123.3415671,123.3415671,37,39,42,54,39,80,None,None,,,[],[],[],[],[],[],[],-0.2,1,125.8601917,125.8601917,125.8601917,125.8601917,125.8601917,125.8601917,125.8601917,125.8601917,0.0053577,125.8601917,39,[0.024074074074074074],[-0.28888888888888886],[1],[0],[0],[6.381409299996449],['tijiao_random_2'],132.2546111,132.2546111,132.2546111,132.2546111,9.935185185,2.9691143,135.2414846,137.1038914,,,,,,,,,,,,,,,,,,,,,,235,f,21,2023-03-21_13h32.47.640,RL,2022.2.4,60.16582906
0,0,5,0,,,,,,,,,,None,137.1038914,137.1038914,137.1038914,137.1038914,137.1038914,137.1038914,f,0.8384103,137.9696815,137.9696815,137.9696815,137.9696815,137.9696815,137.9696815,138.2675819,138.2675819,139.9131478,139.9131478,139.9131478,139.9131478,139.9131478,139.9131478,139.9131478,139.9131478,139.9131478,139.9131478,139.9131478,139.9131478,139.9131478,139.9131478,139.9131478,139.9131478,139.9131478,33,39,39,64,39,61,2,2.4756354,,,[],[],[],[],[],[],[],-0.6,3,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,144.9265908,146.9269898,142.4224532,142.4224532,142.4224532,142.4224532,142.4224532,,,,,,,,,,,,,,,,,235,f,21,2023-03-21_13h32.47.640,RL,2022.2.4,60.16582906
1,0,6,0,,,,,,,,,,None,146.9269898,146.9269898,146.9269898,146.9269898,146.9269898,146.9269898,r,0.5856217,147.542362,147.542362,147.542362,147.542362,147.542362,147.542362,147.8416516,147.8416516,149.2711066,149.2711066,149.2711066,149.2711066,149.2711066,149.2711066,149.2711066,149.2711066,149.2711066,149.2711066,149.2711066,149.2711066,149.2711066,149.2711066,149.2711066,149.2711066,149.2711066,36,44,39,58,36,72,2,2.2267976,,,[],[],[],[],[],[],[],0.6,3,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,154.0348434,155.7030979,151.7802614,151.7802614,151.7802614,151.7802614,151.7802614,,,,,,,,,,,,,,,,,235,f,21,2023-03-21_13h32.47.640,RL,2022.2.4,60.16582906
0,0,7,0,,,,,,,,,,None,155.7030979,155.7030979,155.7030979,155.7030979,155.7030979,155.7030979,i,0.6411802,156.3684185,156.3684185,156.3684185,156.3684185,156.3684185,156.3684185,156.6672222,156.6672222,158.1630631,158.1630631,158.1799056,158.1799056,158.1799056,158.1799056,158.1799056,158.1799056,158.1799056,158.1799056,158.1799056,158.1799056,158.1799056,158.1799056,158.1799056,158.1799056,158.1799056,33,53,40,67,40,75,2,3.1068694,,,[],[],[],[],[],[],[],0.2,2,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,163.82348,165.7756676,160.6892374,160.6892374,160.6892374,160.6892374,160.6892374,,,,,,,,,,,,,,,,,235,f,21,2023-03-21_13h32.47.640,RL,2022.2.4,60.16582906
