bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,bigx.started,bigx.stopped,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,slider_2.started,image_7.started,confi.started,notconfi.started,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,52.924081300152466,52.924081300152466,space,8.170412600040436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
,,,,,,,,,,,61.12140960013494,61.12140960013494,s,62.462699400028214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
0,0.3,0.225,0,53,53,53,,,,,,,,,,None,767.7519201000687,767.7519201000687,767.7519201000687,767.7519201000687,767.7519201000687,767.7519201000687,f,0.5981163999531418,768.3684785000514,768.3684785000514,768.3684785000514,768.3684785000514,768.3684785000514,768.3684785000514,768.6663164000493,768.6663164000493,769.5804743000772,769.5804743000772,769.5804743000772,769.5804743000772,769.5804743000772,769.5804743000772,769.5804743000772,769.5804743000772,769.5804743000772,769.5804743000772,769.5804743000772,769.5804743000772,769.5804743000772,769.5804743000772,769.5804743000772,769.5804743000772,769.5804743000772,,,,,,66,63,30,9,63,77,None,None,65,65,[0.018518518518518517],[-0.28703703703703703],[1],[0],[0],[3.6960994999390095],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],9.99074074074074,2.5283039999194443,778.3553014001809,779.9685442000628,,,,,,,,,,,,,775.8085322000552,775.8085322000552,775.8085322000552,775.8085322000552,772.0917870001867,772.0917870001867,772.0917870001867,772.0917870001867,772.0917870001867,772.0917870001867,772.0917870001867,772.0917870001867,0.007026100065559149,772.0917870001867,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
1,-0.3,-0.225,0,54,54,54,,,,,,,,,,None,779.9685442000628,779.9685442000628,779.9685442000628,779.9685442000628,779.9685442000628,779.9685442000628,f,0.5567067000083625,780.5514758001082,780.5514758001082,780.5514758001082,780.5514758001082,780.5514758001082,780.5514758001082,780.8493668001611,780.8493668001611,782.0296080000699,782.0296080000699,782.0296080000699,782.0296080000699,782.0296080000699,782.0296080000699,782.0296080000699,782.0296080000699,782.0296080000699,782.0296080000699,782.0296080000699,782.0296080000699,782.0296080000699,782.0296080000699,782.0296080000699,782.0296080000699,782.0296080000699,,,,,,51,70,37,14,70,50,None,None,70,70,[0.030555555555555555],[-0.2796296296296296],[1],[0],[0],[4.227754399878904],['tijiao'],0.2,0,,[],[],[],[],[],[],[],9.99074074074074,2.860909500159323,791.6688512000255,793.5480556001421,,,,,,,,,,,,,788.7895824001171,788.7895824001171,788.7895824001171,788.7895824001171,784.5419048999902,784.5419048999902,784.5419048999902,784.5419048999902,784.5419048999902,784.5419048999902,784.5419048999902,784.5419048999902,0.007487499853596091,784.5419048999902,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
0,0.3,0.225,0,55,55,55,,,,,,,,,,None,793.5480556001421,793.5480556001421,793.5480556001421,793.5480556001421,793.5480556001421,793.5480556001421,f,0.4640291000250727,794.031210300047,794.031210300047,794.031210300047,794.031210300047,794.031210300047,794.031210300047,794.3296390001196,794.3296390001196,795.4929937000852,795.4929937000852,795.4929937000852,795.4929937000852,795.4929937000852,795.4929937000852,795.4929937000852,795.4929937000852,795.4929937000852,795.4929937000852,795.4929937000852,795.4929937000852,795.4929937000852,795.4929937000852,795.4929937000852,795.4929937000852,795.4929937000852,798.002396899974,798.002396899974,798.002396899974,798.002396899974,798.002396899974,53,61,35,5,61,89,4.0,2.791739100124687,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,800.8210450999904,802.7895729001611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
1,-0.3,-0.225,0,56,56,56,,,,,,,,,,None,802.7895729001611,802.7895729001611,802.7895729001611,802.7895729001611,802.7895729001611,802.7895729001611,r,0.7948889001272619,803.6050627001096,803.6050627001096,803.6050627001096,803.6050627001096,803.6050627001096,803.6050627001096,803.9035524001811,803.9035524001811,805.3328544001561,805.3328544001561,805.3328544001561,805.3328544001561,805.3328544001561,805.3328544001561,805.3328544001561,805.3328544001561,805.3328544001561,805.3328544001561,805.3328544001561,805.3328544001561,805.3328544001561,805.3328544001561,805.3328544001561,805.3328544001561,805.3328544001561,,,,,,41,73,22,13,41,92,None,None,,,[],[],[],[],[],[],[],0.6,1,15,[0.009259259259259259],[-0.31296296296296294],[1],[0],[0],[4.053877199999988],['tijiao_random_2'],6.9907407407407405,2.6199558000080287,814.5563457000535,816.4356160000898,,,807.8513682000339,807.8513682000339,807.8513682000339,807.8513682000339,807.8513682000339,807.8513682000339,807.8513682000339,807.8513682000339,0.006323200184851885,807.8513682000339,811.9176678999793,811.9176678999793,811.9176678999793,811.9176678999793,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
0,0.3,0.225,0,57,57,57,,,,,,,,,,None,816.4356160000898,816.4356160000898,816.4356160000898,816.4356160000898,816.4356160000898,816.4356160000898,i,0.5717120999470353,817.0350970001891,817.0350970001891,817.0350970001891,817.0350970001891,817.0350970001891,817.0350970001891,817.3335641000886,817.3335641000886,818.9289353000931,818.9289353000931,818.9289353000931,818.9289353000931,818.9289353000931,818.9289353000931,818.9289353000931,818.9289353000931,818.9289353000931,818.9289353000931,818.9289353000931,818.9289353000931,818.9289353000931,818.9289353000931,818.9289353000931,818.9289353000931,818.9289353000931,821.4378455001861,821.4378455001861,821.4378455001861,821.4378455001861,821.4378455001861,43,65,28,4,28,50,2.0,2.0768050998449326,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],None,None,823.5423236000352,825.5108527999837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
1,-0.3,-0.225,0,58,58,58,,,,,,,,,,None,825.5108527999837,825.5108527999837,825.5108527999837,825.5108527999837,825.5108527999837,825.5108527999837,f,0.7584060998633504,826.292804799974,826.292804799974,826.292804799974,826.292804799974,826.292804799974,826.292804799974,826.5916520999745,826.5916520999745,828.6025537000969,828.6025537000969,828.6025537000969,828.6025537000969,828.6025537000969,828.6025537000969,828.6025537000969,828.6025537000969,828.6025537000969,828.6025537000969,828.6025537000969,828.6025537000969,828.6025537000969,828.6025537000969,828.6025537000969,828.6025537000969,828.6025537000969,831.1116041000932,831.1116041000932,831.1116041000932,831.1116041000932,831.1116041000932,51,66,22,11,66,82,4.0,3.0745395000558347,,,[],[],[],[],[],[],[],-0.2,3,,[],[],[],[],[],[],[],None,None,834.2114492000546,836.1650823999662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
0,0.3,0.225,0,59,59,59,,,,,,,,,,None,836.1650823999662,836.1650823999662,836.1650823999662,836.1650823999662,836.1650823999662,836.1650823999662,f,0.8491022000089288,837.0469108000398,837.0469108000398,837.0469108000398,837.0469108000398,837.0469108000398,837.0469108000398,837.345594700193,837.345594700193,839.3401631000452,839.3401631000452,839.3401631000452,839.3401631000452,839.3401631000452,839.3401631000452,839.3401631000452,839.3401631000452,839.3401631000452,839.3401631000452,839.3401631000452,839.3401631000452,839.3401631000452,839.3401631000452,839.3401631000452,839.3401631000452,839.3401631000452,,,,,,36,72,29,13,72,84,None,None,,,[],[],[],[],[],[],[],0.2,1,40,[-0.037037037037037035],[-0.29814814814814816],[1],[0],[0],[5.23475500009954],['tijiao_random_2'],4.935185185185185,2.8339088999200612,849.9598670999985,851.9388047000393,,,841.8585368001368,841.8585368001368,841.8585368001368,841.8585368001368,841.8585368001368,841.8585368001368,841.8585368001368,841.8585368001368,0.0066727998200803995,841.8585368001368,847.1081807999872,847.1081807999872,847.1081807999872,847.1081807999872,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
1,-0.3,-0.225,0,60,60,60,,,,,,,,,,None,851.9388047000393,851.9388047000393,851.9388047000393,851.9388047000393,851.9388047000393,851.9388047000393,r,1.1269458997994661,853.0875548000913,853.0875548000913,853.0875548000913,853.0875548000913,853.0875548000913,853.0875548000913,853.3852071000729,853.3852071000729,855.1301602001768,855.1301602001768,855.1301602001768,855.1301602001768,855.1301602001768,855.1301602001768,855.1301602001768,855.1301602001768,855.1301602001768,855.1301602001768,855.1301602001768,855.1301602001768,855.1301602001768,855.1301602001768,855.1301602001768,855.1301602001768,855.1301602001768,857.6392988001462,857.6392988001462,857.6392988001462,857.6392988001462,857.6392988001462,48,58,37,5,48,83,6.0,3.0411199999507517,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],None,None,860.7064642000478,862.6097681999672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
0,0.3,0.225,0,61,61,61,,,,,,,,,,None,862.6097681999672,862.6097681999672,862.6097681999672,862.6097681999672,862.6097681999672,862.6097681999672,f,0.756920900195837,863.3918755000923,863.3918755000923,863.3918755000923,863.3918755000923,863.3918755000923,863.3918755000923,863.690275200177,863.690275200177,864.8372301000636,864.8372301000636,864.8372301000636,864.8372301000636,864.8372301000636,864.8372301000636,864.8372301000636,864.8372301000636,864.8372301000636,864.8372301000636,864.8372301000636,864.8372301000636,864.8372301000636,864.8372301000636,864.8372301000636,864.8372301000636,864.8372301000636,,,,,,39,58,34,12,58,81,None,None,,,[],[],[],[],[],[],[],0.2,1,30,[0.005555555555555556],[-0.2953703703703704],[1],[0],[0],[5.666510500013828],['tijiao_random_2'],6.009259259259259,2.5688951001502573,875.6231588001829,877.5353475001175,,,867.355574300047,867.355574300047,867.355574300047,867.355574300047,867.355574300047,867.355574300047,867.355574300047,867.355574300047,0.006864900002256036,867.355574300047,873.0362266001757,873.0362266001757,873.0362266001757,873.0362266001757,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
1,-0.3,-0.225,0,62,62,62,,,,,,,,,,None,877.5353475001175,877.5353475001175,877.5353475001175,877.5353475001175,877.5353475001175,877.5353475001175,f,0.6835497000720352,878.2506771001499,878.2506771001499,878.2506771001499,878.2506771001499,878.2506771001499,878.2506771001499,878.5497411000542,878.5497411000542,879.496806900017,879.496806900017,879.496806900017,879.496806900017,879.496806900017,879.496806900017,879.496806900017,879.496806900017,879.496806900017,879.496806900017,879.496806900017,879.496806900017,879.496806900017,879.496806900017,879.496806900017,879.496806900017,879.496806900017,882.0059128000867,882.0059128000867,882.0059128000867,882.0059128000867,882.0059128000867,51,56,48,22,56,71,2.0,2.209941199980676,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,884.2440639000852,885.9626850001514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
