bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,expectself.text,expectself.started,expectself.stopped,tijiao_click.started,tijiao_click.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.started,tijiao_random.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,31.875017200014554,None,space,7.054829400032759,31.875017200014554,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,f,21,2023_Mar_20_1017,RL,2021.2.3,60.25058217147471,
,,,,,,,,,,,,,38.96539250004571,None,s,44.41473680001218,38.96539250004571,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,f,21,2023_Mar_20_1017,RL,2021.2.3,60.25058217147471,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,,,,,83.4127205000259,None,None,None,None,None,None,84.4980870000436,None,84.4980870000436,None,84.4980870000436,None,84.4980870000436,None,j,0.9020194999757223,84.4980870000436,None,84.4980870000436,None,85.51231950003421,None,85.51231950003421,None,85.51231950003421,None,85.51231950003421,None,85.51231950003421,None,85.51231950003421,None,85.80299460003152,87.52060960000381,85.80299460003152,87.52060960000381,87.60773170000175,None,87.60773170000175,None,87.60773170000175,None,87.60773170000175,None,87.60773170000175,None,87.60773170000175,None,87.60773170000175,None,87.60773170000175,None,87.60773170000175,None,66,54,38,41,41,51,90.22945230000187,None,3.0,1.5372785000363365,90.22945230000187,None,90.22945230000187,None,90.22945230000187,None,90.22945230000187,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,-0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,92.31277640000917,None,,,,,,,,,,,,,,,,230,f,21,2023_Mar_20_1017,RL,2021.2.3,60.25058217147471,
0,0.3,0.225,0,1,1,1,,,,,,,,,,,,,,,None,None,None,None,None,94.04470080003375,None,94.04470080003375,None,94.04470080003375,None,94.04470080003375,None,None,,94.04470080003375,None,94.04470080003375,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58,45,41,40,0,**,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,0.6,1,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,95.84732420003274,None,101.84748320002109,None,,,,,,,,,,,,,,,,230,f,21,2023_Mar_20_1017,RL,2021.2.3,60.25058217147471,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,,,,,,None,None,None,None,None,103.40277010004502,None,103.40277010004502,None,103.40277010004502,None,103.40277010004502,None,j,0.5174152000108734,103.40277010004502,None,103.40277010004502,None,103.97212310001487,None,103.97212310001487,None,103.97212310001487,None,103.97212310001487,None,103.97212310001487,None,103.97212310001487,None,104.26566500001354,None,104.26566500001354,None,105.39921840000898,None,105.39921840000898,None,105.39921840000898,None,105.39921840000898,None,105.39921840000898,None,105.39921840000898,None,105.39921840000898,None,105.39921840000898,None,105.39921840000898,None,50,37,40,39,39,49,107.91448740003398,None,1.0,0.9913829999859445,107.91448740003398,None,107.91448740003398,None,107.91448740003398,None,107.91448740003398,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,-0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,108.96265380003024,None,,,,,,,,,,,,,,,,230,f,21,2023_Mar_20_1017,RL,2021.2.3,60.25058217147471,
0,0.3,0.225,0,3,3,3,,,,,,,,,,,,,,,None,None,None,None,None,110.65798740001628,None,110.65798740001628,None,110.65798740001628,None,110.65798740001628,None,f,0.9821749000111595,110.65798740001628,None,110.65798740001628,None,111.6944075000356,None,111.6944075000356,None,111.6944075000356,None,111.6944075000356,None,111.6944075000356,None,111.6944075000356,None,111.98787489999086,113.37232650001533,111.98787489999086,113.37232650001533,113.40642220003065,None,113.40642220003065,None,113.40642220003065,None,113.40642220003065,None,113.40642220003065,None,113.40642220003065,None,113.40642220003065,None,113.40642220003065,None,113.40642220003065,None,55,51,41,37,51,57,None,None,None,None,None,None,None,None,None,None,None,None,58,115.93420489999698,None,115.93420489999698,None,115.93420489999698,None,115.93420489999698,None,115.93420489999698,None,115.93420489999698,None,115.93420489999698,None,58,115.93420489999698,None,0.01606261997949332,None,-0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,4.984375,2.9443845999776386,124.39873680000892,None,124.39873680000892,None,124.39873680000892,None,124.39873680000892,None,None,None,127.36498589999974,None,0.078125,-0.2734375,1,0,0,8.38954930001637,tijiao,,,,,,,,,230,f,21,2023_Mar_20_1017,RL,2021.2.3,60.25058217147471,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,,,,,,None,None,None,None,None,129.23740230000112,None,129.23740230000112,None,129.23740230000112,None,129.23740230000112,None,i,0.9130188999697566,129.23740230000112,None,129.23740230000112,None,130.19446240004618,None,130.19446240004618,None,130.19446240004618,None,130.19446240004618,None,130.19446240004618,None,130.19446240004618,None,130.4840472000069,None,130.4840472000069,None,131.98321269999724,None,131.98321269999724,None,131.98321269999724,None,131.98321269999724,None,131.98321269999724,None,131.98321269999724,None,131.98321269999724,None,131.98321269999724,None,131.98321269999724,None,53,43,44,36,44,56,134.50758239999413,None,2.0,2.5674679999938235,134.50758239999413,None,134.50758239999413,None,134.50758239999413,None,134.50758239999413,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,137.13461670000106,None,,,,,,,,,,,,,,,,230,f,21,2023_Mar_20_1017,RL,2021.2.3,60.25058217147471,
0,0.3,0.225,0,5,5,5,,,,,,,,,,,,,,,None,None,None,None,None,138.86110830004327,None,138.86110830004327,None,138.86110830004327,None,138.86110830004327,None,r,0.9203117999713868,138.86110830004327,None,138.86110830004327,None,139.82673289999366,None,139.82673289999366,None,139.82673289999366,None,139.82673289999366,None,139.82673289999366,None,139.82673289999366,None,140.1239620000124,None,140.1239620000124,None,141.25759380002273,None,141.25759380002273,None,141.25759380002273,None,141.25759380002273,None,141.25759380002273,None,141.25759380002273,None,141.25759380002273,None,141.25759380002273,None,141.25759380002273,None,54,36,37,34,54,52,143.77265699999407,None,4.0,1.5724638999672607,143.77265699999407,None,143.77265699999407,None,143.77265699999407,None,143.77265699999407,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,145.4033836000017,None,,,,,,,,,,,,,,,,230,f,21,2023_Mar_20_1017,RL,2021.2.3,60.25058217147471,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,,,,,,None,None,None,None,None,146.98289650003426,None,146.98289650003426,None,146.98289650003426,None,146.98289650003426,None,r,0.5787434999947436,146.98289650003426,None,146.98289650003426,None,147.602285400033,None,147.602285400033,None,147.602285400033,None,147.602285400033,None,147.602285400033,None,147.602285400033,None,147.89618800004246,149.11378750001313,147.89618800004246,149.11378750001313,149.14585600001737,None,149.14585600001737,None,149.14585600001737,None,149.14585600001737,None,149.14585600001737,None,149.14585600001737,None,149.14585600001737,None,149.14585600001737,None,149.14585600001737,None,61,39,41,55,61,46,None,None,None,None,None,None,None,None,None,None,None,None,25,151.68352950003464,None,151.68352950003464,None,151.68352950003464,None,151.68352950003464,None,151.68352950003464,None,151.68352950003464,None,151.68352950003464,None,25,151.68352950003464,None,0.007326319930143654,None,0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,7.041666666666666,2.8266081999754533,155.70921729999827,None,155.70921729999827,None,155.70921729999827,None,155.70921729999827,None,None,None,158.5530402000295,None,0.10807291666666667,-0.28125,1,0,0,3.977421100018546,tijiao,,,,,,,,,230,f,21,2023_Mar_20_1017,RL,2021.2.3,60.25058217147471,
0,0.3,0.225,0,7,7,7,,,,,,,,,,,,,,,None,None,None,None,None,160.09234910004307,None,160.09234910004307,None,160.09234910004307,None,160.09234910004307,None,i,0.819113900011871,160.09234910004307,None,160.09234910004307,None,160.96986489999108,None,160.96986489999108,None,160.96986489999108,None,160.96986489999108,None,160.96986489999108,None,160.96986489999108,None,161.25535739999032,162.25604700000258,161.25535739999032,162.25604700000258,162.2938034000108,None,162.2938034000108,None,162.2938034000108,None,162.2938034000108,None,162.2938034000108,None,162.2938034000108,None,162.2938034000108,None,162.2938034000108,None,162.2938034000108,None,62,35,48,49,48,46,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,-0.6,1,164.84021900000516,None,164.84021900000516,None,164.84021900000516,None,164.84021900000516,None,164.84021900000516,None,164.84021900000516,None,82,164.84021900000516,None,164.84021900000516,None,0.009714059997349977,None,5.8828125,5.526830599992536,169.66157450003084,None,169.66157450003084,None,169.66157450003084,None,169.66157450003084,None,None,None,175.2159901999985,None,,,,,,,,-0.00390625,-0.3033854166666667,1,0,0,4.764752999995835,tijiao,,230,f,21,2023_Mar_20_1017,RL,2021.2.3,60.25058217147471,
1,-0.3,-0.225,0,8,8,8,,,,,,,,,,,,,,,None,None,None,None,None,177.0207636000123,None,177.0207636000123,None,177.0207636000123,None,177.0207636000123,None,j,0.8009047000086866,177.0207636000123,None,177.0207636000123,None,177.87171790003777,None,177.87171790003777,None,177.87171790003777,None,177.87171790003777,None,177.87171790003777,None,177.87171790003777,None,178.16735719999997,None,178.16735719999997,None,180.06821040000068,None,180.06821040000068,None,180.06821040000068,None,180.06821040000068,None,180.06821040000068,None,180.06821040000068,None,180.06821040000068,None,180.06821040000068,None,180.06821040000068,None,56,37,45,52,52,62,182.5858327000169,None,2.0,0.8878106999909505,182.5858327000169,None,182.5858327000169,None,182.5858327000169,None,182.5858327000169,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,-0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,183.52939100004733,None,,,,,,,,,,,,,,,,230,f,21,2023_Mar_20_1017,RL,2021.2.3,60.25058217147471,
