bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,image_3.started,slider.started,text.started,image_4.started,image_5.started,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,18.4311633000616,18.4311633000616,space,6.516609500045888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,m,23,2023-03-26_16h59.58.367,RL,2022.2.4,60.06922378311125,
,,,,,,,,,,,24.97644430003129,24.97644430003129,s,12.801546000060625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,m,23,2023-03-26_16h59.58.367,RL,2022.2.4,60.06922378311125,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,37.79718200000934,None,38.824302199995145,38.824302199995145,38.824302199995145,38.824302199995145,38.824302199995145,38.824302199995145,r,0.6467406000010669,39.51169459999073,39.51169459999073,39.51169459999073,39.51169459999073,39.51169459999073,39.51169459999073,39.791300300043076,39.791300300043076,40.85511999996379,40.85511999996379,40.8742554000346,40.8742554000346,40.8742554000346,40.8742554000346,40.8742554000346,40.8742554000346,40.8742554000346,40.8742554000346,40.8742554000346,40.8742554000346,40.8742554000346,40.8742554000346,40.8742554000346,40.8742554000346,40.8742554000346,30,37,61,67,30,57,None,None,,,[],[],[],[],[],[],[],-0.6,1,43.453992799972184,43.453992799972184,43.453992799972184,43.453992799972184,43.453992799972184,43.453992799972184,43.453992799972184,43.453992799972184,0.0074653999181464314,43.453992799972184,60,[-0.030555555555555555],[-0.2972222222222222],[1],[0],[0],[5.357319899951108],['tijiao_random_2'],48.87780100002419,48.87780100002419,48.87780100002419,48.87780100002419,8.027777777777777,3.33364139997866,52.27057040005457,54.068869399954565,,,,,,,,,,,,,,,,,,,268,m,23,2023-03-26_16h59.58.367,RL,2022.2.4,60.06922378311125,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,54.068869399954565,54.068869399954565,54.068869399954565,54.068869399954565,54.068869399954565,54.068869399954565,f,0.4497984000481665,54.55141139996704,54.55141139996704,54.55141139996704,54.55141139996704,54.55141139996704,54.55141139996704,54.850208800053224,54.850208800053224,56.346118699992076,56.346118699992076,56.346118699992076,56.346118699992076,56.346118699992076,56.346118699992076,56.346118699992076,56.346118699992076,56.346118699992076,56.346118699992076,56.346118699992076,56.346118699992076,56.346118699992076,56.346118699992076,56.346118699992076,56.346118699992076,56.346118699992076,40,36,44,48,36,62,None,None,,,[],[],[],[],[],[],[],0.2,1,58.86692020006012,58.86692020006012,58.86692020006012,58.86692020006012,58.86692020006012,58.86692020006012,58.86692020006012,58.86692020006012,0.006781799951568246,58.86692020006012,40,[0.03611111111111111],[-0.29444444444444445],[1],[0],[0],[4.317244000034407],['tijiao_random_2'],63.19823630002793,63.19823630002793,63.19823630002793,63.19823630002793,9.0,3.0514756999909878,66.2680415000068,68.2134963000426,,,,,,,,,,,,,,,,,,,268,m,23,2023-03-26_16h59.58.367,RL,2022.2.4,60.06922378311125,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,68.2134963000426,68.2134963000426,68.2134963000426,68.2134963000426,68.2134963000426,68.2134963000426,f,0.4407423000084236,68.68004190002102,68.68004190002102,68.68004190002102,68.68004190002102,68.68004190002102,68.68004190002102,68.97850500000641,68.97850500000641,70.5407828000607,70.5407828000607,70.5407828000607,70.5407828000607,70.5407828000607,70.5407828000607,70.5407828000607,70.5407828000607,70.5407828000607,70.5407828000607,70.5407828000607,70.5407828000607,70.5407828000607,70.5407828000607,70.5407828000607,70.5407828000607,70.5407828000607,44,32,54,41,32,37,4.0,2.7587557999650016,,,[],[],[],[],[],[],[],0.2,3,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,75.84210390003864,77.7375694999937,73.05010540003423,73.05010540003423,73.05010540003423,73.05010540003423,73.05010540003423,,,,,,,,,,,,,,268,m,23,2023-03-26_16h59.58.367,RL,2022.2.4,60.06922378311125,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,77.7375694999937,77.7375694999937,77.7375694999937,77.7375694999937,77.7375694999937,77.7375694999937,j,0.7203455999260768,78.49529650004115,78.49529650004115,78.49529650004115,78.49529650004115,78.49529650004115,78.49529650004115,78.7851463999832,78.7851463999832,80.28111760003958,80.28111760003958,80.28111760003958,80.28111760003958,80.28111760003958,80.28111760003958,80.28111760003958,80.28111760003958,80.28111760003958,80.28111760003958,80.28111760003958,80.28111760003958,80.28111760003958,80.28111760003958,80.28111760003958,80.28111760003958,80.28111760003958,35,35,54,50,50,37,6.0,2.010177400079556,,,[],[],[],[],[],[],[],-0.6,2,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,84.82688419998158,86.81304060004186,82.78985930001363,82.78985930001363,82.78985930001363,82.78985930001363,82.78985930001363,,,,,,,,,,,,,,268,m,23,2023-03-26_16h59.58.367,RL,2022.2.4,60.06922378311125,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,86.81304060004186,86.81304060004186,86.81304060004186,86.81304060004186,86.81304060004186,86.81304060004186,j,0.6452621999196708,87.48075860005338,87.48075860005338,87.48075860005338,87.48075860005338,87.48075860005338,87.48075860005338,87.77722100005485,87.77722100005485,89.53860670002177,89.53860670002177,89.55542009999044,89.55542009999044,89.55542009999044,89.55542009999044,89.55542009999044,89.55542009999044,89.55542009999044,89.55542009999044,89.55542009999044,89.55542009999044,89.55542009999044,89.55542009999044,89.55542009999044,89.55542009999044,89.55542009999044,40,35,49,45,45,32,6.0,2.0937427000608295,,,[],[],[],[],[],[],[],-0.6,2,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,94.1879450000124,95.77184750000015,92.06451840000227,92.06451840000227,92.06451840000227,92.06451840000227,92.06451840000227,,,,,,,,,,,,,,268,m,23,2023-03-26_16h59.58.367,RL,2022.2.4,60.06922378311125,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,95.77184750000015,95.77184750000015,95.77184750000015,95.77184750000015,95.77184750000015,95.77184750000015,j,0.5009568999521434,96.30428479996044,96.30428479996044,96.30428479996044,96.30428479996044,96.30428479996044,96.30428479996044,96.60320989997126,96.60320989997126,97.58332129998598,97.58332129998598,97.60031100001652,97.60031100001652,97.60031100001652,97.60031100001652,97.60031100001652,97.60031100001652,97.60031100001652,97.60031100001652,97.60031100001652,97.60031100001652,97.60031100001652,97.60031100001652,97.60031100001652,97.60031100001652,97.60031100001652,37,28,51,43,43,69,5.0,1.8441472999984398,,,[],[],[],[],[],[],[],0.6,3,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,101.9792190999724,103.94935710006393,100.10899900004733,100.10899900004733,100.10899900004733,100.10899900004733,100.10899900004733,,,,,,,,,,,,,,268,m,23,2023-03-26_16h59.58.367,RL,2022.2.4,60.06922378311125,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,103.94935710006393,103.94935710006393,103.94935710006393,103.94935710006393,103.94935710006393,103.94935710006393,i,0.3643939000321552,104.33744939998724,104.33744939998724,104.33744939998724,104.33744939998724,104.33744939998724,104.33744939998724,104.63112400006503,104.63112400006503,106.06012300006114,106.06012300006114,106.076844300027,106.076844300027,106.076844300027,106.076844300027,106.076844300027,106.076844300027,106.076844300027,106.076844300027,106.076844300027,106.076844300027,106.076844300027,106.076844300027,106.076844300027,106.076844300027,106.076844300027,33,35,40,40,40,44,None,None,70,70,[-0.03888888888888889],[-0.3148148148148148],[1],[0],[0],[4.227394999936223],['tijiao'],0.2,0,,,,,,,,,,,,[],[],[],[],[],[],[],112.84014590003062,112.84014590003062,112.84014590003062,112.84014590003062,10.018518518518519,2.7767501999624074,115.63340539997444,117.27988200006075,,,,,,108.59342759998981,108.59342759998981,108.59342759998981,108.59342759998981,108.59342759998981,108.59342759998981,108.59342759998981,108.59342759998981,0.00740360002964735,108.59342759998981,,,,268,m,23,2023-03-26_16h59.58.367,RL,2022.2.4,60.06922378311125,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,117.27988200006075,117.27988200006075,117.27988200006075,117.27988200006075,117.27988200006075,117.27988200006075,i,0.434350399998948,117.74585309997201,117.74585309997201,117.74585309997201,117.74585309997201,117.74585309997201,117.74585309997201,118.04462880000938,118.04462880000938,119.87281580001581,119.87281580001581,119.88927409995813,119.88927409995813,119.88927409995813,119.88927409995813,119.88927409995813,119.88927409995813,119.88927409995813,119.88927409995813,119.88927409995813,119.88927409995813,119.88927409995813,119.88927409995813,119.88927409995813,119.88927409995813,119.88927409995813,39,41,51,43,51,41,6.0,1.677998899947852,,,[],[],[],[],[],[],[],0.6,3,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,124.10558189998847,125.7730369999772,122.39857510000002,122.39857510000002,122.39857510000002,122.39857510000002,122.39857510000002,,,,,,,,,,,,,,268,m,23,2023-03-26_16h59.58.367,RL,2022.2.4,60.06922378311125,
