trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,expectself.text,expectself.started,expectself.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,tijiao_click.started,tijiao_click.stopped,check.started,check.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.started,tijiao_random.stopped,check_2.started,check_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,rest_response.rt,image.started,image.stopped,key_resp.keys,key_resp.started,key_resp.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate
1,0,100,0,,,,,,,,,,,,,,,None,None,None,None,None,1237.569689,None,1237.569689,None,1237.569689,None,1237.569689,None,f,0.6477914,1237.569689,None,1237.569689,None,1238.256385,None,1238.256385,None,1238.256385,None,1238.256385,None,1238.256385,None,1238.256385,None,1238.54904,None,1238.54904,None,1239.814636,None,1239.814636,None,1239.814636,None,1239.814636,None,1239.814636,None,1239.814636,None,1239.814636,None,1239.814636,None,1239.814636,None,32,74,48,46,74,73,1242.340643,None,5,2.8016066,1242.340643,None,1242.340643,None,1242.340643,None,1242.340643,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1245.199704,None,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
0,0,101,0,,,,,,,,,,,,,,,None,None,None,None,None,1246.742485,None,1246.742485,None,1246.742485,None,1246.742485,None,f,0.4953901,1246.742485,None,1246.742485,None,1247.276724,None,1247.276724,None,1247.276724,None,1247.276724,None,1247.276724,None,1247.276724,None,1247.571938,None,1247.571938,None,1248.494423,None,1248.494423,None,1248.494423,None,1248.494423,None,1248.494423,None,1248.494423,None,1248.494423,None,1248.494423,None,1248.494423,None,33,70,48,43,70,72,1251.028342,None,4,2.5344619,1251.028342,None,1251.028342,None,1251.028342,None,1251.028342,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1253.611922,None,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
1,0,102,0,,,,,,,,,,,,,,,None,None,None,None,None,1255.364788,None,1255.364788,None,1255.364788,None,1255.364788,None,f,0.4729347,1255.364788,None,1255.364788,None,1255.883492,None,1255.883492,None,1255.883492,None,1255.883492,None,1255.883492,None,1255.883492,None,1256.177892,None,1256.177892,None,1258.194903,None,1258.194903,None,1258.194903,None,1258.194903,None,1258.194903,None,1258.194903,None,1258.194903,None,1258.194903,None,1258.194903,None,40,67,54,43,67,68,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.2,1,1260.741983,None,1260.741983,None,1260.741983,None,1260.741983,None,1260.741983,None,1260.741983,None,67,1260.741983,None,1260.741983,None,0.0139385,None,1260.741983,None,4.0078125,1.0791738,1264.974917,None,1264.974917,None,1264.974917,None,1264.974917,None,None,None,1266.080097,None,0.018229167,-0.313802083,1,0,0,4.2008517,tijiao_random_2,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
0,0,103,0,,,,,,,,,,,,,,,None,None,None,None,None,1268.089385,None,1268.089385,None,1268.089385,None,1268.089385,None,f,0.3382316,1268.089385,None,1268.089385,None,1268.478543,None,1268.478543,None,1268.478543,None,1268.478543,None,1268.478543,None,1268.478543,None,1268.769891,None,1268.769891,None,1269.983767,None,1269.983767,None,1269.983767,None,1269.983767,None,1269.983767,None,1269.983767,None,1269.983767,None,1269.983767,None,1269.983767,None,44,59,53,47,59,48,None,None,None,None,None,None,None,None,None,None,None,None,76,1272.512955,None,76,1272.512955,None,1272.512955,None,1272.512955,None,1272.512955,None,1272.512955,None,1272.512955,None,1272.512955,None,0.052083333,-0.298177083,1,0,0,5.9063242,tijiao,0.001442,None,1272.512955,None,-0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,3.994791667,1.3079873,1278.474001,None,1278.474001,None,1278.474001,None,1278.474001,None,None,None,1279.80897,None,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
1,0,104,0,,,,,,,,,,,,,,,None,None,None,None,None,1281.798892,None,1281.798892,None,1281.798892,None,1281.798892,None,f,0.3988841,1281.798892,None,1281.798892,None,1282.236716,None,1282.236716,None,1282.236716,None,1282.236716,None,1282.236716,None,1282.236716,None,1282.529634,None,1282.529634,None,1284.245275,None,1284.245275,None,1284.245275,None,1284.245275,None,1284.245275,None,1284.245275,None,1284.245275,None,1284.245275,None,1284.245275,None,42,61,54,57,61,34,1286.762753,None,5,2.3246794,1286.762753,None,1286.762753,None,1286.762753,None,1286.762753,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1289.161972,None,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
0,0,105,0,,,,,,,,,,,,,,,None,None,None,None,None,1291.122486,None,1291.122486,None,1291.122486,None,1291.122486,None,f,0.6755396,1291.122486,None,1291.122486,None,1291.845202,None,1291.845202,None,1291.845202,None,1291.845202,None,1291.845202,None,1291.845202,None,1292.136438,1293.60422,1292.136438,1293.60422,1293.634265,None,1293.634265,None,1293.634265,None,1293.634265,None,1293.634265,None,1293.634265,None,1293.634265,None,1293.634265,None,1293.634265,None,32,64,52,58,64,50,None,None,None,None,None,None,None,None,None,None,None,None,75,1296.168348,None,75,1296.168348,None,1296.168348,None,1296.168348,None,1296.168348,None,1296.168348,None,1296.168348,None,1296.168348,None,0.096354167,-0.25,1,0,0,6.1012459,tijiao,0.01330675,None,1296.168348,None,-0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,4.0078125,1.2974522,1302.31423,None,1302.31423,None,1302.31423,None,1302.31423,None,None,None,1303.626789,None,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
1,0,106,0,,,,,,,,,,,,,,,None,None,None,None,None,1305.281701,None,1305.281701,None,1305.281701,None,1305.281701,None,f,0.5074147,1305.281701,None,1305.281701,None,1305.837055,None,1305.837055,None,1305.837055,None,1305.837055,None,1305.837055,None,1305.837055,None,1306.112597,1308.114248,1306.112597,1308.114248,1308.144731,None,1308.144731,None,1308.144731,None,1308.144731,None,1308.144731,None,1308.144731,None,1308.144731,None,1308.144731,None,1308.144731,None,35,73,56,43,73,48,1310.668004,None,5,2.4168093,1310.668004,None,1310.668004,None,1310.668004,None,1310.668004,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1313.139921,None,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
0,0,107,0,,,,,,,,,,,,,,,None,None,None,None,None,1314.856697,None,1314.856697,None,1314.856697,None,1314.856697,None,f,0.4422582,1314.856697,None,1314.856697,None,1315.343279,None,1315.343279,None,1315.343279,None,1315.343279,None,1315.343279,None,1315.343279,None,1315.635848,None,1315.635848,None,1316.569868,None,1316.569868,None,1316.569868,None,1316.569868,None,1316.569868,None,1316.569868,None,1316.569868,None,1316.569868,None,1316.569868,None,41,67,68,53,67,51,1319.093313,None,5,2.0847048,1319.093313,None,1319.093313,None,1319.093313,None,1319.093313,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1321.228068,None,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
1,0,108,0,,,,,,,,,,,,,,,None,None,None,None,None,1322.994825,None,1322.994825,None,1322.994825,None,1322.994825,None,f,0.4342441,1322.994825,None,1322.994825,None,1323.479636,None,1323.479636,None,1323.479636,None,1323.479636,None,1323.479636,None,1323.479636,None,1323.774939,None,1323.774939,None,1325.290116,None,1325.290116,None,1325.290116,None,1325.290116,None,1325.290116,None,1325.290116,None,1325.290116,None,1325.290116,None,1325.290116,None,43,72,66,51,72,56,None,None,None,None,None,None,None,None,None,None,None,None,60,1327.819769,None,60,1327.819769,None,1327.819769,None,1327.819769,None,1327.819769,None,1327.819769,None,1327.819769,None,1327.819769,None,0.0859375,-0.313802083,1,0,0,4.8382441,tijiao,0.01653955,None,1327.819769,None,0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,3.994791667,1.2503086,1332.703252,None,1332.703252,None,1332.703252,None,1332.703252,None,None,None,1333.979831,None,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
0,0,109,0,,,,,,,,,,,,,,,None,None,None,None,None,1335.920615,None,1335.920615,None,1335.920615,None,1335.920615,None,f,0.5684717,1335.920615,None,1335.920615,None,1336.542847,None,1336.542847,None,1336.542847,None,1336.542847,None,1336.542847,None,1336.542847,None,1336.83411,1338.068209,1336.83411,1338.068209,1338.104727,None,1338.104727,None,1338.104727,None,1338.104727,None,1338.104727,None,1338.104727,None,1338.104727,None,1338.104727,None,1338.104727,None,39,73,62,54,73,47,1340.621377,None,5,1.870444,1340.621377,None,1340.621377,None,1340.621377,None,1340.621377,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1342.542487,None,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
1,0,110,0,,,,,,,,,,,,,,,None,None,None,None,None,1344.075409,None,1344.075409,None,1344.075409,None,1344.075409,None,f,0.513918,1344.075409,None,1344.075409,None,1344.627163,None,1344.627163,None,1344.627163,None,1344.627163,None,1344.627163,None,1344.627163,None,1344.922958,None,1344.922958,None,1346.388952,None,1346.388952,None,1346.388952,None,1346.388952,None,1346.388952,None,1346.388952,None,1346.388952,None,1346.388952,None,1346.388952,None,39,70,56,51,70,42,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.6,1,1348.929863,None,1348.929863,None,1348.929863,None,1348.929863,None,1348.929863,None,1348.929863,None,25,1348.929863,None,1348.929863,None,0.00457785,None,1348.929863,None,1.989583333,1.896961,1353.218895,None,1353.218895,None,1353.218895,None,1353.218895,None,None,None,1355.129325,None,0.016927083,-0.26953125,1,0,0,4.2580556,tijiao_random_2,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
0,0,111,0,,,,,,,,,,,,,,,None,None,None,None,None,1357.002242,None,1357.002242,None,1357.002242,None,1357.002242,None,r,0.3474092,1357.002242,None,1357.002242,None,1357.399138,None,1357.399138,None,1357.399138,None,1357.399138,None,1357.399138,None,1357.399138,None,1357.681784,1359.083096,1357.681784,1359.083096,1359.116164,None,1359.116164,None,1359.116164,None,1359.116164,None,1359.116164,None,1359.116164,None,1359.116164,None,1359.116164,None,1359.116164,None,37,76,61,45,37,52,1361.638707,None,2,2.1001044,1361.638707,None,1361.638707,None,1361.638707,None,1361.638707,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1363.794991,None,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
