trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,slider_2.started,image_7.started,confi.started,notconfi.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate
,,,,59.3281057,59.3281057,space,12.0501198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
,,,,,,,,71.4164578,71.4164578,s,17.0412461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
0,0,93,0,,,,,,,,,,None,1348.540124,1348.540124,1348.540124,1348.540124,1348.540124,1348.540124,r,0.6961781,1349.255488,1349.255488,1349.255488,1349.255488,1349.255488,1349.255488,1349.554094,1349.554094,1350.517964,1350.517964,1350.534997,1350.534997,1350.534997,1350.534997,1350.534997,1350.534997,1350.534997,1350.534997,1350.534997,1350.534997,1350.534997,1350.534997,1350.534997,1350.534997,1350.534997,,,,,,66,32,21,44,66,52,None,None,,,[],[],[],[],[],[],[],0.2,1,45,[-0.06388888888888888],[-0.3148148148148148],[1],[0],[0],[4.2056744000001345],['tijiao_random_2'],7.018518519,2.1717315,1359.459311,1361.055723,,,,,,,,,,,1357.268705,1357.268705,1357.268705,1357.268705,1353.05178,1353.05178,1353.05178,1353.05178,1353.05178,1353.05178,1353.05178,1353.05178,0.0055492,1353.05178,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
1,0,94,0,,,,,,,,,,None,1361.055723,1361.055723,1361.055723,1361.055723,1361.055723,1361.055723,r,0.2140368,1361.289174,1361.289174,1361.289174,1361.289174,1361.289174,1361.289174,1361.587952,1361.587952,1362.61881,1362.61881,1362.61881,1362.61881,1362.61881,1362.61881,1362.61881,1362.61881,1362.61881,1362.61881,1362.61881,1362.61881,1362.61881,1362.61881,1362.61881,1362.61881,1362.61881,,,,,,62,30,11,44,62,49,None,None,63,63,[-0.03518518518518519],[-0.30925925925925923],[1],[0],[0],[3.7315968000038993],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],10.47222222,1.8643046,1370.76228,1372.707556,1365.129149,1365.129149,1365.129149,1365.129149,1365.129149,1365.129149,1365.129149,1365.129149,0.0051335,1365.129149,1368.87983,1368.87983,1368.87983,1368.87983,,,,,,,,,,,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
0,0,95,0,,,,,,,,,,None,1372.707556,1372.707556,1372.707556,1372.707556,1372.707556,1372.707556,r,0.296241,1373.024033,1373.024033,1373.024033,1373.024033,1373.024033,1373.024033,1373.322423,1373.322423,1374.935118,1374.935118,1374.935118,1374.935118,1374.935118,1374.935118,1374.935118,1374.935118,1374.935118,1374.935118,1374.935118,1374.935118,1374.935118,1374.935118,1374.935118,1374.935118,1374.935118,1377.4437,1377.4437,1377.4437,1377.4437,1377.4437,58,24,17,36,58,59,5,2.1267207,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,1379.594679,1381.516619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
1,0,96,0,,,,,,,,,,None,1381.516619,1381.516619,1381.516619,1381.516619,1381.516619,1381.516619,r,0.2040668,1381.749882,1381.749882,1381.749882,1381.749882,1381.749882,1381.749882,1382.048804,1382.048804,1384.010132,1384.010132,1384.010132,1384.010132,1384.010132,1384.010132,1384.010132,1384.010132,1384.010132,1384.010132,1384.010132,1384.010132,1384.010132,1384.010132,1384.010132,1384.010132,1384.010132,,,,,,61,34,10,41,61,47,None,None,,,[],[],[],[],[],[],[],0.2,1,22,[0.07777777777777778],[-0.2833333333333333],[1],[0],[0],[6.415781399991829],['tijiao_random_2'],7.287037037,2.7855265,1395.760175,1397.506645,,,,,,,,,,,1392.955915,1392.955915,1392.955915,1392.955915,1386.528102,1386.528102,1386.528102,1386.528102,1386.528102,1386.528102,1386.528102,1386.528102,0.0059308,1386.528102,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
0,0,97,0,,,,,,,,,,None,1397.506645,1397.506645,1397.506645,1397.506645,1397.506645,1397.506645,r,0.2983374,1397.823662,1397.823662,1397.823662,1397.823662,1397.823662,1397.823662,1398.121761,1398.121761,1399.750669,1399.750669,1399.750669,1399.750669,1399.750669,1399.750669,1399.750669,1399.750669,1399.750669,1399.750669,1399.750669,1399.750669,1399.750669,1399.750669,1399.750669,1399.750669,1399.750669,1402.25978,1402.25978,1402.25978,1402.25978,1402.25978,62,32,18,40,62,70,5,2.3264103,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],None,None,1404.613795,1406.58143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
1,0,98,0,,,,,,,,,,None,1406.58143,1406.58143,1406.58143,1406.58143,1406.58143,1406.58143,r,0.2755055,1406.881295,1406.881295,1406.881295,1406.881295,1406.881295,1406.881295,1407.180509,1407.180509,1408.925767,1408.925767,1408.925767,1408.925767,1408.925767,1408.925767,1408.925767,1408.925767,1408.925767,1408.925767,1408.925767,1408.925767,1408.925767,1408.925767,1408.925767,1408.925767,1408.925767,1411.434808,1411.434808,1411.434808,1411.434808,1411.434808,60,29,18,39,60,62,5,2.4595729,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],None,None,1413.9199,1415.424322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
0,0,99,0,,,,,,,,,,None,1415.424322,1415.424322,1415.424322,1415.424322,1415.424322,1415.424322,f,0.2600139,1415.707608,1415.707608,1415.707608,1415.707608,1415.707608,1415.707608,1416.006068,1416.006068,1417.302701,1417.302701,1417.319045,1417.319045,1417.319045,1417.319045,1417.319045,1417.319045,1417.319045,1417.319045,1417.319045,1417.319045,1417.319045,1417.319045,1417.319045,1417.319045,1417.319045,1419.828077,1419.828077,1419.828077,1419.828077,1419.828077,66,34,18,36,34,70,3,2.9905156,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,1422.846533,1424.382987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
1,0,100,0,,,,,,,,,,None,1424.382987,1424.382987,1424.382987,1424.382987,1424.382987,1424.382987,i,0.2525624,1424.667518,1424.667518,1424.667518,1424.667518,1424.667518,1424.667518,1424.965254,1424.965254,1426.477518,1426.477518,1426.477518,1426.477518,1426.477518,1426.477518,1426.477518,1426.477518,1426.477518,1426.477518,1426.477518,1426.477518,1426.477518,1426.477518,1426.477518,1426.477518,1426.477518,,,,,,66,27,15,34,15,64,None,None,,,[],[],[],[],[],[],[],0.2,1,14,[-0.024074074074074074],[-0.2962962962962963],[1],[0],[0],[3.088234300012118],['tijiao_random_2'],8.37962963,1.556503,1433.673648,1435.652496,,,,,,,,,,,1432.098894,1432.098894,1432.098894,1432.098894,1428.997925,1428.997925,1428.997925,1428.997925,1428.997925,1428.997925,1428.997925,1428.997925,0.0058951,1428.997925,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
0,0,101,0,,,,,,,,,,None,1435.652496,1435.652496,1435.652496,1435.652496,1435.652496,1435.652496,i,0.4086208,1436.085346,1436.085346,1436.085346,1436.085346,1436.085346,1436.085346,1436.383802,1436.383802,1438.112491,1438.112491,1438.112491,1438.112491,1438.112491,1438.112491,1438.112491,1438.112491,1438.112491,1438.112491,1438.112491,1438.112491,1438.112491,1438.112491,1438.112491,1438.112491,1438.112491,,,,,,68,23,19,30,19,51,None,None,,,[],[],[],[],[],[],[],-0.6,1,60,[-0.062037037037037036],[-0.2962962962962963],[1],[0],[0],[3.7702467999915825],['tijiao_random_2'],9.833333333,3.0189514,1447.453049,1449.281497,,,,,,,,,,,1444.414832,1444.414832,1444.414832,1444.414832,1440.632401,1440.632401,1440.632401,1440.632401,1440.632401,1440.632401,1440.632401,1440.632401,0.0058179,1440.632401,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
1,0,102,0,,,,,,,,,,None,1449.281497,1449.281497,1449.281497,1449.281497,1449.281497,1449.281497,j,0.2415565,1449.550297,1449.550297,1449.550297,1449.550297,1449.550297,1449.550297,1449.847329,1449.847329,1451.259787,1451.259787,1451.276828,1451.276828,1451.276828,1451.276828,1451.276828,1451.276828,1451.276828,1451.276828,1451.276828,1451.276828,1451.276828,1451.276828,1451.276828,1451.276828,1451.276828,1453.785813,1453.785813,1453.785813,1453.785813,1453.785813,71,33,6,29,29,27,3,2.4091483,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],None,None,1456.219575,1458.124181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
