bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,image_3.started,slider.started,text.started,image_4.started,image_5.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,rest_image.started,rest_response.started,rest_response.rt,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,36.49412814899915,36.49412814899915,space,10.853090257998701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,f,24,2023-04-04_17h36.53.328,RL,2022.2.4,60.01309773911543,
,,,,,,,,,,,47.38515374299823,47.38515374299823,s,56.823996376999276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,f,24,2023-04-04_17h36.53.328,RL,2022.2.4,60.01309773911543,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,104.25667183800033,None,105.31063082299806,105.31063082299806,105.31063082299806,105.31063082299806,105.31063082299806,105.31063082299806,f,0.6365516670011857,106.03172070499932,106.03172070499932,106.03172070499932,106.03172070499932,106.03172070499932,106.03172070499932,106.28153882200058,106.28153882200058,108.27272698099841,108.27272698099841,108.34069963399816,108.34069963399816,108.34069963399816,108.34069963399816,108.34069963399816,108.34069963399816,108.34069963399816,108.34069963399816,108.34069963399816,108.34069963399816,108.34069963399816,108.34069963399816,108.34069963399816,108.34069963399816,108.34069963399816,27,56,64,72,56,47,None,None,110.87662784200074,110.87662784200074,110.87662784200074,110.87662784200074,110.87662784200074,110.87662784200074,110.87662784200074,110.87662784200074,0.01277658399703796,110.87662784200074,60,60,"[-0.1275, -0.08, -0.07625, -0.07625, 0.00125]","[-0.295, -0.29125, -0.29625, -0.29625, -0.3]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[7.545739921999484, 8.30670458700115, 8.754648823000025, 8.903532906999317, 10.49802266900224]",['tijiao'],0.2,0,,[],[],[],[],[],[],[],121.59831174699866,121.59831174699866,121.59831174699866,121.59831174699866,6.012499999999999,2.816348422998999,124.42002939499798,126.40061003899973,,,,,,,,,,,,,,,,,,,,,,,,,,,280,f,24,2023-04-04_17h36.53.328,RL,2022.2.4,60.01309773911543,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,126.40061003899973,126.40061003899973,126.40061003899973,126.40061003899973,126.40061003899973,126.40061003899973,f,0.9210318000004918,127.36925976899875,127.36925976899875,127.36925976899875,127.36925976899875,127.36925976899875,127.36925976899875,127.63977745399825,127.63977745399825,129.37571664899951,129.37571664899951,129.41922721199808,129.41922721199808,129.41922721199808,129.41922721199808,129.41922721199808,129.41922721199808,129.41922721199808,129.41922721199808,129.41922721199808,129.41922721199808,129.41922721199808,129.41922721199808,129.41922721199808,129.41922721199808,129.41922721199808,27,49,55,71,49,57,3.0,2.184124862000317,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],,,,,None,None,134.14985288299795,135.77076227900034,131.91188737999983,131.91188737999983,131.91188737999983,131.91188737999983,131.91188737999983,,,,,,,,,,,,,,,,,,,,,,280,f,24,2023-04-04_17h36.53.328,RL,2022.2.4,60.01309773911543,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,135.77076227900034,135.77076227900034,135.77076227900034,135.77076227900034,135.77076227900034,135.77076227900034,r,0.9163494019994687,136.74239548399783,136.74239548399783,136.74239548399783,136.74239548399783,136.74239548399783,136.74239548399783,137.01055618199825,137.01055618199825,138.641028121001,138.641028121001,138.68742284299879,138.68742284299879,138.68742284299879,138.68742284299879,138.68742284299879,138.68742284299879,138.68742284299879,138.68742284299879,138.68742284299879,138.68742284299879,138.68742284299879,138.68742284299879,138.68742284299879,138.68742284299879,138.68742284299879,19,49,51,70,19,36,None,None,141.20206423299896,141.20206423299896,141.20206423299896,141.20206423299896,141.20206423299896,141.20206423299896,141.20206423299896,141.20206423299896,0.008925419999286532,141.20206423299896,20,20,[-0.06125],[-0.315],[1],[0],[0],[4.044645332000073],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],145.28450852099922,145.28450852099922,145.28450852099922,145.28450852099922,5.975,3.7622118389990646,149.06355496000106,150.94393603199933,,,,,,,,,,,,,,,,,,,,,,,,,,,280,f,24,2023-04-04_17h36.53.328,RL,2022.2.4,60.01309773911543,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,150.94393603199933,150.94393603199933,150.94393603199933,150.94393603199933,150.94393603199933,150.94393603199933,i,0.9685617750001256,151.9665666740002,151.9665666740002,151.9665666740002,151.9665666740002,151.9665666740002,151.9665666740002,152.24612501999945,152.24612501999945,153.72128568300104,153.72128568300104,153.74445084699983,153.74445084699983,153.74445084699983,153.74445084699983,153.74445084699983,153.74445084699983,153.74445084699983,153.74445084699983,153.74445084699983,153.74445084699983,153.74445084699983,153.74445084699983,153.74445084699983,153.74445084699983,153.74445084699983,25,40,57,72,57,55,4.0,1.4328731860005064,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],,,,,None,None,157.7184374339995,159.41604755599838,156.24078100299812,156.24078100299812,156.24078100299812,156.24078100299812,156.24078100299812,,,,,,,,,,,,,,,,,,,,,,280,f,24,2023-04-04_17h36.53.328,RL,2022.2.4,60.01309773911543,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,159.41604755599838,159.41604755599838,159.41604755599838,159.41604755599838,159.41604755599838,159.41604755599838,i,0.936969616002898,160.39585298499878,160.39585298499878,160.39585298499878,160.39585298499878,160.39585298499878,160.39585298499878,160.66934902799767,160.66934902799767,162.17489201499848,162.17489201499848,162.2219821889994,162.2219821889994,162.2219821889994,162.2219821889994,162.2219821889994,162.2219821889994,162.2219821889994,162.2219821889994,162.2219821889994,162.2219821889994,162.2219821889994,162.2219821889994,162.2219821889994,162.2219821889994,162.2219821889994,24,43,58,50,58,42,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,1,55,[0.04625],[-0.30125],[1],[0],[0],[3.5730180040009145],['tijiao_random_2'],168.34669547799786,168.34669547799786,168.34669547799786,168.34669547799786,6.9125000000000005,3.07183521999832,171.44112384500113,172.97051075099807,,,,,,164.75545512199824,164.75545512199824,164.75545512199824,164.75545512199824,164.75545512199824,164.75545512199824,164.75545512199824,164.75545512199824,0.009937107999576256,164.75545512199824,,,,,,,,,,,,280,f,24,2023-04-04_17h36.53.328,RL,2022.2.4,60.01309773911543,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,172.97051075099807,172.97051075099807,172.97051075099807,172.97051075099807,172.97051075099807,172.97051075099807,j,0.9158814659967902,173.92831569699774,173.92831569699774,173.92831569699774,173.92831569699774,173.92831569699774,173.92831569699774,174.19525145700027,174.19525145700027,175.95861348000108,175.95861348000108,175.99756261899893,175.99756261899893,175.99756261899893,175.99756261899893,175.99756261899893,175.99756261899893,175.99756261899893,175.99756261899893,175.99756261899893,175.99756261899893,175.99756261899893,175.99756261899893,175.99756261899893,175.99756261899893,175.99756261899893,20,46,43,62,62,56,4.0,2.1144462199990812,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],,,,,None,None,180.6611292310008,182.21004223400087,178.5015079219993,178.5015079219993,178.5015079219993,178.5015079219993,178.5015079219993,,,,,,,,,,,,,,,,,,,,,,280,f,24,2023-04-04_17h36.53.328,RL,2022.2.4,60.01309773911543,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,182.21004223400087,182.21004223400087,182.21004223400087,182.21004223400087,182.21004223400087,182.21004223400087,f,0.6839954300012323,182.94698737699946,182.94698737699946,182.94698737699946,182.94698737699946,182.94698737699946,182.94698737699946,183.21623606799767,183.21623606799767,184.53567355499763,184.53567355499763,184.5757569239977,184.5757569239977,184.5757569239977,184.5757569239977,184.5757569239977,184.5757569239977,184.5757569239977,184.5757569239977,184.5757569239977,184.5757569239977,184.5757569239977,184.5757569239977,184.5757569239977,184.5757569239977,184.5757569239977,22,36,51,66,36,36,None,None,187.0982470199997,187.0982470199997,187.0982470199997,187.0982470199997,187.0982470199997,187.0982470199997,187.0982470199997,187.0982470199997,0.009067457998753525,187.0982470199997,36,36,[0.05625],[-0.28875],[1],[0],[0],[3.398423777001881],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],190.524322027999,190.524322027999,190.524322027999,190.524322027999,4.9125,3.074082194998482,193.61808541600112,195.28288987999986,,,,,,,,,,,,,,,,,,,,,,,,,,,280,f,24,2023-04-04_17h36.53.328,RL,2022.2.4,60.01309773911543,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,195.28288987999986,195.28288987999986,195.28288987999986,195.28288987999986,195.28288987999986,195.28288987999986,r,0.33384473199839704,195.66980119900109,195.66980119900109,195.66980119900109,195.66980119900109,195.66980119900109,195.66980119900109,195.93875996099814,195.93875996099814,196.8899726109994,196.8899726109994,196.92939236899838,196.92939236899838,196.92939236899838,196.92939236899838,196.92939236899838,196.92939236899838,196.92939236899838,196.92939236899838,196.92939236899838,196.92939236899838,196.92939236899838,196.92939236899838,196.92939236899838,196.92939236899838,196.92939236899838,13,49,47,52,13,28,3.0,1.7797736969987454,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,2,,[],[],[],[],[],[],[],,,,,None,None,201.2586123990004,203.06967428699863,199.4278043919985,199.4278043919985,199.4278043919985,199.4278043919985,199.4278043919985,,,,,,,,,,,,,,,,,,,,,,280,f,24,2023-04-04_17h36.53.328,RL,2022.2.4,60.01309773911543,
