bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,expectself.text,expectself.started,expectself.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,tijiao_click.started,tijiao_click.stopped,check.started,check.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.started,tijiao_random.stopped,check_2.started,check_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate
1,-0.3,-0.225,0,8,8,8,,,,,,,,,,,,,,,None,None,None,None,None,347.4747307,None,347.4747307,None,347.4747307,None,347.4747307,None,f,0.6940546,347.4747307,None,347.4747307,None,348.2168189,None,348.2168189,None,348.2168189,None,348.2168189,None,348.2168189,None,348.2168189,None,348.5100488,349.8778598,348.5100488,349.8778598,349.9097414,None,349.9097414,None,349.9097414,None,349.9097414,None,349.9097414,None,349.9097414,None,349.9097414,None,349.9097414,None,349.9097414,None,68,59,65,35,59,43,352.4273661,None,4,1.9878272,352.4273661,None,352.4273661,None,352.4273661,None,352.4273661,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,354.469446,None,,,,,,,,,260,f,22,2023_Mar_26_1036,RL,2021.2.3,59.95484203
0,0.3,0.225,0,9,9,9,,,,,,,,,,,,,,,None,None,None,None,None,356.2361723,None,356.2361723,None,356.2361723,None,356.2361723,None,f,0.892399,356.2361723,None,356.2361723,None,357.1723264,None,357.1723264,None,357.1723264,None,357.1723264,None,357.1723264,None,357.1723264,None,357.4667861,None,357.4667861,None,359.0132789,None,359.0132789,None,359.0132789,None,359.0132789,None,359.0132789,None,359.0132789,None,359.0132789,None,359.0132789,None,359.0132789,None,84,53,64,29,53,19,361.5407403,None,4,3.7620498,361.5407403,None,361.5407403,None,361.5407403,None,361.5407403,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,365.3595011,None,,,,,,,,,260,f,22,2023_Mar_26_1036,RL,2021.2.3,59.95484203
1,-0.3,-0.225,0,10,10,10,,,,,,,,,,,,,,,None,None,None,None,None,366.927377,None,366.927377,None,366.927377,None,366.927377,None,f,1.2312087,366.927377,None,366.927377,None,368.2011696,None,368.2011696,None,368.2011696,None,368.2011696,None,368.2011696,None,368.2011696,None,368.4907646,370.2085852,368.4907646,370.2085852,370.24033,None,370.24033,None,370.24033,None,370.24033,None,370.24033,None,370.24033,None,370.24033,None,370.24033,None,370.24033,None,80,66,57,26,66,64,None,None,None,None,None,None,None,None,None,None,None,None,70,372.7773407,None,70,372.7773407,None,372.7773407,None,372.7773407,None,372.7773407,None,372.7773407,None,372.7773407,None,372.7773407,None,0.020833333,-0.296875,1,0,0,6.1307055,tijiao,0.00836201,None,372.7773407,None,-0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,4.020833333,1.2460428,378.9545761,None,378.9545761,None,378.9545761,None,378.9545761,None,None,None,380.2155232,None,,,,,,,,,260,f,22,2023_Mar_26_1036,RL,2021.2.3,59.95484203
0,0.3,0.225,0,11,11,11,,,,,,,,,,,,,,,None,None,None,None,None,382.0544436,None,382.0544436,None,382.0544436,None,382.0544436,None,r,0.8942092,382.0544436,None,382.0544436,None,382.9942703,None,382.9942703,None,382.9942703,None,382.9942703,None,382.9942703,None,382.9942703,None,383.2842282,384.4355988,383.2842282,384.4355988,384.4702838,None,384.4702838,None,384.4702838,None,384.4702838,None,384.4702838,None,384.4702838,None,384.4702838,None,384.4702838,None,384.4702838,None,79,69,52,35,79,40,386.9842124,None,4,3.0910477,386.9842124,None,386.9842124,None,386.9842124,None,386.9842124,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,390.1307047,None,,,,,,,,,260,f,22,2023_Mar_26_1036,RL,2021.2.3,59.95484203
1,-0.3,-0.225,0,12,12,12,,,,,,,,,,,,,,,None,None,None,None,None,392.0949313,None,392.0949313,None,392.0949313,None,392.0949313,None,r,0.6240293,392.0949313,None,392.0949313,None,392.7623787,None,392.7623787,None,392.7623787,None,392.7623787,None,392.7623787,None,392.7623787,None,393.0578201,394.4754943,393.0578201,394.4754943,394.5078951,None,394.5078951,None,394.5078951,None,394.5078951,None,394.5078951,None,394.5078951,None,394.5078951,None,394.5078951,None,394.5078951,None,78,69,55,27,78,29,397.026793,None,4,5.1237333,397.026793,None,397.026793,None,397.026793,None,397.026793,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,402.2045604,None,,,,,,,,,260,f,22,2023_Mar_26_1036,RL,2021.2.3,59.95484203
0,0.3,0.225,0,13,13,13,,,,,,,,,,,,,,,None,None,None,None,None,403.852588,None,403.852588,None,403.852588,None,403.852588,None,f,1.1762939,403.852588,None,403.852588,None,405.0719236,None,405.0719236,None,405.0719236,None,405.0719236,None,405.0719236,None,405.0719236,None,405.3664647,None,405.3664647,None,406.6012999,None,406.6012999,None,406.6012999,None,406.6012999,None,406.6012999,None,406.6012999,None,406.6012999,None,406.6012999,None,406.6012999,None,79,62,54,25,62,70,409.1193521,None,4,2.5690809,409.1193521,None,409.1193521,None,409.1193521,None,409.1193521,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,411.7418728,None,,,,,,,,,260,f,22,2023_Mar_26_1036,RL,2021.2.3,59.95484203
1,-0.3,-0.225,0,14,14,14,,,,,,,,,,,,,,,None,None,None,None,None,413.5099887,None,413.5099887,None,413.5099887,None,413.5099887,None,r,0.7988985,413.5099887,None,413.5099887,None,414.3616401,None,414.3616401,None,414.3616401,None,414.3616401,None,414.3616401,None,414.3616401,None,414.6563927,None,414.6563927,None,415.9881879,None,415.9881879,None,415.9881879,None,415.9881879,None,415.9881879,None,415.9881879,None,415.9881879,None,415.9881879,None,415.9881879,None,86,61,54,28,86,77,418.5041707,None,4,2.2878165,418.5041707,None,418.5041707,None,418.5041707,None,418.5041707,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,420.8480032,None,,,,,,,,,260,f,22,2023_Mar_26_1036,RL,2021.2.3,59.95484203
0,0.3,0.225,0,15,15,15,,,,,,,,,,,,,,,None,None,None,None,None,422.4989068,None,422.4989068,None,422.4989068,None,422.4989068,None,r,0.5510994,422.4989068,None,422.4989068,None,423.1037895,None,423.1037895,None,423.1037895,None,423.1037895,None,423.1037895,None,423.1037895,None,423.3955495,None,423.3955495,None,424.4447255,None,424.4447255,None,424.4447255,None,424.4447255,None,424.4447255,None,424.4447255,None,424.4447255,None,424.4447255,None,424.4447255,None,80,54,63,29,80,74,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.2,1,426.9957286,None,426.9957286,None,426.9957286,None,426.9957286,None,426.9957286,None,426.9957286,None,40,426.9957286,None,426.9957286,None,0.01152818,None,426.9957286,None,3.96875,1.6909219,435.4436623,None,435.4436623,None,435.4436623,None,435.4436623,None,None,None,437.1561667,None,0.13671875,-0.28125,1,0,0,8.4180047,tijiao_random_2,,260,f,22,2023_Mar_26_1036,RL,2021.2.3,59.95484203
1,-0.3,-0.225,0,16,16,16,,,,,,,,,,,,,,,None,None,None,None,None,438.6923165,None,438.6923165,None,438.6923165,None,438.6923165,None,i,1.3783585,438.6923165,None,438.6923165,None,440.1132707,None,440.1132707,None,440.1132707,None,440.1132707,None,440.1132707,None,440.1132707,None,440.4072907,None,440.4072907,None,441.7729299,None,441.7729299,None,441.7729299,None,441.7729299,None,441.7729299,None,441.7729299,None,441.7729299,None,441.7729299,None,441.7729299,None,74,55,57,21,57,65,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.6,1,444.3220061,None,444.3220061,None,444.3220061,None,444.3220061,None,444.3220061,None,444.3220061,None,50,444.3220061,None,444.3220061,None,0.01327698,None,444.3220061,None,2.888020833,2.8618364,452.640627,None,452.640627,None,452.640627,None,452.640627,None,None,None,455.5173612,None,0.059895833,-0.299479167,1,0,0,8.287006,tijiao_random_2,,260,f,22,2023_Mar_26_1036,RL,2021.2.3,59.95484203
0,0.3,0.225,0,17,17,17,,,,,,,,,,,,,,,None,None,None,None,None,457.3564862,None,457.3564862,None,457.3564862,None,457.3564862,None,r,0.8637915,457.3564862,None,457.3564862,None,458.2589479,None,458.2589479,None,458.2589479,None,458.2589479,None,458.2589479,None,458.2589479,None,458.5533028,None,458.5533028,None,460.451664,None,460.451664,None,460.451664,None,460.451664,None,460.451664,None,460.451664,None,460.451664,None,460.451664,None,460.451664,None,78,52,56,14,78,40,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.6,1,463.004848,None,463.004848,None,463.004848,None,463.004848,None,463.004848,None,463.004848,None,20,463.004848,None,463.004848,None,0.00955168,None,463.004848,None,4.0859375,0.8771119,468.5023347,None,468.5023347,None,468.5023347,None,468.5023347,None,None,None,469.3935637,None,0.01953125,-0.295572917,1,0,0,5.4647316,tijiao_random_2,,260,f,22,2023_Mar_26_1036,RL,2021.2.3,59.95484203
1,-0.3,-0.225,0,18,18,18,,,,,,,,,,,,,,,None,None,None,None,None,471.2661299,None,471.2661299,None,471.2661299,None,471.2661299,None,r,0.5942336,471.2661299,None,471.2661299,None,471.9029936,None,471.9029936,None,471.9029936,None,471.9029936,None,471.9029936,None,471.9029936,None,472.1962428,None,472.1962428,None,473.3438084,None,473.3438084,None,473.3438084,None,473.3438084,None,473.3438084,None,473.3438084,None,473.3438084,None,473.3438084,None,473.3438084,None,81,47,59,18,81,70,475.8730925,None,4,2.1506957,475.8730925,None,475.8730925,None,475.8730925,None,475.8730925,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,478.0728035,None,,,,,,,,,260,f,22,2023_Mar_26_1036,RL,2021.2.3,59.95484203
0,0.3,0.225,0,19,19,19,,,,,,,,,,,,,,,None,None,None,None,None,479.972606,None,479.972606,None,479.972606,None,479.972606,None,r,0.7178174,479.972606,None,479.972606,None,480.7405624,None,480.7405624,None,480.7405624,None,480.7405624,None,480.7405624,None,480.7405624,None,481.0356016,482.0863858,481.0356016,482.0863858,482.1200395,None,482.1200395,None,482.1200395,None,482.1200395,None,482.1200395,None,482.1200395,None,482.1200395,None,482.1200395,None,482.1200395,None,82,41,57,21,82,47,484.6407454,None,5,2.1345293,484.6407454,None,484.6407454,None,484.6407454,None,484.6407454,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,486.8430287,None,,,,,,,,,260,f,22,2023_Mar_26_1036,RL,2021.2.3,59.95484203
1,-0.3,-0.225,0,20,20,20,,,,,,,,,,,,,,,None,None,None,None,None,488.6781989,None,488.6781989,None,488.6781989,None,488.6781989,None,f,0.742312,488.6781989,None,488.6781989,None,489.4633886,None,489.4633886,None,489.4633886,None,489.4633886,None,489.4633886,None,489.4633886,None,489.7583014,491.5596666,489.7583014,491.5596666,491.5956976,None,491.5956976,None,491.5956976,None,491.5956976,None,491.5956976,None,491.5956976,None,491.5956976,None,491.5956976,None,491.5956976,None,85,33,58,20,33,61,494.1133575,None,3,2.4198857,494.1133575,None,494.1133575,None,494.1133575,None,494.1133575,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,496.584929,None,,,,,,,,,260,f,22,2023_Mar_26_1036,RL,2021.2.3,59.95484203
