bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,slider_2.started,image_7.started,confi.started,notconfi.started,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,rest_image.started,rest_response.started,rest_response.rt,bigx.started,bigx.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,11.857099400134757,11.857099400134757,space,5.803344799904153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,f,1,2023-04-04_16h26.43.895,RL,2022.2.4,60.123794898420904,
,,,,,,,,,,,17.689568100031465,17.689568100031465,s,71.0924806999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,f,1,2023-04-04_16h26.43.895,RL,2022.2.4,60.123794898420904,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,88.80444930004887,None,89.83149360003881,89.83149360003881,89.83149360003881,89.83149360003881,89.83149360003881,89.83149360003881,f,0.48424609983339906,90.35590560012497,90.35590560012497,90.35590560012497,90.35590560012497,90.35590560012497,90.35590560012497,90.63307870016433,90.63307870016433,91.54693990014493,91.54693990014493,91.5661522001028,91.5661522001028,91.5661522001028,91.5661522001028,91.5661522001028,91.5661522001028,91.5661522001028,91.5661522001028,91.5661522001028,91.5661522001028,91.5661522001028,91.5661522001028,91.5661522001028,91.5661522001028,91.5661522001028,94.07313040015288,94.07313040015288,94.07313040015288,94.07313040015288,94.07313040015288,53,48,64,42,48,49,4.0,3.505955999949947,,,[],[],[],[],[],[],[],0.6,2,,[],[],[],[],[],[],[],None,None,97.76423860015348,99.57482800004072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,f,1,2023-04-04_16h26.43.895,RL,2022.2.4,60.123794898420904,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,99.57482800004072,99.57482800004072,99.57482800004072,99.57482800004072,99.57482800004072,99.57482800004072,i,0.5226786001585424,100.12915450008586,100.12915450008586,100.12915450008586,100.12915450008586,100.12915450008586,100.12915450008586,100.42280870000832,100.42280870000832,101.8185149000492,101.8185149000492,101.8185149000492,101.8185149000492,101.8185149000492,101.8185149000492,101.8185149000492,101.8185149000492,101.8185149000492,101.8185149000492,101.8185149000492,101.8185149000492,101.8185149000492,101.8185149000492,101.8185149000492,101.8185149000492,101.8185149000492,104.32801340008155,104.32801340008155,104.32801340008155,104.32801340008155,104.32801340008155,51,55,58,41,58,42,5.0,1.727831199998036,,,[],[],[],[],[],[],[],0.2,3,,[],[],[],[],[],[],[],None,None,106.0838491001632,107.95214210008271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,f,1,2023-04-04_16h26.43.895,RL,2022.2.4,60.123794898420904,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,107.95214210008271,107.95214210008271,107.95214210008271,107.95214210008271,107.95214210008271,107.95214210008271,j,0.513219199841842,108.49127440014854,108.49127440014854,108.49127440014854,108.49127440014854,108.49127440014854,108.49127440014854,108.78299590013921,108.78299590013921,109.78027139999904,109.78027139999904,109.78027139999904,109.78027139999904,109.78027139999904,109.78027139999904,109.78027139999904,109.78027139999904,109.78027139999904,109.78027139999904,109.78027139999904,109.78027139999904,109.78027139999904,109.78027139999904,109.78027139999904,109.78027139999904,109.78027139999904,,,,,,44,55,67,40,40,37,None,None,,,[],[],[],[],[],[],[],0.2,1,50,[0.018518518518518517],[-0.25092592592592594],[1],[0],[0],[7.38029560004361],['tijiao_random_2'],1.972222222222222,3.7986824000254273,123.5252551001031,125.27144280006178,112.32357240002602,112.32357240002602,112.32357240002602,112.32357240002602,112.32357240002602,112.32357240002602,112.32357240002602,112.32357240002602,0.007806899957358837,112.32357240002602,119.71430760016665,119.71430760016665,119.71430760016665,119.71430760016665,,,,,,,,,,,,,,,,1,f,1,2023-04-04_16h26.43.895,RL,2022.2.4,60.123794898420904,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,125.27144280006178,125.27144280006178,125.27144280006178,125.27144280006178,125.27144280006178,125.27144280006178,i,0.588761700084433,125.88790019997396,125.88790019997396,125.88790019997396,125.88790019997396,125.88790019997396,125.88790019997396,126.18598140007816,126.18598140007816,127.03314980003051,127.03314980003051,127.03314980003051,127.03314980003051,127.03314980003051,127.03314980003051,127.03314980003051,127.03314980003051,127.03314980003051,127.03314980003051,127.03314980003051,127.03314980003051,127.03314980003051,127.03314980003051,127.03314980003051,127.03314980003051,127.03314980003051,129.54272960009985,129.54272960009985,129.54272960009985,129.54272960009985,129.54272960009985,60,54,64,38,64,51,5.0,2.8746937999967486,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,132.44390800013207,134.24684319994412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,f,1,2023-04-04_16h26.43.895,RL,2022.2.4,60.123794898420904,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,134.24684319994412,134.24684319994412,134.24684319994412,134.24684319994412,134.24684319994412,134.24684319994412,i,0.49127120012417436,134.76532530016266,134.76532530016266,134.76532530016266,134.76532530016266,134.76532530016266,134.76532530016266,135.06187870004214,135.06187870004214,137.05613350006752,137.05613350006752,137.05613350006752,137.05613350006752,137.05613350006752,137.05613350006752,137.05613350006752,137.05613350006752,137.05613350006752,137.05613350006752,137.05613350006752,137.05613350006752,137.05613350006752,137.05613350006752,137.05613350006752,137.05613350006752,137.05613350006752,,,,,,55,57,54,44,54,52,None,None,,,[],[],[],[],[],[],[],0.2,1,54,[0.01574074074074074],[-0.30185185185185187],[1],[0],[0],[5.198737300001085],['tijiao_random_2'],9.935185185185187,3.6827175999060273,148.49034140002914,150.05386700015515,139.57704799994826,139.57704799994826,139.57704799994826,139.57704799994826,139.57704799994826,139.57704799994826,139.57704799994826,139.57704799994826,0.00633540004491806,139.57704799994826,144.78918660013005,144.78918660013005,144.78918660013005,144.78918660013005,,,,,,,,,,,,,,,,1,f,1,2023-04-04_16h26.43.895,RL,2022.2.4,60.123794898420904,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,150.05386700015515,150.05386700015515,150.05386700015515,150.05386700015515,150.05386700015515,150.05386700015515,r,0.3809068000409752,150.45989780011587,150.45989780011587,150.45989780011587,150.45989780011587,150.45989780011587,150.45989780011587,150.75221780012362,150.75221780012362,152.41396789997816,152.41396789997816,152.4309048000723,152.4309048000723,152.4309048000723,152.4309048000723,152.4309048000723,152.4309048000723,152.4309048000723,152.4309048000723,152.4309048000723,152.4309048000723,152.4309048000723,152.4309048000723,152.4309048000723,152.4309048000723,152.4309048000723,154.9399678001646,154.9399678001646,154.9399678001646,154.9399678001646,154.9399678001646,50,53,59,51,50,72,3.0,2.874925300013274,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],None,None,157.84104160009883,159.36177630000748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,f,1,2023-04-04_16h26.43.895,RL,2022.2.4,60.123794898420904,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,159.36177630000748,159.36177630000748,159.36177630000748,159.36177630000748,159.36177630000748,159.36177630000748,f,0.4700899999588728,159.86242519994266,159.86242519994266,159.86242519994266,159.86242519994266,159.86242519994266,159.86242519994266,160.15974389994517,160.15974389994517,161.24017830006778,161.24017830006778,161.24017830006778,161.24017830006778,161.24017830006778,161.24017830006778,161.24017830006778,161.24017830006778,161.24017830006778,161.24017830006778,161.24017830006778,161.24017830006778,161.24017830006778,161.24017830006778,161.24017830006778,161.24017830006778,161.24017830006778,,,,,,59,59,58,43,59,65,None,None,60,60,[-0.07685185185185185],[-0.27685185185185185],[1],[0],[0],[9.780320799909532],['tijiao'],0.2,0,,[],[],[],[],[],[],[],2.9814814814814814,3.374355399981141,176.94617710006423,178.925124600064,,,,,,,,,,,173.5527189001441,173.5527189001441,173.5527189001441,173.5527189001441,163.75400470010936,163.75400470010936,163.75400470010936,163.75400470010936,163.75400470010936,163.75400470010936,163.75400470010936,163.75400470010936,0.0062818999867886305,163.75400470010936,,,,,,1,f,1,2023-04-04_16h26.43.895,RL,2022.2.4,60.123794898420904,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,178.925124600064,178.925124600064,178.925124600064,178.925124600064,178.925124600064,178.925124600064,j,0.4089710998814553,179.35853460012004,179.35853460012004,179.35853460012004,179.35853460012004,179.35853460012004,179.35853460012004,179.65666540013626,179.65666540013626,180.48737500002608,180.48737500002608,180.48737500002608,180.48737500002608,180.48737500002608,180.48737500002608,180.48737500002608,180.48737500002608,180.48737500002608,180.48737500002608,180.48737500002608,180.48737500002608,180.48737500002608,180.48737500002608,180.48737500002608,180.48737500002608,180.48737500002608,182.99689080007374,182.99689080007374,182.99689080007374,182.99689080007374,182.99689080007374,52,50,61,53,53,50,4.0,2.59237219998613,,,[],[],[],[],[],[],[],-0.2,2,,[],[],[],[],[],[],[],None,None,185.6141498000361,187.21907490002923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,f,1,2023-04-04_16h26.43.895,RL,2022.2.4,60.123794898420904,
