bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,slider_2.started,image_7.started,confi.started,notconfi.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,51.701539399975445,51.701539399975445,space,3.3457148000015877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
,,,,,,,,,,,55.07644409997738,55.07644409997738,s,22.194804200000362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,77.3017268999829,None,78.33407089998946,78.33407089998946,78.33407089998946,78.33407089998946,78.33407089998946,78.33407089998946,r,0.6262896000116598,78.99846209998941,78.99846209998941,78.99846209998941,78.99846209998941,78.99846209998941,78.99846209998941,79.28001489999588,79.28001489999588,80.24369469998055,80.24369469998055,80.26395709998906,80.26395709998906,80.26395709998906,80.26395709998906,80.26395709998906,80.26395709998906,80.26395709998906,80.26395709998906,80.26395709998906,80.26395709998906,80.26395709998906,80.26395709998906,80.26395709998906,80.26395709998906,80.26395709998906,82.77002519997768,82.77002519997768,82.77002519997768,82.77002519997768,82.77002519997768,24,42,59,65,24,53,3.0,3.0739540999929886,,,[],[],[],[],[],[],[],0.2,3,,[],[],[],[],[],[],[],None,None,86.02328850000049,87.87268389997189,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,87.87268389997189,87.87268389997189,87.87268389997189,87.87268389997189,87.87268389997189,87.87268389997189,i,0.3807578999840189,88.27711830000044,88.27711830000044,88.27711830000044,88.27711830000044,88.27711830000044,88.27711830000044,88.57106159999967,88.57106159999967,89.70103699999163,89.70103699999163,89.70103699999163,89.70103699999163,89.70103699999163,89.70103699999163,89.70103699999163,89.70103699999163,89.70103699999163,89.70103699999163,89.70103699999163,89.70103699999163,89.70103699999163,89.70103699999163,89.70103699999163,89.70103699999163,89.70103699999163,,,,,,31,50,55,72,55,51,None,None,50,50,[0.041666666666666664],[-0.26666666666666666],[1],[0],[0],[6.392107899999246],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],6.9907407407407405,4.240120100002969,102.89716359999147,104.85969859999022,92.23384429997532,92.23384429997532,92.23384429997532,92.23384429997532,92.23384429997532,92.23384429997532,92.23384429997532,92.23384429997532,0.005949300015345216,92.23384429997532,98.64432059999672,98.64432059999672,98.64432059999672,98.64432059999672,,,,,,,,,,,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,104.85969859999022,104.85969859999022,104.85969859999022,104.85969859999022,104.85969859999022,104.85969859999022,j,0.33642919998965226,105.23036659997888,105.23036659997888,105.23036659997888,105.23036659997888,105.23036659997888,105.23036659997888,105.52472069999203,105.52472069999203,106.53828129998874,106.53828129998874,106.55505579998135,106.55505579998135,106.55505579998135,106.55505579998135,106.55505579998135,106.55505579998135,106.55505579998135,106.55505579998135,106.55505579998135,106.55505579998135,106.55505579998135,106.55505579998135,106.55505579998135,106.55505579998135,106.55505579998135,,,,,,34,49,56,68,68,54,None,None,60,60,[0.05648148148148148],[-0.27314814814814814],[1],[0],[0],[5.609313199995086],['tijiao'],0.6,0,,[],[],[],[],[],[],[],7.9259259259259265,3.4246754000196233,118.1389882999938,120.08440179997706,109.06528989999788,109.06528989999788,109.06528989999788,109.06528989999788,109.06528989999788,109.06528989999788,109.06528989999788,109.06528989999788,0.005195100005948916,109.06528989999788,114.69580629997654,114.69580629997654,114.69580629997654,114.69580629997654,,,,,,,,,,,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,120.08440179997706,120.08440179997706,120.08440179997706,120.08440179997706,120.08440179997706,120.08440179997706,f,0.4599914000136778,120.57198809998226,120.57198809998226,120.57198809998226,120.57198809998226,120.57198809998226,120.57198809998226,120.86623559999862,120.86623559999862,122.1289429999888,122.1289429999888,122.1289429999888,122.1289429999888,122.1289429999888,122.1289429999888,122.1289429999888,122.1289429999888,122.1289429999888,122.1289429999888,122.1289429999888,122.1289429999888,122.1289429999888,122.1289429999888,122.1289429999888,122.1289429999888,122.1289429999888,124.63856849999866,124.63856849999866,124.63856849999866,124.63856849999866,124.63856849999866,33,48,62,72,48,76,3.0,5.051728099992033,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,129.71658759997808,131.58673629999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,131.58673629999976,131.58673629999976,131.58673629999976,131.58673629999976,131.58673629999976,131.58673629999976,i,0.2992343000078108,131.9198980999936,131.9198980999936,131.9198980999936,131.9198980999936,131.9198980999936,131.9198980999936,132.21873349999078,132.21873349999078,133.29856519997702,133.29856519997702,133.29856519997702,133.29856519997702,133.29856519997702,133.29856519997702,133.29856519997702,133.29856519997702,133.29856519997702,133.29856519997702,133.29856519997702,133.29856519997702,133.29856519997702,133.29856519997702,133.29856519997702,133.29856519997702,133.29856519997702,,,,,,39,55,52,70,52,50,None,None,,,[],[],[],[],[],[],[],-0.6,1,30,[0.001851851851851852],[-0.2833333333333333],[1],[0],[0],[6.464255300001241],['tijiao_random_2'],6.953703703703703,4.881348199996864,147.1931329999934,149.00566909997724,,,,,,,,,,,142.29354349998175,142.29354349998175,142.29354349998175,142.29354349998175,135.82000159999006,135.82000159999006,135.82000159999006,135.82000159999006,135.82000159999006,135.82000159999006,135.82000159999006,135.82000159999006,0.005657200003042817,135.82000159999006,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,149.00566909997724,149.00566909997724,149.00566909997724,149.00566909997724,149.00566909997724,149.00566909997724,r,0.2878130000026431,149.32385589997284,149.32385589997284,149.32385589997284,149.32385589997284,149.32385589997284,149.32385589997284,149.621084399987,149.621084399987,150.45217409997713,150.45217409997713,150.45217409997713,150.45217409997713,150.45217409997713,150.45217409997713,150.45217409997713,150.45217409997713,150.45217409997713,150.45217409997713,150.45217409997713,150.45217409997713,150.45217409997713,150.45217409997713,150.45217409997713,150.45217409997713,150.45217409997713,,,,,,38,50,63,63,38,42,None,None,,,[],[],[],[],[],[],[],0.6,1,70,[0.0787037037037037],[-0.27685185185185185],[1],[0],[0],[6.7967172999924514],['tijiao_random_2'],7.972222222222221,2.7182486999954563,162.51800169999478,164.33039229997667,,,,,,,,,,,159.78078509998159,159.78078509998159,159.78078509998159,159.78078509998159,152.97061529997154,152.97061529997154,152.97061529997154,152.97061529997154,152.97061529997154,152.97061529997154,152.97061529997154,152.97061529997154,0.005731199984438717,152.97061529997154,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,164.33039229997667,164.33039229997667,164.33039229997667,164.33039229997667,164.33039229997667,164.33039229997667,j,0.3634031000256073,164.71326929997304,164.71326929997304,164.71326929997304,164.71326929997304,164.71326929997304,164.71326929997304,165.0124089999881,165.0124089999881,166.64123489998747,166.64123489998747,166.64123489998747,166.64123489998747,166.64123489998747,166.64123489998747,166.64123489998747,166.64123489998747,166.64123489998747,166.64123489998747,166.64123489998747,166.64123489998747,166.64123489998747,166.64123489998747,166.64123489998747,166.64123489998747,166.64123489998747,,,,,,46,59,61,68,68,85,None,None,,,[],[],[],[],[],[],[],-0.2,1,40,[0.025925925925925925],[-0.29259259259259257],[1],[0],[0],[8.09462259997963],['tijiao_random_2'],7.944444444444445,2.7675457000150345,180.05353909998666,181.6668002999795,,,,,,,,,,,177.26800279997406,177.26800279997406,177.26800279997406,177.26800279997406,169.15829659998417,169.15829659998417,169.15829659998417,169.15829659998417,169.15829659998417,169.15829659998417,169.15829659998417,169.15829659998417,0.005760700005339459,169.15829659998417,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,181.6668002999795,181.6668002999795,181.6668002999795,181.6668002999795,181.6668002999795,181.6668002999795,j,0.37724420000449754,182.06876679998823,182.06876679998823,182.06876679998823,182.06876679998823,182.06876679998823,182.06876679998823,182.36506289997487,182.36506289997487,183.92760799999814,183.92760799999814,183.92760799999814,183.92760799999814,183.92760799999814,183.92760799999814,183.92760799999814,183.92760799999814,183.92760799999814,183.92760799999814,183.92760799999814,183.92760799999814,183.92760799999814,183.92760799999814,183.92760799999814,183.92760799999814,183.92760799999814,186.43658079998568,186.43658079998568,186.43658079998568,186.43658079998568,186.43658079998568,49,55,62,73,73,77,4.0,3.755756200000178,,,[],[],[],[],[],[],[],0.2,3,,[],[],[],[],[],[],[],None,None,190.2161924999964,191.78920799997286,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
