bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,image_3.started,slider.started,text.started,image_4.started,image_5.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,27.633211500011384,27.633211500011384,space,1.7689418999943882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
,,,,,,,,,,,29.442884600022808,29.442884600022808,s,8.156474400078878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
1,-0.3,-0.225,0,8,8,8,,,,,,,,,,None,141.90352599998005,141.90352599998005,141.90352599998005,141.90352599998005,141.90352599998005,141.90352599998005,i,0.3204721000511199,142.25426060007885,142.25426060007885,142.25426060007885,142.25426060007885,142.25426060007885,142.25426060007885,142.55187240010127,142.55187240010127,144.18111450015567,144.18111450015567,144.18111450015567,144.18111450015567,144.18111450015567,144.18111450015567,144.18111450015567,144.18111450015567,144.18111450015567,144.18111450015567,144.18111450015567,144.18111450015567,144.18111450015567,144.18111450015567,144.18111450015567,144.18111450015567,144.18111450015567,52,46,30,51,30,65,3.0,1.9606778000015765,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],,,,,None,None,148.67557890014723,150.4304978,146.69011120009236,146.69011120009236,146.69011120009236,146.69011120009236,146.69011120009236,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
0,0.3,0.225,0,9,9,9,,,,,,,,,,None,150.4304978,150.4304978,150.4304978,150.4304978,150.4304978,150.4304978,i,0.5903797999490052,151.04559050011449,151.04559050011449,151.04559050011449,151.04559050011449,151.04559050011449,151.04559050011449,151.34507140005007,151.34507140005007,152.9072914000135,152.9072914000135,152.9072914000135,152.9072914000135,152.9072914000135,152.9072914000135,152.9072914000135,152.9072914000135,152.9072914000135,152.9072914000135,152.9072914000135,152.9072914000135,152.9072914000135,152.9072914000135,152.9072914000135,152.9072914000135,152.9072914000135,41,50,26,55,26,61,2.0,2.0106375999748707,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],,,,,None,None,157.4546968000941,159.3228808999993,155.41605010000058,155.41605010000058,155.41605010000058,155.41605010000058,155.41605010000058,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
1,-0.3,-0.225,0,10,10,10,,,,,,,,,,None,159.3228808999993,159.3228808999993,159.3228808999993,159.3228808999993,159.3228808999993,159.3228808999993,j,0.5787965999916196,159.92201160010882,159.92201160010882,159.92201160010882,159.92201160010882,159.92201160010882,159.92201160010882,160.2203792000655,160.2203792000655,162.16549400007352,162.16549400007352,162.16549400007352,162.16549400007352,162.16549400007352,162.16549400007352,162.16549400007352,162.16549400007352,162.16549400007352,162.16549400007352,162.16549400007352,162.16549400007352,162.16549400007352,162.16549400007352,162.16549400007352,162.16549400007352,162.16549400007352,45,38,24,52,52,61,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,1,40,[0.07592592592592592],[-0.32685185185185184],[1],[0],[0],[7.079188600182533],['tijiao_random_2'],171.77540859999135,171.77540859999135,171.77540859999135,171.77540859999135,6.009259259259259,2.2042428001295775,173.9984252001159,175.9109956000466,,,,,,164.68388480017893,164.68388480017893,164.68388480017893,164.68388480017893,164.68388480017893,164.68388480017893,164.68388480017893,164.68388480017893,0.007013200083747506,164.68388480017893,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
0,0.3,0.225,0,11,11,11,,,,,,,,,,None,175.9109956000466,175.9109956000466,175.9109956000466,175.9109956000466,175.9109956000466,175.9109956000466,j,1.0744991002138704,177.00847840006463,177.00847840006463,177.00847840006463,177.00847840006463,177.00847840006463,177.00847840006463,177.30737220006995,177.30737220006995,179.2352605999913,179.2352605999913,179.2352605999913,179.2352605999913,179.2352605999913,179.2352605999913,179.2352605999913,179.2352605999913,179.2352605999913,179.2352605999913,179.2352605999913,179.2352605999913,179.2352605999913,179.2352605999913,179.2352605999913,179.2352605999913,179.2352605999913,36,54,17,49,49,51,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,1,50,[-0.18611111111111112],[-0.3138888888888889],[1],[0],[0],[4.370046500116587],['tijiao_random_2'],186.13649070006795,186.13649070006795,186.13649070006795,186.13649070006795,6.148148148148149,2.0215899001341313,188.17631290014833,190.12192010018043,,,,,,181.7531020999886,181.7531020999886,181.7531020999886,181.7531020999886,181.7531020999886,181.7531020999886,181.7531020999886,181.7531020999886,0.006276100175455213,181.7531020999886,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
1,-0.3,-0.225,0,12,12,12,,,,,,,,,,None,190.12192010018043,190.12192010018043,190.12192010018043,190.12192010018043,190.12192010018043,190.12192010018043,r,0.555576000129804,190.70454629999585,190.70454629999585,190.70454629999585,190.70454629999585,190.70454629999585,190.70454629999585,191.00337080005556,191.00337080005556,192.2665546000935,192.2665546000935,192.2665546000935,192.2665546000935,192.2665546000935,192.2665546000935,192.2665546000935,192.2665546000935,192.2665546000935,192.2665546000935,192.2665546000935,192.2665546000935,192.2665546000935,192.2665546000935,192.2665546000935,192.2665546000935,192.2665546000935,42,54,33,49,42,73,None,None,194.77797779999673,194.77797779999673,194.77797779999673,194.77797779999673,194.77797779999673,194.77797779999673,194.77797779999673,194.77797779999673,0.007307499879971147,194.77797779999673,43,43,[0.001851851851851852],[-0.2675925925925926],[1],[0],[0],[4.925925399875268],['tijiao'],0.2,0,,[],[],[],[],[],[],[],199.72694790014066,199.72694790014066,199.72694790014066,199.72694790014066,6.018518518518519,4.703196800081059,204.44857570016757,206.3945287000388,,,,,,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
0,0.3,0.225,0,13,13,13,,,,,,,,,,None,206.3945287000388,206.3945287000388,206.3945287000388,206.3945287000388,206.3945287000388,206.3945287000388,j,0.4473838999401778,206.86152560007758,206.86152560007758,206.86152560007758,206.86152560007758,206.86152560007758,206.86152560007758,207.15911290002987,207.15911290002987,208.12340090004727,208.12340090004727,208.12340090004727,208.12340090004727,208.12340090004727,208.12340090004727,208.12340090004727,208.12340090004727,208.12340090004727,208.12340090004727,208.12340090004727,208.12340090004727,208.12340090004727,208.12340090004727,208.12340090004727,208.12340090004727,208.12340090004727,48,55,21,54,54,65,2.0,4.5037585000973195,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],,,,,None,None,215.16124380007386,216.88195830001496,210.63222850020975,210.63222850020975,210.63222850020975,210.63222850020975,210.63222850020975,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
1,-0.3,-0.225,0,14,14,14,,,,,,,,,,None,216.88195830001496,216.88195830001496,216.88195830001496,216.88195830001496,216.88195830001496,216.88195830001496,j,0.3452646001242101,217.250085900072,217.250085900072,217.250085900072,217.250085900072,217.250085900072,217.250085900072,217.54726180015132,217.54726180015132,219.19283429998904,219.19283429998904,219.19283429998904,219.19283429998904,219.19283429998904,219.19283429998904,219.19283429998904,219.19283429998904,219.19283429998904,219.19283429998904,219.19283429998904,219.19283429998904,219.19283429998904,219.19283429998904,219.19283429998904,219.19283429998904,219.19283429998904,41,48,25,58,58,34,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,1,34,[-0.11388888888888889],[-0.29907407407407405],[1],[0],[0],[6.430436499882489],['tijiao_random_2'],228.15655379998498,228.15655379998498,228.15655379998498,228.15655379998498,6.046296296296297,2.3197523998096585,230.49424630007707,232.34017770015635,,,,,,221.71208880003542,221.71208880003542,221.71208880003542,221.71208880003542,221.71208880003542,221.71208880003542,221.71208880003542,221.71208880003542,0.006982200080528855,221.71208880003542,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
0,0.3,0.225,0,15,15,15,,,,,,,,,,None,232.34017770015635,232.34017770015635,232.34017770015635,232.34017770015635,232.34017770015635,232.34017770015635,j,0.7126883000601083,233.07446130015887,233.07446130015887,233.07446130015887,233.07446130015887,233.07446130015887,233.07446130015887,233.37108579999767,233.37108579999767,235.26577160018496,235.26577160018496,235.2821434000507,235.2821434000507,235.2821434000507,235.2821434000507,235.2821434000507,235.2821434000507,235.2821434000507,235.2821434000507,235.2821434000507,235.2821434000507,235.2821434000507,235.2821434000507,235.2821434000507,235.2821434000507,235.2821434000507,52,53,20,70,70,67,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,1,40,[0.018518518518518517],[-0.30462962962962964],[1],[0],[0],[8.02731729997322],['tijiao_random_2'],245.84137720009312,245.84137720009312,245.84137720009312,245.84137720009312,7.046296296296296,2.9013275001198053,248.76120360009372,250.40752600017004,,,,,,237.80005660001189,237.80005660001189,237.80005660001189,237.80005660001189,237.80005660001189,237.80005660001189,237.80005660001189,237.80005660001189,0.006354200188070536,237.80005660001189,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
1,-0.3,-0.225,0,16,16,16,,,,,,,,,,None,250.40752600017004,250.40752600017004,250.40752600017004,250.40752600017004,250.40752600017004,250.40752600017004,j,0.33300579991191626,250.77359700016677,250.77359700016677,250.77359700016677,250.77359700016677,250.77359700016677,250.77359700016677,251.07280860003084,251.07280860003084,253.03393060015514,253.03393060015514,253.03393060015514,253.03393060015514,253.03393060015514,253.03393060015514,253.03393060015514,253.03393060015514,253.03393060015514,253.03393060015514,253.03393060015514,253.03393060015514,253.03393060015514,253.03393060015514,253.03393060015514,253.03393060015514,253.03393060015514,45,49,30,64,64,42,5.0,2.09358419990167,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],,,,,None,None,257.66391590004787,259.53276630002074,255.5432304001879,255.5432304001879,255.5432304001879,255.5432304001879,255.5432304001879,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
0,0.3,0.225,0,17,17,17,,,,,,,,,,None,259.53276630002074,259.53276630002074,259.53276630002074,259.53276630002074,259.53276630002074,259.53276630002074,j,0.6093860000837594,260.164689600002,260.164689600002,260.164689600002,260.164689600002,260.164689600002,260.164689600002,260.4634267000947,260.4634267000947,262.39178430009633,262.39178430009633,262.408032100182,262.408032100182,262.408032100182,262.408032100182,262.408032100182,262.408032100182,262.408032100182,262.408032100182,262.408032100182,262.408032100182,262.408032100182,262.408032100182,262.408032100182,262.408032100182,262.408032100182,51,50,25,65,65,74,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,1,77,[0.08425925925925926],[-0.28703703703703703],[1],[0],[0],[7.742466299794614],['tijiao_random_2'],272.68769580009393,272.68769580009393,272.68769580009393,272.68769580009393,7.027777777777778,2.0195642998442054,274.7235695000272,276.63593230000697,,,,,,264.9287936000619,264.9287936000619,264.9287936000619,264.9287936000619,264.9287936000619,264.9287936000619,264.9287936000619,264.9287936000619,0.0067703998647630215,264.9287936000619,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
1,-0.3,-0.225,0,18,18,18,,,,,,,,,,None,276.63593230000697,276.63593230000697,276.63593230000697,276.63593230000697,276.63593230000697,276.63593230000697,f,0.44129569991491735,277.10368910012767,277.10368910012767,277.10368910012767,277.10368910012767,277.10368910012767,277.10368910012767,277.40076520014554,277.40076520014554,279.1128487000242,279.1128487000242,279.1128487000242,279.1128487000242,279.1128487000242,279.1128487000242,279.1128487000242,279.1128487000242,279.1128487000242,279.1128487000242,279.1128487000242,279.1128487000242,279.1128487000242,279.1128487000242,279.1128487000242,279.1128487000242,279.1128487000242,55,56,26,61,56,79,None,None,281.62302250019275,281.62302250019275,281.62302250019275,281.62302250019275,281.62302250019275,281.62302250019275,281.62302250019275,281.62302250019275,0.006021399982273579,281.62302250019275,45,45,[0.10092592592592593],[-0.2777777777777778],[1],[0],[0],[5.642218099907041],['tijiao'],0.6,0,,[],[],[],[],[],[],[],287.2854784000665,287.2854784000665,287.2854784000665,287.2854784000665,7.018518518518519,1.8298364002257586,289.13469130010344,290.68106380011886,,,,,,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
0,0.3,0.225,0,19,19,19,,,,,,,,,,None,290.68106380011886,290.68106380011886,290.68106380011886,290.68106380011886,290.68106380011886,290.68106380011886,j,0.7320063998922706,291.44618930015713,291.44618930015713,291.44618930015713,291.44618930015713,291.44618930015713,291.44618930015713,291.7446739000734,291.7446739000734,292.90816730004735,292.90816730004735,292.90816730004735,292.90816730004735,292.90816730004735,292.90816730004735,292.90816730004735,292.90816730004735,292.90816730004735,292.90816730004735,292.90816730004735,292.90816730004735,292.90816730004735,292.90816730004735,292.90816730004735,292.90816730004735,292.90816730004735,59,48,34,65,65,68,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,1,50,[0.12314814814814815],[-0.26296296296296295],[1],[0],[0],[5.598146500065923],['tijiao_random_2'],301.040074700024,301.040074700024,301.040074700024,301.040074700024,5.305555555555555,4.4975284999236465,305.55598390009254,307.2526175000239,,,,,,295.4288312001154,295.4288312001154,295.4288312001154,295.4288312001154,295.4288312001154,295.4288312001154,295.4288312001154,295.4288312001154,0.006988999899476767,295.4288312001154,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
1,-0.3,-0.225,0,20,20,20,,,,,,,,,,None,307.2526175000239,307.2526175000239,307.2526175000239,307.2526175000239,307.2526175000239,307.2526175000239,j,1.2547224001027644,308.5359444001224,308.5359444001224,308.5359444001224,308.5359444001224,308.5359444001224,308.5359444001224,308.8316461001523,308.8316461001523,310.24435480008833,310.24435480008833,310.24435480008833,310.24435480008833,310.24435480008833,310.24435480008833,310.24435480008833,310.24435480008833,310.24435480008833,310.24435480008833,310.24435480008833,310.24435480008833,310.24435480008833,310.24435480008833,310.24435480008833,310.24435480008833,310.24435480008833,58,52,34,68,68,71,3.0,1.7946471001487225,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,2,,[],[],[],[],[],[],[],,,,,None,None,314.5740120999981,316.17788410000503,312.7536514000967,312.7536514000967,312.7536514000967,312.7536514000967,312.7536514000967,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
