bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,expectself.text,expectself.started,expectself.stopped,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,tijiao_click.started,tijiao_click.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.started,tijiao_random.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,22.706148500030395,None,space,6.521062699961476,22.706148500030395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,f,23,2023_Mar_19_1755,RL,2021.2.3,60.013130875210166,
,,,,,,,,,,,,,29.260373299999628,None,s,25.537179100036155,29.260373299999628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,f,23,2023_Mar_19_1755,RL,2021.2.3,60.013130875210166,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,,,,,54.82639629999176,None,None,None,None,None,None,55.91152670001611,None,55.91152670001611,None,55.91152670001611,None,55.91152670001611,None,i,0.21563639998203143,55.91152670001611,None,55.91152670001611,None,56.24395680002635,None,56.24395680002635,None,56.24395680002635,None,56.24395680002635,None,56.24395680002635,None,56.24395680002635,None,56.53323280002223,58.351170799985994,56.53323280002223,58.351170799985994,58.44246530003147,None,58.44246530003147,None,58.44246530003147,None,58.44246530003147,None,58.44246530003147,None,58.44246530003147,None,58.44246530003147,None,58.44246530003147,None,58.44246530003147,None,72,51,39,29,39,46,None,None,None,None,None,None,None,None,None,None,None,None,67,61.19922900001984,None,61.19922900001984,None,61.19922900001984,None,61.19922900001984,None,61.19922900001984,None,61.19922900001984,None,61.19922900001984,None,67,61.19922900001984,None,-0.013020833333333334,-0.3138020833333333,1,0,0,9.547855800017715,tijiao,0.006531949911732227,None,0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,5.0234375,2.2066128000151366,71.10158289998071,None,71.10158289998071,None,71.10158289998071,None,71.10158289998071,None,None,None,73.40784629998961,None,,,,,,,,,228,f,23,2023_Mar_19_1755,RL,2021.2.3,60.013130875210166,
0,0.3,0.225,0,1,1,1,,,,,,,,,,,,,,,None,None,None,None,None,74.9827757999883,None,74.9827757999883,None,74.9827757999883,None,74.9827757999883,None,f,0.3144259999971837,74.9827757999883,None,74.9827757999883,None,75.3531327000237,None,75.3531327000237,None,75.3531327000237,None,75.3531327000237,None,75.3531327000237,None,75.3531327000237,None,75.62983749998966,77.5980415000231,75.62983749998966,77.5980415000231,77.6339452000102,None,77.6339452000102,None,77.6339452000102,None,77.6339452000102,None,77.6339452000102,None,77.6339452000102,None,77.6339452000102,None,77.6339452000102,None,77.6339452000102,None,77,52,41,38,52,30,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,,,,,,,None,None,-0.2,1,80.24572840001201,None,80.24572840001201,None,80.24572840001201,None,80.24572840001201,None,80.24572840001201,None,80.24572840001201,None,56,80.24572840001201,None,80.24572840001201,None,0.01339317997917533,None,6.0390625,2.0189771999721415,84.43868830002612,None,84.43868830002612,None,84.43868830002612,None,84.43868830002612,None,None,None,86.48613480001222,None,-0.0078125,-0.2994791666666667,1,0,0,4.133932999975514,tijiao,,228,f,23,2023_Mar_19_1755,RL,2021.2.3,60.013130875210166,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,,,,,,None,None,None,None,None,88.41004460002296,None,88.41004460002296,None,88.41004460002296,None,88.41004460002296,None,f,0.2673058999935165,88.41004460002296,None,88.41004460002296,None,88.72753029997693,None,88.72753029997693,None,88.72753029997693,None,88.72753029997693,None,88.72753029997693,None,88.72753029997693,None,89.02254079998238,None,89.02254079998238,None,89.958606900007,None,89.958606900007,None,89.958606900007,None,89.958606900007,None,89.958606900007,None,89.958606900007,None,89.958606900007,None,89.958606900007,None,89.958606900007,None,72,40,45,40,40,75,92.47711929999059,None,3.0,3.5203472999855876,92.47711929999059,None,92.47711929999059,None,92.47711929999059,None,92.47711929999059,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,,,,,,,None,None,0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,96.08980439999141,None,,,,,,,,,228,f,23,2023_Mar_19_1755,RL,2021.2.3,60.013130875210166,
0,0.3,0.225,0,3,3,3,,,,,,,,,,,,,,,None,None,None,None,None,97.83260359999258,None,97.83260359999258,None,97.83260359999258,None,97.83260359999258,None,i,0.284857299993746,97.83260359999258,None,97.83260359999258,None,98.16639660001965,None,98.16639660001965,None,98.16639660001965,None,98.16639660001965,None,98.16639660001965,None,98.16639660001965,None,98.46238590002758,None,98.46238590002758,None,99.67709970002761,None,99.67709970002761,None,99.67709970002761,None,99.67709970002761,None,99.67709970002761,None,99.67709970002761,None,99.67709970002761,None,99.67709970002761,None,99.67709970002761,None,72,47,44,38,44,55,102.19724469998619,None,3.0,2.2221992000122555,102.19724469998619,None,102.19724469998619,None,102.19724469998619,None,102.19724469998619,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,,,,,,,None,None,0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,104.47043190000113,None,,,,,,,,,228,f,23,2023_Mar_19_1755,RL,2021.2.3,60.013130875210166,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,,,,,,None,None,None,None,None,106.23822840000503,None,106.23822840000503,None,106.23822840000503,None,106.23822840000503,None,j,0.2992742999922484,106.23822840000503,None,106.23822840000503,None,106.58190019999165,None,106.58190019999165,None,106.58190019999165,None,106.58190019999165,None,106.58190019999165,None,106.58190019999165,None,106.86829549999675,108.43601080001099,106.86829549999675,108.43601080001099,108.47413909999887,None,108.47413909999887,None,108.47413909999887,None,108.47413909999887,None,108.47413909999887,None,108.47413909999887,None,108.47413909999887,None,108.47413909999887,None,108.47413909999887,None,77,46,46,39,39,41,None,None,None,None,None,None,None,None,None,None,None,None,67,111.00092199997744,None,111.00092199997744,None,111.00092199997744,None,111.00092199997744,None,111.00092199997744,None,111.00092199997744,None,111.00092199997744,None,67,111.00092199997744,None,-0.03515625,-0.3059895833333333,1,0,0,5.41619499999797,tijiao,0.012168929970357567,None,0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,4.0859375,1.7087465999647975,116.47101069998462,None,116.47101069998462,None,116.47101069998462,None,116.47101069998462,None,None,None,118.20993589999853,None,,,,,,,,,228,f,23,2023_Mar_19_1755,RL,2021.2.3,60.013130875210166,
0,0.3,0.225,0,5,5,5,,,,,,,,,,,,,,,None,None,None,None,None,120.03141529997811,None,120.03141529997811,None,120.03141529997811,None,120.03141529997811,None,r,0.25715580000542104,120.03141529997811,None,120.03141529997811,None,120.33775559999049,None,120.33775559999049,None,120.33775559999049,None,120.33775559999049,None,120.33775559999049,None,120.33775559999049,None,120.62755199999083,122.22886059997836,120.62755199999083,122.22886059997836,122.26205570000457,None,122.26205570000457,None,122.26205570000457,None,122.26205570000457,None,122.26205570000457,None,122.26205570000457,None,122.26205570000457,None,122.26205570000457,None,122.26205570000457,None,63,45,48,46,63,52,124.78619389998494,None,5.0,3.8004514999920502,124.78619389998494,None,124.78619389998494,None,124.78619389998494,None,124.78619389998494,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,,,,,,,None,None,0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,128.63797739997972,None,,,,,,,,,228,f,23,2023_Mar_19_1755,RL,2021.2.3,60.013130875210166,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,,,,,,None,None,None,None,None,130.1888112000306,None,130.1888112000306,None,130.1888112000306,None,130.1888112000306,None,f,0.369972400018014,130.1888112000306,None,130.1888112000306,None,130.60591669997666,None,130.60591669997666,None,130.60591669997666,None,130.60591669997666,None,130.60591669997666,None,130.60591669997666,None,130.90157639997778,None,130.90157639997778,None,132.81814069999382,None,132.81814069999382,None,132.81814069999382,None,132.81814069999382,None,132.81814069999382,None,132.81814069999382,None,132.81814069999382,None,132.81814069999382,None,132.81814069999382,None,75,52,54,40,52,27,None,None,None,None,None,None,None,None,None,None,None,None,56,135.35237450001296,None,135.35237450001296,None,135.35237450001296,None,135.35237450001296,None,135.35237450001296,None,135.35237450001296,None,135.35237450001296,None,56,135.35237450001296,None,0.0390625,-0.28515625,1,0,0,3.3970407999586314,tijiao,0.00989143003243953,None,0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,7.9921875,2.6160723999491893,138.79381830000784,None,138.79381830000784,None,138.79381830000784,None,138.79381830000784,None,None,None,141.42484160000458,None,,,,,,,,,228,f,23,2023_Mar_19_1755,RL,2021.2.3,60.013130875210166,
0,0.3,0.225,0,7,7,7,,,,,,,,,,,,,,,None,None,None,None,None,142.9800917999819,None,142.9800917999819,None,142.9800917999819,None,142.9800917999819,None,f,0.20888019999256358,142.9800917999819,None,142.9800917999819,None,143.23457849997794,None,143.23457849997794,None,143.23457849997794,None,143.23457849997794,None,143.23457849997794,None,143.23457849997794,None,143.5269427000312,144.89456659997813,143.5269427000312,144.89456659997813,144.92928540002322,None,144.92928540002322,None,144.92928540002322,None,144.92928540002322,None,144.92928540002322,None,144.92928540002322,None,144.92928540002322,None,144.92928540002322,None,144.92928540002322,None,64,37,55,50,37,72,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,,,,,,,None,None,0.6,1,147.46929430001182,None,147.46929430001182,None,147.46929430001182,None,147.46929430001182,None,147.46929430001182,None,147.46929430001182,None,89,147.46929430001182,None,147.46929430001182,None,0.0016530299908481538,None,3.838541666666666,2.9208183000446297,152.15569200000027,None,152.15569200000027,None,152.15569200000027,None,152.15569200000027,None,None,None,155.10018150001997,None,0.02734375,-0.2734375,1,0,0,4.655598499986809,tijiao,,228,f,23,2023_Mar_19_1755,RL,2021.2.3,60.013130875210166,
