bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate
,,,,,,,19.2905722,19.2905722,space,5.6853941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
,,,,,,,,,,,25.0074451,25.0074451,s,9.9308489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
0,0.3,0.225,0,37,37,37,,,,,,,,,,None,526.6393629,526.6393629,526.6393629,526.6393629,526.6393629,526.6393629,i,0.3215126,526.9910202,526.9910202,526.9910202,526.9910202,526.9910202,526.9910202,527.2875091,527.2875091,529.0165319,529.0165319,529.0165319,529.0165319,529.0165319,529.0165319,529.0165319,529.0165319,529.0165319,529.0165319,529.0165319,529.0165319,529.0165319,529.0165319,529.0165319,529.0165319,529.0165319,75,39,49,22,49,68,None,None,531.5280346,531.5280346,531.5280346,531.5280346,531.5280346,531.5280346,531.5280346,531.5280346,0.0076888,531.5280346,80,80,[0.07037037037037037],[-0.29444444444444445],[1],[0],[0],[8.282946899998933],['tijiao'],0.2,0,,[],[],[],[],[],[],[],539.8345151,539.8345151,539.8345151,539.8345151,3.787037037,2.8082855,542.660965,544.4403909,,,,,,,,,,,,,,,,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
1,-0.3,-0.225,0,38,38,38,,,,,,,,,,None,544.4403909,544.4403909,544.4403909,544.4403909,544.4403909,544.4403909,i,0.280138,544.740955,544.740955,544.740955,544.740955,544.740955,544.740955,545.0393912,545.0393912,545.9368081,545.9368081,545.9368081,545.9368081,545.9368081,545.9368081,545.9368081,545.9368081,545.9368081,545.9368081,545.9368081,545.9368081,545.9368081,545.9368081,545.9368081,545.9368081,545.9368081,77,34,55,20,55,51,3,1.5279181,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],,,,,None,None,550.0014802,551.7206147,,,,,,,,,,,548.4458217,548.4458217,548.4458217,548.4458217,548.4458217,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
0,0.3,0.225,0,39,39,39,,,,,,,,,,None,551.7206147,551.7206147,551.7206147,551.7206147,551.7206147,551.7206147,r,0.6725067,552.422249,552.422249,552.422249,552.422249,552.422249,552.422249,552.7184008,552.7184008,554.0311408,554.0311408,554.0311408,554.0311408,554.0311408,554.0311408,554.0311408,554.0311408,554.0311408,554.0311408,554.0311408,554.0311408,554.0311408,554.0311408,554.0311408,554.0311408,554.0311408,67,41,50,19,67,51,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,1,55,[-0.022222222222222223],[-0.2935185185185185],[1],[0],[0],[6.481205100018997],['tijiao_random_2'],563.0446325,563.0446325,563.0446325,563.0446325,4.518518519,2.2702656,565.3324956,567.2450305,556.5499424,556.5499424,556.5499424,556.5499424,556.5499424,556.5499424,556.5499424,556.5499424,0.006619,556.5499424,,,,,,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
1,-0.3,-0.225,0,40,40,40,,,,,,,,,,None,567.2450305,567.2450305,567.2450305,567.2450305,567.2450305,567.2450305,j,0.2940498,567.5644501,567.5644501,567.5644501,567.5644501,567.5644501,567.5644501,567.8604393,567.8604393,568.973868,568.973868,568.973868,568.973868,568.973868,568.973868,568.973868,568.973868,568.973868,568.973868,568.973868,568.973868,568.973868,568.973868,568.973868,568.973868,568.973868,73,37,45,24,24,30,4,2.2434682,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,3,,[],[],[],[],[],[],[],,,,,None,None,573.7556784,575.5058156,,,,,,,,,,,571.4830922,571.4830922,571.4830922,571.4830922,571.4830922,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
0,0.3,0.225,0,41,41,41,,,,,,,,,,None,575.5058156,575.5058156,575.5058156,575.5058156,575.5058156,575.5058156,f,0.3154158,575.8394309,575.8394309,575.8394309,575.8394309,575.8394309,575.8394309,576.1378076,576.1378076,578.0321791,578.0321791,578.0321791,578.0321791,578.0321791,578.0321791,578.0321791,578.0321791,578.0321791,578.0321791,578.0321791,578.0321791,578.0321791,578.0321791,578.0321791,578.0321791,578.0321791,68,43,49,26,43,58,3,2.1759024,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,2,,[],[],[],[],[],[],[],,,,,None,None,582.7469965,584.4982324,,,,,,,,,,,580.5415342,580.5415342,580.5415342,580.5415342,580.5415342,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
1,-0.3,-0.225,0,42,42,42,,,,,,,,,,None,584.4982324,584.4982324,584.4982324,584.4982324,584.4982324,584.4982324,f,0.6291551,585.1478568,585.1478568,585.1478568,585.1478568,585.1478568,585.1478568,585.445623,585.445623,586.8418305,586.8418305,586.8418305,586.8418305,586.8418305,586.8418305,586.8418305,586.8418305,586.8418305,586.8418305,586.8418305,586.8418305,586.8418305,586.8418305,586.8418305,586.8418305,586.8418305,75,39,53,19,39,40,None,None,589.3522361,589.3522361,589.3522361,589.3522361,589.3522361,589.3522361,589.3522361,589.3522361,0.006311,589.3522361,60,60,[0.012962962962962963],[-0.3037037037037037],[1],[0],[0],[6.140069200017024],['tijiao'],0.6,0,,[],[],[],[],[],[],[],595.5132576,595.5132576,595.5132576,595.5132576,3.601851852,1.4806366,597.0127787,598.6757427,,,,,,,,,,,,,,,,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
0,0.3,0.225,0,43,43,43,,,,,,,,,,None,598.6757427,598.6757427,598.6757427,598.6757427,598.6757427,598.6757427,f,0.6889428,599.3920752,599.3920752,599.3920752,599.3920752,599.3920752,599.3920752,599.6899477,599.6899477,601.3357108,601.3357108,601.3357108,601.3357108,601.3357108,601.3357108,601.3357108,601.3357108,601.3357108,601.3357108,601.3357108,601.3357108,601.3357108,601.3357108,601.3357108,601.3357108,601.3357108,76,42,50,25,42,64,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,1,66,[-0.030555555555555555],[-0.2962962962962963],[1],[0],[0],[7.659676699957345],['tijiao_random_2'],611.5302287,611.5302287,611.5302287,611.5302287,1.990740741,1.9372811,613.4842517,615.280556,603.85582,603.85582,603.85582,603.85582,603.85582,603.85582,603.85582,603.85582,0.0064219,603.85582,,,,,,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
1,-0.3,-0.225,0,44,44,44,,,,,,,,,,None,615.280556,615.280556,615.280556,615.280556,615.280556,615.280556,r,0.2393132,615.5491695,615.5491695,615.5491695,615.5491695,615.5491695,615.5491695,615.8459162,615.8459162,617.574948,617.574948,617.5914779,617.5914779,617.5914779,617.5914779,617.5914779,617.5914779,617.5914779,617.5914779,617.5914779,617.5914779,617.5914779,617.5914779,617.5914779,617.5914779,617.5914779,68,33,46,26,68,33,5,1.777254,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,2,,[],[],[],[],[],[],[],,,,,None,None,621.9043526,623.5913164,,,,,,,,,,,620.1001294,620.1001294,620.1001294,620.1001294,620.1001294,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
0,0.3,0.225,0,45,45,45,,,,,,,,,,None,623.5913164,623.5913164,623.5913164,623.5913164,623.5913164,623.5913164,f,0.5765374,624.1918367,624.1918367,624.1918367,624.1918367,624.1918367,624.1918367,624.4892624,624.4892624,626.2505267,626.2505267,626.2505267,626.2505267,626.2505267,626.2505267,626.2505267,626.2505267,626.2505267,626.2505267,626.2505267,626.2505267,626.2505267,626.2505267,626.2505267,626.2505267,626.2505267,75,49,44,23,49,45,5,1.3620559,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],,,,,None,None,630.150056,632.0685444,,,,,,,,,,,628.7597222,628.7597222,628.7597222,628.7597222,628.7597222,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
1,-0.3,-0.225,0,46,46,46,,,,,,,,,,None,632.0685444,632.0685444,632.0685444,632.0685444,632.0685444,632.0685444,j,0.2760063,632.3707806,632.3707806,632.3707806,632.3707806,632.3707806,632.3707806,632.6668063,632.6668063,633.8134297,633.8134297,633.8134297,633.8134297,633.8134297,633.8134297,633.8134297,633.8134297,633.8134297,633.8134297,633.8134297,633.8134297,633.8134297,633.8134297,633.8134297,633.8134297,633.8134297,76,44,47,19,19,68,None,None,636.3259421,636.3259421,636.3259421,636.3259421,636.3259421,636.3259421,636.3259421,636.3259421,0.0071914,636.3259421,70,70,[0.05740740740740741],[-0.2935185185185185],[1],[0],[0],[5.274703099974431],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],641.6210442,641.6210442,641.6210442,641.6210442,5.407407407,1.8624818,643.5025056,645.0993688,,,,,,,,,,,,,,,,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
