trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,expectself.text,expectself.started,expectself.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,tijiao_click.started,tijiao_click.stopped,check.started,check.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,tijiao_random.started,tijiao_random.stopped,check_2.started,check_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,rest_response.rt,image.started,image.stopped,key_resp.keys,key_resp.started,key_resp.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate
1,0,8,0,,,,,,,,,,,,,,,None,None,None,None,None,153.9255154,None,153.9255154,None,153.9255154,None,153.9255154,None,j,0.2584717,153.9255154,None,153.9255154,None,154.2299705,None,154.2299705,None,154.2299705,None,154.2299705,None,154.2299705,None,154.2299705,None,154.5230306,None,154.5230306,None,156.2376144,None,156.2376144,None,156.2376144,None,156.2376144,None,156.2376144,None,156.2376144,None,156.2376144,None,156.2376144,None,156.2376144,None,44,60,48,59,59,64,158.7558517,None,3,2.5086398,158.7558517,None,158.7558517,None,158.7558517,None,158.7558517,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,161.3273092,None,,,,,,,,,,,,,,236,f,22,2023_Mar_21_1332,RL,2021.2.3,59.93238428
0,0,9,0,,,,,,,,,,,,,,,None,None,None,None,None,163.1496255,None,163.1496255,None,163.1496255,None,163.1496255,None,f,0.2841859,163.1496255,None,163.1496255,None,163.4875929,None,163.4875929,None,163.4875929,None,163.4875929,None,163.4875929,None,163.4875929,None,163.7792036,164.8801593,163.7792036,164.8801593,164.9141157,None,164.9141157,None,164.9141157,None,164.9141157,None,164.9141157,None,164.9141157,None,164.9141157,None,164.9141157,None,164.9141157,None,34,68,57,49,68,36,None,None,None,None,None,None,None,None,None,None,None,None,60,167.4401419,None,60,167.4401419,None,167.4401419,None,167.4401419,None,167.4401419,None,167.4401419,None,167.4401419,None,167.4401419,None,0.00074324,None,167.4401419,None,0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,,,,,,,,None,None,None,None,6.9765625,1.199042,175.9281227,None,175.9281227,None,175.9281227,None,175.9281227,None,None,None,177.1530927,None,0.05859375,-0.303385417,1,0,0,8.4414793,tijiao,,,,,,,236,f,22,2023_Mar_21_1332,RL,2021.2.3,59.93238428
1,0,10,0,,,,,,,,,,,,,,,None,None,None,None,None,178.8761437,None,178.8761437,None,178.8761437,None,178.8761437,None,f,0.2877978,178.8761437,None,178.8761437,None,179.2113779,None,179.2113779,None,179.2113779,None,179.2113779,None,179.2113779,None,179.2113779,None,179.5068656,None,179.5068656,None,181.5100606,None,181.5100606,None,181.5100606,None,181.5100606,None,181.5100606,None,181.5100606,None,181.5100606,None,181.5100606,None,181.5100606,None,37,65,53,60,65,58,184.0244034,None,7,1.855823,184.0244034,None,184.0244034,None,184.0244034,None,184.0244034,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,185.9407134,None,,,,,,,,,,,,,,236,f,22,2023_Mar_21_1332,RL,2021.2.3,59.93238428
0,0,11,0,,,,,,,,,,,,,,,None,None,None,None,None,187.6335999,None,187.6335999,None,187.6335999,None,187.6335999,None,r,0.5706914,187.6335999,None,187.6335999,None,188.2512942,None,188.2512942,None,188.2512942,None,188.2512942,None,188.2512942,None,188.2512942,None,188.5465213,None,188.5465213,None,189.9952089,None,189.9952089,None,189.9952089,None,189.9952089,None,189.9952089,None,189.9952089,None,189.9952089,None,189.9952089,None,189.9952089,None,41,70,53,47,41,38,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.6,1,192.5396547,None,192.5396547,None,192.5396547,None,192.5396547,None,192.5396547,None,192.5396547,None,41,192.5396547,None,192.5396547,None,0.08203125,-0.295572917,1,0,0,3.2878488,tijiao_random_2,0.00126826,None,192.5396547,None,11,1.0711567,195.860702,None,195.860702,None,195.860702,None,195.860702,None,None,None,196.9553458,None,,,,,,,,,,,,,,236,f,22,2023_Mar_21_1332,RL,2021.2.3,59.93238428
1,0,12,0,,,,,,,,,,,,,,,None,None,None,None,None,198.5233779,None,198.5233779,None,198.5233779,None,198.5233779,None,f,0.310636,198.5233779,None,198.5233779,None,198.8763991,None,198.8763991,None,198.8763991,None,198.8763991,None,198.8763991,None,198.8763991,None,199.1704756,None,199.1704756,None,200.2013007,None,200.2013007,None,200.2013007,None,200.2013007,None,200.2013007,None,200.2013007,None,200.2013007,None,200.2013007,None,200.2013007,None,37,68,51,60,68,57,202.7270266,None,6,3.0014765,202.7270266,None,202.7270266,None,202.7270266,None,202.7270266,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,205.7777102,None,,,,,,,,,,,,,,236,f,22,2023_Mar_21_1332,RL,2021.2.3,59.93238428
0,0,13,0,,,,,,,,,,,,,,,None,None,None,None,None,207.7312373,None,207.7312373,None,207.7312373,None,207.7312373,None,r,0.4828738,207.7312373,None,207.7312373,None,208.2671148,None,208.2671148,None,208.2671148,None,208.2671148,None,208.2671148,None,208.2671148,None,208.560272,209.4776427,208.560272,209.4776427,209.5159697,None,209.5159697,None,209.5159697,None,209.5159697,None,209.5159697,None,209.5159697,None,209.5159697,None,209.5159697,None,209.5159697,None,27,64,49,56,27,30,212.051077,None,2,1.9356562,212.051077,None,212.051077,None,212.051077,None,212.051077,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,214.041413,None,,,,,,,,,,,,,,236,f,22,2023_Mar_21_1332,RL,2021.2.3,59.93238428
1,0,14,0,,,,,,,,,,,,,,,None,None,None,None,None,215.9695708,None,215.9695708,None,215.9695708,None,215.9695708,None,i,0.3047385,215.9695708,None,215.9695708,None,216.3224562,None,216.3224562,None,216.3224562,None,216.3224562,None,216.3224562,None,216.3224562,None,216.6158536,None,216.6158536,None,218.2977916,None,218.2977916,None,218.2977916,None,218.2977916,None,218.2977916,None,218.2977916,None,218.2977916,None,218.2977916,None,218.2977916,None,31,65,43,58,43,51,None,None,None,None,None,None,None,None,None,None,None,None,55,220.8243625,None,55,220.8243625,None,220.8243625,None,220.8243625,None,220.8243625,None,220.8243625,None,220.8243625,None,220.8243625,None,0.00328974,None,220.8243625,None,0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,,,,,,,,None,None,None,None,4.177083333,2.5987277,226.2613525,None,226.2613525,None,226.2613525,None,226.2613525,None,None,None,228.8918099,None,0.036458333,-0.296875,1,0,0,5.3917626,tijiao,,,,,,,236,f,22,2023_Mar_21_1332,RL,2021.2.3,59.93238428
0,0,15,0,,,,,,,,,,,,,,,None,None,None,None,None,230.5960531,None,230.5960531,None,230.5960531,None,230.5960531,None,i,0.2783041,230.5960531,None,230.5960531,None,230.917071,None,230.917071,None,230.917071,None,230.917071,None,230.917071,None,230.917071,None,231.1926315,232.1935186,231.1926315,232.1935186,232.2254992,None,232.2254992,None,232.2254992,None,232.2254992,None,232.2254992,None,232.2254992,None,232.2254992,None,232.2254992,None,232.2254992,None,41,63,46,60,46,62,None,None,None,None,None,None,None,None,None,None,None,None,40,234.7603144,None,40,234.7603144,None,234.7603144,None,234.7603144,None,234.7603144,None,234.7603144,None,234.7603144,None,234.7603144,None,0.01030026,None,234.7603144,None,0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,,,,,,,,None,None,None,None,2.888020833,1.4922055,241.6536175,None,241.6536175,None,241.6536175,None,241.6536175,None,None,None,243.1669333,None,0.071614583,-0.298177083,1,0,0,6.8491823,tijiao,,,,,,,236,f,22,2023_Mar_21_1332,RL,2021.2.3,59.93238428
1,0,16,0,,,,,,,,,,,,,,,None,None,None,None,None,244.7562649,None,244.7562649,None,244.7562649,None,244.7562649,None,j,0.2384136,244.7562649,None,244.7562649,None,245.0405266,None,245.0405266,None,245.0405266,None,245.0405266,None,245.0405266,None,245.0405266,None,245.3358529,246.5366553,245.3358529,246.5366553,246.5682883,None,246.5682883,None,246.5682883,None,246.5682883,None,246.5682883,None,246.5682883,None,246.5682883,None,246.5682883,None,246.5682883,None,41,51,48,50,50,27,249.0877743,None,6,1.3537118,249.0877743,None,249.0877743,None,249.0877743,None,249.0877743,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,250.5066405,None,,,,,,,,,,,,,,236,f,22,2023_Mar_21_1332,RL,2021.2.3,59.93238428
0,0,17,0,,,,,,,,,,,,,,,None,None,None,None,None,252.3438167,None,252.3438167,None,252.3438167,None,252.3438167,None,j,0.2205593,252.3438167,None,252.3438167,None,252.6128064,None,252.6128064,None,252.6128064,None,252.6128064,None,252.6128064,None,252.6128064,None,252.9075535,254.2420958,252.9075535,254.2420958,254.2733874,None,254.2733874,None,254.2733874,None,254.2733874,None,254.2733874,None,254.2733874,None,254.2733874,None,254.2733874,None,254.2733874,None,38,64,44,57,57,47,None,None,None,None,None,None,None,None,None,None,None,None,48,256.8095931,None,48,256.8095931,None,256.8095931,None,256.8095931,None,256.8095931,None,256.8095931,None,256.8095931,None,256.8095931,None,0.00921716,None,256.8095931,None,-0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,,,,,,,,None,None,None,None,8.018229167,1.6260987,262.3897615,None,262.3897615,None,262.3897615,None,262.3897615,None,None,None,264.031419,None,0.111979167,-0.2890625,1,0,0,5.5310411,tijiao,,,,,,,236,f,22,2023_Mar_21_1332,RL,2021.2.3,59.93238428
