arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.210895200027153,16.210895200027153,space,2.216132099973038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
30,27,51,62,0,0,0,0,,,,,18.453489899868146,18.453489899868146,23.45315909991041,23.45315909991041,23.45315909991041,24.455337999854237,None,24.455337999854237,24.455337999854237,24.455337999854237,24.455337999854237,24.455337999854237,24.455337999854237,r,0.5626299998257309,25.04411319992505,25.04411319992505,25.04411319992505,25.04411319992505,25.04411319992505,25.04411319992505,25.337856400059536,26.238077800022438,26.238077800022438,26.238077800022438,26.238077800022438,26.238077800022438,26.238077800022438,26.238077800022438,26.238077800022438,26.238077800022438,26.238077800022438,26.238077800022438,26.238077800022438,26.238077800022438,26.238077800022438,27.478358200052753,27.478358200052753,27.478358200052753,27.478358200052753,27.478358200052753,27.478358200052753,27.478358200052753,51,27,30,62,27,60,27.478358200052753,29.403354299953207,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
39,46,54,58,0,1,1,1,,,,,,,,,,,None,29.403354299953207,29.403354299953207,29.403354299953207,29.403354299953207,29.403354299953207,29.403354299953207,f,0.3019570999313146,29.738331399857998,29.738331399857998,29.738331399857998,29.738331399857998,29.738331399857998,29.738331399857998,30.0366799000185,31.15289819985628,31.15289819985628,31.15289819985628,31.15289819985628,31.15289819985628,31.15289819985628,31.15289819985628,31.15289819985628,31.15289819985628,31.15289819985628,31.15289819985628,31.15289819985628,31.15289819985628,31.15289819985628,32.56830649985932,32.56830649985932,32.56830649985932,32.56830649985932,32.56830649985932,32.56830649985932,32.56830649985932,54,46,39,58,54,60,32.56830649985932,34.452833799878135,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
35,44,53,55,0,2,2,2,,,,,,,,,,,None,34.452833799878135,34.452833799878135,34.452833799878135,34.452833799878135,34.452833799878135,34.452833799878135,i,0.3504194999113679,34.81939830002375,34.81939830002375,34.81939830002375,34.81939830002375,34.81939830002375,34.81939830002375,35.11926419986412,36.95200299983844,36.95200299983844,36.95200299983844,36.95200299983844,36.95200299983844,36.95200299983844,36.95200299983844,36.95200299983844,36.95200299983844,36.95200299983844,36.95200299983844,36.95200299983844,36.95200299983844,36.95200299983844,39.08348779985681,39.08348779985681,39.08348779985681,39.08348779985681,39.08348779985681,39.08348779985681,39.08348779985681,53,44,35,55,35,60,39.08348779985681,40.917810099897906,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
39,37,60,57,0,3,3,3,,,,,,,,,,,None,40.917810099897906,40.917810099897906,40.917810099897906,40.917810099897906,40.917810099897906,40.917810099897906,j,0.261849399888888,41.20187469990924,41.20187469990924,41.20187469990924,41.20187469990924,41.20187469990924,41.20187469990924,41.485323099885136,43.05138730001636,43.05138730001636,43.05138730001636,43.05138730001636,43.05138730001636,43.05138730001636,43.03473039995879,43.05138730001636,43.05138730001636,43.05138730001636,43.05138730001636,43.05138730001636,43.05138730001636,43.05138730001636,44.89897649991326,44.89897649991326,44.89897649991326,44.89897649991326,44.89897649991326,44.89897649991326,44.89897649991326,60,37,39,57,57,60,44.89897649991326,46.684170299908146,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
48,44,51,58,0,4,4,4,,,,,,,,,,,None,46.684170299908146,46.684170299908146,46.684170299908146,46.684170299908146,46.684170299908146,46.684170299908146,j,0.30935560003854334,47.01773489988409,47.01773489988409,47.01773489988409,47.01773489988409,47.01773489988409,47.01773489988409,47.30104489997029,48.267114999936894,48.267114999936894,48.267114999936894,48.267114999936894,48.267114999936894,48.267114999936894,48.250453599961475,48.267114999936894,48.267114999936894,48.267114999936894,48.267114999936894,48.267114999936894,48.267114999936894,48.267114999936894,49.51526489993557,49.51526489993557,49.51526489993557,49.51526489993557,49.51526489993557,49.51526489993557,49.51526489993557,51,44,48,58,58,60,49.51526489993557,51.08277169987559,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
30,34,62,54,0,5,5,5,,,,,,,,,,,None,51.08277169987559,51.08277169987559,51.08277169987559,51.08277169987559,51.08277169987559,51.08277169987559,j,0.39338800008408725,51.5004040999338,51.5004040999338,51.5004040999338,51.5004040999338,51.5004040999338,51.5004040999338,51.78341609984636,53.69954359997064,53.69954359997064,53.69954359997064,53.69954359997064,53.69954359997064,53.69954359997064,53.68319329991937,53.69954359997064,53.69954359997064,53.69954359997064,53.69954359997064,53.69954359997064,53.69954359997064,53.69954359997064,55.897492199903354,55.897492199903354,55.897492199903354,55.897492199903354,55.897492199903354,55.897492199903354,55.897492199903354,62,34,30,54,54,60,55.897492199903354,57.84873239998706,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
32,38,53,59,0,6,6,6,,,,,,,,,,,None,57.84873239998706,57.84873239998706,57.84873239998706,57.84873239998706,57.84873239998706,57.84873239998706,f,0.3833273001946509,58.26544109988026,58.26544109988026,58.26544109988026,58.26544109988026,58.26544109988026,58.26544109988026,58.548811399843544,59.865004299907014,59.865004299907014,59.865004299907014,59.865004299907014,59.865004299907014,59.865004299907014,59.84823559992947,59.865004299907014,59.865004299907014,59.865004299907014,59.865004299907014,59.865004299907014,59.865004299907014,59.865004299907014,61.46357799996622,61.46357799996622,61.46357799996622,61.46357799996622,61.46357799996622,61.46357799996622,61.46357799996622,53,38,32,59,53,60,61.46357799996622,63.36479140003212,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
31,42,63,58,0,7,7,7,,,,,,,,,,,None,63.36479140003212,63.36479140003212,63.36479140003212,63.36479140003212,63.36479140003212,63.36479140003212,j,0.23808830021880567,63.632699199952185,63.632699199952185,63.632699199952185,63.632699199952185,63.632699199952185,63.632699199952185,63.914596599992365,65.01389339985326,65.01389339985326,65.01389339985326,65.01389339985326,65.01389339985326,65.01389339985326,64.99751090002246,65.01389339985326,65.01389339985326,65.01389339985326,65.01389339985326,65.01389339985326,65.01389339985326,65.01389339985326,66.39525369997136,66.39525369997136,66.39525369997136,66.39525369997136,66.39525369997136,66.39525369997136,66.39525369997136,63,42,31,58,58,60,66.39525369997136,68.26327460003085,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
32,47,58,60,0,8,8,8,,,,,,,,,,,None,68.26327460003085,68.26327460003085,68.26327460003085,68.26327460003085,68.26327460003085,68.26327460003085,f,0.2932969001121819,68.58084949990734,68.58084949990734,68.58084949990734,68.58084949990734,68.58084949990734,68.58084949990734,68.86390569992363,70.63003370002843,70.63003370002843,70.63003370002843,70.63003370002843,70.63003370002843,70.63003370002843,70.61306119989604,70.63003370002843,70.63003370002843,70.63003370002843,70.63003370002843,70.63003370002843,70.63003370002843,70.63003370002843,72.67794899991713,72.67794899991713,72.67794899991713,72.67794899991713,72.67794899991713,72.67794899991713,72.67794899991713,58,47,32,60,58,60,72.67794899991713,74.26187129993923,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
