arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,39.8514245999977,39.8514245999977,space,6.3695301999978255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
32,41,57,55,0,0,0,0,,,,,46.2405851999938,46.2405851999938,51.239836099994136,51.239836099994136,51.239836099994136,52.24169309998979,None,52.24169309998979,52.24169309998979,52.24169309998979,52.24169309998979,52.24169309998979,52.24169309998979,f,1.4312694999971427,53.693320499995025,53.693320499995025,53.693320499995025,53.693320499995025,53.693320499995025,53.693320499995025,53.99978260000353,55.83572279999498,55.83572279999498,55.83572279999498,55.83572279999498,55.83572279999498,55.83572279999498,55.83572279999498,55.83572279999498,55.83572279999498,55.83572279999498,55.83572279999498,55.83572279999498,55.83572279999498,55.83572279999498,58.016280799987726,58.016280799987726,58.016280799987726,58.016280799987726,58.016280799987726,58.016280799987726,58.016280799987726,57,32,55,41,57,70,58.016280799987726,59.773171000008006,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
34,23,64,60,0,1,1,1,,,,,,,,,,,None,59.773171000008006,59.773171000008006,59.773171000008006,59.773171000008006,59.773171000008006,59.773171000008006,i,1.1074322999920696,60.90656430000672,60.90656430000672,60.90656430000672,60.90656430000672,60.90656430000672,60.90656430000672,61.189790000003995,62.891058100009104,62.891058100009104,62.891058100009104,62.891058100009104,62.891058100009104,62.891058100009104,62.87315899998066,62.891058100009104,62.891058100009104,62.891058100009104,62.891058100009104,62.891058100009104,62.891058100009104,62.891058100009104,64.87082759998157,64.87082759998157,64.87082759998157,64.87082759998157,64.87082759998157,64.87082759998157,64.87082759998157,64,34,60,23,60,70,64.87082759998157,66.52186859998619,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
34,35,44,64,0,2,2,2,,,,,,,,,,,None,66.52186859998619,66.52186859998619,66.52186859998619,66.52186859998619,66.52186859998619,66.52186859998619,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,34,64,35,0,70,74.03565269999672,75.75383589998819,68.02261079999153,68.02261079999153,68.02261079999153,68.02261079999153,68.02261079999153,68.02261079999153,68.02261079999153,74.03565269999672,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
45,32,57,55,0,3,3,3,,,,,,,,,,,None,75.75383589998819,75.75383589998819,75.75383589998819,75.75383589998819,75.75383589998819,75.75383589998819,j,0.5215167000133079,76.30502569998498,76.30502569998498,76.30502569998498,76.30502569998498,76.30502569998498,76.30502569998498,76.6038636000012,78.46973270000308,78.46973270000308,78.46973270000308,78.46973270000308,78.46973270000308,78.46973270000308,78.46973270000308,78.46973270000308,78.46973270000308,78.46973270000308,78.46973270000308,78.46973270000308,78.46973270000308,78.46973270000308,80.63500720000593,80.63500720000593,80.63500720000593,80.63500720000593,80.63500720000593,80.63500720000593,80.63500720000593,57,45,55,32,32,70,80.63500720000593,82.2693239999935,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
29,41,51,50,0,4,4,4,,,,,,,,,,,None,82.2693239999935,82.2693239999935,82.2693239999935,82.2693239999935,82.2693239999935,82.2693239999935,r,0.47922229999676347,82.77633210000931,82.77633210000931,82.77633210000931,82.77633210000931,82.77633210000931,82.77633210000931,83.06947049999144,84.93529809999745,84.93529809999745,84.93529809999745,84.93529809999745,84.93529809999745,84.93529809999745,84.91912509998656,84.93529809999745,84.93529809999745,84.93529809999745,84.93529809999745,84.93529809999745,84.93529809999745,84.93529809999745,87.08377759999712,87.08377759999712,87.08377759999712,87.08377759999712,87.08377759999712,87.08377759999712,87.08377759999712,51,29,50,41,29,70,87.08377759999712,88.9014337999979,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
29,32,53,55,0,5,5,5,,,,,,,,,,,None,88.9014337999979,88.9014337999979,88.9014337999979,88.9014337999979,88.9014337999979,88.9014337999979,f,0.8675382999936119,89.81467289998545,89.81467289998545,89.81467289998545,89.81467289998545,89.81467289998545,89.81467289998545,90.08479039999656,91.93408619999536,91.93408619999536,91.93408619999536,91.93408619999536,91.93408619999536,91.93408619999536,91.90071469999384,91.93408619999536,91.93408619999536,91.93408619999536,91.93408619999536,91.93408619999536,91.93408619999536,91.93408619999536,94.04913649999071,94.04913649999071,94.04913649999071,94.04913649999071,94.04913649999071,94.04913649999071,94.04913649999071,53,29,55,32,53,70,94.04913649999071,95.81642270000884,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
30,33,47,54,0,6,6,6,,,,,,,,,,,None,95.81642270000884,95.81642270000884,95.81642270000884,95.81642270000884,95.81642270000884,95.81642270000884,j,0.6674996000074316,96.5203152000031,96.5203152000031,96.5203152000031,96.5203152000031,96.5203152000031,96.5203152000031,96.80047280000872,98.15020030000596,98.15020030000596,98.15020030000596,98.15020030000596,98.15020030000596,98.15020030000596,98.13371940000798,98.15020030000596,98.15020030000596,98.15020030000596,98.15020030000596,98.15020030000596,98.15020030000596,98.15020030000596,99.78124919999391,99.78124919999391,99.78124919999391,99.78124919999391,99.78124919999391,99.78124919999391,99.78124919999391,47,30,54,33,33,70,99.78124919999391,101.38281660000212,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
33,38,39,52,0,7,7,7,,,,,,,,,,,None,101.38281660000212,101.38281660000212,101.38281660000212,101.38281660000212,101.38281660000212,101.38281660000212,i,0.6741144999978133,102.0863362000091,102.0863362000091,102.0863362000091,102.0863362000091,102.0863362000091,102.0863362000091,102.38279089998105,104.34875129998545,104.34875129998545,104.34875129998545,104.34875129998545,104.34875129998545,104.34875129998545,104.34875129998545,104.34875129998545,104.34875129998545,104.34875129998545,104.34875129998545,104.34875129998545,104.34875129998545,104.34875129998545,106.6137449000089,106.6137449000089,106.6137449000089,106.6137449000089,106.6137449000089,106.6137449000089,106.6137449000089,39,33,52,38,52,70,106.6137449000089,108.26425229999586,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
24,46,52,56,0,8,8,8,,,,,,,,,,,None,108.26425229999586,108.26425229999586,108.26425229999586,108.26425229999586,108.26425229999586,108.26425229999586,f,0.5344784000189975,108.83459359998233,108.83459359998233,108.83459359998233,108.83459359998233,108.83459359998233,108.83459359998233,109.13156770000933,110.64803419998498,110.64803419998498,110.64803419998498,110.64803419998498,110.64803419998498,110.64803419998498,110.63161429998581,110.64803419998498,110.64803419998498,110.64803419998498,110.64803419998498,110.64803419998498,110.64803419998498,110.64803419998498,112.44568010000512,112.44568010000512,112.44568010000512,112.44568010000512,112.44568010000512,112.44568010000512,112.44568010000512,52,24,56,46,52,70,112.44568010000512,114.19642999998177,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
