arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,13.002476600000591,13.002476600000591,space,15.942019000000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３２０,f,２３,2023-05-19_11h29.48.931,RL,2022.2.5,60.059663269326094,
35,45,70,58,0,0,0,0,,,,,28.969901300000856,28.969901300000856,33.96956130000035,33.96956130000035,33.96956130000035,34.9721669999999,None,34.9721669999999,34.9721669999999,34.9721669999999,34.9721669999999,34.9721669999999,34.9721669999999,r,0.7017448999995395,35.713729900000544,35.713729900000544,35.713729900000544,35.713729900000544,35.713729900000544,35.713729900000544,35.98870259999967,37.80794070000047,37.828787500000544,37.828787500000544,37.828787500000544,37.828787500000544,37.828787500000544,37.828787500000544,37.828787500000544,37.828787500000544,37.828787500000544,37.828787500000544,37.828787500000544,37.828787500000544,37.828787500000544,39.99686440000005,39.99686440000005,39.99686440000005,39.99686440000005,39.99686440000005,39.99686440000005,39.99686440000005,70,35,45,58,35,70,39.99686440000005,41.753040800000235,,,,,,,,,,,,,,,,,,,,３２０,f,２３,2023-05-19_11h29.48.931,RL,2022.2.5,60.059663269326094,
30,45,71,68,0,1,1,1,,,,,,,,,,,None,41.753040800000235,41.753040800000235,41.753040800000235,41.753040800000235,41.753040800000235,41.753040800000235,r,0.6904615000003105,42.47186260000126,42.47186260000126,42.47186260000126,42.47186260000126,42.47186260000126,42.47186260000126,42.769718999999895,43.60305080000035,43.60305080000035,43.60305080000035,43.60305080000035,43.60305080000035,43.60305080000035,43.60305080000035,43.60305080000035,43.60305080000035,43.60305080000035,43.60305080000035,43.60305080000035,43.60305080000035,43.60305080000035,44.73425359999965,44.73425359999965,44.73425359999965,44.73425359999965,44.73425359999965,44.73425359999965,44.73425359999965,71,30,45,68,30,70,44.73425359999965,46.552290900001026,,,,,,,,,,,,,,,,,,,,３２０,f,２３,2023-05-19_11h29.48.931,RL,2022.2.5,60.059663269326094,
27,51,56,60,0,2,2,2,,,,,,,,,,,None,46.552290900001026,46.552290900001026,46.552290900001026,46.552290900001026,46.552290900001026,46.552290900001026,j,1.1861480999996274,47.7738532000003,47.7738532000003,47.7738532000003,47.7738532000003,47.7738532000003,47.7738532000003,48.068747900000744,49.851697899999635,49.851697899999635,49.851697899999635,49.851697899999635,49.851697899999635,49.851697899999635,49.851697899999635,49.851697899999635,49.851697899999635,49.851697899999635,49.851697899999635,49.851697899999635,49.851697899999635,49.851697899999635,51.932912100000976,51.932912100000976,51.932912100000976,51.932912100000976,51.932912100000976,51.932912100000976,51.932912100000976,56,27,51,60,60,70,51.932912100000976,53.6509115000008,,,,,,,,,,,,,,,,,,,,３２０,f,２３,2023-05-19_11h29.48.931,RL,2022.2.5,60.059663269326094,
25,42,68,58,0,3,3,3,,,,,,,,,,,None,53.6509115000008,53.6509115000008,53.6509115000008,53.6509115000008,53.6509115000008,53.6509115000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,25,42,58,0,70,61.1645337000009,62.84969450000062,55.15123029999995,55.15123029999995,55.15123029999995,55.15123029999995,55.15123029999995,55.15123029999995,55.15123029999995,61.1645337000009,,,,,,,,,,,,３２０,f,２３,2023-05-19_11h29.48.931,RL,2022.2.5,60.059663269326094,
27,43,64,57,0,4,4,4,,,,,,,,,,,None,62.84969450000062,62.84969450000062,62.84969450000062,62.84969450000062,62.84969450000062,62.84969450000062,f,0.3213294000015594,63.20019880000109,63.20019880000109,63.20019880000109,63.20019880000109,63.20019880000109,63.20019880000109,63.49939670000094,64.59905869999966,64.59905869999966,64.59905869999966,64.59905869999966,64.59905869999966,64.59905869999966,64.59905869999966,64.59905869999966,64.59905869999966,64.59905869999966,64.59905869999966,64.59905869999966,64.59905869999966,64.59905869999966,65.99769560000095,65.99769560000095,65.99769560000095,65.99769560000095,65.99769560000095,65.99769560000095,65.99769560000095,64,27,43,57,64,70,65.99769560000095,67.76522470000054,,,,,,,,,,,,,,,,,,,,３２０,f,２３,2023-05-19_11h29.48.931,RL,2022.2.5,60.059663269326094,
35,44,66,63,0,5,5,5,,,,,,,,,,,None,67.76522470000054,67.76522470000054,67.76522470000054,67.76522470000054,67.76522470000054,67.76522470000054,i,0.3326008999993064,68.11706480000066,68.11706480000066,68.11706480000066,68.11706480000066,68.11706480000066,68.11706480000066,68.41536550000092,69.41510019999987,69.41510019999987,69.41510019999987,69.41510019999987,69.41510019999987,69.41510019999987,69.41510019999987,69.41510019999987,69.41510019999987,69.41510019999987,69.41510019999987,69.41510019999987,69.41510019999987,69.41510019999987,70.71311310000056,70.71311310000056,70.71311310000056,70.71311310000056,70.71311310000056,70.71311310000056,70.71311310000056,66,35,44,63,44,70,70.71311310000056,72.58118529999956,,,,,,,,,,,,,,,,,,,,３２０,f,２３,2023-05-19_11h29.48.931,RL,2022.2.5,60.059663269326094,
34,44,56,66,0,6,6,6,,,,,,,,,,,None,72.58118529999956,72.58118529999956,72.58118529999956,72.58118529999956,72.58118529999956,72.58118529999956,f,0.49338799999895855,73.09802010000021,73.09802010000021,73.09802010000021,73.09802010000021,73.09802010000021,73.09802010000021,73.38138980000076,74.3815212999998,74.397994500001,74.397994500001,74.397994500001,74.397994500001,74.397994500001,74.397994500001,74.397994500001,74.397994500001,74.397994500001,74.397994500001,74.397994500001,74.397994500001,74.397994500001,75.69512060000125,75.69512060000125,75.69512060000125,75.69512060000125,75.69512060000125,75.69512060000125,75.69512060000125,56,34,44,66,56,70,75.69512060000125,77.3468367000005,,,,,,,,,,,,,,,,,,,,３２０,f,２３,2023-05-19_11h29.48.931,RL,2022.2.5,60.059663269326094,
30,46,54,64,0,7,7,7,,,,,,,,,,,None,77.3468367000005,77.3468367000005,77.3468367000005,77.3468367000005,77.3468367000005,77.3468367000005,j,0.502658600000359,77.88125140000011,77.88125140000011,77.88125140000011,77.88125140000011,77.88125140000011,77.88125140000011,78.16383630000018,79.71313270000064,79.73002070000075,79.73002070000075,79.73002070000075,79.73002070000075,79.73002070000075,79.73002070000075,79.73002070000075,79.73002070000075,79.73002070000075,79.73002070000075,79.73002070000075,79.73002070000075,79.73002070000075,81.57774280000012,81.57774280000012,81.57774280000012,81.57774280000012,81.57774280000012,81.57774280000012,81.57774280000012,54,30,46,64,64,70,81.57774280000012,83.19542290000027,,,,,,,,,,,,,,,,,,,,３２０,f,２３,2023-05-19_11h29.48.931,RL,2022.2.5,60.059663269326094,
41,41,56,67,0,8,8,8,,,,,,,,,,,None,83.19542290000027,83.19542290000027,83.19542290000027,83.19542290000027,83.19542290000027,83.19542290000027,f,0.5606987999999546,83.77932780000083,83.77932780000083,83.77932780000083,83.77932780000083,83.77932780000083,83.77932780000083,84.06272480000007,85.47906370000055,85.49580810000043,85.49580810000043,85.49580810000043,85.49580810000043,85.49580810000043,85.49580810000043,85.49580810000043,85.49580810000043,85.49580810000043,85.49580810000043,85.49580810000043,85.49580810000043,85.49580810000043,87.20995680000124,87.20995680000124,87.20995680000124,87.20995680000124,87.20995680000124,87.20995680000124,87.20995680000124,56,41,41,67,56,70,87.20995680000124,89.1277925000013,,,,,,,,,,,,,,,,,,,,３２０,f,２３,2023-05-19_11h29.48.931,RL,2022.2.5,60.059663269326094,
