arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,28.759507499984466,28.759507499984466,space,15.169717199984007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３４４,f,２２,2023-05-21_17h06.50.632,RL,2022.2.5,60.03125227378725,
41,53,55,72,0,0,0,0,,,,,43.96271610000986,43.96271610000986,48.97150029998738,None,49.97335710001062,49.97335710001062,49.97335710001062,49.97335710001062,49.97335710001062,49.97335710001062,i,0.6397373999934644,50.64657320000697,50.64657320000697,50.64657320000697,50.64657320000697,50.64657320000697,50.64657320000697,50.94038320000982,52.808694999985164,52.82991609998862,52.82991609998862,52.82991609998862,52.82991609998862,52.82991609998862,52.82991609998862,52.82991609998862,52.82991609998862,52.82991609998862,52.82991609998862,52.82991609998862,52.82991609998862,52.82991609998862,55.049351099994965,55.049351099994965,55.049351099994965,55.049351099994965,55.049351099994965,55.049351099994965,55.049351099994965,41,53,72,55,72,70,55.049351099994965,56.90483729998232,,,,,,,,,,,,３４４,f,２２,2023-05-21_17h06.50.632,RL,2022.2.5,60.03125227378725,
38,44,50,69,0,1,1,1,,,,,,,,None,56.90483729998232,56.90483729998232,56.90483729998232,56.90483729998232,56.90483729998232,56.90483729998232,f,0.43198470000061207,57.355105199996615,57.355105199996615,57.355105199996615,57.355105199996615,57.355105199996615,57.355105199996615,57.638217300002,59.00459930000943,59.021412800007965,59.021412800007965,59.021412800007965,59.021412800007965,59.021412800007965,59.021412800007965,59.021412800007965,59.021412800007965,59.021412800007965,59.021412800007965,59.021412800007965,59.021412800007965,59.021412800007965,60.68594190001022,60.68594190001022,60.68594190001022,60.68594190001022,60.68594190001022,60.68594190001022,60.68594190001022,38,44,69,50,38,70,60.68594190001022,62.603590299986536,,,,,,,,,,,,３４４,f,２２,2023-05-21_17h06.50.632,RL,2022.2.5,60.03125227378725,
35,45,49,67,0,2,2,2,,,,,,,,None,62.603590299986536,62.603590299986536,62.603590299986536,62.603590299986536,62.603590299986536,62.603590299986536,j,0.46524520000093617,63.08777630000259,63.08777630000259,63.08777630000259,63.08777630000259,63.08777630000259,63.08777630000259,63.37062179998611,65.05397350000567,65.06987459998345,65.06987459998345,65.06987459998345,65.06987459998345,65.06987459998345,65.06987459998345,65.06987459998345,65.06987459998345,65.06987459998345,65.06987459998345,65.06987459998345,65.06987459998345,65.06987459998345,67.05131750000874,67.05131750000874,67.05131750000874,67.05131750000874,67.05131750000874,67.05131750000874,67.05131750000874,35,45,67,49,49,70,67.05131750000874,68.6028532999917,,,,,,,,,,,,３４４,f,２２,2023-05-21_17h06.50.632,RL,2022.2.5,60.03125227378725,
34,53,46,76,0,3,3,3,,,,,,,,None,68.6028532999917,68.6028532999917,68.6028532999917,68.6028532999917,68.6028532999917,68.6028532999917,i,0.3675642999878619,69.00793039999553,69.00793039999553,69.00793039999553,69.00793039999553,69.00793039999553,69.00793039999553,69.28644369999529,70.25303990000975,70.28604829998221,70.28604829998221,70.28604829998221,70.28604829998221,70.28604829998221,70.28604829998221,70.28604829998221,70.28604829998221,70.28604829998221,70.28604829998221,70.28604829998221,70.28604829998221,70.28604829998221,71.55069589999039,71.55069589999039,71.55069589999039,71.55069589999039,71.55069589999039,71.55069589999039,71.55069589999039,34,53,76,46,76,70,71.55069589999039,73.26879370000097,,,,,,,,,,,,３４４,f,２２,2023-05-21_17h06.50.632,RL,2022.2.5,60.03125227378725,
36,49,58,65,0,4,4,4,,,,,,,,None,73.26879370000097,73.26879370000097,73.26879370000097,73.26879370000097,73.26879370000097,73.26879370000097,i,0.5762647000083234,73.868916300009,73.868916300009,73.868916300009,73.868916300009,73.868916300009,73.868916300009,74.15208359999815,75.98532760000671,76.00169919998734,76.00169919998734,76.00169919998734,76.00169919998734,76.00169919998734,76.00169919998734,76.00169919998734,76.00169919998734,76.00169919998734,76.00169919998734,76.00169919998734,76.00169919998734,76.00169919998734,78.13277769999695,78.13277769999695,78.13277769999695,78.13277769999695,78.13277769999695,78.13277769999695,78.13277769999695,36,49,65,58,65,70,78.13277769999695,79.9508155999938,,,,,,,,,,,,３４４,f,２２,2023-05-21_17h06.50.632,RL,2022.2.5,60.03125227378725,
23,53,59,68,0,5,5,5,,,,,,,,None,79.9508155999938,79.9508155999938,79.9508155999938,79.9508155999938,79.9508155999938,79.9508155999938,i,0.4601647999952547,80.4345142999955,80.4345142999955,80.4345142999955,80.4345142999955,80.4345142999955,80.4345142999955,80.71782250000979,82.63431249998393,82.65058220000356,82.65058220000356,82.65058220000356,82.65058220000356,82.65058220000356,82.65058220000356,82.65058220000356,82.65058220000356,82.65058220000356,82.65058220000356,82.65058220000356,82.65058220000356,82.65058220000356,84.86517790000653,84.86517790000653,84.86517790000653,84.86517790000653,84.86517790000653,84.86517790000653,84.86517790000653,23,53,68,59,68,70,84.86517790000653,86.43299050000496,,,,,,,,,,,,３４４,f,２２,2023-05-21_17h06.50.632,RL,2022.2.5,60.03125227378725,
34,49,54,68,0,6,6,6,,,,,,,,None,86.43299050000496,86.43299050000496,86.43299050000496,86.43299050000496,86.43299050000496,86.43299050000496,i,0.2792702000006102,86.73410080000758,86.73410080000758,86.73410080000758,86.73410080000758,86.73410080000758,86.73410080000758,87.0331576000026,88.68282809999073,88.68282809999073,88.68282809999073,88.68282809999073,88.68282809999073,88.68282809999073,88.68282809999073,88.68282809999073,88.68282809999073,88.68282809999073,88.68282809999073,88.68282809999073,88.68282809999073,88.68282809999073,90.6306968999852,90.6306968999852,90.6306968999852,90.6306968999852,90.6306968999852,90.6306968999852,90.6306968999852,34,49,68,54,68,70,90.6306968999852,92.3316899999918,,,,,,,,,,,,３４４,f,２２,2023-05-21_17h06.50.632,RL,2022.2.5,60.03125227378725,
26,49,57,60,0,7,7,7,,,,,,,,None,92.3316899999918,92.3316899999918,92.3316899999918,92.3316899999918,92.3316899999918,92.3316899999918,i,0.32274790000519715,92.6825283000071,92.6825283000071,92.6825283000071,92.6825283000071,92.6825283000071,92.6825283000071,92.9654395999969,94.13222669999232,94.14827879998484,94.14827879998484,94.14827879998484,94.14827879998484,94.14827879998484,94.14827879998484,94.14827879998484,94.14827879998484,94.14827879998484,94.14827879998484,94.14827879998484,94.14827879998484,94.14827879998484,95.61363889998756,95.61363889998756,95.61363889998756,95.61363889998756,95.61363889998756,95.61363889998756,95.61363889998756,26,49,60,57,60,70,95.61363889998756,97.4810244999826,,,,,,,,,,,,３４４,f,２２,2023-05-21_17h06.50.632,RL,2022.2.5,60.03125227378725,
22,55,53,58,0,8,8,8,,,,,,,,None,97.4810244999826,97.4810244999826,97.4810244999826,97.4810244999826,97.4810244999826,97.4810244999826,i,0.3759381999843754,97.8819216999982,97.8819216999982,97.8819216999982,97.8819216999982,97.8819216999982,97.8819216999982,98.1645118999877,99.41434439999284,99.431018400006,99.431018400006,99.431018400006,99.431018400006,99.431018400006,99.431018400006,99.431018400006,99.431018400006,99.431018400006,99.431018400006,99.431018400006,99.431018400006,99.431018400006,100.97889410000062,100.97889410000062,100.97889410000062,100.97889410000062,100.97889410000062,100.97889410000062,100.97889410000062,22,55,58,53,58,70,100.97889410000062,102.49682989998837,,,,,,,,,,,,３４４,f,２２,2023-05-21_17h06.50.632,RL,2022.2.5,60.03125227378725,
