arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.52245150017552,20.52245150017552,space,6.57912000012584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
30,27,51,62,0,0,0,0,,,,,27.143178600119427,27.143178600119427,32.14504040009342,None,33.14652539999224,33.14652539999224,33.14652539999224,33.14652539999224,33.14652539999224,33.14652539999224,r,0.3743326999247074,33.5537847999949,33.5537847999949,33.5537847999949,33.5537847999949,33.5537847999949,33.5537847999949,33.846575299976394,35.347261500079185,35.347261500079185,35.347261500079185,35.347261500079185,35.347261500079185,35.347261500079185,35.347261500079185,35.347261500079185,35.347261500079185,35.347261500079185,35.347261500079185,35.347261500079185,35.347261500079185,35.347261500079185,37.20071260002442,37.20071260002442,37.20071260002442,37.20071260002442,37.20071260002442,37.20071260002442,37.20071260002442,27,51,30,62,51,70,37.20071260002442,38.72885569999926,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
39,46,54,58,0,1,1,1,,,,,,,,None,38.72885569999926,38.72885569999926,38.72885569999926,38.72885569999926,38.72885569999926,38.72885569999926,f,0.3132241000421345,39.063299200031906,39.063299200031906,39.063299200031906,39.063299200031906,39.063299200031906,39.063299200031906,39.346093400148675,40.396300200140104,40.396300200140104,40.396300200140104,40.396300200140104,40.396300200140104,40.396300200140104,40.37926940014586,40.396300200140104,40.396300200140104,40.396300200140104,40.396300200140104,40.396300200140104,40.396300200140104,40.396300200140104,41.72712770011276,41.72712770011276,41.72712770011276,41.72712770011276,41.72712770011276,41.72712770011276,41.72712770011276,46,54,39,58,46,70,41.72712770011276,43.29472970007919,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
35,44,53,55,0,2,2,2,,,,,,,,None,43.29472970007919,43.29472970007919,43.29472970007919,43.29472970007919,43.29472970007919,43.29472970007919,r,0.27309200004674494,43.595013400074095,43.595013400074095,43.595013400074095,43.595013400074095,43.595013400074095,43.595013400074095,43.87885470013134,45.77746420004405,45.77746420004405,45.77746420004405,45.77746420004405,45.77746420004405,45.77746420004405,45.7613061000593,45.77746420004405,45.77746420004405,45.77746420004405,45.77746420004405,45.77746420004405,45.77746420004405,45.77746420004405,47.959569100057706,47.959569100057706,47.959569100057706,47.959569100057706,47.959569100057706,47.959569100057706,47.959569100057706,44,53,35,55,53,70,47.959569100057706,49.8434582001064,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
39,37,60,57,0,3,3,3,,,,,,,,None,49.8434582001064,49.8434582001064,49.8434582001064,49.8434582001064,49.8434582001064,49.8434582001064,i,0.32635070011019707,50.194012799998745,50.194012799998745,50.194012799998745,50.194012799998745,50.194012799998745,50.194012799998745,50.494088100036606,52.25999450008385,52.25999450008385,52.25999450008385,52.25999450008385,52.25999450008385,52.25999450008385,52.25999450008385,52.25999450008385,52.25999450008385,52.25999450008385,52.25999450008385,52.25999450008385,52.25999450008385,52.25999450008385,54.325119300046936,54.325119300046936,54.325119300046936,54.325119300046936,54.325119300046936,54.325119300046936,54.325119300046936,37,60,39,57,39,70,54.325119300046936,55.84254680015147,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
48,44,51,58,0,4,4,4,,,,,,,,None,55.84254680015147,55.84254680015147,55.84254680015147,55.84254680015147,55.84254680015147,55.84254680015147,j,0.2536673001013696,56.12608060007915,56.12608060007915,56.12608060007915,56.12608060007915,56.12608060007915,56.12608060007915,56.4265378001146,57.442150300135836,57.442150300135836,57.442150300135836,57.442150300135836,57.442150300135836,57.442150300135836,57.442150300135836,57.442150300135836,57.442150300135836,57.442150300135836,57.442150300135836,57.442150300135836,57.442150300135836,57.442150300135836,58.757366500096396,58.757366500096396,58.757366500096396,58.757366500096396,58.757366500096396,58.757366500096396,58.757366500096396,44,51,48,58,58,70,58.757366500096396,60.658163600135595,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
30,34,62,54,0,5,5,5,,,,,,,,None,60.658163600135595,60.658163600135595,60.658163600135595,60.658163600135595,60.658163600135595,60.658163600135595,r,0.28783320006914437,60.97554240003228,60.97554240003228,60.97554240003228,60.97554240003228,60.97554240003228,60.97554240003228,61.25909100007266,63.14153080014512,63.14153080014512,63.14153080014512,63.14153080014512,63.14153080014512,63.14153080014512,63.12528200005181,63.14153080014512,63.14153080014512,63.14153080014512,63.14153080014512,63.14153080014512,63.14153080014512,63.14153080014512,65.30644880002365,65.30644880002365,65.30644880002365,65.30644880002365,65.30644880002365,65.30644880002365,65.30644880002365,34,62,30,54,62,70,65.30644880002365,67.05702219996601,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
32,38,53,59,0,6,6,6,,,,,,,,None,67.05702219996601,67.05702219996601,67.05702219996601,67.05702219996601,67.05702219996601,67.05702219996601,i,0.2886729999445379,67.37428760016337,67.37428760016337,67.37428760016337,67.37428760016337,67.37428760016337,67.37428760016337,67.67377620004117,69.1401133001782,69.1401133001782,69.1401133001782,69.1401133001782,69.1401133001782,69.1401133001782,69.1401133001782,69.1401133001782,69.1401133001782,69.1401133001782,69.1401133001782,69.1401133001782,69.1401133001782,69.1401133001782,70.90519890002906,70.90519890002906,70.90519890002906,70.90519890002906,70.90519890002906,70.90519890002906,70.90519890002906,38,53,32,59,32,70,70.90519890002906,72.88936090003699,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
31,42,63,58,0,7,7,7,,,,,,,,None,72.88936090003699,72.88936090003699,72.88936090003699,72.88936090003699,72.88936090003699,72.88936090003699,j,0.8340754001401365,73.76271630008705,73.76271630008705,73.76271630008705,73.76271630008705,73.76271630008705,73.76271630008705,74.05662459996529,75.72253919998184,75.72253919998184,75.72253919998184,75.72253919998184,75.72253919998184,75.72253919998184,75.72253919998184,75.72253919998184,75.72253919998184,75.72253919998184,75.72253919998184,75.72253919998184,75.72253919998184,75.72253919998184,77.68731379997917,77.68731379997917,77.68731379997917,77.68731379997917,77.68731379997917,77.68731379997917,77.68731379997917,42,63,31,58,58,70,77.68731379997917,79.27181060006842,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
32,47,58,60,0,8,8,8,,,,,,,,None,79.27181060006842,79.27181060006842,79.27181060006842,79.27181060006842,79.27181060006842,79.27181060006842,r,0.26304290001280606,79.55621569999494,79.55621569999494,79.55621569999494,79.55621569999494,79.55621569999494,79.55621569999494,79.83869340014644,81.45489670010284,81.45489670010284,81.45489670010284,81.45489670010284,81.45489670010284,81.45489670010284,81.43833580007777,81.45489670010284,81.45489670010284,81.45489670010284,81.45489670010284,81.45489670010284,81.45489670010284,81.45489670010284,83.35340010002255,83.35340010002255,83.35340010002255,83.35340010002255,83.35340010002255,83.35340010002255,83.35340010002255,47,58,32,60,58,70,83.35340010002255,84.93782940017991,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
