arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.323123999987729,15.323123999987729,space,5.556507300003432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３３７,f,２９,2023-05-21_12h05.19.207,RL,2022.2.5,59.9940845766311,
29,37,64,55,0,0,0,0,,,,,20.895123299997067,20.895123299997067,25.894335899996804,25.894335899996804,25.894335899996804,26.900108599977102,None,26.900108599977102,26.900108599977102,26.900108599977102,26.900108599977102,26.900108599977102,26.900108599977102,r,0.27743529999861494,27.20052119999309,27.20052119999309,27.20052119999309,27.20052119999309,27.20052119999309,27.20052119999309,27.528089999977965,28.665471799991792,28.665471799991792,28.665471799991792,28.665471799991792,28.665471799991792,28.665471799991792,28.703410899994196,28.703410899994196,28.703410899994196,28.703410899994196,28.703410899994196,28.703410899994196,28.703410899994196,28.703410899994196,30.212314100004733,30.212314100004733,30.212314100004733,30.212314100004733,30.212314100004733,30.212314100004733,30.212314100004733,29,55,64,37,55,60,30.212314100004733,31.77831839999999,,,,,,,,,,,,,,,,,,,,３３７,f,２９,2023-05-21_12h05.19.207,RL,2022.2.5,59.9940845766311,
34,49,68,59,0,1,1,1,,,,,,,,,,,None,31.77831839999999,31.77831839999999,31.77831839999999,31.77831839999999,31.77831839999999,31.77831839999999,j,0.4089201000169851,32.2119987999904,32.2119987999904,32.2119987999904,32.2119987999904,32.2119987999904,32.2119987999904,32.49499409997952,33.761078099982115,33.761078099982115,33.761078099982115,33.761078099982115,33.761078099982115,33.761078099982115,33.7448277999938,33.761078099982115,33.761078099982115,33.761078099982115,33.761078099982115,33.761078099982115,33.761078099982115,33.761078099982115,35.30981859998428,35.30981859998428,35.30981859998428,35.30981859998428,35.30981859998428,35.30981859998428,35.30981859998428,34,59,68,49,49,60,35.30981859998428,37.21054919998278,,,,,,,,,,,,,,,,,,,,３３７,f,２９,2023-05-21_12h05.19.207,RL,2022.2.5,59.9940845766311,
30,39,58,51,0,2,2,2,,,,,,,,,,,None,37.21054919998278,37.21054919998278,37.21054919998278,37.21054919998278,37.21054919998278,37.21054919998278,r,0.6268967999785673,37.86106739999377,37.86106739999377,37.86106739999377,37.86106739999377,37.86106739999377,37.86106739999377,38.14436299999943,40.04393309997977,40.04393309997977,40.04393309997977,40.04393309997977,40.04393309997977,40.04393309997977,40.02749899998889,40.04393309997977,40.04393309997977,40.04393309997977,40.04393309997977,40.04393309997977,40.04393309997977,40.04393309997977,42.22544769998058,42.22544769998058,42.22544769998058,42.22544769998058,42.22544769998058,42.22544769998058,42.22544769998058,30,51,58,39,51,60,42.22544769998058,44.00951279999572,,,,,,,,,,,,,,,,,,,,３３７,f,２９,2023-05-21_12h05.19.207,RL,2022.2.5,59.9940845766311,
32,43,54,72,0,3,3,3,,,,,,,,,,,None,44.00951279999572,44.00951279999572,44.00951279999572,44.00951279999572,44.00951279999572,44.00951279999572,j,0.4494739000219852,44.476929700002074,44.476929700002074,44.476929700002074,44.476929700002074,44.476929700002074,44.476929700002074,44.7600007999863,46.209102599998005,46.209102599998005,46.209102599998005,46.209102599998005,46.209102599998005,46.209102599998005,46.19252029998461,46.209102599998005,46.209102599998005,46.209102599998005,46.209102599998005,46.209102599998005,46.209102599998005,46.209102599998005,47.94095809999271,47.94095809999271,47.94095809999271,47.94095809999271,47.94095809999271,47.94095809999271,47.94095809999271,32,72,54,43,43,60,47.94095809999271,49.891893699998036,,,,,,,,,,,,,,,,,,,,３３７,f,２９,2023-05-21_12h05.19.207,RL,2022.2.5,59.9940845766311,
28,36,49,61,0,4,4,4,,,,,,,,,,,None,49.891893699998036,49.891893699998036,49.891893699998036,49.891893699998036,49.891893699998036,49.891893699998036,i,0.2864343000110239,50.21252159998403,50.21252159998403,50.21252159998403,50.21252159998403,50.21252159998403,50.21252159998403,50.49182639998617,51.658359900000505,51.658359900000505,51.658359900000505,51.658359900000505,51.658359900000505,51.658359900000505,51.64190519999829,51.658359900000505,51.658359900000505,51.658359900000505,51.658359900000505,51.658359900000505,51.658359900000505,51.658359900000505,53.10624459999963,53.10624459999963,53.10624459999963,53.10624459999963,53.10624459999963,53.10624459999963,53.10624459999963,28,61,49,36,49,60,53.10624459999963,55.0909898999962,,,,,,,,,,,,,,,,,,,,３３７,f,２９,2023-05-21_12h05.19.207,RL,2022.2.5,59.9940845766311,
20,39,51,62,0,5,5,5,,,,,,,,,,,None,55.0909898999962,55.0909898999962,55.0909898999962,55.0909898999962,55.0909898999962,55.0909898999962,f,0.39338509997469373,55.50804699998116,55.50804699998116,55.50804699998116,55.50804699998116,55.50804699998116,55.50804699998116,55.79096990000107,56.99039999998058,56.99039999998058,56.99039999998058,56.99039999998058,56.99039999998058,56.99039999998058,56.9744781999907,56.99039999998058,56.99039999998058,56.99039999998058,56.99039999998058,56.99039999998058,56.99039999998058,56.99039999998058,58.472148999979254,58.472148999979254,58.472148999979254,58.472148999979254,58.472148999979254,58.472148999979254,58.472148999979254,20,62,51,39,20,60,58.472148999979254,60.43973329997971,,,,,,,,,,,,,,,,,,,,３３７,f,２９,2023-05-21_12h05.19.207,RL,2022.2.5,59.9940845766311,
28,35,39,56,0,6,6,6,,,,,,,,,,,None,60.43973329997971,60.43973329997971,60.43973329997971,60.43973329997971,60.43973329997971,60.43973329997971,r,0.8127665000210982,61.274774599995,61.274774599995,61.274774599995,61.274774599995,61.274774599995,61.274774599995,61.573190299997805,63.289366099983454,63.289366099983454,63.289366099983454,63.289366099983454,63.289366099983454,63.289366099983454,63.289366099983454,63.289366099983454,63.289366099983454,63.289366099983454,63.289366099983454,63.289366099983454,63.289366099983454,63.289366099983454,65.30427359999157,65.30427359999157,65.30427359999157,65.30427359999157,65.30427359999157,65.30427359999157,65.30427359999157,28,56,39,35,56,60,65.30427359999157,67.03899829997681,,,,,,,,,,,,,,,,,,,,３３７,f,２９,2023-05-21_12h05.19.207,RL,2022.2.5,59.9940845766311,
21,32,45,67,0,7,7,7,,,,,,,,,,,None,67.03899829997681,67.03899829997681,67.03899829997681,67.03899829997681,67.03899829997681,67.03899829997681,r,0.346914800000377,67.40586790000089,67.40586790000089,67.40586790000089,67.40586790000089,67.40586790000089,67.40586790000089,67.70556339999894,69.2388581999985,69.2388581999985,69.2388581999985,69.2388581999985,69.2388581999985,69.2388581999985,69.2388581999985,69.2388581999985,69.2388581999985,69.2388581999985,69.2388581999985,69.2388581999985,69.2388581999985,69.2388581999985,71.06982819997938,71.06982819997938,71.06982819997938,71.06982819997938,71.06982819997938,71.06982819997938,71.06982819997938,21,67,45,32,67,60,71.06982819997938,72.85419279997586,,,,,,,,,,,,,,,,,,,,３３７,f,２９,2023-05-21_12h05.19.207,RL,2022.2.5,59.9940845766311,
23,30,53,61,0,8,8,8,,,,,,,,,,,None,72.85419279997586,72.85419279997586,72.85419279997586,72.85419279997586,72.85419279997586,72.85419279997586,r,0.3252038999926299,73.20485859998735,73.20485859998735,73.20485859998735,73.20485859998735,73.20485859998735,73.20485859998735,73.48810229997616,74.82095039999695,74.82095039999695,74.82095039999695,74.82095039999695,74.82095039999695,74.82095039999695,74.80428280000342,74.82095039999695,74.82095039999695,74.82095039999695,74.82095039999695,74.82095039999695,74.82095039999695,74.82095039999695,76.43545499999891,76.43545499999891,76.43545499999891,76.43545499999891,76.43545499999891,76.43545499999891,76.43545499999891,23,61,53,30,61,60,76.43545499999891,78.38685799998348,,,,,,,,,,,,,,,,,,,,３３７,f,２９,2023-05-21_12h05.19.207,RL,2022.2.5,59.9940845766311,
