arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
62,45,56,14,0,130,130,130,,,,,,,,,,,None,778.5665700999998,778.5665700999998,778.5665700999998,778.5665700999998,778.5665700999998,778.5665700999998,f,0.31823549999899114,778.9173835999991,778.9173835999991,778.9173835999991,778.9173835999991,778.9173835999991,778.9173835999991,779.2003024000005,780.666926599999,780.666926599999,780.666926599999,780.666926599999,780.666926599999,780.666926599999,780.6504504000004,780.666926599999,780.666926599999,780.666926599999,780.666926599999,780.666926599999,780.666926599999,780.666926599999,782.4148573999992,782.4148573999992,782.4148573999992,782.4148573999992,782.4148573999992,782.4148573999992,782.4148573999992,62,14,56,45,62,60,782.4148573999992,784.0155869999999,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
65,47,57,25,0,131,131,131,,,,,,,,,,,None,784.0155869999999,784.0155869999999,784.0155869999999,784.0155869999999,784.0155869999999,784.0155869999999,f,0.4801634000014019,784.5161504000007,784.5161504000007,784.5161504000007,784.5161504000007,784.5161504000007,784.5161504000007,784.7997517000003,785.9494333000002,785.9494333000002,785.9494333000002,785.9494333000002,785.9494333000002,785.9494333000002,785.9324976000007,785.9494333000002,785.9494333000002,785.9494333000002,785.9494333000002,785.9494333000002,785.9494333000002,785.9494333000002,787.3803547999996,787.3803547999996,787.3803547999996,787.3803547999996,787.3803547999996,787.3803547999996,787.3803547999996,65,25,57,47,65,60,787.3803547999996,788.9314090999997,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
65,49,55,26,0,132,132,132,,,,,,,,,,,None,788.9314090999997,788.9314090999997,788.9314090999997,788.9314090999997,788.9314090999997,788.9314090999997,f,0.322254000000612,789.2834445999997,789.2834445999997,789.2834445999997,789.2834445999997,789.2834445999997,789.2834445999997,789.5657504999999,791.1986046000002,791.1986046000002,791.1986046000002,791.1986046000002,791.1986046000002,791.1986046000002,791.1818017999994,791.1986046000002,791.1986046000002,791.1986046000002,791.1986046000002,791.1986046000002,791.1986046000002,791.1986046000002,793.1130272999999,793.1130272999999,793.1130272999999,793.1130272999999,793.1130272999999,793.1130272999999,793.1130272999999,65,26,55,49,65,60,793.1130272999999,794.8976072999994,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
62,53,64,28,0,133,133,133,,,,,,,,,,,None,794.8976072999994,794.8976072999994,794.8976072999994,794.8976072999994,794.8976072999994,794.8976072999994,f,0.3207702999989124,795.2476397999999,795.2476397999999,795.2476397999999,795.2476397999999,795.2476397999999,795.2476397999999,795.5311208000003,796.4139642999999,796.4139642999999,796.4139642999999,796.4139642999999,796.4139642999999,796.4139642999999,796.3976356000003,796.4139642999999,796.4139642999999,796.4139642999999,796.4139642999999,796.4139642999999,796.4139642999999,796.4139642999999,797.5790565000007,797.5790565000007,797.5790565000007,797.5790565000007,797.5790565000007,797.5790565000007,797.5790565000007,62,28,64,53,62,60,797.5790565000007,799.5130382999996,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
60,46,66,19,0,134,134,134,,,,,,,,,,,None,799.5130382999996,799.5130382999996,799.5130382999996,799.5130382999996,799.5130382999996,799.5130382999996,f,0.31060489999981655,799.8504778000006,799.8504778000006,799.8504778000006,799.8504778000006,799.8504778000006,799.8504778000006,800.1302223000002,801.5801840999993,801.5801840999993,801.5801840999993,801.5801840999993,801.5801840999993,801.5801840999993,801.563435,801.5801840999993,801.5801840999993,801.5801840999993,801.5801840999993,801.5801840999993,801.5801840999993,801.5801840999993,803.3108754999994,803.3108754999994,803.3108754999994,803.3108754999994,803.3108754999994,803.3108754999994,803.3108754999994,60,19,66,46,60,60,803.3108754999994,804.9291300000004,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
53,55,63,19,0,135,135,135,,,,,,,,,,,None,804.9291300000004,804.9291300000004,804.9291300000004,804.9291300000004,804.9291300000004,804.9291300000004,f,0.34385399999882793,805.297507199999,805.297507199999,805.297507199999,805.297507199999,805.297507199999,805.297507199999,805.5962008000006,806.7957021000002,806.7957021000002,806.7957021000002,806.7957021000002,806.7957021000002,806.7957021000002,806.7957021000002,806.7957021000002,806.7957021000002,806.7957021000002,806.7957021000002,806.7957021000002,806.7957021000002,806.7957021000002,808.2933539000005,808.2933539000005,808.2933539000005,808.2933539000005,808.2933539000005,808.2933539000005,808.2933539000005,53,19,63,55,53,60,808.2933539000005,809.9782125000002,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
56,53,65,26,0,136,136,136,,,,,,,,,,,None,809.9782125000002,809.9782125000002,809.9782125000002,809.9782125000002,809.9782125000002,809.9782125000002,f,0.33650350000061735,810.3467839000004,810.3467839000004,810.3467839000004,810.3467839000004,810.3467839000004,810.3467839000004,810.6283898000001,811.7450497999998,811.7450497999998,811.7450497999998,811.7450497999998,811.7450497999998,811.7450497999998,811.7280537999995,811.7450497999998,811.7450497999998,811.7450497999998,811.7450497999998,811.7450497999998,811.7450497999998,811.7450497999998,813.1427851000008,813.1427851000008,813.1427851000008,813.1427851000008,813.1427851000008,813.1427851000008,813.1427851000008,56,26,65,53,56,60,813.1427851000008,814.8266571999993,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
49,55,62,28,0,137,137,137,,,,,,,,,,,None,814.8266571999993,814.8266571999993,814.8266571999993,814.8266571999993,814.8266571999993,814.8266571999993,f,0.10862690000067232,814.9608193000004,814.9608193000004,814.9608193000004,814.9608193000004,814.9608193000004,814.9608193000004,815.2437862000006,817.210578799999,817.210578799999,817.210578799999,817.210578799999,817.210578799999,817.210578799999,817.1942791999991,817.210578799999,817.210578799999,817.210578799999,817.210578799999,817.210578799999,817.210578799999,817.210578799999,819.4580796999999,819.4580796999999,819.4580796999999,819.4580796999999,819.4580796999999,819.4580796999999,819.4580796999999,49,28,62,55,49,60,819.4580796999999,821.4092074,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
46,56,64,26,0,138,138,138,,,,,,,,,,,None,821.4092074,821.4092074,821.4092074,821.4092074,821.4092074,821.4092074,f,0.31279019999965385,821.7454975,821.7454975,821.7454975,821.7454975,821.7454975,821.7454975,822.0429913999997,823.5424605000007,823.5424605000007,823.5424605000007,823.5424605000007,823.5424605000007,823.5424605000007,823.5261313999999,823.5424605000007,823.5424605000007,823.5424605000007,823.5424605000007,823.5424605000007,823.5424605000007,823.5424605000007,825.3238541999999,825.3238541999999,825.3238541999999,825.3238541999999,825.3238541999999,825.3238541999999,825.3238541999999,46,26,64,56,46,60,825.3238541999999,826.9249032000007,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
41,57,52,40,0,139,139,139,,,,,,,,,,,None,826.9249032000007,826.9249032000007,826.9249032000007,826.9249032000007,826.9249032000007,826.9249032000007,i,0.3001810000005207,827.2423132000004,827.2423132000004,827.2423132000004,827.2423132000004,827.2423132000004,827.2423132000004,827.5419703000007,828.9581775999995,828.9581775999995,828.9581775999995,828.9581775999995,828.9581775999995,828.9581775999995,828.9581775999995,828.9581775999995,828.9581775999995,828.9581775999995,828.9581775999995,828.9581775999995,828.9581775999995,828.9581775999995,830.6732188999995,830.6732188999995,830.6732188999995,830.6732188999995,830.6732188999995,830.6732188999995,830.6732188999995,41,40,52,57,52,60,830.6732188999995,832.5741880999994,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
