arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.957351400000334,18.957351400000334,space,7.969462100001692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３１０,f,２０,2023-05-18_15h29.42.282,RL,2022.2.5,60.143249191195075,
45,45,60,56,0,0,0,0,,,,,26.94092509999973,26.94092509999973,31.940255999998044,31.940255999998044,31.940255999998044,32.945013599997765,None,32.945013599997765,32.945013599997765,32.945013599997765,32.945013599997765,32.945013599997765,32.945013599997765,j,0.6692215000002761,33.64230569999927,33.64230569999927,33.64230569999927,33.64230569999927,33.64230569999927,33.64230569999927,33.94241989999864,34.93480029999773,34.93480029999773,34.93480029999773,34.93480029999773,34.93480029999773,34.93480029999773,34.93480029999773,34.93480029999773,34.93480029999773,34.93480029999773,34.93480029999773,34.93480029999773,34.93480029999773,34.93480029999773,36.25129179999931,36.25129179999931,36.25129179999931,36.25129179999931,36.25129179999931,36.25129179999931,36.25129179999931,45,45,60,56,56,70,36.25129179999931,38.160342399998626,,,,,,,,,,,,３１０,f,２０,2023-05-18_15h29.42.282,RL,2022.2.5,60.143249191195075,
42,40,57,48,0,1,1,1,,,,,,,,,,,None,38.160342399998626,38.160342399998626,38.160342399998626,38.160342399998626,38.160342399998626,38.160342399998626,f,1.3080139000012423,39.49083299999984,39.49083299999984,39.49083299999984,39.49083299999984,39.49083299999984,39.49083299999984,39.83415669999886,41.3939853999982,41.3939853999982,41.3939853999982,41.3939853999982,41.3939853999982,41.3939853999982,41.44864869999947,41.44864869999947,41.44864869999947,41.44864869999947,41.44864869999947,41.44864869999947,41.44864869999947,41.44864869999947,43.35511249999763,43.35511249999763,43.35511249999763,43.35511249999763,43.35511249999763,43.35511249999763,43.35511249999763,40,42,57,48,40,70,43.35511249999763,45.28924310000002,,,,,,,,,,,,３１０,f,２０,2023-05-18_15h29.42.282,RL,2022.2.5,60.143249191195075,
47,49,66,63,0,2,2,2,,,,,,,,,,,None,45.28924310000002,45.28924310000002,45.28924310000002,45.28924310000002,45.28924310000002,45.28924310000002,r,0.46396330000061425,45.77320250000048,45.77320250000048,45.77320250000048,45.77320250000048,45.77320250000048,45.77320250000048,46.1176458000009,47.00923200000034,47.00923200000034,47.00923200000034,47.00923200000034,47.00923200000034,47.00923200000034,47.062812699998176,47.062812699998176,47.062812699998176,47.062812699998176,47.062812699998176,47.062812699998176,47.062812699998176,47.062812699998176,48.287859399999434,48.287859399999434,48.287859399999434,48.287859399999434,48.287859399999434,48.287859399999434,48.287859399999434,49,47,66,63,47,70,48.287859399999434,50.17190449999907,,,,,,,,,,,,３１０,f,２０,2023-05-18_15h29.42.282,RL,2022.2.5,60.143249191195075,
55,46,67,51,0,3,3,3,,,,,,,,,,,None,50.17190449999907,50.17190449999907,50.17190449999907,50.17190449999907,50.17190449999907,50.17190449999907,j,0.44713640000190935,50.64039649999904,50.64039649999904,50.64039649999904,50.64039649999904,50.64039649999904,50.64039649999904,50.93892989999949,52.038255799998296,52.038255799998296,52.038255799998296,52.038255799998296,52.038255799998296,52.038255799998296,52.038255799998296,52.038255799998296,52.038255799998296,52.038255799998296,52.038255799998296,52.038255799998296,52.038255799998296,52.038255799998296,53.43696199999977,53.43696199999977,53.43696199999977,53.43696199999977,53.43696199999977,53.43696199999977,53.43696199999977,46,55,67,51,51,70,53.43696199999977,55.32112330000018,,,,,,,,,,,,３１０,f,２０,2023-05-18_15h29.42.282,RL,2022.2.5,60.143249191195075,
43,42,63,51,0,4,4,4,,,,,,,,,,,None,55.32112330000018,55.32112330000018,55.32112330000018,55.32112330000018,55.32112330000018,55.32112330000018,i,0.2307585000016843,55.57135799999742,55.57135799999742,55.57135799999742,55.57135799999742,55.57135799999742,55.57135799999742,55.8544656999984,56.80449849999786,56.80449849999786,56.80449849999786,56.80449849999786,56.80449849999786,56.80449849999786,56.787999399999535,56.80449849999786,56.80449849999786,56.80449849999786,56.80449849999786,56.80449849999786,56.80449849999786,56.80449849999786,58.03565009999875,58.03565009999875,58.03565009999875,58.03565009999875,58.03565009999875,58.03565009999875,58.03565009999875,42,43,63,51,63,70,58.03565009999875,59.68689699999959,,,,,,,,,,,,３１０,f,２０,2023-05-18_15h29.42.282,RL,2022.2.5,60.143249191195075,
41,46,63,57,0,5,5,5,,,,,,,,,,,None,59.68689699999959,59.68689699999959,59.68689699999959,59.68689699999959,59.68689699999959,59.68689699999959,f,0.22004390000074636,59.93732000000091,59.93732000000091,59.93732000000091,59.93732000000091,59.93732000000091,59.93732000000091,60.22085650000008,61.187067099999695,61.187067099999695,61.187067099999695,61.187067099999695,61.187067099999695,61.187067099999695,61.17020319999938,61.187067099999695,61.187067099999695,61.187067099999695,61.187067099999695,61.187067099999695,61.187067099999695,61.187067099999695,62.43522309999753,62.43522309999753,62.43522309999753,62.43522309999753,62.43522309999753,62.43522309999753,62.43522309999753,46,41,63,57,46,70,62.43522309999753,64.0363056999995,,,,,,,,,,,,３１０,f,２０,2023-05-18_15h29.42.282,RL,2022.2.5,60.143249191195075,
45,43,63,58,0,6,6,6,,,,,,,,,,,None,64.0363056999995,64.0363056999995,64.0363056999995,64.0363056999995,64.0363056999995,64.0363056999995,r,0.2571353999992425,64.32209599999987,64.32209599999987,64.32209599999987,64.32209599999987,64.32209599999987,64.32209599999987,64.60320449999926,65.58632669999861,65.58632669999861,65.58632669999861,65.58632669999861,65.58632669999861,65.58632669999861,65.56985300000088,65.58632669999861,65.58632669999861,65.58632669999861,65.58632669999861,65.58632669999861,65.58632669999861,65.58632669999861,66.85100389999934,66.85100389999934,66.85100389999934,66.85100389999934,66.85100389999934,66.85100389999934,66.85100389999934,43,45,63,58,45,70,66.85100389999934,68.65193920000092,,,,,,,,,,,,３１０,f,２０,2023-05-18_15h29.42.282,RL,2022.2.5,60.143249191195075,
46,49,65,55,0,7,7,7,,,,,,,,,,,None,68.65193920000092,68.65193920000092,68.65193920000092,68.65193920000092,68.65193920000092,68.65193920000092,j,0.2977941999997711,68.9693492999977,68.9693492999977,68.9693492999977,68.9693492999977,68.9693492999977,68.9693492999977,69.25197769999795,70.83530840000094,70.83530840000094,70.83530840000094,70.83530840000094,70.83530840000094,70.83530840000094,70.81855159999759,70.83530840000094,70.83530840000094,70.83530840000094,70.83530840000094,70.83530840000094,70.83530840000094,70.83530840000094,72.69963160000043,72.69963160000043,72.69963160000043,72.69963160000043,72.69963160000043,72.69963160000043,72.69963160000043,49,46,65,55,55,70,72.69963160000043,74.26797799999986,,,,,,,,,,,,３１０,f,２０,2023-05-18_15h29.42.282,RL,2022.2.5,60.143249191195075,
52,51,66,56,0,8,8,8,,,,,,,,,,,None,74.26797799999986,74.26797799999986,74.26797799999986,74.26797799999986,74.26797799999986,74.26797799999986,f,0.309560199999396,74.60353459999897,74.60353459999897,74.60353459999897,74.60353459999897,74.60353459999897,74.60353459999897,74.90128719999848,76.21761350000088,76.21761350000088,76.21761350000088,76.21761350000088,76.21761350000088,76.21761350000088,76.20098529999814,76.21761350000088,76.21761350000088,76.21761350000088,76.21761350000088,76.21761350000088,76.21761350000088,76.21761350000088,77.81583369999862,77.81583369999862,77.81583369999862,77.81583369999862,77.81583369999862,77.81583369999862,77.81583369999862,51,52,66,56,51,70,77.81583369999862,79.4170778000007,,,,,,,,,,,,３１０,f,２０,2023-05-18_15h29.42.282,RL,2022.2.5,60.143249191195075,
