arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,bigx.started,bigx.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.06775850000122,16.06775850000122,space,7.7782842999986315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３１３,f,１８,2023-05-18_17h39.49.102,RL,2022.2.5,60.0228206763731,
28,28,47,74,0,0,0,0,,,,,23.86568289999923,23.86568289999923,28.865169900000183,28.865169900000183,28.865169900000183,29.866893599999457,None,29.866893599999457,29.866893599999457,29.866893599999457,29.866893599999457,29.866893599999457,29.866893599999457,r,0.4544611999990593,30.35534800000096,30.35534800000096,30.35534800000096,30.35534800000096,30.35534800000096,30.35534800000096,30.650676000001113,32.3817315999986,32.39910460000101,32.39910460000101,32.39910460000101,32.39910460000101,32.39910460000101,32.39910460000101,32.39910460000101,32.39910460000101,32.39910460000101,32.39910460000101,32.39910460000101,32.39910460000101,32.39910460000101,34.47570989999804,34.47570989999804,34.47570989999804,34.47570989999804,34.47570989999804,34.47570989999804,34.47570989999804,28,28,74,47,28,60,34.47570989999804,36.34886800000095,,,,,,,,,,,,,,,,,,,,３１３,f,１８,2023-05-18_17h39.49.102,RL,2022.2.5,60.0228206763731,
27,40,49,68,0,1,1,1,,,,,,,,,,,None,36.34886800000095,36.34886800000095,36.34886800000095,36.34886800000095,36.34886800000095,36.34886800000095,f,0.5356609000009485,36.921935599999415,36.921935599999415,36.921935599999415,36.921935599999415,36.921935599999415,36.921935599999415,37.199105699997745,38.68176859999949,38.71769719999793,38.71769719999793,38.71769719999793,38.71769719999793,38.71769719999793,38.71769719999793,38.71769719999793,38.71769719999793,38.71769719999793,38.71769719999793,38.71769719999793,38.71769719999793,38.71769719999793,40.51314939999793,40.51314939999793,40.51314939999793,40.51314939999793,40.51314939999793,40.51314939999793,40.51314939999793,40,27,68,49,40,60,40.51314939999793,42.197771600000124,,,,,,,,,,,,,,,,,,,,３１３,f,１８,2023-05-18_17h39.49.102,RL,2022.2.5,60.0228206763731,
34,31,51,74,0,2,2,2,,,,,,,,,,,None,42.197771600000124,42.197771600000124,42.197771600000124,42.197771600000124,42.197771600000124,42.197771600000124,f,0.6252597000020614,42.848464599999716,42.848464599999716,42.848464599999716,42.848464599999716,42.848464599999716,42.848464599999716,43.13099289999809,44.114093899999716,44.13085599999977,44.13085599999977,44.13085599999977,44.13085599999977,44.13085599999977,44.13085599999977,44.13085599999977,44.13085599999977,44.13085599999977,44.13085599999977,44.13085599999977,44.13085599999977,44.13085599999977,45.41247049999947,45.41247049999947,45.41247049999947,45.41247049999947,45.41247049999947,45.41247049999947,45.41247049999947,31,34,74,51,31,60,45.41247049999947,47.413502600000356,,,,,,,,,,,,,,,,,,,,３１３,f,１８,2023-05-18_17h39.49.102,RL,2022.2.5,60.0228206763731,
27,28,51,66,0,3,3,3,,,,,,,,,,,None,47.413502600000356,47.413502600000356,47.413502600000356,47.413502600000356,47.413502600000356,47.413502600000356,r,0.5058089000012842,47.94885380000051,47.94885380000051,47.94885380000051,47.94885380000051,47.94885380000051,47.94885380000051,48.24691569999777,49.57952260000093,49.57952260000093,49.57952260000093,49.57952260000093,49.57952260000093,49.57952260000093,49.57952260000093,49.57952260000093,49.57952260000093,49.57952260000093,49.57952260000093,49.57952260000093,49.57952260000093,49.57952260000093,51.211527799998294,51.211527799998294,51.211527799998294,51.211527799998294,51.211527799998294,51.211527799998294,51.211527799998294,28,27,66,51,27,60,51.211527799998294,52.962771300000895,,,,,,,,,,,,,,,,,,,,３１３,f,１８,2023-05-18_17h39.49.102,RL,2022.2.5,60.0228206763731,
26,34,50,71,0,4,4,4,,,,,,,,,,,None,52.962771300000895,52.962771300000895,52.962771300000895,52.962771300000895,52.962771300000895,52.962771300000895,j,0.4715747000009287,53.4626892999986,53.4626892999986,53.4626892999986,53.4626892999986,53.4626892999986,53.4626892999986,53.76237889999902,54.71230690000084,54.71230690000084,54.71230690000084,54.71230690000084,54.71230690000084,54.71230690000084,54.71230690000084,54.71230690000084,54.71230690000084,54.71230690000084,54.71230690000084,54.71230690000084,54.71230690000084,54.71230690000084,55.96022969999831,55.96022969999831,55.96022969999831,55.96022969999831,55.96022969999831,55.96022969999831,55.96022969999831,34,26,71,50,50,60,55.96022969999831,57.827924400000484,,,,,,,,,,,,,,,,,,,,３１３,f,１８,2023-05-18_17h39.49.102,RL,2022.2.5,60.0228206763731,
27,33,52,77,0,5,5,5,,,,,,,,,,,None,57.827924400000484,57.827924400000484,57.827924400000484,57.827924400000484,57.827924400000484,57.827924400000484,r,0.6148951000031957,58.4618616000007,58.4618616000007,58.4618616000007,58.4618616000007,58.4618616000007,58.4618616000007,58.76200980000067,60.161418100000446,60.161418100000446,60.161418100000446,60.161418100000446,60.161418100000446,60.161418100000446,60.161418100000446,60.161418100000446,60.161418100000446,60.161418100000446,60.161418100000446,60.161418100000446,60.161418100000446,60.161418100000446,61.859383300001355,61.859383300001355,61.859383300001355,61.859383300001355,61.859383300001355,61.859383300001355,61.859383300001355,33,27,77,52,27,60,61.859383300001355,63.3775358999992,,,,,,,,,,,,,,,,,,,,３１３,f,１８,2023-05-18_17h39.49.102,RL,2022.2.5,60.0228206763731,
32,38,55,68,0,6,6,6,,,,,,,,,,,None,63.3775358999992,63.3775358999992,63.3775358999992,63.3775358999992,63.3775358999992,63.3775358999992,i,0.45560740000291844,63.86204290000023,63.86204290000023,63.86204290000023,63.86204290000023,63.86204290000023,63.86204290000023,64.14436310000019,65.57723049999913,65.59351909999896,65.59351909999896,65.59351909999896,65.59351909999896,65.59351909999896,65.59351909999896,65.59351909999896,65.59351909999896,65.59351909999896,65.59351909999896,65.59351909999896,65.59351909999896,65.59351909999896,67.32557839999936,67.32557839999936,67.32557839999936,67.32557839999936,67.32557839999936,67.32557839999936,67.32557839999936,38,32,68,55,68,60,67.32557839999936,69.25984919999973,,,,,,,,,,,,,,,,,,,,３１３,f,１８,2023-05-18_17h39.49.102,RL,2022.2.5,60.0228206763731,
35,43,53,77,0,7,7,7,,,,,,,,,,,None,69.25984919999973,69.25984919999973,69.25984919999973,69.25984919999973,69.25984919999973,69.25984919999973,i,0.524241200000688,69.8117717999994,69.8117717999994,69.8117717999994,69.8117717999994,69.8117717999994,69.8117717999994,70.10989669999981,72.00937709999926,72.00937709999926,72.00937709999926,72.00937709999926,72.00937709999926,72.00937709999926,72.00937709999926,72.00937709999926,72.00937709999926,72.00937709999926,72.00937709999926,72.00937709999926,72.00937709999926,72.00937709999926,74.20732209999915,74.20732209999915,74.20732209999915,74.20732209999915,74.20732209999915,74.20732209999915,74.20732209999915,43,35,77,53,77,60,74.20732209999915,75.97537039999952,,,,,,,,,,,,,,,,,,,,３１３,f,１８,2023-05-18_17h39.49.102,RL,2022.2.5,60.0228206763731,
39,39,57,81,0,8,8,8,,,,,,,,,,,None,75.97537039999952,75.97537039999952,75.97537039999952,75.97537039999952,75.97537039999952,75.97537039999952,r,0.395697800002381,76.39351399999941,76.39351399999941,76.39351399999941,76.39351399999941,76.39351399999941,76.39351399999941,76.69193939999968,78.49136409999846,78.49136409999846,78.49136409999846,78.49136409999846,78.49136409999846,78.49136409999846,78.49136409999846,78.49136409999846,78.49136409999846,78.49136409999846,78.49136409999846,78.49136409999846,78.49136409999846,78.49136409999846,80.58973920000062,80.58973920000062,80.58973920000062,80.58973920000062,80.58973920000062,80.58973920000062,80.58973920000062,39,39,81,57,39,60,80.58973920000062,82.57416789999843,,,,,,,,,,,,,,,,,,,,３１３,f,１８,2023-05-18_17h39.49.102,RL,2022.2.5,60.0228206763731,
