arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.704434300001594,12.704434300001594,space,2.365352000000712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３１１,f,1９,2023-05-18_15h54.02.804,RL,2022.2.5,59.821349522503645,
30,40,55,71,0,0,0,0,,,,,15.087571500000195,15.087571500000195,20.08677589999934,20.08677589999934,20.08677589999934,21.091265200000635,None,21.091265200000635,21.091265200000635,21.091265200000635,21.091265200000635,21.091265200000635,21.091265200000635,i,0.8017401000033715,21.929976100000204,21.929976100000204,21.929976100000204,21.929976100000204,21.929976100000204,21.929976100000204,22.22176010000112,23.988698000001023,24.005591400000412,24.005591400000412,24.005591400000412,24.005591400000412,24.005591400000412,24.005591400000412,24.005591400000412,24.005591400000412,24.005591400000412,24.005591400000412,24.005591400000412,24.005591400000412,24.005591400000412,26.115734700000758,26.115734700000758,26.115734700000758,26.115734700000758,26.115734700000758,26.115734700000758,26.115734700000758,40,71,55,30,55,60,26.115734700000758,27.670582300001115,,,,,,,,,,,,３１１,f,1９,2023-05-18_15h54.02.804,RL,2022.2.5,59.821349522503645,
43,41,45,68,0,1,1,1,,,,,,,,,,,None,27.670582300001115,27.670582300001115,27.670582300001115,27.670582300001115,27.670582300001115,27.670582300001115,r,0.9187294999974256,28.621017000001302,28.621017000001302,28.621017000001302,28.621017000001302,28.621017000001302,28.621017000001302,28.903752800000802,30.154670100000658,30.172144500000286,30.172144500000286,30.172144500000286,30.172144500000286,30.172144500000286,30.172144500000286,30.172144500000286,30.172144500000286,30.172144500000286,30.172144500000286,30.172144500000286,30.172144500000286,30.172144500000286,31.735357100002147,31.735357100002147,31.735357100002147,31.735357100002147,31.735357100002147,31.735357100002147,31.735357100002147,41,68,45,43,68,60,31.735357100002147,33.68650770000022,,,,,,,,,,,,３１１,f,1９,2023-05-18_15h54.02.804,RL,2022.2.5,59.821349522503645,
30,40,36,70,0,2,2,2,,,,,,,,,,,None,33.68650770000022,33.68650770000022,33.68650770000022,33.68650770000022,33.68650770000022,33.68650770000022,f,0.551077100000839,34.274214900000516,34.274214900000516,34.274214900000516,34.274214900000516,34.274214900000516,34.274214900000516,34.55306220000057,35.453225699999166,35.48578460000135,35.48578460000135,35.48578460000135,35.48578460000135,35.48578460000135,35.48578460000135,35.48578460000135,35.48578460000135,35.48578460000135,35.48578460000135,35.48578460000135,35.48578460000135,35.48578460000135,36.68419410000206,36.68419410000206,36.68419410000206,36.68419410000206,36.68419410000206,36.68419410000206,36.68419410000206,40,70,36,30,40,60,36.68419410000206,38.318627200002084,,,,,,,,,,,,３１１,f,1９,2023-05-18_15h54.02.804,RL,2022.2.5,59.821349522503645,
34,45,42,75,0,3,3,3,,,,,,,,,,,None,38.318627200002084,38.318627200002084,38.318627200002084,38.318627200002084,38.318627200002084,38.318627200002084,j,0.7779287000012118,39.11920889999965,39.11920889999965,39.11920889999965,39.11920889999965,39.11920889999965,39.11920889999965,39.40242349999971,41.03553119999924,41.0520961000002,41.0520961000002,41.0520961000002,41.0520961000002,41.0520961000002,41.0520961000002,41.0520961000002,41.0520961000002,41.0520961000002,41.0520961000002,41.0520961000002,41.0520961000002,41.0520961000002,42.98335510000106,42.98335510000106,42.98335510000106,42.98335510000106,42.98335510000106,42.98335510000106,42.98335510000106,45,75,42,34,34,60,42.98335510000106,44.68443180000031,,,,,,,,,,,,３１１,f,1９,2023-05-18_15h54.02.804,RL,2022.2.5,59.821349522503645,
33,55,46,72,0,4,4,4,,,,,,,,,,,None,44.68443180000031,44.68443180000031,44.68443180000031,44.68443180000031,44.68443180000031,44.68443180000031,r,0.5887282000003324,45.30121480000162,45.30121480000162,45.30121480000162,45.30121480000162,45.30121480000162,45.30121480000162,45.601270700000896,46.7005668999991,46.7005668999991,46.7005668999991,46.7005668999991,46.7005668999991,46.7005668999991,46.7005668999991,46.7005668999991,46.7005668999991,46.7005668999991,46.7005668999991,46.7005668999991,46.7005668999991,46.7005668999991,48.09899570000198,48.09899570000198,48.09899570000198,48.09899570000198,48.09899570000198,48.09899570000198,48.09899570000198,55,72,46,33,72,60,48.09899570000198,49.86708799999906,,,,,,,,,,,,３１１,f,1９,2023-05-18_15h54.02.804,RL,2022.2.5,59.821349522503645,
43,40,41,68,0,5,5,5,,,,,,,,,,,None,49.86708799999906,49.86708799999906,49.86708799999906,49.86708799999906,49.86708799999906,49.86708799999906,i,0.6220425999999861,50.51954100000148,50.51954100000148,50.51954100000148,50.51954100000148,50.51954100000148,50.51954100000148,50.80065939999986,52.15001190000112,52.16621420000229,52.16621420000229,52.16621420000229,52.16621420000229,52.16621420000229,52.16621420000229,52.16621420000229,52.16621420000229,52.16621420000229,52.16621420000229,52.16621420000229,52.16621420000229,52.16621420000229,53.81468469999891,53.81468469999891,53.81468469999891,53.81468469999891,53.81468469999891,53.81468469999891,53.81468469999891,40,68,41,43,41,60,53.81468469999891,55.449050300001545,,,,,,,,,,,,３１１,f,1９,2023-05-18_15h54.02.804,RL,2022.2.5,59.821349522503645,
38,53,43,71,0,6,6,6,,,,,,,,,,,None,55.449050300001545,55.449050300001545,55.449050300001545,55.449050300001545,55.449050300001545,55.449050300001545,f,0.5401373000022431,56.01606019999963,56.01606019999963,56.01606019999963,56.01606019999963,56.01606019999963,56.01606019999963,56.29927800000223,58.049448500001745,58.065237999999226,58.065237999999226,58.065237999999226,58.065237999999226,58.065237999999226,58.065237999999226,58.065237999999226,58.065237999999226,58.065237999999226,58.065237999999226,58.065237999999226,58.065237999999226,58.065237999999226,60.11374910000086,60.11374910000086,60.11374910000086,60.11374910000086,60.11374910000086,60.11374910000086,60.11374910000086,53,71,43,38,53,60,60.11374910000086,62.04809849999947,,,,,,,,,,,,３１１,f,1９,2023-05-18_15h54.02.804,RL,2022.2.5,59.821349522503645,
39,49,36,68,0,7,7,7,,,,,,,,,,,None,62.04809849999947,62.04809849999947,62.04809849999947,62.04809849999947,62.04809849999947,62.04809849999947,j,0.5031931999983499,62.58279699999912,62.58279699999912,62.58279699999912,62.58279699999912,62.58279699999912,62.58279699999912,62.86447799999951,64.61435450000135,64.63119110000116,64.63119110000116,64.63119110000116,64.63119110000116,64.63119110000116,64.63119110000116,64.63119110000116,64.63119110000116,64.63119110000116,64.63119110000116,64.63119110000116,64.63119110000116,64.63119110000116,66.6795239000021,66.6795239000021,66.6795239000021,66.6795239000021,66.6795239000021,66.6795239000021,66.6795239000021,49,68,36,39,39,60,66.6795239000021,68.68051930000001,,,,,,,,,,,,３１１,f,1９,2023-05-18_15h54.02.804,RL,2022.2.5,59.821349522503645,
45,43,33,67,0,8,8,8,,,,,,,,,,,None,68.68051930000001,68.68051930000001,68.68051930000001,68.68051930000001,68.68051930000001,68.68051930000001,i,0.6181655000000319,69.33661230000143,69.33661230000143,69.33661230000143,69.33661230000143,69.33661230000143,69.33661230000143,69.61367830000017,70.78017550000004,70.79666150000048,70.79666150000048,70.79666150000048,70.79666150000048,70.79666150000048,70.79666150000048,70.79666150000048,70.79666150000048,70.79666150000048,70.79666150000048,70.79666150000048,70.79666150000048,70.79666150000048,72.261760100002,72.261760100002,72.261760100002,72.261760100002,72.261760100002,72.261760100002,72.261760100002,43,67,33,45,33,60,72.261760100002,74.11278030000176,,,,,,,,,,,,３１１,f,1９,2023-05-18_15h54.02.804,RL,2022.2.5,59.821349522503645,
