arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.346943899989128,15.346943899989128,space,12.933399599976838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,f,19,2023-05-13_14h12.35.637,RL,2022.2.5,59.92311862542044,
38,37,59,75,0,0,0,0,,,,,28.302398399915546,28.302398399915546,33.30154210003093,33.30154210003093,33.30154210003093,34.30491720000282,None,34.30491720000282,34.30491720000282,34.30491720000282,34.30491720000282,34.30491720000282,34.30491720000282,j,0.7292400000151247,35.0632455998566,35.0632455998566,35.0632455998566,35.0632455998566,35.0632455998566,35.0632455998566,35.35365880001336,37.302953500067815,37.32202690001577,37.32202690001577,37.32202690001577,37.32202690001577,37.32202690001577,37.32202690001577,37.32202690001577,37.32202690001577,37.32202690001577,37.32202690001577,37.32202690001577,37.32202690001577,37.32202690001577,39.62883120006882,39.62883120006882,39.62883120006882,39.62883120006882,39.62883120006882,39.62883120006882,39.62883120006882,37,38,59,75,75,70,39.62883120006882,41.28507489990443,,,,,,,,,,,,,,,,,,,004,f,19,2023-05-13_14h12.35.637,RL,2022.2.5,59.92311862542044,
43,44,51,78,0,1,1,1,,,,,,,,,,,None,41.28507489990443,41.28507489990443,41.28507489990443,41.28507489990443,41.28507489990443,41.28507489990443,i,0.5955205999780446,41.90218420000747,41.90218420000747,41.90218420000747,41.90218420000747,41.90218420000747,41.90218420000747,42.185220799874514,43.218392400071025,43.234931899933144,43.234931899933144,43.234931899933144,43.234931899933144,43.234931899933144,43.234931899933144,43.234931899933144,43.234931899933144,43.234931899933144,43.234931899933144,43.234931899933144,43.234931899933144,43.234931899933144,44.56680039991625,44.56680039991625,44.56680039991625,44.56680039991625,44.56680039991625,44.56680039991625,44.56680039991625,44,43,51,78,51,70,44.56680039991625,46.46735409996472,,,,,,,,,,,,,,,,,,,004,f,19,2023-05-13_14h12.35.637,RL,2022.2.5,59.92311862542044,
40,47,43,78,0,2,2,2,,,,,,,,,,,None,46.46735409996472,46.46735409996472,46.46735409996472,46.46735409996472,46.46735409996472,46.46735409996472,f,0.7262730000074953,47.21941979997791,47.21941979997791,47.21941979997791,47.21941979997791,47.21941979997791,47.21941979997791,47.50143989990465,49.251126300077885,49.26706929993816,49.26706929993816,49.26706929993816,49.26706929993816,49.26706929993816,49.26706929993816,49.26706929993816,49.26706929993816,49.26706929993816,49.26706929993816,49.26706929993816,49.26706929993816,49.26706929993816,51.31544620008208,51.31544620008208,51.31544620008208,51.31544620008208,51.31544620008208,51.31544620008208,51.31544620008208,47,40,43,78,47,70,51.31544620008208,53.100105199962854,,,,,,,,,,,,,,,,,,,004,f,19,2023-05-13_14h12.35.637,RL,2022.2.5,59.92311862542044,
46,51,52,83,0,3,3,3,,,,,,,,,,,None,53.100105199962854,53.100105199962854,53.100105199962854,53.100105199962854,53.100105199962854,53.100105199962854,r,0.6780683000106364,53.80039960006252,53.80039960006252,53.80039960006252,53.80039960006252,53.80039960006252,53.80039960006252,54.08331699995324,55.03322639991529,55.049465199932456,55.049465199932456,55.049465199932456,55.049465199932456,55.049465199932456,55.049465199932456,55.049465199932456,55.049465199932456,55.049465199932456,55.049465199932456,55.049465199932456,55.049465199932456,55.049465199932456,56.29830230004154,56.29830230004154,56.29830230004154,56.29830230004154,56.29830230004154,56.29830230004154,56.29830230004154,51,46,52,83,46,70,56.29830230004154,57.91570120002143,,,,,,,,,,,,,,,,,,,004,f,19,2023-05-13_14h12.35.637,RL,2022.2.5,59.92311862542044,
35,46,52,77,0,4,4,4,,,,,,,,,,,None,57.91570120002143,57.91570120002143,57.91570120002143,57.91570120002143,57.91570120002143,57.91570120002143,j,0.7122138999402523,58.65071259997785,58.65071259997785,58.65071259997785,58.65071259997785,58.65071259997785,58.65071259997785,58.94950650003739,60.349003199953586,60.349003199953586,60.349003199953586,60.349003199953586,60.349003199953586,60.349003199953586,60.349003199953586,60.349003199953586,60.349003199953586,60.349003199953586,60.349003199953586,60.349003199953586,60.349003199953586,60.349003199953586,62.0465988998767,62.0465988998767,62.0465988998767,62.0465988998767,62.0465988998767,62.0465988998767,62.0465988998767,46,35,52,77,77,70,62.0465988998767,63.79777939990163,,,,,,,,,,,,,,,,,,,004,f,19,2023-05-13_14h12.35.637,RL,2022.2.5,59.92311862542044,
39,49,46,72,0,5,5,5,,,,,,,,,,,None,63.79777939990163,63.79777939990163,63.79777939990163,63.79777939990163,63.79777939990163,63.79777939990163,j,0.5983065001200885,64.41493740002625,64.41493740002625,64.41493740002625,64.41493740002625,64.41493740002625,64.41493740002625,64.69837919995189,65.56520569999702,65.58089290000498,65.58089290000498,65.58089290000498,65.58089290000498,65.58089290000498,65.58089290000498,65.58089290000498,65.58089290000498,65.58089290000498,65.58089290000498,65.58089290000498,65.58089290000498,65.58089290000498,66.74608649988659,66.74608649988659,66.74608649988659,66.74608649988659,66.74608649988659,66.74608649988659,66.74608649988659,49,39,46,72,72,70,66.74608649988659,68.28020809986629,,,,,,,,,,,,,,,,,,,004,f,19,2023-05-13_14h12.35.637,RL,2022.2.5,59.92311862542044,
31,48,49,76,0,6,6,6,,,,,,,,,,,None,68.28020809986629,68.28020809986629,68.28020809986629,68.28020809986629,68.28020809986629,68.28020809986629,j,1.140368599910289,69.44767170003615,69.44767170003615,69.44767170003615,69.44767170003615,69.44767170003615,69.44767170003615,69.73047759989277,71.24719160003588,71.26354110008106,71.26354110008106,71.26354110008106,71.26354110008106,71.26354110008106,71.26354110008106,71.26354110008106,71.26354110008106,71.26354110008106,71.26354110008106,71.26354110008106,71.26354110008106,71.26354110008106,73.07817850005813,73.07817850005813,73.07817850005813,73.07817850005813,73.07817850005813,73.07817850005813,73.07817850005813,48,31,49,76,76,70,73.07817850005813,74.62965800007805,,,,,,,,,,,,,,,,,,,004,f,19,2023-05-13_14h12.35.637,RL,2022.2.5,59.92311862542044,
47,49,36,73,0,7,7,7,,,,,,,,,,,None,74.62965800007805,74.62965800007805,74.62965800007805,74.62965800007805,74.62965800007805,74.62965800007805,i,0.794246600009501,75.44757119985297,75.44757119985297,75.44757119985297,75.44757119985297,75.44757119985297,75.44757119985297,75.72923869988881,76.56309160008095,76.57903159991838,76.57903159991838,76.57903159991838,76.57903159991838,76.57903159991838,76.57903159991838,76.57903159991838,76.57903159991838,76.57903159991838,76.57903159991838,76.57903159991838,76.57903159991838,76.57903159991838,77.71109070000239,77.71109070000239,77.71109070000239,77.71109070000239,77.71109070000239,77.71109070000239,77.71109070000239,49,47,36,73,36,70,77.71109070000239,79.26228899997659,,,,,,,,,,,,,,,,,,,004,f,19,2023-05-13_14h12.35.637,RL,2022.2.5,59.92311862542044,
47,59,45,72,0,8,8,8,,,,,,,,,,,None,79.26228899997659,79.26228899997659,79.26228899997659,79.26228899997659,79.26228899997659,79.26228899997659,j,0.7113478998653591,79.99566080002114,79.99566080002114,79.99566080002114,79.99566080002114,79.99566080002114,79.99566080002114,80.27906029997393,81.2786934999749,81.29538160003722,81.29538160003722,81.29538160003722,81.29538160003722,81.29538160003722,81.29538160003722,81.29538160003722,81.29538160003722,81.29538160003722,81.29538160003722,81.29538160003722,81.29538160003722,81.29538160003722,82.593066399917,82.593066399917,82.593066399917,82.593066399917,82.593066399917,82.593066399917,82.593066399917,59,47,45,72,72,70,82.593066399917,84.2443792000413,,,,,,,,,,,,,,,,,,,004,f,19,2023-05-13_14h12.35.637,RL,2022.2.5,59.92311862542044,
53,57,50,73,0,9,9,9,,,,,,,,,,,None,84.2443792000413,84.2443792000413,84.2443792000413,84.2443792000413,84.2443792000413,84.2443792000413,j,0.6782029999885708,84.94587769987993,84.94587769987993,84.94587769987993,84.94587769987993,84.94587769987993,84.94587769987993,85.22817369992845,87.1943375999108,87.21079879999161,87.21079879999161,87.21079879999161,87.21079879999161,87.21079879999161,87.21079879999161,87.21079879999161,87.21079879999161,87.21079879999161,87.21079879999161,87.21079879999161,87.21079879999161,87.21079879999161,89.47538509988226,89.47538509988226,89.47538509988226,89.47538509988226,89.47538509988226,89.47538509988226,89.47538509988226,57,53,50,73,73,70,89.47538509988226,91.47652629995719,,,,,,,,,,,,,,,,,,,004,f,19,2023-05-13_14h12.35.637,RL,2022.2.5,59.92311862542044,
55,54,59,68,0,10,10,10,,,,,,,,,,,None,91.47652629995719,91.47652629995719,91.47652629995719,91.47652629995719,91.47652629995719,91.47652629995719,j,0.7440419998019934,92.24363290006295,92.24363290006295,92.24363290006295,92.24363290006295,92.24363290006295,92.24363290006295,92.52627959987149,93.5263268998824,93.5427518999204,93.5427518999204,93.5427518999204,93.5427518999204,93.5427518999204,93.5427518999204,93.5427518999204,93.5427518999204,93.5427518999204,93.5427518999204,93.5427518999204,93.5427518999204,93.5427518999204,94.84178270003758,94.84178270003758,94.84178270003758,94.84178270003758,94.84178270003758,94.84178270003758,94.84178270003758,54,55,59,68,68,70,94.84178270003758,96.50875669997185,,,,,,,,,,,,,,,,,,,004,f,19,2023-05-13_14h12.35.637,RL,2022.2.5,59.92311862542044,
51,54,54,74,0,11,11,11,,,,,,,,,,,None,96.50875669997185,96.50875669997185,96.50875669997185,96.50875669997185,96.50875669997185,96.50875669997185,f,0.7421813998371363,97.27586619998328,97.27586619998328,97.27586619998328,97.27586619998328,97.27586619998328,97.27586619998328,97.55874329991639,98.44228299986571,98.45902969990857,98.45902969990857,98.45902969990857,98.45902969990857,98.45902969990857,98.45902969990857,98.45902969990857,98.45902969990857,98.45902969990857,98.45902969990857,98.45902969990857,98.45902969990857,98.45902969990857,99.64021679991856,99.64021679991856,99.64021679991856,99.64021679991856,99.64021679991856,99.64021679991856,99.64021679991856,54,51,54,74,54,70,99.64021679991856,101.37457709992304,,,,,,,,,,,,,,,,,,,004,f,19,2023-05-13_14h12.35.637,RL,2022.2.5,59.92311862542044,
61,53,55,63,0,12,12,12,,,,,,,,,,,None,101.37457709992304,101.37457709992304,101.37457709992304,101.37457709992304,101.37457709992304,101.37457709992304,f,0.8738011000677943,102.27504769992083,102.27504769992083,102.27504769992083,102.27504769992083,102.27504769992083,102.27504769992083,102.55822429992259,104.00792929995805,104.04143300000578,104.04143300000578,104.04143300000578,104.04143300000578,104.04143300000578,104.04143300000578,104.04143300000578,104.04143300000578,104.04143300000578,104.04143300000578,104.04143300000578,104.04143300000578,104.04143300000578,105.80619230004959,105.80619230004959,105.80619230004959,105.80619230004959,105.80619230004959,105.80619230004959,105.80619230004959,53,61,55,63,53,70,105.80619230004959,107.59023019997403,,,,,,,,,,,,,,,,,,,004,f,19,2023-05-13_14h12.35.637,RL,2022.2.5,59.92311862542044,
