arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,27.192303000018,27.192303000018,space,2.112712500151247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
52,42,56,61,0,9,9,9,,,,,,,,,,,None,85.26875009993091,85.26875009993091,85.26875009993091,85.26875009993091,85.26875009993091,85.26875009993091,f,0.25830490002408624,85.55231579998508,85.55231579998508,85.55231579998508,85.55231579998508,85.55231579998508,85.55231579998508,85.83585549984127,87.80170909990557,87.81820299988613,87.81820299988613,87.81820299988613,87.81820299988613,87.81820299988613,87.81820299988613,87.81820299988613,87.81820299988613,87.81820299988613,87.81820299988613,87.81820299988613,87.81820299988613,87.81820299988613,90.0830140998587,90.0830140998587,90.0830140998587,90.0830140998587,90.0830140998587,90.0830140998587,90.0830140998587,52,61,42,56,52,70,90.0830140998587,91.86738299997523,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
56,42,59,50,0,10,10,10,,,,,,,,,,,None,91.86738299997523,91.86738299997523,91.86738299997523,91.86738299997523,91.86738299997523,91.86738299997523,i,0.31682990002445877,92.20154959987849,92.20154959987849,92.20154959987849,92.20154959987849,92.20154959987849,92.20154959987849,92.5012093000114,93.90103179984726,93.90103179984726,93.90103179984726,93.90103179984726,93.90103179984726,93.90103179984726,93.90103179984726,93.90103179984726,93.90103179984726,93.90103179984726,93.90103179984726,93.90103179984726,93.90103179984726,93.90103179984726,95.5984485000372,95.5984485000372,95.5984485000372,95.5984485000372,95.5984485000372,95.5984485000372,95.5984485000372,56,50,42,59,42,70,95.5984485000372,97.216918699909,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
52,42,58,54,0,11,11,11,,,,,,,,,,,None,97.216918699909,97.216918699909,97.216918699909,97.216918699909,97.216918699909,97.216918699909,i,0.27670729998499155,97.51756059983745,97.51756059983745,97.51756059983745,97.51756059983745,97.51756059983745,97.51756059983745,97.80063249985687,99.54992799996398,99.5663339998573,99.5663339998573,99.5663339998573,99.5663339998573,99.5663339998573,99.5663339998573,99.5663339998573,99.5663339998573,99.5663339998573,99.5663339998573,99.5663339998573,99.5663339998573,99.5663339998573,101.61439699982293,101.61439699982293,101.61439699982293,101.61439699982293,101.61439699982293,101.61439699982293,101.61439699982293,52,54,42,58,42,70,101.61439699982293,103.29917369992472,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
59,40,70,50,0,12,12,12,,,,,,,,,,,None,103.29917369992472,103.29917369992472,103.29917369992472,103.29917369992472,103.29917369992472,103.29917369992472,i,0.42174519994296134,103.74917660001665,103.74917660001665,103.74917660001665,103.74917660001665,103.74917660001665,103.74917660001665,104.04902649996802,105.08193519990891,105.08193519990891,105.08193519990891,105.08193519990891,105.08193519990891,105.08193519990891,105.08193519990891,105.08193519990891,105.08193519990891,105.08193519990891,105.08193519990891,105.08193519990891,105.08193519990891,105.08193519990891,106.41355099994689,106.41355099994689,106.41355099994689,106.41355099994689,106.41355099994689,106.41355099994689,106.41355099994689,59,50,40,70,40,70,106.41355099994689,108.41489619994536,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
54,44,75,44,0,13,13,13,,,,,,,,,,,None,108.41489619994536,108.41489619994536,108.41489619994536,108.41489619994536,108.41489619994536,108.41489619994536,i,0.3117511000018567,108.749599999981,108.749599999981,108.749599999981,108.749599999981,108.749599999981,108.749599999981,109.04800249985419,111.01487939991057,111.01487939991057,111.01487939991057,111.01487939991057,111.01487939991057,111.01487939991057,111.01487939991057,111.01487939991057,111.01487939991057,111.01487939991057,111.01487939991057,111.01487939991057,111.01487939991057,111.01487939991057,113.27889429987408,113.27889429987408,113.27889429987408,113.27889429987408,113.27889429987408,113.27889429987408,113.27889429987408,54,44,44,75,44,70,113.27889429987408,114.89688239991665,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
53,46,78,44,0,14,14,14,,,,,,,,,,,None,114.89688239991665,114.89688239991665,114.89688239991665,114.89688239991665,114.89688239991665,114.89688239991665,i,0.26938610011711717,115.19747879984789,115.19747879984789,115.19747879984789,115.19747879984789,115.19747879984789,115.19747879984789,115.48032239987515,116.51361499982886,116.53001939994283,116.53001939994283,116.53001939994283,116.53001939994283,116.53001939994283,116.53001939994283,116.53001939994283,116.53001939994283,116.53001939994283,116.53001939994283,116.53001939994283,116.53001939994283,116.53001939994283,117.86156370001845,117.86156370001845,117.86156370001845,117.86156370001845,117.86156370001845,117.86156370001845,117.86156370001845,53,44,46,78,46,70,117.86156370001845,119.47919510002248,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
50,41,78,45,0,15,15,15,,,,,,,,,,,None,119.47919510002248,119.47919510002248,119.47919510002248,119.47919510002248,119.47919510002248,119.47919510002248,j,0.28668460017070174,119.79766569985077,119.79766569985077,119.79766569985077,119.79766569985077,119.79766569985077,119.79766569985077,120.07958999997936,121.2959026999306,121.31273030000739,121.31273030000739,121.31273030000739,121.31273030000739,121.31273030000739,121.31273030000739,121.31273030000739,121.31273030000739,121.31273030000739,121.31273030000739,121.31273030000739,121.31273030000739,121.31273030000739,122.82742700004019,122.82742700004019,122.82742700004019,122.82742700004019,122.82742700004019,122.82742700004019,122.82742700004019,50,45,41,78,78,70,122.82742700004019,124.81151919998229,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
49,47,77,45,0,16,16,16,,,,,,,,,,,None,124.81151919998229,124.81151919998229,124.81151919998229,124.81151919998229,124.81151919998229,124.81151919998229,j,0.4329339999239892,125.26228459994309,125.26228459994309,125.26228459994309,125.26228459994309,125.26228459994309,125.26228459994309,125.54540729988366,126.82871679984964,126.84482909995131,126.84482909995131,126.84482909995131,126.84482909995131,126.84482909995131,126.84482909995131,126.84482909995131,126.84482909995131,126.84482909995131,126.84482909995131,126.84482909995131,126.84482909995131,126.84482909995131,128.4266653000377,128.4266653000377,128.4266653000377,128.4266653000377,128.4266653000377,128.4266653000377,128.4266653000377,49,45,47,77,77,70,128.4266653000377,130.11066789994948,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
45,52,68,47,0,17,17,17,,,,,,,,,,,None,130.11066789994948,130.11066789994948,130.11066789994948,130.11066789994948,130.11066789994948,130.11066789994948,j,0.2936994999181479,130.4279163000174,130.4279163000174,130.4279163000174,130.4279163000174,130.4279163000174,130.4279163000174,130.7111907999497,132.19442289997824,132.21067629987374,132.21067629987374,132.21067629987374,132.21067629987374,132.21067629987374,132.21067629987374,132.21067629987374,132.21067629987374,132.21067629987374,132.21067629987374,132.21067629987374,132.21067629987374,132.21067629987374,133.99222359992564,133.99222359992564,133.99222359992564,133.99222359992564,133.99222359992564,133.99222359992564,133.99222359992564,45,47,52,68,68,70,133.99222359992564,135.70986489998177,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
43,43,67,56,0,18,18,18,,,,,,,,,,,None,135.70986489998177,135.70986489998177,135.70986489998177,135.70986489998177,135.70986489998177,135.70986489998177,j,0.4118709000758827,136.1434973999858,136.1434973999858,136.1434973999858,136.1434973999858,136.1434973999858,136.1434973999858,136.4268867999781,137.29362179990858,137.3096826998517,137.3096826998517,137.3096826998517,137.3096826998517,137.3096826998517,137.3096826998517,137.3096826998517,137.3096826998517,137.3096826998517,137.3096826998517,137.3096826998517,137.3096826998517,137.3096826998517,138.4746936999727,138.4746936999727,138.4746936999727,138.4746936999727,138.4746936999727,138.4746936999727,138.4746936999727,43,56,43,67,67,70,138.4746936999727,140.27584549994208,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
40,48,68,50,0,19,19,19,,,,,,,,,,,None,140.27584549994208,140.27584549994208,140.27584549994208,140.27584549994208,140.27584549994208,140.27584549994208,j,0.2454157001338899,140.54264899995178,140.54264899995178,140.54264899995178,140.54264899995178,140.54264899995178,140.54264899995178,140.8260600999929,142.77560930000618,142.7920737999957,142.7920737999957,142.7920737999957,142.7920737999957,142.7920737999957,142.7920737999957,142.7920737999957,142.7920737999957,142.7920737999957,142.7920737999957,142.7920737999957,142.7920737999957,142.7920737999957,145.04017309984192,145.04017309984192,145.04017309984192,145.04017309984192,145.04017309984192,145.04017309984192,145.04017309984192,40,50,48,68,68,70,145.04017309984192,146.82483589998446,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
