arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.823410799959674,20.823410799959674,space,3.3415036001242697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
23,49,57,49,0,0,0,0,,,,,24.198592100059614,24.198592100059614,29.208698899950832,None,30.210993899963796,30.210993899963796,30.210993899963796,30.210993899963796,30.210993899963796,30.210993899963796,r,0.9934480998199433,31.234150199918076,31.234150199918076,31.234150199918076,31.234150199918076,31.234150199918076,31.234150199918076,31.5076649999246,33.22926439996809,33.26619719993323,33.26619719993323,33.26619719993323,33.26619719993323,33.26619719993323,33.26619719993323,33.26619719993323,33.26619719993323,33.26619719993323,33.26619719993323,33.26619719993323,33.26619719993323,33.26619719993323,35.32933990005404,35.32933990005404,35.32933990005404,35.32933990005404,35.32933990005404,35.32933990005404,35.32933990005404,49,57,23,49,57,60,35.32933990005404,37.058402499882504,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
31,50,52,58,0,1,1,1,,,,,,,,None,37.058402499882504,37.058402499882504,37.058402499882504,37.058402499882504,37.058402499882504,37.058402499882504,f,0.37679010001011193,37.45871339994483,37.45871339994483,37.45871339994483,37.45871339994483,37.45871339994483,37.45871339994483,37.74246279988438,38.675210600020364,38.691639999859035,38.691639999859035,38.691639999859035,38.691639999859035,38.691639999859035,38.691639999859035,38.691639999859035,38.691639999859035,38.691639999859035,38.691639999859035,38.691639999859035,38.691639999859035,38.691639999859035,39.92345339991152,39.92345339991152,39.92345339991152,39.92345339991152,39.92345339991152,39.92345339991152,39.92345339991152,58,52,31,50,58,60,39.92345339991152,41.6078035000246,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
33,47,49,48,0,2,2,2,,,,,,,,None,41.6078035000246,41.6078035000246,41.6078035000246,41.6078035000246,41.6078035000246,41.6078035000246,i,0.5578577001579106,42.19149130000733,42.19149130000733,42.19149130000733,42.19149130000733,42.19149130000733,42.19149130000733,42.49182190001011,44.19051970005967,44.19051970005967,44.19051970005967,44.19051970005967,44.19051970005967,44.19051970005967,44.19051970005967,44.19051970005967,44.19051970005967,44.19051970005967,44.19051970005967,44.19051970005967,44.19051970005967,44.19051970005967,46.17216489999555,46.17216489999555,46.17216489999555,46.17216489999555,46.17216489999555,46.17216489999555,46.17216489999555,48,49,33,47,33,60,46.17216489999555,48.05699309986085,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
22,52,57,50,0,3,3,3,,,,,,,,None,48.05699309986085,48.05699309986085,48.05699309986085,48.05699309986085,48.05699309986085,48.05699309986085,r,0.46257660002447665,48.54192589991726,48.54192589991726,48.54192589991726,48.54192589991726,48.54192589991726,48.54192589991726,48.84009179985151,50.00630709994584,50.00630709994584,50.00630709994584,50.00630709994584,50.00630709994584,50.00630709994584,50.00630709994584,50.00630709994584,50.00630709994584,50.00630709994584,50.00630709994584,50.00630709994584,50.00630709994584,50.00630709994584,51.471552500035614,51.471552500035614,51.471552500035614,51.471552500035614,51.471552500035614,51.471552500035614,51.471552500035614,50,57,22,52,57,60,51.471552500035614,53.45554149989039,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
27,52,60,61,0,4,4,4,,,,,,,,None,53.45554149989039,53.45554149989039,53.45554149989039,53.45554149989039,53.45554149989039,53.45554149989039,j,0.2701952999923378,53.75772559992038,53.75772559992038,53.75772559992038,53.75772559992038,53.75772559992038,53.75772559992038,54.03993199998513,55.95556529983878,55.97184200002812,55.97184200002812,55.97184200002812,55.97184200002812,55.97184200002812,55.97184200002812,55.97184200002812,55.97184200002812,55.97184200002812,55.97184200002812,55.97184200002812,55.97184200002812,55.97184200002812,58.187025599880144,58.187025599880144,58.187025599880144,58.187025599880144,58.187025599880144,58.187025599880144,58.187025599880144,61,60,27,52,52,60,58.187025599880144,59.921574800042436,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
30,53,66,55,0,5,5,5,,,,,,,,None,59.921574800042436,59.921574800042436,59.921574800042436,59.921574800042436,59.921574800042436,59.921574800042436,f,0.6920121998991817,60.638309800066054,60.638309800066054,60.638309800066054,60.638309800066054,60.638309800066054,60.638309800066054,60.92191189993173,61.85452449996956,61.871074100025,61.871074100025,61.871074100025,61.871074100025,61.871074100025,61.871074100025,61.871074100025,61.871074100025,61.871074100025,61.871074100025,61.871074100025,61.871074100025,61.871074100025,63.10301829990931,63.10301829990931,63.10301829990931,63.10301829990931,63.10301829990931,63.10301829990931,63.10301829990931,55,66,30,53,55,60,63.10301829990931,64.62050469988026,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
32,55,63,55,0,6,6,6,,,,,,,,None,64.62050469988026,64.62050469988026,64.62050469988026,64.62050469988026,64.62050469988026,64.62050469988026,r,0.5489040999673307,65.19193009985611,65.19193009985611,65.19193009985611,65.19193009985611,65.19193009985611,65.19193009985611,65.48718010005541,66.88659040001221,66.88659040001221,66.88659040001221,66.88659040001221,66.88659040001221,66.88659040001221,66.88659040001221,66.88659040001221,66.88659040001221,66.88659040001221,66.88659040001221,66.88659040001221,66.88659040001221,66.88659040001221,68.58542130002752,68.58542130002752,68.58542130002752,68.58542130002752,68.58542130002752,68.58542130002752,68.58542130002752,55,63,32,55,63,60,68.58542130002752,70.10321950004436,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
31,42,76,54,0,7,7,7,,,,,,,,None,70.10321950004436,70.10321950004436,70.10321950004436,70.10321950004436,70.10321950004436,70.10321950004436,i,0.6345059999730438,70.77109519997612,70.77109519997612,70.77109519997612,70.77109519997612,70.77109519997612,70.77109519997612,71.0532020998653,73.0190415000543,73.03571229986846,73.03571229986846,73.03571229986846,73.03571229986846,73.03571229986846,73.03571229986846,73.03571229986846,73.03571229986846,73.03571229986846,73.03571229986846,73.03571229986846,73.03571229986846,73.03571229986846,75.30090789985843,75.30090789985843,75.30090789985843,75.30090789985843,75.30090789985843,75.30090789985843,75.30090789985843,54,76,31,42,31,60,75.30090789985843,76.93509449996054,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
30,60,69,63,0,8,8,8,,,,,,,,None,76.93509449996054,76.93509449996054,76.93509449996054,76.93509449996054,76.93509449996054,76.93509449996054,r,0.9342471999116242,77.90850789984688,77.90850789984688,77.90850789984688,77.90850789984688,77.90850789984688,77.90850789984688,78.18550130003132,79.11835110001266,79.13462699996307,79.13462699996307,79.13462699996307,79.13462699996307,79.13462699996307,79.13462699996307,79.13462699996307,79.13462699996307,79.13462699996307,79.13462699996307,79.13462699996307,79.13462699996307,79.13462699996307,80.36669220007025,80.36669220007025,80.36669220007025,80.36669220007025,80.36669220007025,80.36669220007025,80.36669220007025,63,69,30,60,69,60,80.36669220007025,82.36760189989582,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
