arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.824302400000306,14.824302400000306,space,6.4510699000002205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３１７,f,２２,2023-05-19_09h28.52.343,RL,2022.2.5,60.08412979858704,
43,29,62,55,0,0,0,0,,,,,21.29852740000024,21.29852740000024,26.2979777999999,26.2979777999999,26.2979777999999,27.303462500000023,None,27.303462500000023,27.303462500000023,27.303462500000023,27.303462500000023,27.303462500000023,27.303462500000023,i,0.5918455000000904,27.930761800000255,27.930761800000255,27.930761800000255,27.930761800000255,27.930761800000255,27.930761800000255,28.218039299999873,29.302969200000007,29.32651470000019,29.32651470000019,29.32651470000019,29.32651470000019,29.32651470000019,29.32651470000019,29.32651470000019,29.32651470000019,29.32651470000019,29.32651470000019,29.32651470000019,29.32651470000019,29.32651470000019,30.765237900000102,30.765237900000102,30.765237900000102,30.765237900000102,30.765237900000102,30.765237900000102,30.765237900000102,43,55,29,62,29,60,30.765237900000102,32.434999099999914,,,,,,,,,,,,,,,,,,,,３１７,f,２２,2023-05-19_09h28.52.343,RL,2022.2.5,60.08412979858704,
36,40,51,54,0,1,1,1,,,,,,,,,,,None,32.434999099999914,32.434999099999914,32.434999099999914,32.434999099999914,32.434999099999914,32.434999099999914,f,0.28457040000012057,32.75608050000028,32.75608050000028,32.75608050000028,32.75608050000028,32.75608050000028,32.75608050000028,33.05157810000037,34.63137760000063,34.63137760000063,34.63137760000063,34.63137760000063,34.63137760000063,34.63137760000063,34.63137760000063,34.63137760000063,34.63137760000063,34.63137760000063,34.63137760000063,34.63137760000063,34.63137760000063,34.63137760000063,36.50093449999986,36.50093449999986,36.50093449999986,36.50093449999986,36.50093449999986,36.50093449999986,36.50093449999986,36,54,40,51,36,60,36.50093449999986,38.317266400000335,,,,,,,,,,,,,,,,,,,,３１７,f,２２,2023-05-19_09h28.52.343,RL,2022.2.5,60.08412979858704,
43,44,51,57,0,2,2,2,,,,,,,,,,,None,38.317266400000335,38.317266400000335,38.317266400000335,38.317266400000335,38.317266400000335,38.317266400000335,r,0.3205471999999645,38.67281610000009,38.67281610000009,38.67281610000009,38.67281610000009,38.67281610000009,38.67281610000009,38.96737630000007,39.82107790000009,39.82107790000009,39.82107790000009,39.82107790000009,39.82107790000009,39.82107790000009,39.82107790000009,39.82107790000009,39.82107790000009,39.82107790000009,39.82107790000009,39.82107790000009,39.82107790000009,39.82107790000009,40.96645609999996,40.96645609999996,40.96645609999996,40.96645609999996,40.96645609999996,40.96645609999996,40.96645609999996,43,57,44,51,57,60,40.96645609999996,42.76650510000036,,,,,,,,,,,,,,,,,,,,３１７,f,２２,2023-05-19_09h28.52.343,RL,2022.2.5,60.08412979858704,
50,49,57,63,0,3,3,3,,,,,,,,,,,None,42.76650510000036,42.76650510000036,42.76650510000036,42.76650510000036,42.76650510000036,42.76650510000036,j,0.3600157999999283,43.15457470000001,43.15457470000001,43.15457470000001,43.15457470000001,43.15457470000001,43.15457470000001,43.44954510000025,45.15048180000031,45.1687993000005,45.1687993000005,45.1687993000005,45.1687993000005,45.1687993000005,45.1687993000005,45.1687993000005,45.1687993000005,45.1687993000005,45.1687993000005,45.1687993000005,45.1687993000005,45.1687993000005,47.183334000000286,47.183334000000286,47.183334000000286,47.183334000000286,47.183334000000286,47.183334000000286,47.183334000000286,50,63,49,57,57,60,47.183334000000286,49.09909220000009,,,,,,,,,,,,,,,,,,,,３１７,f,２２,2023-05-19_09h28.52.343,RL,2022.2.5,60.08412979858704,
37,37,51,63,0,4,4,4,,,,,,,,,,,None,49.09909220000009,49.09909220000009,49.09909220000009,49.09909220000009,49.09909220000009,49.09909220000009,r,0.3532713999993575,49.48597450000034,49.48597450000034,49.48597450000034,49.48597450000034,49.48597450000034,49.48597450000034,49.76525480000055,51.63174489999983,51.664413200000126,51.664413200000126,51.664413200000126,51.664413200000126,51.664413200000126,51.664413200000126,51.664413200000126,51.664413200000126,51.664413200000126,51.664413200000126,51.664413200000126,51.664413200000126,51.664413200000126,53.8331904000006,53.8331904000006,53.8331904000006,53.8331904000006,53.8331904000006,53.8331904000006,53.8331904000006,37,63,37,51,63,60,53.8331904000006,55.78083550000065,,,,,,,,,,,,,,,,,,,,３１７,f,２２,2023-05-19_09h28.52.343,RL,2022.2.5,60.08412979858704,
43,41,49,61,0,5,5,5,,,,,,,,,,,None,55.78083550000065,55.78083550000065,55.78083550000065,55.78083550000065,55.78083550000065,55.78083550000065,j,0.32238430000052176,56.13489579999987,56.13489579999987,56.13489579999987,56.13489579999987,56.13489579999987,56.13489579999987,56.41374580000047,57.580283500000405,57.59922520000055,57.59922520000055,57.59922520000055,57.59922520000055,57.59922520000055,57.59922520000055,57.59922520000055,57.59922520000055,57.59922520000055,57.59922520000055,57.59922520000055,57.59922520000055,57.59922520000055,59.06415040000047,59.06415040000047,59.06415040000047,59.06415040000047,59.06415040000047,59.06415040000047,59.06415040000047,43,61,41,49,49,60,59.06415040000047,60.613549700000476,,,,,,,,,,,,,,,,,,,,３１７,f,２２,2023-05-19_09h28.52.343,RL,2022.2.5,60.08412979858704,
46,42,50,59,0,6,6,6,,,,,,,,,,,None,60.613549700000476,60.613549700000476,60.613549700000476,60.613549700000476,60.613549700000476,60.613549700000476,r,0.31801569999970525,60.97896140000012,60.97896140000012,60.97896140000012,60.97896140000012,60.97896140000012,60.97896140000012,61.24658350000027,62.580535000000054,62.61512070000026,62.61512070000026,62.61512070000026,62.61512070000026,62.61512070000026,62.61512070000026,62.61512070000026,62.61512070000026,62.61512070000026,62.61512070000026,62.61512070000026,62.61512070000026,62.61512070000026,64.24674760000016,64.24674760000016,64.24674760000016,64.24674760000016,64.24674760000016,64.24674760000016,64.24674760000016,46,59,42,50,59,60,64.24674760000016,65.9793725999998,,,,,,,,,,,,,,,,,,,,３１７,f,２２,2023-05-19_09h28.52.343,RL,2022.2.5,60.08412979858704,
33,42,48,62,0,7,7,7,,,,,,,,,,,None,65.9793725999998,65.9793725999998,65.9793725999998,65.9793725999998,65.9793725999998,65.9793725999998,r,0.3855993999995917,66.39955040000041,66.39955040000041,66.39955040000041,66.39955040000041,66.39955040000041,66.39955040000041,66.67948200000046,67.79442999999992,67.82917590000034,67.82917590000034,67.82917590000034,67.82917590000034,67.82917590000034,67.82917590000034,67.82917590000034,67.82917590000034,67.82917590000034,67.82917590000034,67.82917590000034,67.82917590000034,67.82917590000034,69.24523090000002,69.24523090000002,69.24523090000002,69.24523090000002,69.24523090000002,69.24523090000002,69.24523090000002,33,62,42,48,62,60,69.24523090000002,71.11773720000019,,,,,,,,,,,,,,,,,,,,３１７,f,２２,2023-05-19_09h28.52.343,RL,2022.2.5,60.08412979858704,
38,42,50,58,0,8,8,8,,,,,,,,,,,None,71.11773720000019,71.11773720000019,71.11773720000019,71.11773720000019,71.11773720000019,71.11773720000019,r,0.5763986000001751,71.72606170000017,71.72606170000017,71.72606170000017,71.72606170000017,71.72606170000017,71.72606170000017,72.02551709999989,73.04137900000023,73.04137900000023,73.04137900000023,73.04137900000023,73.04137900000023,73.04137900000023,73.04137900000023,73.04137900000023,73.04137900000023,73.04137900000023,73.04137900000023,73.04137900000023,73.04137900000023,73.04137900000023,74.35679020000043,74.35679020000043,74.35679020000043,74.35679020000043,74.35679020000043,74.35679020000043,74.35679020000043,38,58,42,50,58,60,74.35679020000043,75.99084270000003,,,,,,,,,,,,,,,,,,,,３１７,f,２２,2023-05-19_09h28.52.343,RL,2022.2.5,60.08412979858704,
