arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,27.660996299935505,27.660996299935505,space,6.473899099975824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,ｍ,２１,2023-05-13_15h49.41.587,RL,2022.2.5,59.98821833594402,
26,37,67,72,0,0,0,0,,,,,34.16680569993332,34.16680569993332,39.178001099964604,None,40.180867600021884,40.180867600021884,40.180867600021884,40.180867600021884,40.180867600021884,40.180867600021884,r,0.43721899995580316,40.65089510008693,40.65089510008693,40.65089510008693,40.65089510008693,40.65089510008693,40.65089510008693,40.94542029988952,42.62906070007011,42.62906070007011,42.62906070007011,42.62906070007011,42.62906070007011,42.62906070007011,42.62906070007011,42.62906070007011,42.62906070007011,42.62906070007011,42.62906070007011,42.62906070007011,42.62906070007011,42.62906070007011,44.65277500008233,44.65277500008233,44.65277500008233,44.65277500008233,44.65277500008233,44.65277500008233,44.65277500008233,26,67,72,37,67,70,44.65277500008233,46.294378499966115,,,,,,,,,,,,,,,,,,,006,ｍ,２１,2023-05-13_15h49.41.587,RL,2022.2.5,59.98821833594402,
22,55,69,70,0,1,1,1,,,,,,,,None,46.294378499966115,46.294378499966115,46.294378499966115,46.294378499966115,46.294378499966115,46.294378499966115,f,0.31069070007652044,46.630244199885055,46.630244199885055,46.630244199885055,46.630244199885055,46.630244199885055,46.630244199885055,46.91118360008113,47.94407150009647,47.94407150009647,47.94407150009647,47.94407150009647,47.94407150009647,47.94407150009647,47.91074729990214,47.94407150009647,47.94407150009647,47.94407150009647,47.94407150009647,47.94407150009647,47.94407150009647,47.94407150009647,49.242305600084364,49.242305600084364,49.242305600084364,49.242305600084364,49.242305600084364,49.242305600084364,49.242305600084364,22,69,70,55,22,70,49.242305600084364,50.77733219997026,,,,,,,,,,,,,,,,,,,006,ｍ,２１,2023-05-13_15h49.41.587,RL,2022.2.5,59.98821833594402,
17,53,69,69,0,2,2,2,,,,,,,,None,50.77733219997026,50.77733219997026,50.77733219997026,50.77733219997026,50.77733219997026,50.77733219997026,f,0.3784629001747817,51.17706159991212,51.17706159991212,51.17706159991212,51.17706159991212,51.17706159991212,51.17706159991212,51.46019249991514,52.709799899952486,52.709799899952486,52.709799899952486,52.709799899952486,52.709799899952486,52.709799899952486,52.69346829992719,52.709799899952486,52.709799899952486,52.709799899952486,52.709799899952486,52.709799899952486,52.709799899952486,52.709799899952486,54.24170139990747,54.24170139990747,54.24170139990747,54.24170139990747,54.24170139990747,54.24170139990747,54.24170139990747,17,69,69,53,17,70,54.24170139990747,55.75956919998862,,,,,,,,,,,,,,,,,,,006,ｍ,２１,2023-05-13_15h49.41.587,RL,2022.2.5,59.98821833594402,
32,37,76,72,0,3,3,3,,,,,,,,None,55.75956919998862,55.75956919998862,55.75956919998862,55.75956919998862,55.75956919998862,55.75956919998862,r,0.28719389997422695,56.07818010007031,56.07818010007031,56.07818010007031,56.07818010007031,56.07818010007031,56.07818010007031,56.359824399929494,57.52561010001227,57.52561010001227,57.52561010001227,57.52561010001227,57.52561010001227,57.52561010001227,57.492611499968916,57.52561010001227,57.52561010001227,57.52561010001227,57.52561010001227,57.52561010001227,57.52561010001227,57.52561010001227,58.957231499953195,58.957231499953195,58.957231499953195,58.957231499953195,58.957231499953195,58.957231499953195,58.957231499953195,32,76,72,37,76,70,58.957231499953195,60.55788159999065,,,,,,,,,,,,,,,,,,,006,ｍ,２１,2023-05-13_15h49.41.587,RL,2022.2.5,59.98821833594402,
30,50,65,65,0,4,4,4,,,,,,,,None,60.55788159999065,60.55788159999065,60.55788159999065,60.55788159999065,60.55788159999065,60.55788159999065,r,0.32320629991590977,60.90864060004242,60.90864060004242,60.90864060004242,60.90864060004242,60.90864060004242,60.90864060004242,61.20860280003399,62.64150830009021,62.64150830009021,62.64150830009021,62.64150830009021,62.64150830009021,62.64150830009021,62.64150830009021,62.64150830009021,62.64150830009021,62.64150830009021,62.64150830009021,62.64150830009021,62.64150830009021,62.64150830009021,64.37299340008758,64.37299340008758,64.37299340008758,64.37299340008758,64.37299340008758,64.37299340008758,64.37299340008758,30,65,65,50,65,70,64.37299340008758,66.14115939987823,,,,,,,,,,,,,,,,,,,006,ｍ,２１,2023-05-13_15h49.41.587,RL,2022.2.5,59.98821833594402,
26,49,62,61,0,5,5,5,,,,,,,,None,66.14115939987823,66.14115939987823,66.14115939987823,66.14115939987823,66.14115939987823,66.14115939987823,r,0.3046738998964429,66.47686560009606,66.47686560009606,66.47686560009606,66.47686560009606,66.47686560009606,66.47686560009606,66.77423109998927,68.57446569995955,68.57446569995955,68.57446569995955,68.57446569995955,68.57446569995955,68.57446569995955,68.57446569995955,68.57446569995955,68.57446569995955,68.57446569995955,68.57446569995955,68.57446569995955,68.57446569995955,68.57446569995955,70.67217030003667,70.67217030003667,70.67217030003667,70.67217030003667,70.67217030003667,70.67217030003667,70.67217030003667,26,62,61,49,62,70,70.67217030003667,72.22295639989898,,,,,,,,,,,,,,,,,,,006,ｍ,２１,2023-05-13_15h49.41.587,RL,2022.2.5,59.98821833594402,
18,44,62,52,0,6,6,6,,,,,,,,None,72.22295639989898,72.22295639989898,72.22295639989898,72.22295639989898,72.22295639989898,72.22295639989898,r,0.2600008000154048,72.50741610000841,72.50741610000841,72.50741610000841,72.50741610000841,72.50741610000841,72.50741610000841,72.8071709999349,74.12319609988481,74.12319609988481,74.12319609988481,74.12319609988481,74.12319609988481,74.12319609988481,74.12319609988481,74.12319609988481,74.12319609988481,74.12319609988481,74.12319609988481,74.12319609988481,74.12319609988481,74.12319609988481,75.73760419990867,75.73760419990867,75.73760419990867,75.73760419990867,75.73760419990867,75.73760419990867,75.73760419990867,18,62,52,44,62,70,75.73760419990867,77.28890779986978,,,,,,,,,,,,,,,,,,,006,ｍ,２１,2023-05-13_15h49.41.587,RL,2022.2.5,59.98821833594402,
23,57,71,63,0,7,7,7,,,,,,,,None,77.28890779986978,77.28890779986978,77.28890779986978,77.28890779986978,77.28890779986978,77.28890779986978,r,0.2544046000111848,77.57274010009132,77.57274010009132,77.57274010009132,77.57274010009132,77.57274010009132,77.57274010009132,77.85591679997742,78.90551239997149,78.90551239997149,78.90551239997149,78.90551239997149,78.90551239997149,78.90551239997149,78.8891187000554,78.90551239997149,78.90551239997149,78.90551239997149,78.90551239997149,78.90551239997149,78.90551239997149,78.90551239997149,80.2369544999674,80.2369544999674,80.2369544999674,80.2369544999674,80.2369544999674,80.2369544999674,80.2369544999674,23,71,63,57,71,70,80.2369544999674,81.77114590001293,,,,,,,,,,,,,,,,,,,006,ｍ,２１,2023-05-13_15h49.41.587,RL,2022.2.5,59.98821833594402,
26,61,78,62,0,8,8,8,,,,,,,,None,81.77114590001293,81.77114590001293,81.77114590001293,81.77114590001293,81.77114590001293,81.77114590001293,r,0.3141823001205921,82.10496170003898,82.10496170003898,82.10496170003898,82.10496170003898,82.10496170003898,82.10496170003898,82.38854059996083,83.38779420009814,83.38779420009814,83.38779420009814,83.38779420009814,83.38779420009814,83.38779420009814,83.37103169993497,83.38779420009814,83.38779420009814,83.38779420009814,83.38779420009814,83.38779420009814,83.38779420009814,83.38779420009814,84.66969270003028,84.66969270003028,84.66969270003028,84.66969270003028,84.66969270003028,84.66969270003028,84.66969270003028,26,78,62,61,78,70,84.66969270003028,86.50369179993868,,,,,,,,,,,,,,,,,,,006,ｍ,２１,2023-05-13_15h49.41.587,RL,2022.2.5,59.98821833594402,
