,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
persev_a_1[1],0.1743429686765351,0.003431331214440576,0.2502695600128034,-0.29308848589934733,0.004372197049989821,0.16920765557540582,0.33976917147721947,0.673949565987684,5319.744548383685,1.000016883006367
persev_a_1[2],1.1203873523822654,0.005652948351130812,0.4515851299569274,0.3770587041449671,0.8008878319791204,1.068795522015556,1.3904069218667177,2.149392936376083,6381.594880175777,0.9998748997802618
persev_a_1[3],0.1288536052422901,0.0037388495231077024,0.2898701268962615,-0.46198479966470757,-0.05774784915533864,0.14077220329739337,0.32204957826079506,0.6815230319271285,6010.781599109445,0.9999294029701269
persev_a_1[4],0.4346946401822388,0.002267317016304599,0.1737702195652535,0.103218603044919,0.31552289917188225,0.4302590953762613,0.5459947855623938,0.7943264337842126,5873.895350630025,0.9997534286981243
persev_a_1[5],0.03570526411808556,0.0017232715050180837,0.13027208129712525,-0.21545772483223796,-0.05221571085754359,0.034162800818520814,0.12341842792888327,0.29011534910312786,5714.7243861361285,1.0007770447286544
persev_a_0[1],0.262967102542505,0.0027160876093894463,0.19596237754285262,-0.11371562328202893,0.12904045169025027,0.25948960553465855,0.39931060366265025,0.6494586606494102,5205.444869769389,0.9999087903269077
persev_a_0[2],0.5781116434396268,0.00262044568705256,0.1942258645785806,0.21227745844256568,0.4466959957791985,0.5736921233235959,0.7019454364301615,0.9740501879374983,5493.685599010321,0.9998791758140763
persev_a_0[3],0.4735982206655872,0.005017856083294502,0.3898106325212477,-0.18310632785800268,0.1966303074961463,0.4375571809527554,0.7127696401710402,1.3509051490151291,6034.9122439961475,1.0002435205069014
persev_a_0[4],0.2431309515373295,0.0019816093826459965,0.14574516009004876,-0.03400616404724266,0.1444582931488544,0.24070834791753964,0.340008925526894,0.5361380354106204,5409.43844695179,0.9999018469385873
persev_a_0[5],1.1827215042336825,0.00571309962229687,0.48662054003530386,0.3651991725862196,0.8353094835493433,1.1324640399737869,1.4910018141394064,2.2437809936864435,7254.997688818871,1.0001108934197183
beta_b[1],0.055980218814827155,0.0002926448580271949,0.02462558265135907,0.010980034944078633,0.038354199932346164,0.0551040662447575,0.07220777831875597,0.10690570475677516,7080.94521740773,1.0001229815152022
beta_b[2],0.07992679800817619,0.0001691137859038519,0.015526820581870951,0.05025889847264026,0.06938717426999044,0.07959624448479374,0.09011957112835518,0.11140280939510652,8429.601513950929,0.9998205681485806
beta_b[3],0.009030530981900167,6.593917320674096e-05,0.005635498015335533,0.0005405133851574595,0.004603968377233048,0.008327555571916334,0.012828715733129737,0.0214742712350154,7304.283274730199,0.9999030127625981
beta_b[4],0.049091609803583985,0.00015768643452425561,0.012878682892434289,0.024282150596033655,0.040156822350148356,0.04892232015121739,0.05788126852655832,0.07449100421690812,6670.436173210538,0.9996462850598464
beta_b[5],0.06250802611102849,0.0001414402741238217,0.013123852715909715,0.03716861302437189,0.053462030951291054,0.06241928208739689,0.07128633208392224,0.08853801670176861,8609.471979132833,1.0001606326906058
phi_b[1],-0.10251897948578309,0.0005266851316926216,0.044435981669523325,-0.19653182939793812,-0.13121641347043458,-0.10035288855190294,-0.07175459020409085,-0.020740843421353537,7118.155006646517,0.9996372629685545
phi_b[2],-0.041668244139387536,0.0006818154378797397,0.06087915498487314,-0.1615364178312806,-0.08207893158590937,-0.04065444311508522,-0.0006636760970619288,0.07707623469113054,7972.666000504051,1.00033240492082
phi_b[3],0.3001978159229319,0.0008811863168758174,0.08467454290815753,0.13445684347535142,0.24401268296942544,0.2989433142075889,0.3570351081494494,0.4699815994392508,9233.582465865076,0.9997411843931177
phi_b[4],0.010259939743127751,0.0006514639873460581,0.05674328368556765,-0.10055892513913038,-0.02818288098507315,0.010778479104443881,0.04854803952308148,0.11993559789312512,7586.616001337747,1.000010751327249
phi_b[5],-0.14279478992297368,0.000563457102578969,0.048631296751388886,-0.2433504862632318,-0.1750761188710018,-0.14012613833440873,-0.10880614156952068,-0.05479521378873742,7449.206009183299,1.0001584851616308
persev_b[1],2.239097138038228,0.011983593060750133,0.8302771316850127,0.6527247440427604,1.6686152248937902,2.227806116694122,2.7941390104079615,3.8935459810555155,4800.340532629297,1.0000038599293937
persev_b[2],0.9226385256708414,0.009643633721762553,0.7065646744618306,-0.4587645176942517,0.44489522555564376,0.926912878459333,1.4006798641763218,2.3112115757149794,5368.122616986757,0.9999760971320208
persev_b[3],-1.6692959342639793,0.012982828387142325,0.9927146717083989,-3.7865129808986717,-2.304201499877479,-1.6325471887087042,-0.9954839103659912,0.18566965405038824,5846.692432289269,0.99970035229393
persev_b[4],0.34492772356785145,0.00769508103841142,0.5528835394667918,-0.7474727926497771,-0.037421073872475355,0.34694997384194703,0.7234249532321473,1.423259590781814,5162.272488029084,0.9997513254943088
persev_b[5],-0.4028522920516897,0.007156512564318579,0.5408342221201546,-1.476875442921856,-0.7589046222215705,-0.40675313667561985,-0.03920176019644038,0.6555893478065569,5711.174800964423,1.00046385922846
lp__,-670.6207366614661,0.06801339638829788,3.7685474221240827,-678.9894601374857,-672.9687083900695,-670.3330086641319,-667.9099220767235,-664.233301554732,3070.1461063116903,1.0024805055474948
