Unnamed: 0,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
phi_a_0[1],-0.0231685413507829,0.0001989604550997,0.0187918320928603,-0.0585935651486892,-0.035599489763002,-0.0237390071280158,-0.0113985206636759,0.0163305045406868,8920.818743590658,0.9997498261584212
phi_a_0[2],-0.0679671959189778,0.0002225848843522,0.0200182804248473,-0.1082840393171506,-0.0812831558961919,-0.0676491794579493,-0.0543830875734217,-0.0293085263818435,8088.392187017533,0.9998685820243336
phi_a_0[3],-0.0825334832446681,0.0002651486301359,0.0234230412524641,-0.1289215089029508,-0.0980946687410125,-0.0822576337876748,-0.0664680017877795,-0.0378287596992161,7803.829839051965,1.0003094124198064
phi_a_0[4],-0.027466182201251,0.0002067472400993,0.0185707489063335,-0.0646238597601872,-0.0397436261129364,-0.0271895878972391,-0.0147703632365545,0.0084327443834267,8068.250886189038,1.0008130076529578
phi_a_0[5],-0.1008621724255951,0.0002612550142293,0.0245051292040463,-0.1518425615957118,-0.1167957018554869,-0.1001054577066133,-0.0843986509168299,-0.0541432848015103,8798.015530536422,0.9997786572116718
phi_a_0[6],-0.0537448440983915,0.0002401502184594,0.0205635603202827,-0.0943694897957291,-0.0676647023994923,-0.0538220972129415,-0.040039346863433,-0.0137731581157416,7332.138277502358,0.9999603033094442
phi_a_0[7],-0.0385711336618016,0.0002259943251629,0.0187082487263555,-0.0771935209816618,-0.0507544045366957,-0.0379470524910461,-0.0256630600678108,-0.0026877374611841,6852.849634396833,0.9998717879170904
phi_a_0[8],-0.055516038060055,0.0002034888953829,0.0177993840175736,-0.0909840762060261,-0.0677466361942538,-0.055297330761727,-0.0434055302496704,-0.0217883315164989,7651.181729632932,1.000133178515055
phi_a_0[9],-0.0546318111292713,0.0002379534553617,0.018405523852739,-0.0943672228987851,-0.0660020475106349,-0.0537152830927045,-0.0418904788158198,-0.0211830383495035,5982.908130510154,0.9998668268830262
phi_a_0[10],-0.0247037209323154,0.0001891257523597,0.0158503284325438,-0.0556443568596735,-0.0353613655986427,-0.0247280093173838,-0.0137726371424655,0.0053119564431737,7023.849442460855,1.0000108818850324
phi_a_0[1],-0.0779029330438804,0.0003119664102308,0.022178605376801,-0.1245675931857195,-0.0920024255545265,-0.0769134630241466,-0.0626154074210247,-0.0378373951309211,5054.20433679535,1.0005865496812956
phi_a_0[2],-0.0982915235343146,0.0003327570480846,0.0229281070967853,-0.1440483970462728,-0.1136269330955595,-0.0976089030894927,-0.0824580535926113,-0.0557694073528052,4747.684789075141,1.0003145257077823
phi_a_0[3],-0.0668093977120317,0.0003669416009608,0.0320619868448481,-0.1303373180553697,-0.0881589495138758,-0.0664169177480274,-0.0448663237816295,-0.0041702537999449,7634.611818589134,0.9999532864729146
phi_a_0[4],-0.0776414760285669,0.0002250664679162,0.018856831119773,-0.1154033894110856,-0.0900254954086782,-0.0773783920714118,-0.0645701006179035,-0.0418729675798785,7019.656039653983,1.0002458312604885
phi_a_0[5],-0.1023044868114942,0.0003155079858803,0.028372925989256,-0.1598073908566908,-0.1208455800650856,-0.1023469814514459,-0.0832839977378563,-0.0469968844692765,8087.001766041983,1.0002275936128142
phi_a_0[6],-0.0754822351265738,0.0002982092888311,0.0219583238010952,-0.1205651977782335,-0.0894513907639619,-0.0747054636438355,-0.0605527929753709,-0.0352071307584172,5421.956586506382,0.9997200533466502
phi_a_0[7],-0.0014085109601623,0.0003070169878046,0.025211171890634,-0.0472764447980878,-0.0185681286902741,-0.0029528607639509,0.0141768345014684,0.0533508340207346,6743.125676659725,1.000365086774298
phi_a_0[8],-0.0638998537265763,0.0002189259630756,0.0190508592397484,-0.1027392675384596,-0.0765398536969854,-0.0635848115001583,-0.0507673246292538,-0.0281071600608895,7572.418338977709,0.9999961033324558
phi_a_0[9],-0.128592579307777,0.0004908042635083,0.0449043489744938,-0.2258074126815616,-0.1569301995126179,-0.1247827635441595,-0.0959217360700371,-0.0529308446174522,8370.668735547291,0.9998273002421444
phi_a_0[10],-0.0973019397796866,0.0002878857847329,0.0245016494608316,-0.1474608740839084,-0.1132559159595369,-0.0962614142867831,-0.0806464734174118,-0.0522413338745748,7243.528996065274,0.999730998467976
phi_a_0[1],-0.0148964115872498,0.0003379159837272,0.0253819164903264,-0.0643267871659208,-0.0321398386360516,-0.0145725747682139,0.0024828675783143,0.0350704749560036,5641.977530660015,1.0000539423232548
phi_a_0[2],-0.0598865418279413,0.0002860184438956,0.0219132587025552,-0.1034527477543963,-0.0745256391191137,-0.0596877897352321,-0.0449938596084884,-0.0177001986753862,5869.834450987229,1.0001353971637068
phi_a_0[3],-0.0481138263348344,0.0001858442686415,0.0152599989690625,-0.0778075272732947,-0.0585090621457445,-0.0478983400723141,-0.0378960335321359,-0.018132991668758,6742.340233376138,1.0001296309847174
phi_a_0[4],-0.0378748931020417,0.0002365945858677,0.017534165018373,-0.0735984830924323,-0.0493820215267,-0.0373356940188353,-0.0260613786496606,-0.0046097634824462,5492.379969205647,1.000446980211172
phi_a_0[5],-0.0742715314661532,0.000251560214803,0.020323056296199,-0.1165855765032905,-0.0872216553957218,-0.0735439237441067,-0.0604553415724676,-0.0361041202434522,6526.707150302291,0.9999828273662696
phi_a_0[6],-0.1161090744418442,0.000773524183209,0.0518224010330085,-0.2255514644081713,-0.1489408232683752,-0.1131839466133703,-0.0795042709528562,-0.0220900718542839,4488.3557272601565,0.9999886683385651
