,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
phi_a_1[1],0.008505903133479436,0.00047985565563074046,0.03214748541969218,-0.053312098506757374,-0.01320741966616239,0.008281909085954938,0.029835672303963813,0.07248933482302022,4488.205983800268,1.0003452412629488
phi_a_1[2],-0.09969096369441172,0.0004989044577842356,0.04679405073366281,-0.1979833891460858,-0.13040713947432866,-0.09675739591153006,-0.06625832002698753,-0.016548697436193763,8797.2414997941,1.000064438591534
phi_a_1[3],-0.06473291039790141,0.00058317377718353,0.04551673659472552,-0.15469974519999657,-0.09518591246322042,-0.06418080547886607,-0.03390006916492519,0.022044844133618725,6091.808732919902,0.9997741545134411
phi_a_1[4],-0.019158720071654346,0.0004690111164887342,0.03591057276170966,-0.09090544149847493,-0.0425767464655363,-0.019055313307275584,0.00524117113677122,0.05022366120706641,5862.439733082422,1.000184368825055
phi_a_1[5],0.03732598800166167,0.0005772708654672461,0.044507185032284055,-0.05284891865924843,0.00754790095400348,0.03897719253464771,0.06818105136588717,0.12098477445424535,5944.303501414293,1.0000582949395909
persev_a_1[1],-0.16772489482811676,0.0021382277114469746,0.14646419152792475,-0.46208853564571767,-0.2642832558706092,-0.16572825847076758,-0.06819309355124009,0.11137378943147878,4691.967658852065,1.0003911612259555
persev_a_1[2],-0.2537677086336048,0.0026528933214581872,0.2145813310875276,-0.680924588851455,-0.39570641120334205,-0.25332524289390546,-0.11534706298830545,0.17895755076402303,6542.5085235082415,1.0004712996246303
persev_a_1[3],-0.3388558671124043,0.00299578176241576,0.2210889173364713,-0.7759141292439224,-0.48674011102038084,-0.33567523376556974,-0.19188865760800872,0.09355543796557607,5446.451000366192,0.9998180827036744
persev_a_1[4],0.22040013870697622,0.0028146943978546684,0.2132359575903357,-0.18038940820841526,0.07467733695738205,0.21505962359045355,0.3606402048344416,0.650468021375905,5739.292833911319,1.0001715675518015
persev_a_1[5],0.9949614184556133,0.004501028112927392,0.35039407775571585,0.3677080419175127,0.7463460530724744,0.9785047739528328,1.222034139623446,1.7206086992897545,6060.24334764166,1.0001268669967944
