bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,image_2.started,image_2.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,rest_response.rt,image.started,image.stopped,key_resp.keys,key_resp.started,key_resp.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,835.4678211999126,None,space,17.3577290000394,835.4678211999126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
,,,,,,,,,,,852.8584092999808,None,space,141.19058900000528,852.8584092999808,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,0,0,0,0,,,,,,,,,,,,,994.0848747002892,None,None,None,None,None,None,995.1130782002583,None,995.1130782002583,None,995.1130782002583,None,995.1130782002583,None,f,0.5378767000511289,995.1130782002583,None,995.1130782002583,None,995.7056900002062,None,995.7056900002062,None,995.7056900002062,None,995.7056900002062,None,995.7056900002062,None,995.7056900002062,None,995.9907301999629,997.6192201999947,995.9907301999629,997.6192201999947,997.6574265002273,None,997.6574265002273,None,997.6574265002273,None,997.6574265002273,None,997.6574265002273,None,997.6574265002273,None,997.6574265002273,None,997.6574265002273,None,997.6574265002273,None,59,34,45,63,34,28,1000.1755591998808,None,5.0,3.5832564998418093,1000.1755591998808,None,1000.1755591998808,None,1000.1755591998808,None,1000.1755591998808,None,None,None,1003.8556809001602,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,1,0,1,0,,,,,,,,,,,,,,,None,None,None,None,None,1005.6805231999606,None,1005.6805231999606,None,1005.6805231999606,None,1005.6805231999606,None,f,0.5291272001340985,1005.6805231999606,None,1005.6805231999606,None,1006.2384401001036,None,1006.2384401001036,None,1006.2384401001036,None,1006.2384401001036,None,1006.2384401001036,None,1006.2384401001036,None,1006.5289381998591,1007.7916214000434,1006.5289381998591,1007.7916214000434,1007.8189592999406,None,1007.8189592999406,None,1007.8189592999406,None,1007.8189592999406,None,1007.8189592999406,None,1007.8189592999406,None,1007.8189592999406,None,1007.8189592999406,None,1007.8189592999406,None,53,28,50,56,28,26,1010.325385000091,None,5.0,2.2819659002125263,1010.325385000091,None,1010.325385000091,None,1010.325385000091,None,1010.325385000091,None,None,None,1012.627538099885,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,2,0,2,0,,,,,,,,,,,,,,,None,None,None,None,None,1014.1576390000992,None,1014.1576390000992,None,1014.1576390000992,None,1014.1576390000992,None,r,0.6339321001432836,1014.1576390000992,None,1014.1576390000992,None,1014.8348886999302,None,1014.8348886999302,None,1014.8348886999302,None,1014.8348886999302,None,1014.8348886999302,None,1014.8348886999302,None,1015.1216239002533,1016.3683611000888,1015.1216239002533,1016.3683611000888,1016.3932429999113,None,1016.3932429999113,None,1016.3932429999113,None,1016.3932429999113,None,1016.3932429999113,None,1016.3932429999113,None,1016.3932429999113,None,1016.3932429999113,None,1016.3932429999113,None,59,34,47,68,59,58,1018.9006640003063,None,7.0,2.135915799997747,1018.9006640003063,None,1018.9006640003063,None,1018.9006640003063,None,1018.9006640003063,None,None,None,1021.0545586999506,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,3,0,3,0,,,,,,,,,,,,,,,None,None,None,None,None,1022.6344563001767,None,1022.6344563001767,None,1022.6344563001767,None,1022.6344563001767,None,i,0.32101850025355816,1022.6344563001767,None,1022.6344563001767,None,1022.9927683002315,None,1022.9927683002315,None,1022.9927683002315,None,1022.9927683002315,None,1022.9927683002315,None,1022.9927683002315,None,1023.2829900002107,None,1023.2829900002107,None,1024.5379122998565,None,1024.5379122998565,None,1024.5379122998565,None,1024.5379122998565,None,1024.5379122998565,None,1024.5379122998565,None,1024.5379122998565,None,1024.5379122998565,None,1024.5379122998565,None,58,29,34,63,34,37,1027.0446667000651,None,7.0,2.184804099611938,1027.0446667000651,None,1027.0446667000651,None,1027.0446667000651,None,1027.0446667000651,None,None,None,1029.2491934001446,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,4,0,4,0,,,,,,,,,,,,,,,None,None,None,None,None,1031.0610433002003,None,1031.0610433002003,None,1031.0610433002003,None,1031.0610433002003,None,j,0.6806005001999438,1031.0610433002003,None,1031.0610433002003,None,1031.7735302001238,None,1031.7735302001238,None,1031.7735302001238,None,1031.7735302001238,None,1031.7735302001238,None,1031.7735302001238,None,1032.0592225999571,None,1032.0592225999571,None,1033.5249254000373,None,1033.5249254000373,None,1033.5249254000373,None,1033.5249254000373,None,1033.5249254000373,None,1033.5249254000373,None,1033.5249254000373,None,1033.5249254000373,None,1033.5249254000373,None,63,23,34,60,60,60,1036.0355982999317,None,7.0,1.422227299772203,1036.0355982999317,None,1036.0355982999317,None,1036.0355982999317,None,1036.0355982999317,None,None,None,1037.4662947999313,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,5,0,5,0,,,,,,,,,,,,,,,None,None,None,None,None,1039.1389888999984,None,1039.1389888999984,None,1039.1389888999984,None,1039.1389888999984,None,f,0.3402412999421358,1039.1389888999984,None,1039.1389888999984,None,1039.515597099904,None,1039.515597099904,None,1039.515597099904,None,1039.515597099904,None,1039.515597099904,None,1039.515597099904,None,1039.8042839001864,1041.4000404002145,1039.8042839001864,1041.4000404002145,1041.420492600184,None,1041.420492600184,None,1041.420492600184,None,1041.420492600184,None,1041.420492600184,None,1041.420492600184,None,1041.420492600184,None,1041.420492600184,None,1041.420492600184,None,54,28,35,54,28,49,1043.9294556998648,None,4.0,2.7366184000857174,1043.9294556998648,None,1043.9294556998648,None,1043.9294556998648,None,1043.9294556998648,None,None,None,1046.6845086999238,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,6,0,6,0,,,,,,,,,,,,,,,None,None,None,None,None,1048.2476798999123,None,1048.2476798999123,None,1048.2476798999123,None,1048.2476798999123,None,j,0.4724560999311507,1048.2476798999123,None,1048.2476798999123,None,1048.7561935000122,None,1048.7561935000122,None,1048.7561935000122,None,1048.7561935000122,None,1048.7561935000122,None,1048.7561935000122,None,1049.0462074000388,1050.8907003998756,1049.0462074000388,1050.8907003998756,1050.9121600002982,None,1050.9121600002982,None,1050.9121600002982,None,1050.9121600002982,None,1050.9121600002982,None,1050.9121600002982,None,1050.9121600002982,None,1050.9121600002982,None,1050.9121600002982,None,49,33,43,62,62,42,1053.4226673999801,None,7.0,2.0354149998165667,1053.4226673999801,None,1053.4226673999801,None,1053.4226673999801,None,1053.4226673999801,None,None,None,1055.4772528000176,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,7,0,7,0,,,,,,,,,,,,,,,None,None,None,None,None,1057.4392971000634,None,1057.4392971000634,None,1057.4392971000634,None,1057.4392971000634,None,j,0.547588000074029,1057.4392971000634,None,1057.4392971000634,None,1058.0159479002468,None,1058.0159479002468,None,1058.0159479002468,None,1058.0159479002468,None,1058.0159479002468,None,1058.0159479002468,None,1058.303953900002,1059.7830374999903,1058.303953900002,1059.7830374999903,1059.8039998998865,None,1059.8039998998865,None,1059.8039998998865,None,1059.8039998998865,None,1059.8039998998865,None,1059.8039998998865,None,1059.8039998998865,None,1059.8039998998865,None,1059.8039998998865,None,54,27,35,69,69,53,1062.3125979001634,None,7.0,1.240290299989283,1062.3125979001634,None,1062.3125979001634,None,1062.3125979001634,None,1062.3125979001634,None,None,None,1063.5718336002901,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
