bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,docs.stopped,image_2.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,2278.706963900011,2278.706963900011,space,31.280557499732822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
,,,,,,,,,2310.024833300151,2310.024833300151,space,119.63961079996079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,0,0,0,0,,,,,,,,,2429.6894621001557,None,2430.716972300317,2430.716972300317,2430.716972300317,2430.716972300317,2430.716972300317,2430.716972300317,r,0.8898411002010107,2431.696688400116,2431.696688400116,2431.696688400116,2431.696688400116,2431.696688400116,2431.696688400116,2431.934616399929,2431.934616399929,2432.9148639002815,2432.9148639002815,2432.9696194003336,2432.9696194003336,2432.9696194003336,2432.9696194003336,2432.9696194003336,2432.9696194003336,2432.9696194003336,2432.9696194003336,2432.9696194003336,2432.9696194003336,2432.9696194003336,2432.9696194003336,2432.9696194003336,2432.9696194003336,2432.9696194003336,2435.474316000007,2435.474316000007,2435.474316000007,2435.474316000007,2435.474316000007,66,48,38,55,66,60,5.0,2.7246651998721063,2438.2596897999756,2440.078352900222,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,1,0,1,0,,,,,,,,,,None,2440.078352900222,2440.078352900222,2440.078352900222,2440.078352900222,2440.078352900222,2440.078352900222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,50,43,56,0,**,None,None,2446.1112722000107,2447.6410229001194,2441.59840040002,2446.1112722000107,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,2,0,2,0,,,,,,,,,,None,2447.6410229001194,2447.6410229001194,2447.6410229001194,2447.6410229001194,2447.6410229001194,2447.6410229001194,i,0.6576678999699652,2448.3302621999756,2448.3302621999756,2448.3302621999756,2448.3302621999756,2448.3302621999756,2448.3302621999756,2448.6219561002217,2448.6219561002217,2449.635573599953,2449.635573599953,2449.635573599953,2449.635573599953,2449.635573599953,2449.635573599953,2449.635573599953,2449.635573599953,2449.635573599953,2449.635573599953,2449.635573599953,2449.635573599953,2449.635573599953,2449.635573599953,2449.635573599953,2449.635573599953,2449.635573599953,2452.1454354999587,2452.1454354999587,2452.1454354999587,2452.1454354999587,2452.1454354999587,54,53,46,59,46,44,4.0,3.4891352001577616,2455.652248200029,2457.1817292999476,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,3,0,3,0,,,,,,,,,,None,2457.1817292999476,2457.1817292999476,2457.1817292999476,2457.1817292999476,2457.1817292999476,2457.1817292999476,r,0.6333030997775495,2457.8483251002617,2457.8483251002617,2457.8483251002617,2457.8483251002617,2457.8483251002617,2457.8483251002617,2458.1461805002764,2458.1461805002764,2459.375660800375,2459.375660800375,2459.375660800375,2459.375660800375,2459.375660800375,2459.375660800375,2459.375660800375,2459.375660800375,2459.375660800375,2459.375660800375,2459.375660800375,2459.375660800375,2459.375660800375,2459.375660800375,2459.375660800375,2459.375660800375,2459.375660800375,2461.885368200019,2461.885368200019,2461.885368200019,2461.885368200019,2461.885368200019,63,47,45,62,63,60,5.0,3.4058452998287976,2465.308825599961,2467.2045340002514,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,4,0,4,0,,,,,,,,,,None,2467.2045340002514,2467.2045340002514,2467.2045340002514,2467.2045340002514,2467.2045340002514,2467.2045340002514,f,0.44174599973484874,2467.671293300111,2467.671293300111,2467.671293300111,2467.671293300111,2467.671293300111,2467.671293300111,2467.9693364999257,2467.9693364999257,2469.4482221999206,2469.4482221999206,2469.4482221999206,2469.4482221999206,2469.4482221999206,2469.4482221999206,2469.4482221999206,2469.4482221999206,2469.4482221999206,2469.4482221999206,2469.4482221999206,2469.4482221999206,2469.4482221999206,2469.4482221999206,2469.4482221999206,2469.4482221999206,2469.4482221999206,2471.957440600265,2471.957440600265,2471.957440600265,2471.957440600265,2471.957440600265,71,51,48,56,51,69,3.0,2.2258410998620093,2474.201493999921,2475.947155999951,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,5,0,5,0,,,,,,,,,,None,2475.947155999951,2475.947155999951,2475.947155999951,2475.947155999951,2475.947155999951,2475.947155999951,i,0.5518558002077043,2476.53379580006,2476.53379580006,2476.53379580006,2476.53379580006,2476.53379580006,2476.53379580006,2476.828297200147,2476.828297200147,2478.590077599976,2478.590077599976,2478.590077599976,2478.590077599976,2478.590077599976,2478.590077599976,2478.590077599976,2478.590077599976,2478.590077599976,2478.590077599976,2478.590077599976,2478.590077599976,2478.590077599976,2478.590077599976,2478.590077599976,2478.590077599976,2478.590077599976,2481.0992510002106,2481.0992510002106,2481.0992510002106,2481.0992510002106,2481.0992510002106,68,49,43,61,43,60,3.0,1.911808299832046,2483.027158900164,2484.7895749001764,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,6,0,6,0,,,,,,,,,,None,2484.7895749001764,2484.7895749001764,2484.7895749001764,2484.7895749001764,2484.7895749001764,2484.7895749001764,j,0.38723550038412213,2485.2057718001306,2485.2057718001306,2485.2057718001306,2485.2057718001306,2485.2057718001306,2485.2057718001306,2485.5046119000763,2485.5046119000763,2487.4162062001415,2487.4162062001415,2487.4162062001415,2487.4162062001415,2487.4162062001415,2487.4162062001415,2487.4162062001415,2487.4162062001415,2487.4162062001415,2487.4162062001415,2487.4162062001415,2487.4162062001415,2487.4162062001415,2487.4162062001415,2487.4162062001415,2487.4162062001415,2487.4162062001415,2489.9251369000413,2489.9251369000413,2489.9251369000413,2489.9251369000413,2489.9251369000413,60,49,41,62,62,52,5.0,2.4420264000073075,2492.3849094002508,2494.03145890031,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,7,0,7,0,,,,,,,,,,None,2494.03145890031,2494.03145890031,2494.03145890031,2494.03145890031,2494.03145890031,2494.03145890031,j,0.43162329960614443,2494.5010633002967,2494.5010633002967,2494.5010633002967,2494.5010633002967,2494.5010633002967,2494.5010633002967,2494.7959607001394,2494.7959607001394,2495.610259900335,2495.610259900335,2495.6272640000097,2495.6272640000097,2495.6272640000097,2495.6272640000097,2495.6272640000097,2495.6272640000097,2495.6272640000097,2495.6272640000097,2495.6272640000097,2495.6272640000097,2495.6272640000097,2495.6272640000097,2495.6272640000097,2495.6272640000097,2495.6272640000097,2498.136207100004,2498.136207100004,2498.136207100004,2498.136207100004,2498.136207100004,63,45,46,64,64,52,5.0,2.941511199809611,2501.0951110003516,2502.9570164000615,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,8,0,8,0,,,,,,,,,,None,2502.9570164000615,2502.9570164000615,2502.9570164000615,2502.9570164000615,2502.9570164000615,2502.9570164000615,j,0.6136298002675176,2503.590528999921,2503.590528999921,2503.590528999921,2503.590528999921,2503.590528999921,2503.590528999921,2503.8878921000287,2503.8878921000287,2505.882533600088,2505.882533600088,2505.882533600088,2505.882533600088,2505.882533600088,2505.882533600088,2505.882533600088,2505.882533600088,2505.882533600088,2505.882533600088,2505.882533600088,2505.882533600088,2505.882533600088,2505.882533600088,2505.882533600088,2505.882533600088,2505.882533600088,2508.391441100277,2508.391441100277,2508.391441100277,2508.391441100277,2508.391441100277,73,41,55,64,64,33,5.0,1.578145599924028,2509.9871354000643,2511.8328729001805,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,9,0,9,0,,,,,,,,,,None,2511.8328729001805,2511.8328729001805,2511.8328729001805,2511.8328729001805,2511.8328729001805,2511.8328729001805,j,0.6101600001566112,2512.4701026002876,2512.4701026002876,2512.4701026002876,2512.4701026002876,2512.4701026002876,2512.4701026002876,2512.7640540003777,2512.7640540003777,2513.5945578999817,2513.5945578999817,2513.611149100121,2513.611149100121,2513.611149100121,2513.611149100121,2513.611149100121,2513.611149100121,2513.611149100121,2513.611149100121,2513.611149100121,2513.611149100121,2513.611149100121,2513.611149100121,2513.611149100121,2513.611149100121,2513.611149100121,2516.1205502999946,2516.1205502999946,2516.1205502999946,2516.1205502999946,2516.1205502999946,70,35,55,64,64,75,3.0,1.0289171999320388,2517.1676750001498,2518.7474380000494,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,10,0,10,0,,,,,,,,,,None,2518.7474380000494,2518.7474380000494,2518.7474380000494,2518.7474380000494,2518.7474380000494,2518.7474380000494,j,0.5271812002174556,2519.2960370001383,2519.2960370001383,2519.2960370001383,2519.2960370001383,2519.2960370001383,2519.2960370001383,2519.595102699939,2519.595102699939,2521.00809080014,2521.00809080014,2521.00809080014,2521.00809080014,2521.00809080014,2521.00809080014,2521.00809080014,2521.00809080014,2521.00809080014,2521.00809080014,2521.00809080014,2521.00809080014,2521.00809080014,2521.00809080014,2521.00809080014,2521.00809080014,2521.00809080014,2523.517140700016,2523.517140700016,2523.517140700016,2523.517140700016,2523.517140700016,73,40,52,65,65,45,5.0,2.4418883002363145,2525.9769983002916,2527.5234727999195,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,11,0,11,0,,,,,,,,,,None,2527.5234727999195,2527.5234727999195,2527.5234727999195,2527.5234727999195,2527.5234727999195,2527.5234727999195,j,0.6678485996089876,2528.224401399959,2528.224401399959,2528.224401399959,2528.224401399959,2528.224401399959,2528.224401399959,2528.5206859000027,2528.5206859000027,2529.767471600324,2529.767471600324,2529.7846930003725,2529.7846930003725,2529.7846930003725,2529.7846930003725,2529.7846930003725,2529.7846930003725,2529.7846930003725,2529.7846930003725,2529.7846930003725,2529.7846930003725,2529.7846930003725,2529.7846930003725,2529.7846930003725,2529.7846930003725,2529.7846930003725,2532.2933193002827,2532.2933193002827,2532.2933193002827,2532.2933193002827,2532.2933193002827,81,35,50,69,69,49,5.0,2.026540399994701,2534.337613000069,2535.9832878001034,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,12,0,12,0,,,,,,,,,,None,2535.9832878001034,2535.9832878001034,2535.9832878001034,2535.9832878001034,2535.9832878001034,2535.9832878001034,j,0.6570910001173615,2536.6669009001926,2536.6669009001926,2536.6669009001926,2536.6669009001926,2536.6669009001926,2536.6669009001926,2536.9645668002777,2536.9645668002777,2538.6433745003305,2538.6433745003305,2538.6433745003305,2538.6433745003305,2538.6433745003305,2538.6433745003305,2538.6433745003305,2538.6433745003305,2538.6433745003305,2538.6433745003305,2538.6433745003305,2538.6433745003305,2538.6433745003305,2538.6433745003305,2538.6433745003305,2538.6433745003305,2538.6433745003305,2541.1523380000144,2541.1523380000144,2541.1523380000144,2541.1523380000144,2541.1523380000144,77,37,50,70,70,31,5.0,2.126738900318742,2543.2961879000068,2545.108469699975,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,13,0,13,0,,,,,,,,,,None,2545.108469699975,2545.108469699975,2545.108469699975,2545.108469699975,2545.108469699975,2545.108469699975,j,0.5233891997486353,2545.6594227002934,2545.6594227002934,2545.6594227002934,2545.6594227002934,2545.6594227002934,2545.6594227002934,2545.956412800122,2545.956412800122,2547.6021410003304,2547.6021410003304,2547.6021410003304,2547.6021410003304,2547.6021410003304,2547.6021410003304,2547.6021410003304,2547.6021410003304,2547.6021410003304,2547.6021410003304,2547.6021410003304,2547.6021410003304,2547.6021410003304,2547.6021410003304,2547.6021410003304,2547.6021410003304,2547.6021410003304,2550.1110944002867,2550.1110944002867,2550.1110944002867,2550.1110944002867,2550.1110944002867,66,36,53,66,66,39,5.0,1.8776302002370358,2552.0060319001786,2553.5857412000187,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,14,0,14,0,,,,,,,,,,None,2553.5857412000187,2553.5857412000187,2553.5857412000187,2553.5857412000187,2553.5857412000187,2553.5857412000187,j,0.4545046999119222,2554.072421300225,2554.072421300225,2554.072421300225,2554.072421300225,2554.072421300225,2554.072421300225,2554.3668424002826,2554.3668424002826,2555.596802700311,2555.596802700311,2555.596802700311,2555.596802700311,2555.596802700311,2555.596802700311,2555.596802700311,2555.596802700311,2555.596802700311,2555.596802700311,2555.596802700311,2555.596802700311,2555.596802700311,2555.596802700311,2555.596802700311,2555.596802700311,2555.596802700311,2558.105833900161,2558.105833900161,2558.105833900161,2558.105833900161,2558.105833900161,64,42,45,66,66,74,4.0,0.9457912999205291,2559.069849600084,2560.6661511999555,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,15,0,15,0,,,,,,,,,,None,2560.6661511999555,2560.6661511999555,2560.6661511999555,2560.6661511999555,2560.6661511999555,2560.6661511999555,j,0.49410329991951585,2561.1834040000103,2561.1834040000103,2561.1834040000103,2561.1834040000103,2561.1834040000103,2561.1834040000103,2561.4806838002987,2561.4806838002987,2562.826880100183,2562.826880100183,2562.826880100183,2562.826880100183,2562.826880100183,2562.826880100183,2562.826880100183,2562.826880100183,2562.826880100183,2562.826880100183,2562.826880100183,2562.826880100183,2562.826880100183,2562.826880100183,2562.826880100183,2562.826880100183,2562.826880100183,2565.336238299962,2565.336238299962,2565.336238299962,2565.336238299962,2565.336238299962,63,52,34,74,74,74,4.0,1.6946088001132011,2567.0480401003733,2568.5612880000845,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,16,0,16,0,,,,,,,,,,None,2568.5612880000845,2568.5612880000845,2568.5612880000845,2568.5612880000845,2568.5612880000845,2568.5612880000845,j,0.532880499958992,2569.1271534999833,2569.1271534999833,2569.1271534999833,2569.1271534999833,2569.1271534999833,2569.1271534999833,2569.4262450002134,2569.4262450002134,2570.838625600096,2570.838625600096,2570.838625600096,2570.838625600096,2570.838625600096,2570.838625600096,2570.838625600096,2570.838625600096,2570.838625600096,2570.838625600096,2570.838625600096,2570.838625600096,2570.838625600096,2570.838625600096,2570.838625600096,2570.838625600096,2570.838625600096,2573.347641600296,2573.347641600296,2573.347641600296,2573.347641600296,2573.347641600296,64,43,35,70,70,79,4.0,1.4778919001109898,2574.8437622999772,2576.389738100115,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,17,0,17,0,,,,,,,,,,None,2576.389738100115,2576.389738100115,2576.389738100115,2576.389738100115,2576.389738100115,2576.389738100115,j,0.31480379961431026,2576.7246964001097,2576.7246964001097,2576.7246964001097,2576.7246964001097,2576.7246964001097,2576.7246964001097,2577.0217600003816,2577.0217600003816,2578.434863500297,2578.434863500297,2578.434863500297,2578.434863500297,2578.434863500297,2578.434863500297,2578.434863500297,2578.434863500297,2578.434863500297,2578.434863500297,2578.434863500297,2578.434863500297,2578.434863500297,2578.434863500297,2578.434863500297,2578.434863500297,2578.434863500297,2580.9438020000234,2580.9438020000234,2580.9438020000234,2580.9438020000234,2580.9438020000234,60,48,32,71,71,69,4.0,1.5115807000547647,2582.4729313999414,2584.2353503000923,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,18,0,18,0,,,,,,,,,,None,2584.2353503000923,2584.2353503000923,2584.2353503000923,2584.2353503000923,2584.2353503000923,2584.2353503000923,r,0.3426553998142481,2584.6055590002798,2584.6055590002798,2584.6055590002798,2584.6055590002798,2584.6055590002798,2584.6055590002798,2584.900045800023,2584.900045800023,2585.9475342002697,2585.9475342002697,2585.9475342002697,2585.9475342002697,2585.9475342002697,2585.9475342002697,2585.9475342002697,2585.9475342002697,2585.9475342002697,2585.9475342002697,2585.9475342002697,2585.9475342002697,2585.9475342002697,2585.9475342002697,2585.9475342002697,2585.9475342002697,2585.9475342002697,2588.456722000148,2588.456722000148,2588.456722000148,2588.456722000148,2588.456722000148,64,50,35,73,64,39,4.0,2.6255056001245975,2591.0990357003175,2592.9613672001287,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,19,0,19,0,,,,,,,,,,None,2592.9613672001287,2592.9613672001287,2592.9613672001287,2592.9613672001287,2592.9613672001287,2592.9613672001287,r,0.31483149994164705,2593.2957212999463,2593.2957212999463,2593.2957212999463,2593.2957212999463,2593.2957212999463,2593.2957212999463,2593.5932109002024,2593.5932109002024,2595.272027200088,2595.272027200088,2595.272027200088,2595.272027200088,2595.272027200088,2595.272027200088,2595.272027200088,2595.272027200088,2595.272027200088,2595.272027200088,2595.272027200088,2595.272027200088,2595.272027200088,2595.272027200088,2595.272027200088,2595.272027200088,2595.272027200088,2597.7811537003145,2597.7811537003145,2597.7811537003145,2597.7811537003145,2597.7811537003145,50,48,43,69,50,57,3.0,1.5940542998723686,2599.393450600095,2601.0396398003213,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,20,0,20,0,,,,,,,,,,None,2601.0396398003213,2601.0396398003213,2601.0396398003213,2601.0396398003213,2601.0396398003213,2601.0396398003213,r,1.110302799846977,2602.1709009003825,2602.1709009003825,2602.1709009003825,2602.1709009003825,2602.1709009003825,2602.1709009003825,2602.469373800326,2602.469373800326,2604.3801726000383,2604.3801726000383,2604.3801726000383,2604.3801726000383,2604.3801726000383,2604.3801726000383,2604.3801726000383,2604.3801726000383,2604.3801726000383,2604.3801726000383,2604.3801726000383,2604.3801726000383,2604.3801726000383,2604.3801726000383,2604.3801726000383,2604.3801726000383,2604.3801726000383,2606.8894004002213,2606.8894004002213,2606.8894004002213,2606.8894004002213,2606.8894004002213,57,48,42,58,57,61,4.0,1.7939007999375463,2608.701024299953,2610.3475979003124,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,21,0,21,0,,,,,,,,,,None,2610.3475979003124,2610.3475979003124,2610.3475979003124,2610.3475979003124,2610.3475979003124,2610.3475979003124,j,0.3140662000514567,2610.680013500154,2610.680013500154,2610.680013500154,2610.680013500154,2610.680013500154,2610.680013500154,2610.979185800068,2610.979185800068,2612.3257100000046,2612.3257100000046,2612.3257100000046,2612.3257100000046,2612.3257100000046,2612.3257100000046,2612.3257100000046,2612.3257100000046,2612.3257100000046,2612.3257100000046,2612.3257100000046,2612.3257100000046,2612.3257100000046,2612.3257100000046,2612.3257100000046,2612.3257100000046,2612.3257100000046,2614.834334200248,2614.834334200248,2614.834334200248,2614.834334200248,2614.834334200248,66,46,38,74,74,61,5.0,2.309223599731922,2617.161246099975,2619.139756700024,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,22,0,22,0,,,,,,,,,,None,2619.139756700024,2619.139756700024,2619.139756700024,2619.139756700024,2619.139756700024,2619.139756700024,j,0.3294861000031233,2619.492517699953,2619.492517699953,2619.492517699953,2619.492517699953,2619.492517699953,2619.492517699953,2619.7885949001648,2619.7885949001648,2620.6362796002068,2620.6362796002068,2620.6362796002068,2620.6362796002068,2620.6362796002068,2620.6362796002068,2620.6362796002068,2620.6362796002068,2620.6362796002068,2620.6362796002068,2620.6362796002068,2620.6362796002068,2620.6362796002068,2620.6362796002068,2620.6362796002068,2620.6362796002068,2620.6362796002068,2623.1455415999517,2623.1455415999517,2623.1455415999517,2623.1455415999517,2623.1455415999517,60,51,28,64,64,76,3.0,2.2433218001388013,2625.4054177999496,2627.1181534002535,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,23,0,23,0,,,,,,,,,,None,2627.1181534002535,2627.1181534002535,2627.1181534002535,2627.1181534002535,2627.1181534002535,2627.1181534002535,f,0.6101456000469625,2627.7503381003626,2627.7503381003626,2627.7503381003626,2627.7503381003626,2627.7503381003626,2627.7503381003626,2628.0495175002143,2628.0495175002143,2629.4620304000564,2629.4620304000564,2629.4620304000564,2629.4620304000564,2629.4620304000564,2629.4620304000564,2629.4620304000564,2629.4620304000564,2629.4620304000564,2629.4620304000564,2629.4620304000564,2629.4620304000564,2629.4620304000564,2629.4620304000564,2629.4620304000564,2629.4620304000564,2629.4620304000564,2631.9710208000615,2631.9710208000615,2631.9710208000615,2631.9710208000615,2631.9710208000615,71,43,31,69,43,59,3.0,2.8080043997615576,2634.796671700198,2636.6256570001133,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,24,0,24,0,,,,,,,,,,None,2636.6256570001133,2636.6256570001133,2636.6256570001133,2636.6256570001133,2636.6256570001133,2636.6256570001133,j,0.4196474999189377,2637.0786076001823,2637.0786076001823,2637.0786076001823,2637.0786076001823,2637.0786076001823,2637.0786076001823,2637.373771400191,2637.373771400191,2639.085415699985,2639.085415699985,2639.102295400109,2639.102295400109,2639.102295400109,2639.102295400109,2639.102295400109,2639.102295400109,2639.102295400109,2639.102295400109,2639.102295400109,2639.102295400109,2639.102295400109,2639.102295400109,2639.102295400109,2639.102295400109,2639.102295400109,2641.6113203000277,2641.6113203000277,2641.6113203000277,2641.6113203000277,2641.6113203000277,58,42,34,78,78,60,5.0,2.4592706002295017,2644.0877427002415,2645.900143600069,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
1,25,0,25,0,,,,,,,,,,None,2645.900143600069,2645.900143600069,2645.900143600069,2645.900143600069,2645.900143600069,2645.900143600069,j,0.48645529989153147,2646.417290300131,2646.417290300131,2646.417290300131,2646.417290300131,2646.417290300131,2646.417290300131,2646.715351700317,2646.715351700317,2648.5761613999493,2648.5761613999493,2648.593324500136,2648.593324500136,2648.593324500136,2648.593324500136,2648.593324500136,2648.593324500136,2648.593324500136,2648.593324500136,2648.593324500136,2648.593324500136,2648.593324500136,2648.593324500136,2648.593324500136,2648.593324500136,2648.593324500136,2651.1026337002404,2651.1026337002404,2651.1026337002404,2651.1026337002404,2651.1026337002404,55,53,26,67,67,54,5.0,2.076795000117272,2653.196375499945,2655.158269900363,,,,,,,,,125,f,1,2022-12-12_11h42.38.277,RL,2022.2.4,60.15598454919238,
