bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,docs.stopped,image_2.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,bigx.started,bigx.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,35.94136150018312,35.94136150018312,space,70.1785797001794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h10.59.232,RL,2022.2.4,60.262128251149385,
,,,,,,,,,106.15920029999688,106.15920029999688,space,49.28339959983714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,f,23,2022-11-25_15h10.59.232,RL,2022.2.4,60.262128251149385,
1,0,0,0,0,,,,,,,,,155.4596055999864,None,156.47455830010585,156.47455830010585,156.47455830010585,156.47455830010585,156.47455830010585,156.47455830010585,f,0.6316048000007868,157.2062876999844,157.2062876999844,157.2062876999844,157.2062876999844,157.2062876999844,157.2062876999844,157.4389494000934,157.4389494000934,158.41880930005573,158.41880930005573,158.49745300016366,158.49745300016366,158.49745300016366,158.49745300016366,158.49745300016366,158.49745300016366,158.49745300016366,158.49745300016366,158.49745300016366,158.49745300016366,158.49745300016366,158.49745300016366,158.49745300016366,158.49745300016366,158.49745300016366,160.99518220010214,160.99518220010214,160.99518220010214,160.99518220010214,160.99518220010214,30,73,57,40,73,50,5.0,3.3069850001484156,164.43016710015945,166.03126149997115,,,108,f,23,2022-11-25_15h10.59.232,RL,2022.2.4,60.262128251149385,
1,1,0,1,0,,,,,,,,,,None,166.03126149997115,166.03126149997115,166.03126149997115,166.03126149997115,166.03126149997115,166.03126149997115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,78,57,38,0,**,None,None,172.06438150000758,174.0595031999983,167.54886239999905,172.06438150000758,108,f,23,2022-11-25_15h10.59.232,RL,2022.2.4,60.262128251149385,
,,,,,,,,,,,,,,None,174.0595031999983,174.0595031999983,174.0595031999983,174.0595031999983,174.0595031999983,174.0595031999983,f,0.7811542998533696,174.87472390010953,174.87472390010953,174.87472390010953,174.87472390010953,174.87472390010953,174.87472390010953,175.17361010005698,175.17361010005698,176.10427230014466,176.10427230014466,176.10427230014466,176.10427230014466,176.10427230014466,176.10427230014466,176.10427230014466,176.10427230014466,176.10427230014466,176.10427230014466,176.10427230014466,176.10427230014466,176.10427230014466,176.10427230014466,176.10427230014466,176.10427230014466,176.10427230014466,178.61315820016898,178.61315820016898,178.61315820016898,178.61315820016898,178.61315820016898,,,,,,,,,,,,,,,,,,,,
