bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,docs.stopped,image_2.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,12.406043199822307,12.406043199822307,space,1.4888165998272598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
,,,,,,,,,13.925319400150329,13.925319400150329,space,4.1413491000421345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,0,0,0,0,,,,,,,,,18.089197100140154,None,19.105255299713463,19.105255299713463,19.105255299713463,19.105255299713463,19.105255299713463,19.105255299713463,f,0.5441600000485778,19.725870300084352,19.725870300084352,19.725870300084352,19.725870300084352,19.725870300084352,19.725870300084352,19.968180699739605,19.968180699739605,20.99869309971109,20.99869309971109,21.068034099880606,21.068034099880606,21.068034099880606,21.068034099880606,21.068034099880606,21.068034099880606,21.068034099880606,21.068034099880606,21.068034099880606,21.068034099880606,21.068034099880606,21.068034099880606,21.068034099880606,21.068034099880606,21.068034099880606,23.57467050012201,23.57467050012201,23.57467050012201,23.57467050012201,23.57467050012201,39,53,27,62,53,45,4.0,2.410135000012815,26.046887199860066,27.6966026998125,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,1,0,1,0,,,,,,,,,,None,27.6966026998125,27.6966026998125,27.6966026998125,27.6966026998125,27.6966026998125,27.6966026998125,j,0.833585700020194,28.563881000038236,28.563881000038236,28.563881000038236,28.563881000038236,28.563881000038236,28.563881000038236,28.860569499898702,28.860569499898702,29.990844800136983,29.990844800136983,30.007313299924135,30.007313299924135,30.007313299924135,30.007313299924135,30.007313299924135,30.007313299924135,30.007313299924135,30.007313299924135,30.007313299924135,30.007313299924135,30.007313299924135,30.007313299924135,30.007313299924135,30.007313299924135,30.007313299924135,32.516440799925476,32.516440799925476,32.516440799925476,32.516440799925476,32.516440799925476,35,56,27,65,65,43,4.0,2.5750362002290785,35.10961499996483,36.92151209991425,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,2,0,2,0,,,,,,,,,,None,36.92151209991425,36.92151209991425,36.92151209991425,36.92151209991425,36.92151209991425,36.92151209991425,r,0.8298653000965714,37.77033860003576,37.77033860003576,37.77033860003576,37.77033860003576,37.77033860003576,37.77033860003576,38.068636199925095,38.068636199925095,40.06320990016684,40.06320990016684,40.06320990016684,40.06320990016684,40.06320990016684,40.06320990016684,40.06320990016684,40.06320990016684,40.06320990016684,40.06320990016684,40.06320990016684,40.06320990016684,40.06320990016684,40.06320990016684,40.06320990016684,40.06320990016684,40.06320990016684,42.57211699988693,42.57211699988693,42.57211699988693,42.57211699988693,42.57211699988693,41,66,25,58,41,64,3.0,2.209463700186461,44.799506899900734,46.76165740005672,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,3,0,3,0,,,,,,,,,,None,46.76165740005672,46.76165740005672,46.76165740005672,46.76165740005672,46.76165740005672,46.76165740005672,i,0.8438630001619458,47.628258700016886,47.628258700016886,47.628258700016886,47.628258700016886,47.628258700016886,47.628258700016886,47.92500829976052,47.92500829976052,48.78941609989852,48.78941609989852,48.78941609989852,48.78941609989852,48.78941609989852,48.78941609989852,48.78941609989852,48.78941609989852,48.78941609989852,48.78941609989852,48.78941609989852,48.78941609989852,48.78941609989852,48.78941609989852,48.78941609989852,48.78941609989852,48.78941609989852,51.298274599947035,51.298274599947035,51.298274599947035,51.298274599947035,51.298274599947035,36,54,22,65,22,71,3.0,1.8449080004356802,53.15978839993477,54.88910129992291,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,4,0,4,0,,,,,,,,,,None,54.88910129992291,54.88910129992291,54.88910129992291,54.88910129992291,54.88910129992291,54.88910129992291,f,0.8732638000510633,55.78930060006678,55.78930060006678,55.78930060006678,55.78930060006678,55.78930060006678,55.78930060006678,56.08637099992484,56.08637099992484,57.56550469994545,57.56550469994545,57.56550469994545,57.56550469994545,57.56550469994545,57.56550469994545,57.56550469994545,57.56550469994545,57.56550469994545,57.56550469994545,57.56550469994545,57.56550469994545,57.56550469994545,57.56550469994545,57.56550469994545,57.56550469994545,57.56550469994545,60.07437760010362,60.07437760010362,60.07437760010362,60.07437760010362,60.07437760010362,32,61,22,65,61,67,3.0,1.3954504001885653,61.48756509972736,63.36614379985258,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,5,0,5,0,,,,,,,,,,None,63.36614379985258,63.36614379985258,63.36614379985258,63.36614379985258,63.36614379985258,63.36614379985258,i,0.5943619003519416,63.98362790001556,63.98362790001556,63.98362790001556,63.98362790001556,63.98362790001556,63.98362790001556,64.28041080012918,64.28041080012918,65.6762057999149,65.6762057999149,65.6938482997939,65.6938482997939,65.6938482997939,65.6938482997939,65.6938482997939,65.6938482997939,65.6938482997939,65.6938482997939,65.6938482997939,65.6938482997939,65.6938482997939,65.6938482997939,65.6938482997939,65.6938482997939,65.6938482997939,68.20248349988833,68.20248349988833,68.20248349988833,68.20248349988833,68.20248349988833,26,56,26,66,26,49,3.0,1.411585799884051,69.63153930008411,71.27758050011471,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,6,0,6,0,,,,,,,,,,None,71.27758050011471,71.27758050011471,71.27758050011471,71.27758050011471,71.27758050011471,71.27758050011471,r,0.6252202000468969,71.92840849980712,71.92840849980712,71.92840849980712,71.92840849980712,71.92840849980712,71.92840849980712,72.22535079997033,72.22535079997033,73.2891819998622,73.2891819998622,73.2891819998622,73.2891819998622,73.2891819998622,73.2891819998622,73.2891819998622,73.2891819998622,73.2891819998622,73.2891819998622,73.2891819998622,73.2891819998622,73.2891819998622,73.2891819998622,73.2891819998622,73.2891819998622,73.2891819998622,75.79845299990848,75.79845299990848,75.79845299990848,75.79845299990848,75.79845299990848,32,50,26,71,32,46,3.0,1.661366299726069,77.47712149983272,79.45539700007066,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,7,0,7,0,,,,,,,,,,None,79.45539700007066,79.45539700007066,79.45539700007066,79.45539700007066,79.45539700007066,79.45539700007066,f,0.7939441003836691,80.27197440015152,80.27197440015152,80.27197440015152,80.27197440015152,80.27197440015152,80.27197440015152,80.56928379973397,80.56928379973397,82.31470619980246,82.31470619980246,82.31470619980246,82.31470619980246,82.31470619980246,82.31470619980246,82.31470619980246,82.31470619980246,82.31470619980246,82.31470619980246,82.31470619980246,82.31470619980246,82.31470619980246,82.31470619980246,82.31470619980246,82.31470619980246,82.31470619980246,84.82370129972696,84.82370129972696,84.82370129972696,84.82370129972696,84.82370129972696,37,61,28,67,61,48,4.0,1.7280347002670169,86.56915949983522,88.43117769993842,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
